,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,31.1,1.0,78879.5,8.7,12.5,72332.2,2.1,00:37:52,4.7,8.9,56.5,68.0,5.0,20,37.3,1954.9,2131.9,1.6,60.2,80.0,182.8,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,26,53,777,217,313,16
1,2,31.1,1.1,85531.3,9.0,11.2,74375.0,2.2,00:40:13,6.3,7.7,52.7,46.2,4.6,21,36.5,1859.4,2138.3,1.9,51.4,61.9,187.4,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,29,56,808,234,290,13
2,3,24.5,0.9,65986.0,8.2,9.7,67267.6,1.8,00:37:55,6.3,6.6,46.7,71.0,4.1,22,35.4,1818.0,1783.4,1.8,45.1,59.1,161.2,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,28,55,758,253,301,13
3,4,28.2,1.1,76490.9,9.4,10.6,70543.1,2.2,00:39:01,7.1,5.7,55.6,66.7,4.1,18,35.9,1808.8,1961.3,1.9,59.7,44.4,181.2,https://img1.famulei.com/z/5688126/p/191/2115401833676_100X100.png,MSF,20,40,508,169,191,8
4,5,22.7,0.7,73504.8,9.2,9.1,66726.7,1.7,00:37:41,7.1,5.8,41.9,50.0,3.4,18,36.3,1803.4,1986.6,1.8,46.2,38.9,168.5,https://img1.famulei.com/z/5688126/p/191/2115403019890_100X100.png,S04,13,30,408,166,164,7
5,6,25.1,0.9,75372.5,11.3,9.9,68316.1,2.1,00:38:53,7.3,5.5,45.7,38.9,3.0,18,35.5,1797.8,1983.5,1.7,56.9,33.3,171.8,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,16,37,451,204,179,6
6,7,22.1,0.9,71881.3,9.8,8.1,68827.4,1.4,00:39:04,6.8,6.0,45.2,52.4,3.0,19,35.9,1764.8,1843.1,1.7,42.6,42.1,160.1,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,19,29,464,205,171,8
7,8,24.9,0.7,64237.1,11.6,9.6,62747.5,1.4,00:35:26,6.6,5.9,50.0,27.8,2.9,18,35.2,1792.8,1835.3,1.7,45.5,38.9,162.0,https://img1.famulei.com/z/0/p/1612/2915490149059_100X100.png,GIA,13,25,448,209,172,7
8,9,22.4,0.8,69596.7,11.0,9.3,64224.8,2.1,00:35:46,6.5,6.4,48.2,43.8,2.8,21,36.0,1835.0,1988.5,1.7,59.5,52.4,164.3,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,27,66,717,352,298,11
9,10,21.7,1.0,74250.3,10.7,7.7,64198.0,1.0,00:36:36,7.3,5.7,55.8,26.1,2.7,19,35.6,1783.3,2062.5,1.6,30.0,42.1,161.7,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,24,24,500,247,176,8
