,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,32.8,0.9,53969.0,9.9,14.2,58995.4,2.3,00:30:56,3.9,7.3,69.4,72.3,4.7,17,34.6,1966.5,1799.0,1.4,57.3,82.4,170.6,https://img1.famulei.com/z/5688126/p/191/2116131268514_100X100.png,FPX,43,106,1543,467,666,14
1,2,33.9,0.8,70513.9,10.8,13.7,64329.0,2.2,00:35:03,5.3,7.0,55.4,48.6,4.3,15,32.8,1838.0,2014.7,1.7,50.6,53.3,181.2,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,31,80,1254,401,508,8
2,3,28.6,0.7,57622.1,10.4,12.3,58833.9,2.3,00:31:51,5.1,6.9,54.0,59.6,3.9,18,34.5,1897.9,1858.8,1.6,60.8,66.7,161.3,https://img1.famulei.com/z/2373870/p/196/1417364198363_100X100.png,TES,34,110,1344,487,578,12
3,4,39.0,0.9,69884.3,14.4,17.5,59002.3,2.0,00:30:41,4.5,7.3,63.8,33.3,3.9,17,33.3,1966.7,2329.5,1.3,52.2,76.5,188.9,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,37,84,1639,603,734,13
4,5,32.7,0.7,58166.9,12.8,13.8,58384.1,2.1,00:31:37,5.2,6.5,51.9,60.0,3.6,16,33.2,1883.4,1876.4,1.6,53.9,62.5,170.5,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,27,83,1308,512,552,10
5,6,29.2,0.6,63733.6,11.4,12.4,62277.9,2.5,00:34:22,6.0,6.3,44.2,56.4,3.6,16,32.9,1831.7,1874.5,1.6,58.0,56.2,160.1,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,23,98,1138,443,484,9
6,7,30.3,0.6,59190.5,12.2,13.1,59701.7,2.5,00:32:01,5.4,6.2,46.9,56.4,3.5,16,33.8,1865.7,1849.7,1.5,60.0,62.5,164.6,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,23,96,1181,476,511,10
7,8,30.1,0.8,58315.0,12.2,12.4,59641.9,2.3,00:32:18,5.7,6.6,58.9,56.1,3.4,17,33.6,1863.8,1822.3,1.6,54.9,58.8,159.8,https://img1.famulei.com/z/6300992/p/195/2617593578288_100X100.png,DMO,33,95,1234,500,509,10
8,9,29.7,0.5,66187.0,13.1,12.6,63277.8,2.0,00:34:41,6.2,5.8,35.8,40.5,3.2,15,34.1,1861.1,1946.7,1.5,46.2,40.0,167.8,https://img1.famulei.com/z/6306534/p/195/2310230153901_100X100.png,SN,19,73,1100,483,465,6
9,10,30.1,0.8,58534.5,13.8,12.3,57927.8,1.9,00:31:54,6.2,6.0,53.6,48.2,3.0,19,33.2,1868.6,1888.2,1.4,46.2,63.2,162.2,https://img1.famulei.com/z/6300992/p/195/2315324930510_100X100.png,JDG,45,104,1685,774,687,12
10,11,28.7,0.6,55957.8,14.4,12.4,58604.7,1.8,00:32:38,6.9,5.2,43.5,52.8,2.8,15,32.6,1831.4,1748.7,1.5,45.2,26.7,156.2,https://img1.famulei.com/z/5688126/p/191/2116134425114_100X100.png,V5,20,66,1033,518,447,4
11,12,26.7,0.6,60741.4,13.3,11.9,58820.2,2.1,00:32:50,6.6,6.1,45.1,50.0,2.8,15,32.9,1838.1,1898.2,1.5,49.7,33.3,156.2,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,23,79,1014,507,454,5
12,13,24.3,0.6,56107.2,12.8,10.3,56918.7,1.7,00:32:06,7.3,4.8,44.7,47.4,2.7,15,33.2,1778.7,1753.3,1.4,44.2,33.3,149.4,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,21,65,922,485,391,5
13,14,25.6,0.7,59271.6,12.8,10.2,59664.3,1.4,00:33:36,7.3,4.7,44.1,47.5,2.7,15,33.4,1808.0,1796.1,1.6,34.5,13.3,153.9,https://img1.famulei.com/z/6300992/p/195/3010222259203_100X100.png,VG,26,57,1024,514,408,2
14,15,25.4,0.5,52241.3,14.4,11.3,55574.9,1.6,00:31:29,7.9,4.1,37.0,25.0,2.5,15,32.7,1792.7,1685.2,1.3,39.9,26.7,147.0,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,17,57,916,518,407,4
15,16,25.5,0.5,54069.2,14.5,10.7,55787.2,1.7,00:31:27,7.5,4.0,38.6,33.3,2.5,15,32.9,1799.6,1744.2,1.3,41.8,26.7,152.2,https://img1.famulei.com/z/6300992/p/195/3010264117383_100X100.png,RW,17,56,842,478,353,4
