,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,28.9,0.7,55623.5,6.5,13.4,63158.9,2.3,00:32:54,3.2,7.4,63.0,76.2,6.4,19,37.7,1973.7,1738.2,1.8,56.5,78.9,169.4,https://img1.famulei.com/z/5688126/p/191/2116101396555_100X100.png,GRF,29,95,1214,274,564,15
1,2,27.9,0.8,62758.2,8.3,12.2,64998.8,2.8,00:34:43,4.0,7.6,63.9,66.0,4.8,20,36.4,1911.7,1845.8,1.8,60.3,80.0,170.9,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,39,138,1394,413,608,16
2,3,29.9,0.8,61691.4,10.1,13.0,63503.5,2.6,00:34:03,5.1,7.0,60.7,53.3,4.2,20,34.2,1867.8,1814.5,1.9,57.5,70.0,175.7,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,37,115,1347,454,586,14
3,4,28.0,0.7,59132.3,11.2,11.3,62143.1,2.4,00:33:42,5.3,6.3,55.7,31.2,3.5,20,35.9,1883.1,1791.9,1.8,56.5,60.0,165.4,https://img1.famulei.com/z/5688126/p/191/2116095833816_100X100.png,DWG,34,117,1342,536,542,12
4,5,25.4,0.9,62400.9,10.6,11.0,63641.5,2.9,00:34:22,4.2,7.3,65.1,48.9,3.4,19,35.8,1871.8,1835.3,2.0,65.7,68.4,166.2,https://img1.famulei.com/z/5688126/p/191/2116103817440_100X100.png,SB,41,134,1196,498,518,13
5,6,23.0,0.7,51662.2,10.6,9.2,58543.6,2.1,00:33:06,6.0,5.5,59.6,41.5,3.0,18,33.8,1774.0,1565.5,1.9,47.8,50.0,151.2,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,28,85,944,435,379,9
6,7,21.3,0.5,54194.2,10.5,8.6,61966.0,1.9,00:35:22,7.1,5.0,37.5,47.7,2.8,18,34.5,1770.5,1548.4,1.9,41.9,27.8,146.9,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,21,83,937,462,380,5
7,8,24.1,0.5,58341.5,13.6,10.2,60425.2,1.6,00:34:58,7.3,4.4,38.5,42.9,2.5,18,33.9,1777.2,1715.9,1.7,37.9,22.2,153.1,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,20,67,1014,573,428,4
8,9,23.2,0.5,56383.8,13.8,9.8,59323.3,2.0,00:34:47,7.0,4.3,34.9,48.8,2.3,18,33.1,1744.8,1658.3,1.8,45.3,27.8,151.6,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,22,86,999,593,423,5
9,10,13.9,0.2,46975.4,11.8,6.6,55478.1,1.1,00:33:46,9.3,2.0,13.6,42.1,1.7,18,34.0,1681.2,1423.5,1.7,23.7,5.6,128.4,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,6,40,527,449,250,1
