,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,32.0,0.8,56676.6,10.8,14.3,55292.0,1.7,00:29:55,4.4,6.9,66.7,53.8,4.2,20,33.9,1906.6,1954.4,1.2,63.2,75.0,166.9,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,20,43,831,281,372,15
1,2,28.2,0.5,60195.9,9.7,11.6,58323.7,1.3,00:32:20,5.6,6.8,40.0,43.5,4.0,21,35.0,1822.6,1881.1,1.4,49.2,57.1,160.8,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,12,31,649,224,267,12
2,3,33.9,0.9,62156.8,11.9,13.7,59150.0,2.1,00:32:20,4.9,7.4,60.0,53.6,4.0,22,33.0,1848.4,1942.4,1.4,73.8,68.2,174.7,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,24,59,950,332,384,15
3,4,28.0,0.8,53864.3,10.2,11.7,57138.4,1.3,00:32:05,5.4,6.8,68.8,58.6,3.9,21,32.6,1785.6,1683.3,1.4,45.8,57.1,158.6,https://img1.famulei.com/z/5688126/p/191/2115401833676_100X100.png,MSF,22,38,813,295,339,12
4,5,26.0,0.6,66882.6,9.7,11.4,64111.0,2.2,00:37:04,7.3,5.7,41.2,56.5,3.8,19,33.2,1732.7,1807.6,1.5,56.0,52.6,157.8,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,14,51,599,223,262,9
5,6,25.5,0.7,60586.8,10.5,11.5,61933.9,1.5,00:34:42,5.8,6.8,53.3,57.6,3.5,23,34.9,1821.6,1782.0,1.4,46.8,65.2,160.7,https://img1.famulei.com/z/5688126/p/191/2115403019890_100X100.png,S04,24,51,842,345,379,15
6,7,26.9,0.4,63493.8,11.8,11.6,62042.7,1.2,00:35:43,7.2,5.7,32.0,66.7,3.2,18,34.2,1772.6,1814.1,1.4,39.3,38.9,161.2,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,8,22,485,213,209,7
7,8,20.8,0.7,53442.7,13.8,9.6,53722.1,0.8,00:31:14,7.0,5.4,50.0,50.0,2.1,18,33.4,1733.0,1724.0,1.2,31.9,38.9,138.1,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,12,15,374,249,173,7
8,9,20.7,0.5,64813.9,14.8,9.3,60194.6,1.7,00:35:26,7.9,5.3,39.1,27.8,2.0,18,33.7,1719.8,1851.8,1.3,49.2,27.8,143.3,https://img1.famulei.com/z/0/p/1612/2915490149059_100X100.png,GIA,9,30,373,267,167,5
9,10,15.8,0.4,51998.0,15.1,7.6,52268.4,1.0,00:31:36,8.9,3.5,34.8,16.7,1.5,18,33.8,1686.1,1677.4,1.2,31.0,5.6,129.1,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,8,18,285,271,136,1
