,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,35.7,1.0,75130.0,9.0,14.4,69190.3,2.2,00:36:37,5.1,8.2,57.4,68.4,5.5,15,33.2,1922.0,2086.9,1.3,63.2,80.0,183.2,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,39,84,1357,342,546,12
1,2,30.9,1.0,72188.2,9.6,12.5,65590.8,2.2,00:35:30,5.2,7.5,63.9,47.7,4.5,16,33.1,1874.0,2062.5,1.4,66.0,68.8,175.6,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,46,97,1359,421,548,11
2,3,31.1,0.8,64247.8,10.2,12.9,59683.9,1.5,00:32:56,4.9,6.8,60.4,62.2,4.3,15,32.1,1865.1,2007.7,1.4,55.4,60.0,171.9,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,29,56,1150,378,476,9
3,4,35.6,0.6,74669.9,12.5,15.5,64398.0,1.2,00:35:27,6.0,6.0,40.8,32.4,4.0,14,32.2,1839.9,2133.4,1.3,40.4,57.1,183.7,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,20,40,1210,425,526,8
4,5,32.7,0.8,64289.0,11.3,13.0,62208.6,1.6,00:34:12,6.2,6.2,57.9,54.8,4.0,16,32.1,1829.7,1890.9,1.4,55.3,50.0,175.1,https://img1.famulei.com/z/5688126/p/191/2115401833676_100X100.png,MSF,33,68,1373,473,548,8
5,6,28.6,0.7,66164.9,14.2,12.0,58799.0,1.3,00:33:16,5.9,6.0,50.9,31.6,2.8,14,31.0,1781.8,2005.0,1.1,50.5,64.3,165.4,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,28,48,1087,540,456,9
6,7,24.3,0.5,62541.8,12.7,11.1,57355.6,1.0,00:33:07,6.4,5.3,40.5,51.7,2.7,13,31.3,1738.0,1895.2,1.2,35.4,38.5,156.5,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,15,29,706,369,321,5
7,8,24.6,0.8,63542.7,14.8,10.9,61252.7,1.2,00:34:14,7.0,6.3,48.1,33.3,2.4,13,31.7,1801.5,1868.9,1.1,40.6,38.5,156.0,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,25,39,812,487,361,5
8,9,22.7,0.5,58848.3,14.2,9.2,60313.0,1.2,00:35:44,8.7,4.8,30.6,65.5,2.2,13,31.7,1723.2,1681.4,1.1,35.8,15.4,144.1,https://img1.famulei.com/z/0/p/176/0114534064540_100X100.png,NIP,15,34,658,412,266,2
9,10,21.0,0.5,59230.9,16.6,9.1,57074.0,1.2,00:34:08,8.2,4.0,33.3,53.6,1.8,13,30.9,1678.6,1742.1,1.2,38.8,15.4,145.5,https://img1.famulei.com/z/0/p/176/0114531685732_100X100.png,MM,13,33,588,465,255,2
