,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,35.0,1.0,80134.2,8.9,15.6,69507.1,2.3,00:36:04,4.2,8.2,64.7,53.3,5.6,19,33.1,1930.8,2225.9,1.5,64.0,89.5,189.2,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,44,105,1576,402,701,17
1,2,25.6,0.9,70647.2,9.7,11.8,66283.8,2.2,00:35:47,4.8,7.5,61.8,64.4,3.8,19,33.6,1893.8,2018.5,1.5,61.0,73.7,165.9,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,42,100,1150,435,532,14
2,3,29.7,0.9,78799.6,11.5,13.4,68033.3,2.0,00:36:52,4.8,8.0,60.3,62.3,3.7,21,32.8,1889.8,2188.9,1.5,53.0,66.7,176.9,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,47,107,1576,609,709,14
3,4,26.6,0.8,68620.2,10.8,11.5,66518.1,2.1,00:36:49,5.9,6.6,47.4,37.5,3.5,20,33.4,1847.7,1906.1,1.6,54.8,55.0,168.3,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,37,102,1277,519,551,11
4,5,23.4,0.6,65488.2,10.8,9.9,61796.6,1.8,00:35:43,7.4,4.8,37.0,36.4,3.0,18,32.7,1765.6,1871.1,1.3,50.0,27.8,152.7,https://img1.famulei.com/z/0/p/171/1618102315400_100X100.png,bbq,27,79,1031,475,437,5
5,6,28.0,0.7,68771.1,13.3,11.9,63400.3,1.8,00:35:33,6.8,5.9,41.0,46.8,2.9,18,32.6,1811.4,1964.9,1.5,48.9,44.4,170.0,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,32,86,1314,626,560,8
6,7,27.9,1.1,72995.2,13.7,12.0,64679.4,2.1,00:36:23,6.7,5.6,60.9,56.0,2.9,21,31.7,1796.7,2027.6,1.4,52.5,52.4,165.0,https://img1.famulei.com/z/0/p/1612/2915480875853_100X100.png,MVP,53,104,1394,685,599,11
7,8,24.8,0.8,75044.7,12.7,11.1,66517.6,1.9,00:37:26,6.4,5.9,50.0,51.1,2.8,18,32.6,1797.8,2028.2,1.3,50.3,44.4,164.2,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,35,84,1118,570,501,8
8,9,25.8,0.6,79361.3,13.4,11.3,70693.8,1.7,00:41:02,7.9,5.0,35.0,52.3,2.7,18,32.2,1724.2,1935.6,1.4,37.6,22.2,164.3,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,28,74,1133,590,497,4
9,10,20.3,0.7,65929.4,12.7,8.6,64164.0,1.1,00:37:44,7.8,4.4,43.4,37.8,2.2,18,33.1,1734.2,1781.9,1.5,29.7,16.7,149.8,https://img1.famulei.com/z/0/p/171/1115433184967_100X100.png,KDM,33,51,915,570,385,3
