,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.9,0.8,73255.7,8.4,14.9,63043.0,2.7,00:33:09,3.6,8.6,71.7,66.7,6.1,20,30.4,1910.4,2219.9,1.3,77.4,95.0,190.6,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,38,130,1770,405,713,19
1,2,35.8,0.9,74483.6,9.8,14.3,66650.3,1.9,00:37:00,5.7,7.4,63.3,57.9,5.1,21,29.4,1801.4,2013.1,1.4,49.1,71.4,180.5,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,50,110,2040,557,815,15
2,3,37.6,0.7,84027.4,12.9,15.1,65435.1,2.1,00:34:38,4.8,8.2,62.7,39.6,4.0,20,30.5,1924.6,2471.4,1.2,60.4,70.0,197.0,https://img1.famulei.com/z/0/p/1612/2915520666951_100X100.png,IMT,37,110,1993,685,801,14
3,4,30.0,0.6,67429.2,12.2,12.2,59232.6,1.8,00:33:51,6.2,6.1,57.4,51.1,3.4,19,29.5,1794.9,2043.3,1.1,52.4,47.4,167.1,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,27,86,1410,573,575,9
4,5,31.9,0.8,75477.6,12.8,12.2,66996.6,2.1,00:37:44,7.1,6.7,49.3,50.0,3.4,18,29.7,1810.7,2039.9,1.2,48.7,50.0,171.4,https://img1.famulei.com/z/0/p/1612/2915531461787_100X100.png,APX ,37,97,1468,591,563,9
5,6,28.4,0.5,75432.0,12.8,12.3,61448.0,1.9,00:35:13,6.8,6.3,42.5,51.7,3.1,21,29.0,1755.7,2155.2,1.4,52.4,38.1,171.5,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,31,110,1649,742,713,8
6,7,29.2,0.7,78910.0,13.7,11.2,66119.7,2.1,00:37:40,7.6,6.3,47.1,39.1,2.9,19,29.9,1787.0,2132.7,1.3,50.3,42.1,165.0,https://img1.famulei.com/z/0/p/1612/2915515950865_100X100.png,ENVY,32,95,1342,628,517,8
7,8,25.6,0.6,74405.9,13.1,10.3,60679.5,1.1,00:36:14,8.1,5.1,43.1,58.1,2.7,18,27.9,1685.5,2066.8,1.2,30.6,27.8,156.2,https://img1.famulei.com/z/0/p/1612/2915523210531_100X100.png,NRG,25,48,1102,562,443,5
8,9,24.7,0.5,61425.5,13.4,9.4,60102.1,1.4,00:35:21,7.9,5.5,40.3,52.2,2.5,18,28.9,1717.2,1755.0,1.4,37.5,27.8,152.3,https://img1.famulei.com/z/0/p/1612/2915533521775_100X100.png,P1,25,66,1135,618,434,5
9,10,17.9,0.3,65533.5,13.4,8.0,59201.1,1.6,00:36:09,8.7,5.0,23.2,31.0,1.9,18,28.4,1644.5,1820.4,1.3,39.5,22.2,139.3,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,13,66,752,562,335,4
