,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,30.4,0.7,61802.6,8.9,11.7,61382.8,2.5,00:33:06,4.5,7.3,58.6,56.0,4.7,20,35.5,1860.1,1872.8,1.5,66.3,70.0,168.0,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,17,63,759,223,292,14
1,2,29.7,0.8,68824.0,10.6,12.1,65162.0,1.8,00:36:25,5.9,6.9,56.5,56.2,3.9,23,33.7,1810.1,1911.8,1.6,44.4,56.5,167.6,https://img1.famulei.com/z/5688126/p/191/2115451735726_100X100.png,100,26,56,949,338,388,13
2,3,25.0,0.9,66588.3,9.6,10.7,62939.9,2.1,00:34:57,6.1,6.9,66.7,54.3,3.7,23,36.0,1851.2,1958.5,1.2,54.1,56.5,158.9,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,32,73,876,335,375,13
3,4,28.7,0.7,71336.3,11.5,11.5,64276.0,1.7,00:35:14,5.6,7.4,54.3,46.2,3.4,20,35.5,1836.5,2038.2,1.4,45.7,60.0,164.3,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,19,43,747,299,298,12
4,5,25.2,0.8,61304.6,10.3,10.9,64157.3,2.2,00:36:46,7.6,5.6,42.4,72.2,3.4,18,34.6,1782.1,1702.9,1.4,52.0,38.9,157.0,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,14,39,454,186,196,7
5,6,23.8,0.4,63327.6,11.2,10.9,61322.0,1.7,00:35:21,8.2,4.8,25.0,50.0,3.0,18,34.7,1752.1,1809.4,1.3,44.8,27.8,153.0,https://img1.famulei.com/z/5688126/p/193/0617160741383_100X100.png,GGS,7,30,429,202,196,5
6,7,24.9,0.6,56990.7,12.2,11.0,57653.7,1.7,00:33:06,7.0,5.8,50.0,43.5,2.9,21,33.1,1747.1,1727.0,1.3,50.0,47.6,151.6,https://img1.famulei.com/z/5688126/p/191/2115453610358_100X100.png,FLY,14,38,573,281,254,10
7,8,19.9,0.8,72242.7,9.8,8.4,68309.5,1.8,00:39:12,7.1,6.5,51.7,38.9,2.8,18,34.6,1751.5,1852.4,1.6,43.8,50.0,144.4,https://img1.famulei.com/z/5688126/p/191/2115454898749_100X100.png,OPT,15,32,358,176,151,9
8,9,26.8,0.6,66796.7,13.6,11.6,60014.9,2.1,00:33:38,6.5,6.5,45.5,45.8,2.8,21,34.6,1818.6,2024.1,1.2,56.7,52.4,157.5,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,15,51,642,326,278,11
9,10,22.9,0.6,73240.7,13.8,10.1,68378.4,1.6,00:39:47,7.9,5.2,34.5,29.4,2.3,18,34.2,1753.3,1878.0,1.6,37.0,33.3,153.8,https://img1.famulei.com/z/5688126/p/191/2115452728861_100X100.png,CG,10,27,390,235,172,6
