,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,28.7,0.8,64527.2,7.1,11.4,66253.5,1.8,00:36:25,5.2,6.5,60.6,49.0,5.6,20,36.3,1840.4,1792.4,1.7,46.1,70.0,168.1,https://img1.famulei.com/z/5688126/p/191/2116101396555_100X100.png,GRF,43,94,1465,361,579,14
1,2,25.0,0.8,61398.9,8.2,10.3,65772.8,2.0,00:36:31,5.1,6.6,54.9,54.4,4.3,21,36.0,1827.0,1705.5,1.8,50.2,57.1,164.5,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,45,112,1426,465,587,12
2,3,24.4,0.9,69318.9,9.2,10.4,65918.3,2.0,00:36:28,4.9,7.3,63.6,62.5,3.7,19,35.9,1831.1,1925.5,1.7,56.1,73.7,159.6,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,42,97,1171,443,499,14
3,4,21.7,0.6,59041.1,8.3,8.5,61953.6,2.3,00:34:50,4.9,6.5,51.8,37.0,3.6,19,36.2,1822.2,1736.5,1.7,61.0,68.4,146.3,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,29,105,996,384,391,13
4,5,22.2,0.7,57287.5,9.2,10.1,61408.4,2.3,00:33:57,4.5,6.6,58.5,57.4,3.5,19,37.0,1860.9,1736.0,1.7,64.5,68.4,153.5,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,31,107,1045,433,474,13
5,6,23.2,0.8,56959.0,9.3,9.3,60388.0,1.8,00:33:55,5.2,6.8,61.4,56.5,3.4,18,35.5,1829.9,1726.0,1.6,52.1,55.6,152.2,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,35,85,1065,428,429,10
6,7,21.9,0.7,62135.8,10.4,9.0,61970.8,2.1,00:34:53,6.1,5.7,48.3,52.3,2.9,18,36.2,1822.7,1827.5,1.6,55.0,44.4,152.2,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,29,93,962,456,394,8
7,8,16.2,0.4,57996.8,9.1,6.9,61651.3,1.7,00:36:24,7.3,4.6,35.2,51.1,2.5,18,35.6,1712.5,1611.0,1.8,43.4,22.2,137.0,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,19,75,729,410,311,4
8,9,18.7,0.3,54856.0,10.7,7.1,55930.2,1.3,00:33:38,7.8,3.4,28.6,43.9,2.4,18,34.4,1694.9,1662.3,1.5,35.8,22.2,133.8,https://img1.famulei.com/z/0/p/1612/2915480875853_100X100.png,MVP,14,53,767,440,292,4
9,10,16.9,0.4,50066.2,10.2,6.9,56658.9,1.2,00:34:26,8.2,3.7,28.3,32.6,2.3,18,34.3,1666.4,1472.5,1.3,33.5,11.1,132.6,https://img1.famulei.com/z/0/p/171/1618102315400_100X100.png,bbq,17,52,728,437,295,2
