,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,34.6,0.9,79008.4,11.0,15.0,69694.0,2.0,00:37:38,5.2,7.8,58.9,56.5,4.5,20,32.3,1883.6,2135.4,1.3,50.0,75.0,179.5,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,43,93,1592,505,692,15
1,2,35.9,0.9,67303.9,11.4,15.4,66768.0,2.3,00:35:51,4.8,8.0,61.2,42.6,4.4,20,32.4,1907.7,1923.0,1.2,61.5,85.0,179.1,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,41,110,1685,538,723,17
2,3,31.9,0.9,78005.1,12.6,13.5,65629.2,2.2,00:36:41,5.5,7.0,58.6,46.8,3.6,21,30.8,1823.0,2166.8,1.2,58.2,61.9,177.1,https://img1.famulei.com/z/0/p/1612/2915533521775_100X100.png,P1,41,103,1499,590,635,13
3,4,30.3,0.8,71817.2,12.2,12.7,68028.1,2.1,00:38:46,6.9,6.1,50.0,42.6,3.5,19,31.4,1790.2,1889.9,1.3,51.3,47.4,163.9,https://img1.famulei.com/z/0/p/1612/2915513967563_100X100.png,DIG,39,98,1423,572,599,9
4,5,29.6,0.7,70885.2,14.0,13.6,62176.3,1.7,00:34:54,6.2,6.4,51.7,51.1,3.0,21,31.0,1828.7,2084.9,1.2,47.5,47.6,164.2,https://img1.famulei.com/z/5688126/p/191/2115453610358_100X100.png,FLY,31,75,1334,629,610,10
5,6,32.6,0.9,76975.9,16.8,14.5,66065.5,2.2,00:37:26,6.6,6.2,58.0,55.6,2.8,19,29.7,1785.6,2080.4,1.2,55.3,52.6,175.3,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,40,99,1468,754,654,10
6,7,28.6,0.8,76912.8,14.6,13.8,69076.7,2.0,00:37:57,6.8,6.4,44.9,51.1,2.8,18,32.0,1866.9,2078.7,1.3,50.0,44.4,168.8,https://img1.famulei.com/z/0/p/1612/2915520666951_100X100.png,IMT,35,90,1285,657,619,8
7,8,25.9,0.7,77570.1,13.8,12.5,69284.3,1.7,00:38:38,7.4,5.4,39.7,53.3,2.7,18,32.9,1823.3,2041.3,1.4,44.6,16.7,162.9,https://img1.famulei.com/z/0/p/1612/2915515950865_100X100.png,ENVY,31,78,1165,621,561,3
8,9,30.1,0.6,75602.0,15.7,13.5,65391.4,1.8,00:37:18,7.1,6.0,38.0,55.8,2.7,18,30.6,1767.3,2043.3,1.2,45.8,33.3,170.6,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,27,77,1294,675,579,6
9,10,28.0,0.6,70772.0,15.5,12.2,63131.2,1.3,00:36:34,7.6,4.8,41.2,45.5,2.5,18,31.0,1753.6,1965.9,1.2,34.1,27.8,162.5,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,28,57,1231,682,539,5
