,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,35.9,1.0,74214.3,10.7,14.8,62829.0,1.7,00:31:58,3.6,8.0,67.6,39.2,4.7,21,36.5,2026.7,2394.0,1.6,57.4,85.7,195.6,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,50,85,1830,546,756,18
1,2,29.5,0.8,66170.3,9.1,12.2,64223.2,2.1,00:34:06,4.8,6.8,53.4,50.8,4.5,23,36.4,1888.9,1946.2,1.8,62.9,69.6,178.3,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,47,127,1802,555,742,16
2,3,27.9,0.9,60608.2,8.9,10.7,61000.8,1.8,00:32:52,5.2,6.4,56.2,58.9,4.3,21,36.5,1906.3,1894.0,1.8,57.1,71.4,171.0,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,50,101,1560,497,597,15
3,4,31.1,0.9,64393.3,10.7,12.1,61339.7,1.9,00:32:19,4.9,6.5,60.8,41.8,4.0,22,36.2,1916.9,2012.3,1.8,61.0,68.2,183.2,https://img1.famulei.com/z/6300992/p/195/3010264117383_100X100.png,RW,48,105,1708,591,668,15
4,5,29.4,1.0,72385.5,10.1,11.0,64381.5,1.7,00:34:46,5.6,6.3,59.3,58.0,4.0,21,35.7,1893.6,2129.0,1.9,49.7,57.1,180.4,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,48,83,1468,503,552,12
5,6,29.2,0.8,67899.3,10.4,12.1,66167.5,1.6,00:35:39,5.9,6.4,46.9,60.4,3.9,19,36.4,1890.5,1940.0,1.8,45.8,47.4,176.4,https://img1.famulei.com/z/6306534/p/195/2310230153901_100X100.png,SN,38,76,1402,499,580,9
6,7,28.3,0.7,64160.3,10.1,11.0,62339.3,1.7,00:34:10,5.6,6.4,46.2,54.0,3.8,20,34.8,1833.5,1887.1,1.7,52.1,50.0,169.7,https://img1.famulei.com/z/6300992/p/195/2315324930510_100X100.png,JDG,36,86,1413,505,550,10
7,8,29.7,0.9,66980.8,10.8,11.0,65772.0,1.8,00:36:02,6.2,5.8,53.3,60.8,3.7,20,35.2,1827.0,1860.6,1.8,49.5,45.0,175.5,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,48,92,1514,549,562,9
8,9,27.4,0.9,70132.0,11.0,10.6,67838.2,1.9,00:36:12,6.1,6.2,55.1,53.1,3.4,20,37.2,1884.4,1948.1,1.9,53.5,60.0,179.1,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,43,91,1342,539,517,12
9,10,29.4,0.8,65774.7,13.2,12.0,63304.7,2.0,00:34:43,6.2,6.2,47.2,51.1,3.1,19,35.1,1861.9,1934.5,1.7,59.5,47.4,177.0,https://img1.famulei.com/z/5688126/p/191/2116131268514_100X100.png,FPX,34,91,1325,596,542,9
10,11,25.9,0.7,67032.3,12.8,11.0,63067.5,1.4,00:34:33,7.5,4.9,41.0,49.0,2.8,19,36.1,1854.9,1971.5,2.0,42.2,31.6,172.0,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,32,68,1269,629,537,6
11,12,25.9,0.6,61364.0,14.1,10.9,60478.9,1.3,00:34:06,7.0,4.8,36.9,28.6,2.6,19,34.7,1778.8,1804.8,1.7,37.9,26.3,164.0,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,24,55,1087,591,459,5
12,13,22.2,0.5,64039.3,13.5,8.9,62164.8,1.2,00:35:42,8.3,4.4,32.0,45.5,2.2,19,35.4,1776.1,1829.7,1.7,34.8,15.8,158.8,https://img1.famulei.com/z/2373870/p/196/1417364198363_100X100.png,TES,24,55,977,596,390,3
13,14,18.1,0.5,59889.7,13.6,7.4,57451.0,0.9,00:33:30,8.3,3.8,37.1,44.2,1.8,19,35.3,1740.9,1814.8,1.8,27.9,10.5,148.9,https://img1.famulei.com/z/6300992/p/195/3010222259203_100X100.png,VG,23,38,779,583,319,2
