,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,34.1,0.8,66023.7,10.7,14.0,64983.4,2.0,00:35:22,5.3,7.6,52.9,49.2,4.5,22,34.4,1856.7,1886.4,1.6,54.8,77.3,172.5,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,45,120,2011,629,825,17
1,2,33.1,0.6,60607.2,10.5,13.8,63644.5,1.9,00:34:41,5.4,6.4,51.7,56.9,4.4,20,35.7,1871.9,1782.6,1.5,53.2,50.0,171.5,https://img1.famulei.com/z/6306534/p/195/2310230153901_100X100.png,SN,31,99,1686,536,705,10
2,3,33.6,0.7,62347.5,11.0,13.9,59819.3,2.0,00:33:03,6.0,6.0,50.0,56.0,4.3,20,33.3,1812.7,1889.3,1.5,58.7,55.0,171.2,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,34,98,1682,552,695,11
3,4,30.2,0.7,59830.6,10.7,12.5,59443.0,1.7,00:32:42,5.1,6.8,55.8,64.6,3.9,23,34.5,1857.6,1869.7,1.4,50.7,69.6,163.2,https://img1.famulei.com/z/6300992/p/195/2315324930510_100X100.png,JDG,43,108,1966,697,810,16
4,5,33.0,0.7,64389.6,12.6,15.2,58336.0,1.7,00:30:21,3.9,7.6,68.3,45.8,3.8,21,35.4,1944.5,2146.3,1.3,57.6,90.5,177.4,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,43,99,1949,742,899,19
5,6,30.3,0.8,61700.1,12.8,13.1,59612.5,2.1,00:31:45,5.0,6.7,64.1,49.1,3.3,21,36.2,1923.0,1990.3,1.5,60.2,66.7,172.0,https://img1.famulei.com/z/6300992/p/195/3010264117383_100X100.png,RW,41,109,1607,681,695,14
6,7,25.7,0.6,57248.8,11.2,10.4,59195.8,1.5,00:33:53,6.8,5.1,48.3,53.2,3.2,19,35.4,1793.8,1734.8,1.4,40.7,36.8,155.9,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,29,70,1208,527,488,7
7,8,28.0,0.6,60326.0,12.7,11.6,60294.0,1.5,00:34:10,6.5,5.3,45.6,55.1,3.1,20,33.9,1773.4,1774.3,1.4,41.1,40.0,158.2,https://img1.famulei.com/z/5688126/p/191/2116131268514_100X100.png,FPX,31,72,1370,623,566,8
8,9,29.0,0.6,61881.3,13.0,12.1,60968.5,1.9,00:34:00,5.7,6.3,45.8,52.7,3.1,21,34.2,1793.2,1820.0,1.5,53.5,52.4,164.9,https://img1.famulei.com/z/2373870/p/196/1417364198363_100X100.png,TES,33,106,1597,713,668,11
9,10,26.2,0.7,65422.7,11.8,10.6,62079.5,1.9,00:35:24,6.8,5.5,45.8,39.6,3.1,19,34.2,1773.7,1869.2,1.5,48.9,31.6,158.3,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,33,89,1259,564,510,6
10,11,30.1,0.6,61737.7,14.1,13.2,56083.6,1.6,00:31:42,6.2,5.5,50.0,50.0,3.0,19,33.2,1809.1,1991.5,1.4,50.0,47.4,166.7,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,26,72,1324,619,581,9
11,12,25.7,0.4,57621.4,12.9,10.8,58865.1,1.6,00:34:04,7.2,4.7,33.9,54.3,2.8,19,33.5,1731.3,1694.7,1.5,44.5,26.3,151.5,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,19,73,1181,595,497,5
12,13,25.2,0.6,61456.6,14.0,10.1,57748.2,1.4,00:33:06,7.1,4.9,51.8,37.5,2.5,19,33.6,1749.9,1862.3,1.5,40.6,31.6,153.4,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,29,69,1208,673,483,6
13,14,25.2,0.4,62547.4,16.8,10.6,57508.0,1.5,00:33:57,8.2,4.2,30.9,30.4,2.1,19,33.5,1742.7,1895.4,1.3,42.5,10.5,150.4,https://img1.famulei.com/z/6300992/p/195/3010222259203_100X100.png,VG,17,71,1158,772,489,2
