,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,35.7,0.9,67343.1,9.8,13.9,62585.7,2.0,00:33:33,4.9,7.6,58.5,54.5,5.0,18,31.6,1896.5,2040.7,1.4,59.6,72.2,185.2,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,38,87,1570,433,611,13
1,2,34.4,1.0,75987.7,10.2,13.4,67990.0,2.4,00:37:05,5.0,7.3,60.0,70.8,4.7,18,31.9,1837.6,2053.7,1.5,60.2,72.2,182.0,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,48,115,1651,488,644,13
2,3,33.5,0.8,66985.4,11.0,12.9,62120.7,1.6,00:34:03,5.5,6.8,52.4,54.7,4.2,19,31.4,1827.1,1970.2,1.5,51.8,63.2,178.7,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,43,86,1776,581,683,12
3,4,32.1,0.8,72682.8,12.0,13.2,62145.4,1.6,00:33:43,5.3,6.7,56.8,45.5,3.7,20,32.8,1883.2,2202.5,1.4,51.4,65.0,178.5,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,46,90,1764,660,727,13
4,5,28.5,0.7,65658.0,11.2,11.7,62328.5,1.8,00:34:22,5.9,6.4,48.4,39.5,3.5,17,31.6,1833.2,1931.1,1.3,54.2,58.8,166.1,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,31,78,1226,483,503,10
5,6,34.7,0.6,71256.3,13.5,13.4,63500.4,1.5,00:35:20,6.4,6.0,42.6,55.6,3.5,18,31.2,1814.3,2035.9,1.3,44.4,55.6,177.1,https://img1.famulei.com/z/0/p/171/0411202664506_100X100.png,NB,29,68,1560,608,603,10
6,7,27.6,0.7,69884.1,11.1,11.0,66090.9,1.7,00:36:55,6.7,5.9,43.1,48.8,3.4,17,33.5,1835.9,1941.2,1.5,45.1,41.2,168.3,https://img1.famulei.com/z/6306534/p/195/2310230153901_100X100.png,SN,28,74,1187,476,472,7
7,8,30.8,0.8,71116.4,12.2,11.5,64465.8,1.5,00:36:04,7.3,5.9,48.6,47.6,3.4,17,31.8,1790.7,1975.5,1.6,43.1,29.4,176.8,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,34,62,1295,513,484,5
8,9,30.3,0.7,62553.2,13.7,11.2,59087.1,1.6,00:33:30,6.6,5.3,44.8,57.9,3.0,16,31.9,1790.5,1895.6,1.3,49.2,37.5,165.7,https://img1.famulei.com/z/6300992/p/195/2315324930510_100X100.png,JDG,26,62,1152,521,426,6
9,10,28.7,0.7,70948.5,14.0,11.9,63547.8,1.9,00:35:51,6.7,5.8,44.4,46.2,2.9,16,31.4,1815.7,2027.1,1.5,53.6,37.5,168.4,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,28,74,1118,545,465,6
10,11,26.3,0.9,68900.9,14.2,10.0,61887.5,1.6,00:35:32,7.4,5.2,53.1,42.1,2.5,16,31.4,1768.2,1968.6,1.4,44.9,25.0,160.9,https://img1.famulei.com/z/2373870/p/196/1417364198363_100X100.png,TES,34,62,998,539,379,4
11,12,24.4,0.6,71258.2,13.7,9.4,62633.4,1.4,00:35:56,7.6,4.6,41.4,31.6,2.4,16,33.2,1789.5,2035.9,1.5,38.7,31.2,160.2,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,24,53,929,519,359,5
