,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.2,0.9,70198.6,10.3,14.8,63274.5,2.1,00:33:07,5.1,8.8,71.9,46.2,4.9,20,30.1,1917.4,2127.2,1.3,63.2,85.0,185.8,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,23,55,941,267,384,17
1,2,30.8,0.8,72445.9,8.7,11.8,67394.9,1.9,00:37:09,5.3,8.0,53.8,64.3,4.8,20,30.8,1821.5,1958.0,1.6,51.5,70.0,173.0,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,21,52,863,244,331,14
2,3,31.0,0.9,72004.3,8.8,11.3,67030.8,2.0,00:36:54,5.2,7.5,61.3,50.0,4.8,19,31.4,1862.0,2000.1,1.5,53.6,68.4,168.6,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,19,45,683,194,249,13
3,4,35.1,1.0,78172.0,11.7,14.3,68209.0,1.5,00:37:37,6.6,7.4,57.1,71.4,4.2,19,30.2,1843.5,2112.8,1.5,39.7,52.6,185.3,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,20,31,738,245,301,10
4,5,27.3,0.5,61882.5,10.2,10.5,61830.0,1.9,00:34:38,6.6,6.4,39.5,38.7,3.7,21,32.1,1818.5,1820.1,1.5,51.8,52.4,159.7,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,15,58,845,315,324,11
5,6,27.0,0.8,75448.8,11.9,12.0,66697.7,2.2,00:36:51,6.5,6.9,55.6,46.7,3.2,21,31.7,1852.7,2095.8,1.5,57.5,47.6,170.2,https://img1.famulei.com/z/5688126/p/191/2115402255657_100X100.png,OG,25,65,809,358,360,10
6,7,19.3,0.2,52851.1,11.0,7.4,56952.6,1.1,00:34:06,8.6,4.9,15.0,33.3,2.4,18,30.1,1675.1,1554.4,1.3,31.1,33.3,132.2,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,3,19,348,198,133,6
7,8,21.9,0.6,59519.9,13.1,9.0,61151.4,1.7,00:35:32,8.3,5.6,40.0,66.7,2.3,18,30.7,1747.2,1700.6,1.4,49.2,33.3,149.3,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,10,31,395,236,162,6
8,9,20.4,0.6,65737.8,12.3,8.9,61607.1,2.2,00:36:23,7.7,5.4,52.4,50.0,2.3,18,29.7,1711.3,1826.1,1.5,60.0,33.3,145.7,https://img1.famulei.com/z/0/p/1612/2915530240758_100X100.png,EL,11,39,367,221,160,6
9,10,17.1,0.3,53212.7,13.8,6.5,51565.4,0.7,00:31:59,8.7,3.9,30.0,33.3,1.7,18,29.3,1663.4,1716.5,1.3,24.0,16.7,130.8,https://img1.famulei.com/z/0/p/1612/2915490149059_100X100.png,GIA,6,12,308,249,117,3
