,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,37.1,0.6,65233.4,11.5,17.5,60543.8,1.8,00:31:21,3.8,8.2,46.9,58.3,4.7,20,33.8,1953.0,2104.3,1.5,53.0,75.0,193.8,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,15,44,890,275,419,15
1,2,29.1,0.9,56613.8,10.7,13.0,59613.8,2.4,00:32:01,5.4,7.1,61.4,51.7,3.9,21,33.2,1862.9,1769.2,1.5,62.5,61.9,163.0,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,27,70,844,310,378,13
2,3,33.5,0.9,69211.8,12.3,14.4,68131.8,1.9,00:36:41,6.5,6.5,52.3,76.9,3.8,20,34.2,1892.6,1922.6,1.6,44.2,60.0,176.3,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,23,50,872,321,375,12
3,4,24.2,0.7,54286.6,11.0,11.0,57074.8,2.3,00:31:49,5.7,6.2,51.4,50.0,3.1,21,33.7,1841.1,1751.2,1.3,61.9,61.9,148.8,https://img1.famulei.com/z/5688126/p/191/2115402255657_100X100.png,OG,19,65,677,308,308,13
4,5,22.2,0.8,54279.0,10.3,10.0,57298.5,1.8,00:31:31,5.8,5.5,59.3,42.1,3.1,19,34.9,1848.3,1750.9,1.4,45.3,47.4,149.7,https://img1.famulei.com/z/5688126/p/191/2115403019890_100X100.png,S04,16,34,421,196,190,9
5,6,23.4,0.6,52539.3,11.6,10.1,57412.1,1.7,00:33:32,7.7,4.8,39.3,44.4,2.9,18,32.1,1739.8,1592.1,1.3,42.5,27.8,145.9,https://img1.famulei.com/z/5688126/p/191/2115400564830_100X100.png,XL,11,31,422,208,182,5
6,7,23.2,0.9,56497.6,12.4,10.7,59480.2,2.5,00:33:17,6.4,6.3,53.1,50.0,2.7,18,32.9,1802.4,1712.0,1.3,63.4,44.4,151.5,https://img1.famulei.com/z/5688126/p/191/2115401833676_100X100.png,MSF,17,45,418,224,192,8
7,8,22.2,0.6,54971.9,12.5,10.9,56835.0,1.1,00:31:17,6.1,6.1,46.2,42.9,2.6,19,33.5,1833.4,1773.3,1.3,34.3,52.6,149.3,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,12,24,466,262,228,10
8,9,26.6,0.7,61429.7,14.0,11.2,59966.7,2.0,00:33:41,5.9,5.7,53.1,39.1,2.6,20,33.2,1817.2,1861.5,1.3,49.5,50.0,155.5,https://img1.famulei.com/z/5688126/p/191/2115403512246_100X100.png,SK,17,45,611,322,257,10
9,10,18.1,0.2,46956.2,14.0,8.1,52053.1,1.3,00:31:31,9.2,3.1,20.0,27.8,1.8,18,32.3,1679.1,1514.7,1.2,33.8,11.1,131.3,https://img1.famulei.com/z/5688126/p/191/2115402790238_100X100.png,RGE,4,24,325,252,145,2
