,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,32.3,0.9,71109.4,8.7,13.3,65644.0,1.9,00:35:17,4.6,7.7,57.0,59.6,5.2,19,32.9,1875.5,2031.7,1.6,58.8,73.7,182.0,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,49,100,1681,454,692,14
1,2,32.5,1.0,73748.5,9.2,13.6,66337.7,2.0,00:35:22,4.0,7.9,62.2,58.3,5.0,19,33.2,1895.4,2107.1,1.4,59.4,78.9,181.3,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,46,95,1562,440,654,15
2,3,22.5,0.8,69057.0,9.1,9.5,65623.0,1.9,00:35:48,5.5,7.3,46.8,55.3,3.5,19,34.8,1874.9,1973.1,1.6,55.8,68.4,159.5,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,36,91,1058,426,448,13
3,4,25.0,0.9,66159.4,10.0,10.7,64735.3,2.0,00:35:04,5.7,6.6,56.3,45.5,3.5,22,33.8,1849.6,1890.3,1.5,59.5,72.7,161.0,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,49,110,1374,551,591,16
4,5,25.8,0.8,71603.3,10.8,10.8,67222.6,2.1,00:37:00,6.1,6.6,48.1,58.0,3.3,19,32.9,1816.8,1935.2,1.6,57.4,52.6,169.6,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,39,105,1292,539,540,10
5,6,23.8,1.1,72682.2,10.8,9.7,67980.5,1.6,00:37:42,6.0,6.7,57.7,59.5,3.0,18,33.5,1837.3,1964.4,1.5,44.5,44.4,160.9,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,45,69,1000,455,407,8
6,7,25.2,0.9,66698.4,12.2,9.5,64614.8,1.0,00:37:02,7.8,5.6,46.3,43.2,2.8,18,32.0,1746.3,1802.7,1.4,26.7,33.3,158.3,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,38,44,1109,539,420,6
7,8,23.4,0.8,70533.3,12.5,9.2,65848.4,2.1,00:38:00,8.2,4.8,44.3,33.3,2.6,18,32.0,1732.9,1856.1,1.6,55.9,33.3,154.5,https://img1.famulei.com/z/0/p/1612/2915480875853_100X100.png,MVP,35,90,982,524,388,6
8,9,18.5,0.5,61485.8,10.4,8.2,60782.3,1.5,00:35:38,7.8,4.6,29.6,40.0,2.5,18,33.0,1736.6,1756.7,1.3,42.9,16.7,143.6,https://img1.famulei.com/z/0/p/171/1618102315400_100X100.png,bbq,21,66,833,469,368,3
9,10,20.2,0.7,58384.0,11.8,8.9,60789.5,1.1,00:35:27,8.1,4.3,49.2,43.9,2.4,18,32.9,1736.8,1668.1,1.4,33.8,16.7,144.7,https://img1.famulei.com/z/5688126/p/1811/1421261397400_100X100.png,WNS,29,46,829,483,363,3
