,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,32.0,0.8,70128.5,8.0,13.1,65317.4,3.2,00:35:18,4.1,8.3,66.7,42.3,5.6,20,34.5,1866.2,2003.7,1.4,70.9,80.0,173.0,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,22,83,833,207,341,16
1,2,29.8,0.9,69825.8,9.7,12.9,61136.2,2.4,00:33:35,4.5,7.5,60.6,52.2,4.3,19,32.9,1852.6,2115.9,1.3,55.6,73.7,173.3,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,20,55,685,224,297,14
2,3,29.1,1.1,71224.8,9.7,12.4,66269.6,2.5,00:36:43,5.2,8.1,60.7,59.4,4.2,21,33.7,1840.8,1978.5,1.4,52.9,71.4,167.3,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,34,81,930,311,397,15
3,4,24.5,0.7,56846.6,10.6,10.1,62199.0,2.0,00:35:04,6.3,5.9,47.4,44.4,3.2,21,33.9,1777.1,1624.2,1.4,45.5,52.4,148.8,https://img1.famulei.com/z/5688126/p/191/2115453610358_100X100.png,FLY,18,55,662,286,274,11
4,5,24.2,0.8,65234.7,11.4,10.5,62370.4,2.9,00:35:14,7.0,5.8,48.6,58.3,3.0,20,33.6,1782.0,1863.8,1.5,58.5,45.0,157.1,https://img1.famulei.com/z/5688126/p/193/0617160741383_100X100.png,GGS,18,69,582,273,252,9
5,6,23.6,0.6,61023.5,11.9,9.7,61033.4,2.5,00:35:01,7.3,4.8,43.8,27.3,2.8,19,33.1,1743.8,1743.5,1.4,51.9,42.1,145.7,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,14,56,519,261,214,8
6,7,24.1,0.4,64758.1,12.9,10.1,62660.6,1.6,00:36:10,7.9,5.1,25.0,66.7,2.6,18,33.3,1740.6,1798.8,1.4,34.1,27.8,153.8,https://img1.famulei.com/z/5688126/p/191/2115452728861_100X100.png,CG,7,29,433,232,182,5
7,8,18.0,0.7,57656.2,10.2,7.5,61894.8,1.7,00:36:15,7.4,5.2,42.9,55.6,2.5,18,33.2,1719.3,1601.6,1.4,34.4,38.9,133.3,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,12,31,324,183,135,7
8,9,18.6,0.8,60529.9,12.1,9.0,61584.4,2.2,00:35:37,7.0,5.8,53.6,61.1,2.2,18,33.0,1759.6,1729.4,1.5,43.8,38.9,143.5,https://img1.famulei.com/z/5688126/p/191/2115454898749_100X100.png,OPT,15,39,335,218,162,7
9,10,16.9,0.6,55216.1,11.1,7.6,61344.6,2.0,00:35:53,8.1,4.4,37.9,33.3,2.2,18,33.9,1752.7,1577.6,1.5,40.9,22.2,134.9,https://img1.famulei.com/z/5688126/p/191/2115451735726_100X100.png,100,11,36,305,200,137,4
