,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,11,24,18,44,48,47,82,83,17,89,84,11,85,24,53,47,79,64,81,66,7492,0,6863,0,[]
57,11,23,14,42,47,49,82,82,25,83,76,19,81,35,54,48,72,65,77,62,7729,0,6916,0,[]
58,11,23,20,50,44,51,84,83,34,77,69,27,80,47,52,48,80,66,86,66,7832,0,6995,0,[]
59,10,23,25,57,45,54,84,88,47,70,59,36,82,55,52,47,88,69,84,66,7908,0,7114,0,[]
60,9,24,24,57,46,51,84,88,56,67,53,41,82,56,51,50,91,71,95,4,8094,0,7207,0,[]
61,10,21,30,55,46,50,8,96,60,63,44,38,81,55,51,49,91,71,92,12,8184,0,7348,0,[]
62,11,20,33,44,47,50,19,95,57,68,39,29,77,47,54,47,91,71,92,23,8332,0,7428,0,[]
63,10,20,40,36,45,49,30,93,52,65,31,22,73,43,54,47,95,10,91,34,8404,0,7551,0,[]
64,11,20,50,34,49,46,41,92,46,57,21,20,72,41,57,44,94,21,89,47,8465,0,7658,0,[]
65,13,20,49,34,50,47,52,91,50,61,20,14,69,40,59,49,93,32,88,57,8652,0,7776,0,[]
66,15,17,41,39,47,49,63,89,57,69,25,14,58,34,57,49,91,43,87,68,8742,0,7831,0,[]
67,17,15,32,45,45,52,74,87,65,77,24,13,54,31,52,47,90,54,85,78,8880,0,7903,0,[]
68,19,14,31,57,48,53,84,85,75,78,18,11,63,39,51,46,89,65,88,80,9038,0,8016,0,[]
69,18,12,40,65,48,53,82,84,81,83,27,10,67,49,53,46,87,75,88,81,9281,0,8179,0,[]
70,22,12,46,64,52,56,84,85,81,85,32,7,63,61,55,47,86,80,86,85,9550,0,8251,0,[]
71,20,15,49,65,57,55,84,85,82,84,29,9,58,58,55,54,85,79,90,82,9633,0,8327,0,[]
72,24,10,58,61,60,63,79,79,76,76,30,8,60,61,57,57,87,78,86,78,9843,0,9178,0,[]
73,23,11,61,62,62,63,72,70,69,67,28,9,59,62,58,58,84,78,85,78,10369,0,9330,0,"['6:2 LNGPlex(万花通灵) 击杀了 DMOTwila(符文法师),获得一血', '6:5 DMOXiaopeng(狂战士) 击杀了 LNGSofM(巨魔之王)']"
74,23,11,67,60,62,63,76,77,74,70,28,9,59,62,56,48,86,81,84,81,10446,0,9535,0,[]
75,23,10,64,62,62,63,82,82,81,78,25,7,59,62,54,45,88,81,87,78,10564,0,9669,0,[]
76,22,11,53,65,5,94,82,87,81,83,29,9,94,6,50,49,88,83,83,80,10706,0,9721,0,[]
77,24,12,46,64,15,88,79,84,80,85,29,9,87,18,46,53,85,81,83,80,10822,0,9805,0,[]
78,24,11,51,59,23,78,83,80,87,84,27,10,75,24,46,54,87,75,87,74,10903,0,9914,0,[]
79,23,11,42,54,31,69,83,83,83,84,27,9,63,24,49,50,89,82,88,83,11026,0,10039,0,[]
80,17,14,39,57,39,60,81,83,83,82,25,12,49,18,55,46,89,82,86,84,11175,0,10148,0,[]
81,19,11,32,60,41,57,83,84,85,85,20,11,41,16,55,46,88,81,87,84,11436,0,10226,0,[]
82,24,10,31,49,46,48,83,85,82,86,31,9,40,15,94,4,89,79,89,82,11519,0,10393,0,[]
83,28,10,34,38,51,46,81,83,80,85,34,10,31,16,85,10,86,82,87,84,11584,0,10444,0,[]
84,28,17,26,30,51,43,80,83,78,86,27,14,27,16,76,18,88,79,88,84,11719,0,10849,0,[]
85,28,20,27,32,50,43,83,80,85,87,27,14,29,18,69,28,89,77,89,82,11859,0,11269,0,['7:1 LNGFlandre(血港鬼影) 击杀了 DMOChanghong(狂暴之心)']
86,28,20,30,38,48,42,82,81,84,81,17,15,24,22,62,37,89,80,89,82,12069,0,11341,0,[]
87,28,20,34,41,45,44,82,81,87,85,17,14,17,17,58,42,87,77,89,81,12292,0,11598,0,[]
88,4,88,43,43,46,43,88,79,89,80,14,15,17,16,56,44,90,74,91,76,12372,0,11725,0,[]
89,5,77,45,43,46,43,91,74,88,73,16,16,27,17,59,51,91,69,93,71,12423,0,11786,0,[]
90,6,66,45,43,47,45,90,76,82,78,16,16,35,22,51,49,88,69,92,71,12488,0,12024,0,[]
91,6,51,45,43,47,48,85,80,74,70,94,6,42,32,54,49,88,69,89,70,12587,0,12118,0,[]
92,7,40,2,96,51,51,88,84,75,66,92,9,47,40,53,47,80,65,81,66,12642,0,12194,0,[]
93,7,27,8,87,44,57,82,80,77,70,52,60,47,53,49,53,73,68,73,66,12728,0,12245,0,[]
94,7,27,16,79,44,56,78,78,79,80,46,55,46,56,48,55,76,74,77,73,12821,0,12851,0,['7:49 LNGPlex(万花通灵) 击杀了 DMOTwila(符文法师)']
95,9,24,26,74,44,56,82,86,73,89,52,56,57,60,49,54,82,78,79,77,12955,0,12950,0,[]
96,16,15,38,76,44,56,79,85,71,90,62,62,65,68,51,51,84,80,81,81,13027,0,13115,0,[]
97,20,13,48,78,44,56,77,88,2,96,64,58,66,68,53,48,79,76,82,81,13138,0,13233,0,[]
98,22,10,53,76,44,56,78,89,8,94,55,45,65,68,55,48,71,69,75,72,13265,0,13283,0,[]
99,24,9,51,76,12,90,77,89,16,91,44,34,66,68,55,48,69,68,67,68,13610,0,13333,0,[]
100,25,8,50,81,20,82,76,90,28,89,35,24,65,68,54,51,76,75,67,69,13682,0,13483,0,[]
101,23,9,56,81,28,73,77,90,41,90,27,12,69,65,54,51,83,82,70,68,13834,0,13621,0,['8:22 LNG 击杀了水龙']
102,24,11,58,83,35,63,80,88,53,91,26,8,78,56,91,6,84,82,73,65,13940,0,13718,0,[]
103,23,11,51,83,42,54,80,88,65,89,25,8,82,56,82,15,84,80,73,65,14113,0,13791,0,[]
104,18,14,45,73,44,51,81,85,76,86,31,11,80,56,72,24,90,75,93,12,14340,0,13930,0,[]
105,18,14,38,64,41,45,81,84,81,83,25,10,80,56,65,33,88,74,92,26,14674,0,14001,0,[]
106,17,14,29,59,31,45,78,86,79,85,25,10,94,4,59,41,88,76,91,37,14822,0,14254,0,[]
107,23,21,21,51,23,50,78,86,70,82,23,12,81,10,55,46,89,71,90,49,14874,0,14340,0,[]
108,27,17,23,48,25,50,3,94,58,74,29,8,70,18,53,49,89,69,88,62,15184,0,14567,0,[]
109,20,16,23,55,34,49,4,86,54,68,27,8,58,23,53,48,91,74,87,73,15267,0,14774,0,[]
110,23,22,22,54,43,52,6,75,42,67,27,11,48,25,53,43,83,81,83,80,15470,0,14937,0,[]
111,23,22,17,45,44,52,7,64,32,59,24,12,48,25,53,44,82,81,82,81,15546,0,15083,0,[]
112,11,95,14,42,42,52,8,53,26,51,25,11,52,29,54,45,84,79,79,76,15682,0,15254,0,[]
113,25,94,22,42,42,54,9,42,22,44,20,11,52,35,55,44,84,79,79,76,15733,0,15418,0,[]
114,36,94,30,37,41,51,9,31,26,37,19,17,50,35,53,48,93,11,88,7,15805,0,15531,0,[]
115,51,91,40,43,46,49,10,23,36,40,22,25,46,38,55,47,84,18,81,16,15939,0,15602,0,[]
116,62,90,44,43,47,49,12,20,41,42,35,24,47,36,54,46,73,19,70,19,16078,0,15678,0,[]
117,72,87,44,44,44,51,11,19,42,45,42,34,43,37,53,46,63,22,61,25,16219,0,15743,0,[]
118,81,84,42,51,39,49,15,21,39,50,50,44,42,44,50,48,53,20,52,32,16332,0,15872,0,[]
119,79,83,34,47,41,54,19,22,35,48,59,56,42,36,50,50,43,15,41,31,16383,0,15944,0,[]
120,80,76,32,42,39,54,18,17,32,45,72,62,36,25,52,50,33,12,33,23,16463,0,16051,0,[]
121,87,76,36,39,43,52,15,20,28,34,87,66,29,21,52,51,24,12,29,21,16549,0,16120,0,[]
122,84,81,40,41,45,52,14,17,21,28,90,75,29,22,54,48,20,15,28,21,16687,0,16296,0,[]
123,80,83,31,34,42,53,14,21,20,26,89,74,22,26,47,41,21,22,22,25,16827,0,16818,0,[]
124,87,78,23,36,37,50,10,23,20,26,90,73,23,24,43,36,21,22,19,24,16925,0,16930,0,['10:18 LNGAsura(虚空之女) 击杀了 DMOMark(正义巨像)']
125,86,78,22,38,46,55,11,27,20,26,90,68,29,23,53,42,18,17,16,16,17003,0,17172,0,[]
126,87,78,20,36,50,53,8,27,20,26,90,71,28,31,54,47,14,22,17,22,17334,0,17257,0,[]
127,86,76,18,33,42,54,10,32,4,90,91,74,33,35,52,47,10,22,12,22,17427,0,17476,0,[]
128,86,78,14,33,36,57,10,24,5,78,90,72,42,35,53,49,11,20,14,21,17498,0,17603,0,[]
129,88,74,15,34,36,57,8,30,7,67,91,70,52,43,60,58,14,20,14,16,17612,0,17654,0,[]
130,88,78,26,34,7,94,8,29,8,53,90,70,63,51,69,66,23,14,19,18,17720,0,17740,0,[]
131,84,78,28,34,13,90,11,33,11,45,90,72,66,59,63,60,35,16,27,22,17774,0,17948,0,[]
132,74,78,32,32,21,81,11,27,11,33,87,75,68,64,52,55,37,15,36,18,17825,0,18055,0,[]
133,70,80,24,36,28,71,15,17,13,22,78,73,56,57,49,49,33,17,33,18,17981,0,18279,0,[]
134,76,86,19,25,36,62,16,18,15,18,79,77,47,47,47,42,28,16,26,18,18116,0,18350,0,[]
135,82,83,20,27,40,58,14,22,20,26,86,80,44,44,42,44,22,11,24,11,18280,0,18498,0,[]
136,83,84,23,37,39,58,16,20,13,21,89,82,44,44,42,44,21,12,24,14,18377,0,18602,0,[]
137,83,83,24,41,41,66,11,20,8,17,85,81,85,11,92,5,28,15,30,19,18536,0,18716,0,[]
138,85,84,24,41,47,68,15,17,10,17,90,74,81,25,86,9,29,16,29,20,18626,0,18766,0,[]
139,88,84,12,91,47,68,15,16,16,21,88,76,80,38,79,18,26,15,29,20,18781,0,18859,0,[]
140,80,84,20,82,53,66,14,17,14,19,88,79,77,51,70,27,27,9,29,20,19094,0,18931,0,[]
141,84,82,28,72,48,57,16,22,15,20,87,77,76,51,65,38,23,11,91,4,19247,0,18985,0,[]
142,80,84,32,59,49,52,24,30,21,29,89,77,77,50,70,48,27,8,80,8,19338,0,19189,0,[]
143,76,86,32,47,45,50,27,32,30,36,85,81,74,44,64,50,29,9,69,10,19411,0,19496,0,[]
144,83,82,30,37,50,46,33,37,36,38,91,74,71,40,56,47,31,10,59,13,19533,0,19747,0,[]
145,81,85,30,34,51,46,28,35,32,36,84,78,63,41,56,46,28,16,50,20,19661,0,19846,0,[]
146,74,89,32,37,44,46,31,38,34,39,71,69,51,45,49,49,37,23,41,27,19723,0,19892,0,[]
147,85,85,41,43,41,44,40,42,40,43,58,59,47,46,48,48,43,35,41,37,19779,0,19947,0,[]
148,87,86,31,39,33,43,33,40,35,40,48,49,42,41,39,43,45,39,42,38,19982,0,20063,0,[]
149,46,50,37,42,37,43,39,40,33,39,47,53,44,47,40,44,49,43,46,45,20905,0,20118,0,['12:24 DMOGALA(战争女神) 击杀了 LNGPlex(万花通灵)']
150,37,58,43,43,44,48,45,43,43,44,52,50,53,46,40,44,48,54,46,45,21163,0,20169,0,['12:29 DMOTwila(符文法师) 击杀了 LNGDuan(深海泰坦)']
151,37,57,41,45,44,54,45,52,44,51,53,50,47,38,40,44,53,47,46,45,21239,0,20315,0,[]
