,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
252,88,74,26,35,13,71,47,58,11,90,95,9,56,40,44,10,50,49,53,49,0,2,0,2,[]
253,89,74,2,96,17,61,43,53,19,78,93,27,95,4,33,11,58,42,57,44,0,2,0,2,[]
254,79,75,10,81,16,51,33,49,29,69,91,42,79,10,21,13,58,38,57,44,0,2,0,2,[]
255,79,75,17,67,11,41,27,48,38,60,90,54,67,19,24,13,53,32,89,5,0,2,0,2,[]
256,6,95,18,53,8,32,35,49,47,51,90,61,57,29,38,15,55,32,74,13,0,2,0,2,[]
257,24,93,23,55,11,30,46,49,47,50,87,75,47,34,44,15,56,41,64,22,0,2,0,2,[]
258,37,92,23,55,11,27,48,48,49,48,82,81,46,35,45,15,56,45,58,32,0,2,0,2,[]
259,50,90,18,46,14,18,50,45,41,40,80,85,47,35,45,15,57,47,56,44,0,2,0,2,[]
260,63,90,16,44,19,15,49,46,40,39,74,87,47,36,83,6,57,41,57,44,0,2,0,2,[]
261,65,90,22,40,26,12,51,47,41,37,69,80,47,33,67,7,60,38,60,43,0,2,0,2,[]
262,61,92,25,26,36,8,50,46,42,40,71,81,49,35,53,8,60,39,59,41,0,2,0,2,[]
263,60,93,32,17,40,9,48,49,42,32,67,90,59,35,48,7,55,47,53,46,0,2,0,2,[]
264,61,87,42,15,38,12,48,48,42,32,71,86,57,47,49,7,55,47,53,49,0,2,0,2,[]
265,56,85,50,23,47,16,48,47,47,24,74,86,57,44,48,6,58,41,57,46,0,2,0,2,[]
266,60,91,52,31,47,15,50,46,53,26,74,77,59,37,48,6,61,40,59,35,0,2,0,2,[]
267,61,93,44,33,45,11,50,47,47,24,69,81,54,30,49,6,56,34,57,34,0,2,0,2,[]
268,63,94,40,39,46,12,51,46,46,24,63,89,54,30,50,6,58,41,52,34,0,2,0,2,[]
269,55,94,43,53,44,11,47,50,3,96,57,94,55,32,52,8,54,46,58,39,0,2,0,2,[]
270,60,90,54,61,37,13,46,50,19,86,68,90,56,41,46,11,53,48,52,47,0,2,0,2,[]
271,71,87,56,59,39,27,44,55,32,80,79,84,55,55,47,10,52,51,55,56,0,2,0,2,[]
272,65,78,48,66,42,41,49,60,41,71,72,71,60,62,50,9,56,60,56,63,0,2,0,2,[]
273,65,83,54,68,48,50,51,63,52,65,70,66,66,65,43,8,61,58,61,59,0,2,0,2,[]
274,70,79,60,63,54,56,57,60,60,60,75,61,67,55,45,10,63,53,66,56,0,2,0,2,[]
275,72,76,65,64,63,61,50,53,60,57,74,61,65,52,44,12,64,51,67,54,0,2,0,2,[]
276,71,67,57,61,58,60,51,52,58,56,75,61,65,57,44,12,56,45,59,50,0,2,0,2,[]
277,66,65,66,57,63,58,57,54,65,57,73,63,66,48,95,4,53,46,55,47,0,2,0,2,[]
278,59,62,55,57,62,62,54,54,59,56,75,63,64,50,49,46,57,46,54,48,0,2,0,2,[]
279,52,54,55,56,64,62,53,57,54,58,65,58,54,51,50,53,55,49,53,52,0,2,0,2,[]
280,52,49,54,54,62,52,49,58,53,55,58,48,56,46,50,49,54,49,58,47,0,2,0,2,[]
281,53,44,55,54,55,48,51,48,53,48,58,48,62,39,56,42,56,50,62,38,0,2,0,2,[]
282,54,43,55,54,57,47,54,47,53,45,58,48,61,40,59,41,56,50,61,43,0,2,0,2,[]
283,58,44,55,54,58,44,54,43,54,46,58,48,64,37,61,36,56,50,62,39,0,2,0,2,[]
284,59,45,55,54,59,46,56,45,55,47,58,48,63,36,62,37,56,50,64,37,0,3,0,2,[]
285,66,54,55,54,66,54,57,58,56,56,58,48,52,28,53,44,56,50,55,44,0,3,0,2,[]
286,67,66,55,54,66,65,68,67,56,55,58,48,49,25,41,43,56,50,44,44,0,3,0,2,[]
287,68,68,55,54,67,69,67,69,2,96,58,48,49,25,32,36,56,50,42,44,0,3,0,2,[]
288,70,79,7,88,67,69,57,68,2,96,58,48,80,13,25,30,56,50,93,4,0,3,0,2,[]
289,68,89,16,74,2,96,57,68,50,46,94,11,66,20,16,20,85,10,80,17,0,3,0,2,[]
290,70,90,18,61,6,76,13,89,39,50,92,30,56,30,20,15,73,22,70,26,0,3,0,2,[]
291,75,90,23,55,6,62,27,82,32,43,91,45,53,32,20,15,64,31,60,35,0,3,0,2,[]
292,81,84,23,56,7,49,40,76,32,35,88,60,51,28,94,9,56,40,56,43,0,3,0,2,[]
293,81,84,18,47,10,41,45,69,41,36,88,74,46,16,83,29,50,49,51,48,0,3,0,2,[]
294,11,91,16,44,11,28,41,61,34,40,78,80,43,15,78,50,49,49,50,50,0,3,0,2,[]
295,24,79,17,44,14,20,42,54,33,43,81,83,43,16,76,49,57,43,48,41,0,3,0,2,[]
296,34,84,17,44,12,19,40,56,2,96,82,85,48,21,66,42,68,41,43,33,0,3,0,2,[]
297,44,90,6,90,15,33,40,66,16,87,71,88,39,25,56,33,65,38,43,24,0,3,0,2,[]
298,57,92,19,75,22,43,45,65,25,76,60,84,44,24,48,18,53,32,43,24,0,3,0,2,[]
299,61,91,28,66,26,50,45,53,34,65,60,83,53,30,43,11,59,40,93,9,0,3,0,2,[]
300,60,89,31,53,34,41,47,51,42,56,67,89,53,32,43,14,56,40,80,21,0,3,0,2,[]
301,60,86,34,39,34,31,43,45,41,45,70,83,47,32,30,19,56,43,70,30,0,3,0,2,[]
302,55,84,40,37,35,36,42,38,42,36,61,86,50,32,27,17,59,37,60,36,0,3,0,2,[]
303,52,88,41,32,41,35,41,39,42,37,53,88,49,32,30,12,53,30,50,34,0,3,0,2,[]
304,44,91,41,39,43,37,50,47,44,38,50,91,50,33,44,16,52,27,52,32,0,3,0,2,[]
305,49,91,41,33,40,30,52,44,39,28,55,90,50,31,52,26,51,21,52,34,0,3,0,2,[]
306,51,90,41,37,41,37,55,46,41,27,62,91,51,31,59,36,57,33,50,34,0,3,0,2,[]
307,50,90,43,42,41,39,47,46,41,34,61,90,52,29,57,45,55,42,49,34,0,3,0,2,[]
308,44,90,45,47,37,41,43,46,45,45,61,87,47,23,55,42,53,44,43,34,0,3,0,2,[]
309,51,90,40,42,37,40,43,46,47,46,56,90,46,26,58,34,59,35,48,34,0,3,0,2,[]
310,48,89,42,44,29,35,52,47,51,46,49,90,51,30,57,33,59,35,59,35,0,3,0,2,[]
311,48,90,38,43,18,24,47,49,50,49,53,91,59,36,56,46,55,46,55,46,0,3,0,2,[]
312,49,91,39,44,15,17,46,49,46,52,58,90,49,46,53,46,51,50,52,49,0,3,0,2,[]
313,44,91,36,43,18,16,33,49,41,58,57,89,45,57,47,56,48,53,47,54,0,3,0,2,[]
314,44,90,31,52,19,25,31,56,41,58,53,88,45,57,48,58,46,54,45,55,0,3,0,2,[]
315,44,91,36,60,27,35,32,59,41,58,49,90,40,56,46,58,42,56,40,58,0,3,0,2,[]
316,49,89,39,61,32,46,36,58,41,58,51,90,43,55,45,56,44,55,42,55,0,3,0,2,[]
317,41,88,41,55,44,54,41,58,41,58,52,89,51,53,49,58,51,54,53,51,0,3,0,2,[]
318,47,93,35,49,44,52,41,55,41,58,55,89,58,60,53,60,63,58,60,51,0,3,0,2,[]
319,48,91,32,40,40,43,36,49,41,58,61,89,66,59,65,56,69,63,60,51,0,3,0,2,[]
320,47,90,30,33,31,34,25,45,41,58,56,90,58,48,57,48,69,63,89,6,0,3,0,2,[]
321,46,91,32,32,29,33,27,35,7,87,62,86,48,38,48,40,95,4,75,13,0,3,0,2,[]
322,34,31,29,32,29,32,31,32,15,72,46,50,37,38,40,33,52,41,40,32,0,3,0,2,[]
323,26,36,21,44,23,41,25,38,19,63,40,43,41,43,42,46,48,43,35,42,0,3,0,2,[]
324,25,38,18,43,23,41,29,52,31,64,45,55,43,51,45,54,44,52,43,48,0,3,0,2,[]
325,2,96,18,43,3,96,30,63,33,65,38,62,37,59,39,61,37,61,35,58,0,3,0,3,[]
326,15,81,9,93,19,84,26,68,29,70,35,66,36,65,36,66,35,61,34,64,0,3,0,3,[]
327,25,71,19,78,27,72,35,63,33,61,43,55,45,54,44,55,42,55,43,55,0,3,0,3,[]
328,32,60,28,67,32,60,43,56,42,54,43,44,54,43,50,43,53,45,50,48,0,3,0,3,[]
329,31,48,31,50,31,49,49,51,49,50,44,43,59,35,52,31,65,41,47,40,0,3,0,3,[]
330,32,35,33,32,31,34,49,48,44,44,43,38,59,35,49,32,67,40,43,33,0,3,0,3,[]
331,34,29,34,28,30,32,36,38,41,34,39,28,50,26,49,33,57,41,40,29,0,3,0,3,[]
332,35,29,31,29,30,32,31,33,32,34,37,37,40,28,42,34,42,39,40,36,0,3,0,3,[]
333,36,28,33,28,30,30,28,32,32,31,29,38,52,22,39,32,32,38,34,35,0,3,0,3,[]
334,35,39,33,35,31,32,30,38,34,39,35,40,51,27,40,38,37,42,36,38,0,3,0,3,[]
335,38,39,39,39,37,37,37,41,32,41,36,41,47,36,43,44,43,37,40,39,0,3,0,3,[]
336,41,32,37,39,39,37,38,40,32,41,36,41,45,39,48,46,44,36,49,41,0,3,0,3,[]
337,41,32,37,39,42,40,42,40,32,41,36,41,43,37,51,51,45,36,55,43,0,3,0,3,[]
338,41,32,37,39,49,49,50,47,32,41,36,41,43,37,52,54,45,36,65,50,0,3,0,3,[]
339,41,32,37,39,60,41,59,39,32,41,36,41,43,37,52,54,45,36,73,53,0,3,0,3,[]
340,41,32,37,39,63,38,61,35,32,41,36,41,43,37,52,54,45,36,73,53,0,3,0,3,[]
341,41,32,37,39,64,37,61,35,32,41,36,41,43,37,52,54,45,36,92,8,0,3,0,3,[]
342,41,32,37,39,65,39,63,39,32,41,36,41,43,37,52,54,45,36,80,21,0,4,0,3,[]
343,41,32,37,39,66,43,69,47,5,95,36,41,43,37,52,54,45,36,69,27,0,4,0,3,[]
344,41,32,37,39,2,96,76,56,22,87,36,41,43,37,52,54,45,36,68,29,0,4,0,3,[]
345,41,32,9,93,11,91,75,60,33,79,96,3,94,6,52,54,45,36,68,29,0,4,0,3,[]
346,41,32,26,85,28,84,69,65,42,70,80,9,85,24,52,54,92,6,69,29,0,4,0,3,[]
347,13,95,36,76,37,75,2,96,53,63,65,9,80,39,52,54,77,17,71,26,0,4,0,3,[]
348,30,93,47,66,45,68,3,96,62,60,50,9,79,51,95,4,69,28,68,31,0,4,0,3,[]
349,43,92,55,64,56,63,53,53,66,53,35,11,77,49,87,21,63,34,65,34,0,4,0,3,[]
350,56,91,69,67,66,66,57,45,70,49,21,14,79,48,80,33,69,30,68,35,0,4,0,3,[]
351,71,88,67,69,68,66,57,59,77,49,12,21,81,40,83,37,74,26,72,34,0,4,0,3,[]
352,80,84,73,63,74,60,69,62,76,52,12,34,81,42,81,42,74,26,72,34,0,4,0,3,[]
353,87,74,77,48,79,51,77,56,77,43,15,35,87,34,89,33,90,14,90,19,0,4,0,3,[]
354,89,72,77,50,78,47,82,58,81,51,11,37,80,36,89,36,83,28,88,34,0,4,0,3,[]
355,90,67,77,49,80,52,84,63,80,54,7,45,87,38,88,42,88,37,87,46,0,4,0,3,[]
356,90,54,80,51,85,52,88,55,88,55,10,53,90,42,91,42,90,41,87,43,0,4,0,3,[]
357,90,46,90,45,87,47,91,46,87,46,9,54,91,36,93,39,89,37,88,37,0,5,0,3,[]
358,89,37,91,38,88,39,91,39,92,39,8,56,92,28,89,28,88,32,90,31,0,5,0,4,[]
359,85,29,92,30,88,34,93,32,92,33,7,58,93,25,87,26,85,26,94,14,0,5,0,4,[]
360,88,28,91,28,88,30,93,28,91,27,8,70,88,20,85,22,90,19,91,22,0,6,0,4,[]
361,90,39,91,37,91,40,93,39,92,39,8,71,87,30,86,30,94,27,89,28,0,6,0,4,[]
362,89,52,88,50,90,53,93,49,92,53,9,74,90,41,89,40,92,37,89,39,0,6,0,5,[]
363,89,67,88,63,90,54,92,61,88,65,8,74,88,53,88,51,92,52,89,50,0,6,0,5,[]
364,87,79,84,78,90,54,89,73,78,72,9,75,89,66,86,63,90,62,87,63,0,6,0,5,[]
365,76,87,77,85,90,54,80,84,69,79,10,83,87,77,79,67,87,74,87,73,0,6,0,5,[]
366,63,87,68,88,90,54,69,90,69,79,13,86,79,87,11,82,78,84,76,88,0,6,0,6,[]
367,61,86,61,85,90,54,65,93,6,94,13,87,70,94,14,84,74,90,70,90,0,6,0,7,[]
368,3,96,61,85,90,54,59,93,8,86,11,86,70,94,7,88,66,92,66,90,0,6,0,7,[]
369,8,88,59,85,90,54,61,89,7,87,11,86,70,94,7,89,64,90,62,89,0,6,0,7,[]
370,8,88,59,85,90,54,61,89,7,87,11,86,70,94,7,89,64,90,62,89,0,6,0,7,[]
