,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,22,23,41,4,95,71,88,71,91,15,18,50,32,48,40,78,90,78,89,0,0,0,0,[]
59,10,25,17,45,14,84,72,91,72,91,19,24,40,30,52,46,77,88,76,89,0,0,0,0,[]
60,8,25,17,45,23,78,68,91,69,90,17,22,31,22,49,50,76,89,76,90,0,0,0,0,[]
61,7,27,17,45,30,70,72,91,70,89,11,23,37,17,49,49,76,89,78,87,0,0,0,0,[]
62,9,25,17,45,37,62,73,90,74,89,11,23,38,16,51,52,82,85,82,86,0,0,0,0,[]
63,7,26,6,96,41,56,67,92,73,90,10,21,37,14,56,56,82,87,79,86,0,0,0,0,[]
64,9,27,17,95,47,51,67,92,72,91,10,24,40,16,56,56,80,88,78,85,0,0,0,0,[]
65,8,29,30,92,51,48,2,96,74,89,10,24,39,15,88,8,79,81,75,79,0,0,0,0,[]
66,8,29,43,91,48,50,73,89,75,88,11,24,47,17,80,19,82,79,75,79,0,0,0,0,[]
67,11,26,53,86,49,49,71,86,70,80,14,19,52,27,74,27,86,76,95,6,0,0,0,0,[]
68,8,26,54,83,51,53,74,91,70,80,11,21,61,35,66,35,86,76,90,14,0,0,0,0,[]
69,9,24,54,84,60,57,74,90,73,88,13,19,70,40,58,41,94,9,83,23,0,0,0,0,[]
70,9,24,54,83,64,64,74,90,73,88,12,19,73,42,56,42,93,9,81,34,0,0,0,0,[]
71,9,27,52,84,61,62,73,90,72,88,11,21,75,47,55,42,92,20,80,45,0,0,0,0,[]
72,10,26,47,74,54,54,73,87,73,90,12,20,67,54,53,46,92,31,71,50,0,0,0,0,[]
73,10,24,56,68,53,49,74,87,76,88,12,19,61,62,55,45,91,42,66,56,0,0,0,0,[]
74,8,24,57,70,53,50,76,88,74,88,13,19,57,68,57,44,89,52,56,59,0,0,0,0,[]
75,9,23,48,73,46,51,75,87,2,96,13,18,54,64,53,49,88,63,50,59,0,0,0,0,[]
76,9,23,37,64,41,53,76,87,6,94,13,19,64,64,53,49,87,74,49,57,0,0,0,0,[]
77,8,28,39,59,47,47,76,86,6,94,13,21,72,63,54,47,86,77,59,62,0,0,0,0,[]
