,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,24,51,89,3,96,86,77,89,78,12,16,94,7,56,46,91,69,90,69,0,0,0,0,[]
59,7,24,54,85,7,93,89,73,92,74,12,18,89,17,49,49,93,69,90,67,0,0,0,0,[]
60,7,24,52,84,8,93,88,73,91,75,11,19,83,28,49,50,93,69,90,69,0,0,0,0,[]
61,9,26,55,83,47,53,89,76,91,77,17,19,81,40,49,50,91,70,87,67,0,0,0,0,[]
62,9,24,53,84,48,54,88,80,89,81,14,19,78,46,58,42,93,68,79,64,0,0,0,0,[]
63,8,19,50,82,47,54,85,79,89,81,13,20,76,46,59,41,93,68,74,63,0,0,0,0,[]
64,11,25,46,71,55,50,87,85,89,81,12,21,77,47,93,5,90,71,80,64,0,0,0,0,[]
65,10,23,46,64,63,50,87,85,4,96,13,16,77,47,82,13,92,75,80,64,0,0,0,0,[]
66,7,23,51,65,59,57,6,96,15,94,13,18,81,54,74,22,92,71,88,6,0,0,0,0,[]
67,6,22,57,59,50,52,15,95,26,93,12,20,81,55,66,32,93,70,82,18,0,0,0,0,[]
68,10,16,58,55,46,53,26,94,30,83,15,16,77,56,58,40,95,4,75,28,0,0,0,0,[]
69,16,18,59,55,46,53,36,93,37,75,18,17,70,64,51,48,95,4,67,34,0,0,0,0,[]
70,20,12,58,55,49,52,47,91,46,68,20,10,63,60,52,47,83,82,61,43,0,0,0,0,[]
71,20,13,63,58,47,51,58,90,55,62,23,9,63,60,50,51,82,82,54,50,0,0,0,0,[]
72,20,15,66,61,50,59,68,88,63,62,28,8,65,60,58,56,77,75,60,58,0,0,0,0,[]
73,19,17,66,58,58,61,73,86,62,63,25,8,66,59,63,60,70,67,64,62,0,0,0,0,"['6:4 RNGKarsa(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË FPXTian(Ö©ÖëÅ®»Ê),»ñµÃÒ»Ñª', '6:4 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGKarsa(Ðé¿Õ¶ÝµØÊÞ)']"
74,19,16,66,58,49,58,73,86,62,75,22,11,66,59,62,57,67,63,65,62,0,0,0,0,[]
75,18,11,66,58,45,51,74,90,70,79,24,12,66,59,61,51,75,68,74,66,0,0,0,0,[]
76,18,12,4,93,46,51,74,90,74,88,25,9,89,5,50,49,79,78,79,74,0,0,0,0,[]
77,17,11,9,82,48,53,74,91,73,89,24,10,83,10,52,48,80,88,81,84,0,0,0,0,[]
78,18,13,15,71,50,49,72,92,72,88,29,8,73,17,51,49,79,85,80,89,0,0,0,0,[]
79,12,12,23,59,46,52,75,90,74,88,28,9,62,23,49,48,80,83,83,89,0,0,0,0,[]
80,12,12,26,58,47,50,76,90,75,88,27,12,53,32,53,47,83,84,85,87,0,0,0,0,[]
81,3,92,29,59,53,57,75,89,75,87,27,12,60,34,58,42,84,83,85,80,0,0,0,0,[]
82,5,87,38,59,62,61,76,89,74,87,90,4,66,43,56,45,83,88,82,83,0,0,0,0,[]
83,6,74,50,60,62,62,73,88,72,85,79,5,66,54,56,46,82,80,81,79,0,0,0,0,[]
84,7,62,51,71,55,58,72,86,71,82,68,6,70,63,95,4,77,71,76,70,0,0,0,0,[]
85,9,48,52,75,51,50,72,89,72,85,56,8,70,64,95,4,78,74,72,66,0,0,0,0,[]
86,10,37,55,76,45,52,75,87,73,85,45,9,59,56,48,50,80,75,60,63,0,0,0,0,[]
87,12,23,65,72,45,56,75,88,71,81,34,11,54,46,47,53,80,75,57,65,0,0,0,0,[]
88,14,19,64,69,36,60,76,86,75,76,23,12,47,37,52,52,76,67,65,65,0,0,0,0,[]
89,15,18,64,67,36,60,77,86,80,79,17,12,50,33,50,52,72,64,65,57,0,0,0,0,[]
90,13,19,66,77,4,95,78,86,78,72,16,12,51,31,49,51,69,66,69,63,0,0,0,0,[]
91,14,18,70,77,13,90,78,84,78,72,19,13,51,33,48,51,72,65,73,63,0,0,0,0,[]
92,11,20,66,78,22,80,79,85,80,78,18,17,51,26,44,45,78,60,84,63,0,0,0,0,[]
93,13,18,66,78,29,71,78,84,79,82,16,13,48,25,37,38,83,66,83,68,0,0,0,0,[]
94,10,29,65,72,36,63,79,84,77,75,16,14,47,24,31,38,88,72,90,71,0,0,0,0,[]
95,7,35,67,71,44,56,80,84,76,73,18,22,45,16,41,35,89,78,90,77,0,0,0,0,[]
96,7,29,65,71,49,51,83,82,79,75,11,23,43,17,46,37,90,76,90,74,0,0,0,0,[]
97,10,31,66,71,49,52,83,78,74,72,9,24,42,17,51,47,90,77,89,78,0,0,0,0,[]
98,10,25,65,71,49,53,85,83,83,80,13,19,43,16,54,46,90,76,89,74,0,0,0,0,['8:10 RNG »÷É±ÁËË®Áú']
99,10,26,61,81,52,55,83,80,90,80,11,21,39,16,56,44,90,75,89,70,0,0,0,0,[]
100,5,32,57,84,44,48,83,80,89,81,8,25,39,16,58,47,91,72,89,70,0,0,0,0,[]
101,8,30,55,83,43,45,83,80,90,81,8,25,92,9,58,47,91,74,89,71,0,0,0,0,[]
102,8,30,55,83,49,51,82,81,88,83,11,24,87,20,88,8,86,65,83,66,0,0,0,0,[]
103,9,29,50,82,49,49,83,82,88,84,11,21,81,32,80,15,87,68,77,61,0,0,0,0,[]
104,10,24,45,72,48,52,82,82,89,81,14,16,80,44,72,25,89,74,85,66,0,0,0,0,[]
105,10,24,43,68,42,45,84,80,85,86,12,16,76,45,64,35,89,74,88,75,0,0,0,0,[]
106,12,22,43,68,33,38,82,80,85,83,11,17,76,45,58,41,89,77,91,77,0,0,0,0,[]
107,8,25,36,63,25,30,81,83,84,84,10,22,77,51,59,42,90,74,89,76,0,0,0,0,[]
108,8,25,31,52,25,31,81,83,85,86,13,20,76,54,51,48,85,78,89,80,0,0,0,0,[]
109,9,31,23,48,24,43,82,83,83,86,11,22,75,60,51,50,86,80,87,81,0,0,0,0,[]
110,10,23,22,47,22,47,84,86,83,85,13,17,78,73,55,56,86,78,88,82,0,0,0,0,[]
111,10,23,15,42,26,50,81,88,77,89,13,17,72,77,57,66,81,82,85,83,0,0,0,0,[]
112,8,29,15,43,34,49,79,89,76,90,8,18,66,83,61,77,79,85,80,89,0,0,0,0,[]
113,8,30,23,53,44,55,73,93,71,93,9,20,73,92,64,88,76,90,75,90,0,0,0,0,[]
114,8,33,24,56,49,52,69,94,72,93,10,22,74,91,74,89,73,92,73,90,0,0,0,0,"['9:28 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGUzi(ÄæÓð)', '9:28 FPXTian(Ö©ÖëÅ®»Ê) »÷É±ÁË RNGMing(¹â»ÔÅ®ÀÉ)']"
115,8,29,23,52,49,50,69,94,72,93,11,22,77,85,78,90,76,89,75,91,0,0,0,0,[]
116,12,20,25,52,55,45,69,94,72,93,15,14,76,74,81,90,81,84,81,91,0,0,0,0,[]
117,14,18,31,43,59,41,69,94,9,91,20,9,76,60,95,4,81,84,81,91,0,0,0,0,[]
118,12,18,28,35,58,43,4,96,21,84,16,10,82,56,86,9,94,8,94,4,0,0,0,0,[]
119,19,24,24,33,54,44,15,95,30,72,15,11,82,56,78,17,94,11,81,12,0,0,0,0,[]
120,18,16,24,33,54,46,26,94,41,61,19,9,82,56,69,26,93,22,68,19,0,0,0,0,[]
