,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,70,89,14,18,16,44,44,51,73,90,12,12,45,35,49,55,74,78,75,79,7052,0,7023,0,[]
55,71,88,12,17,17,45,42,53,74,88,16,11,42,44,48,51,78,83,94,10,7354,0,7088,0,[]
56,70,89,13,18,24,54,42,53,74,90,16,12,42,46,46,52,78,85,93,21,7473,0,7258,0,[]
57,73,87,14,15,23,57,39,56,76,88,19,13,36,43,42,44,81,83,92,32,7605,0,7355,0,[]
58,74,88,10,18,22,57,45,57,76,89,15,14,23,44,35,39,80,83,91,43,7782,0,7544,0,[]
59,75,88,10,22,24,58,42,55,79,85,16,16,23,36,35,39,81,84,91,54,7882,0,7599,0,[]
60,76,89,7,30,24,58,47,59,74,87,10,19,34,32,93,4,84,88,88,67,7996,0,7678,0,[]
61,73,88,10,23,6,95,49,52,74,87,10,14,47,32,82,10,82,88,85,77,8128,0,7733,0,[]
62,73,89,10,20,10,93,50,50,73,86,15,16,58,34,76,19,81,88,80,85,8294,0,7804,0,[]
63,72,91,10,20,20,87,51,55,70,89,15,15,68,40,68,29,80,88,77,86,8366,0,7953,0,[]
64,73,91,11,18,30,81,57,64,72,90,16,15,74,44,61,38,79,81,78,82,8438,0,8062,0,[]
65,70,90,13,17,39,74,54,65,71,91,17,13,77,46,56,45,80,78,79,74,8552,0,8245,0,[]
66,72,91,9,18,45,65,48,56,73,88,15,14,79,53,54,48,95,4,71,66,8673,0,8321,0,[]
67,69,91,10,19,54,68,46,52,77,88,16,14,76,57,53,49,94,13,66,64,8760,0,8435,0,[]
68,69,91,11,18,57,77,46,52,79,85,15,16,74,62,54,49,93,24,73,64,8840,0,8576,0,[]
69,5,96,9,19,55,83,46,52,3,95,10,20,65,65,54,50,92,35,67,68,9081,0,8693,0,[]
70,6,96,9,21,57,83,44,54,13,94,11,19,64,70,56,56,90,46,66,68,9205,0,8878,0,[]
