,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
230,38,58,21,48,73,75,52,63,41,58,87,73,37,40,16,20,43,52,44,50,30269,1,32740,3,[]
231,40,57,30,49,62,75,51,59,45,58,85,78,24,46,22,30,43,52,43,47,30366,1,32918,3,[]
232,43,51,32,44,56,65,46,51,48,51,82,80,23,40,20,37,44,37,44,39,30417,1,32968,3,[]
233,45,46,34,43,64,57,47,46,50,46,75,70,32,33,12,36,50,35,51,35,30561,1,33061,3,[]
234,50,48,29,49,67,54,53,44,53,49,70,76,45,23,10,42,60,37,61,39,30744,1,33174,3,[]
235,54,45,17,49,64,57,56,48,55,48,71,87,55,31,10,39,58,38,60,43,30835,1,33552,3,[]
236,49,48,6,48,73,55,55,52,53,48,66,91,60,38,23,36,58,38,59,44,30906,1,33738,3,[]
237,41,51,7,40,74,58,57,65,54,58,71,85,51,44,34,39,51,42,49,46,31053,1,33861,3,[]
238,38,60,6,38,67,61,55,76,50,58,64,76,40,43,34,42,49,47,45,47,31163,1,33966,3,[]
239,37,60,6,42,55,64,52,90,35,60,67,78,40,43,42,46,44,51,47,52,31331,1,34106,3,[]
240,36,62,9,44,46,65,52,86,38,63,57,69,39,50,42,53,35,49,44,56,31555,1,34223,3,[]
241,36,64,19,48,43,68,52,86,34,65,53,67,32,45,45,57,32,46,34,49,31658,1,34280,3,[]
242,35,65,20,53,44,67,3,95,33,66,50,61,29,46,39,52,34,41,31,51,31709,1,34330,3,[]
243,39,66,23,57,46,62,18,85,34,64,45,57,34,40,43,53,34,37,31,51,31761,1,34386,3,[]
244,40,60,30,54,50,60,26,76,39,58,46,52,32,31,44,50,31,33,33,43,31848,1,34452,3,[]
245,41,56,31,52,42,56,11,23,38,55,49,50,36,39,40,44,37,38,35,41,31941,1,34610,3,[]
246,38,60,36,63,32,59,19,25,34,59,48,52,43,36,50,46,40,28,45,40,32056,1,34752,3,[]
247,39,59,48,74,30,52,17,23,31,55,57,55,42,33,57,45,43,19,45,40,32254,1,34893,3,[]
248,33,60,60,76,32,52,18,12,32,52,66,63,95,4,57,33,45,15,91,6,32514,1,35013,3,[]
249,31,56,70,82,34,47,19,22,32,45,73,74,77,12,50,21,46,16,90,7,32625,1,35064,3,[]
250,31,56,71,84,33,38,23,34,31,57,78,79,72,25,46,9,46,16,85,13,32741,1,35174,3,[]
251,6,90,73,90,32,37,24,46,7,88,79,89,64,34,46,8,81,17,81,16,32922,1,35490,3,[]
252,17,78,68,92,25,41,23,43,17,77,69,91,52,32,48,10,72,29,70,26,33073,1,35540,3,[]
253,27,69,58,94,25,41,23,34,27,70,61,93,40,31,95,4,68,40,60,37,33125,1,35623,3,[]
254,36,61,43,92,7,94,23,29,33,69,53,94,47,40,80,11,64,41,54,45,33176,1,35742,3,[]
255,41,56,43,92,7,94,18,16,40,66,66,92,35,38,66,19,52,47,48,49,33304,1,35838,3,[]
256,38,59,6,95,10,82,19,25,41,60,73,88,32,44,53,20,43,53,38,50,33358,1,35989,3,[]
257,37,59,26,93,16,70,23,31,40,61,70,89,38,49,44,13,45,50,44,49,33407,1,36257,3,[]
258,39,58,39,92,23,57,23,35,39,60,59,90,34,38,38,11,41,45,38,42,33569,1,36399,3,[]
259,36,62,52,92,23,55,18,24,41,60,62,92,29,33,27,16,33,35,32,36,33845,1,36556,3,[]
260,41,55,56,92,18,48,10,28,39,53,75,87,22,27,20,15,33,32,35,38,33898,1,36682,3,[]
261,39,54,61,92,16,44,6,37,34,48,77,85,24,24,21,20,35,31,35,38,34072,1,36822,3,[]
262,33,59,60,94,21,46,7,34,23,50,95,4,36,25,27,31,44,37,34,40,34242,1,36954,3,[]
263,33,59,63,93,23,50,8,29,22,41,93,13,41,36,35,40,47,38,34,43,34488,1,37067,3,[]
264,36,57,68,90,22,54,12,34,24,36,87,28,32,42,36,48,49,48,35,48,34539,1,37232,3,[]
265,35,63,78,86,31,58,18,34,22,42,89,41,31,38,35,49,41,45,28,44,34660,1,37314,3,[]
266,36,63,80,87,33,59,24,44,21,53,89,54,30,46,32,46,32,42,30,46,34833,1,37396,3,[]
267,35,59,71,84,33,59,19,50,26,58,88,67,34,40,34,42,42,44,35,43,34885,1,37511,3,[]
268,40,59,62,75,40,60,25,58,30,57,89,77,41,32,42,46,43,45,41,45,34937,1,37603,3,[]
269,44,58,57,64,40,55,36,58,31,54,78,85,41,41,42,46,48,50,42,45,35018,1,37835,3,[]
270,44,57,49,68,36,57,41,55,36,58,67,90,41,45,42,46,48,48,42,45,35139,1,37965,3,[]
271,42,57,48,79,40,58,39,56,45,56,71,90,41,45,43,47,42,41,42,45,35318,1,38148,3,[]
272,41,56,54,89,44,57,45,57,40,53,71,83,44,42,41,45,32,35,42,45,35420,1,38200,3,[]
273,40,60,58,92,46,58,45,66,43,57,63,75,36,39,42,44,33,38,49,49,35555,1,38251,3,[]
274,44,57,57,93,52,61,39,63,46,55,67,64,31,31,49,48,30,32,43,47,35669,1,38302,3,[]
275,47,53,55,90,47,55,48,51,50,54,66,53,33,31,52,44,31,33,52,46,35825,1,38375,3,[]
276,44,50,53,87,42,46,44,48,43,47,51,47,27,32,46,41,29,34,51,45,35879,1,38490,3,[]
277,38,51,53,87,38,49,39,50,42,46,43,46,36,42,40,42,32,45,45,45,35997,1,39010,3,[]
278,44,55,46,47,41,58,47,51,43,47,46,48,47,47,43,44,40,50,44,45,36049,1,39088,3,['23:6 RNGLangx(»ÄÄ®ÍÀ·ò) »÷É±ÁË RWKillua(»Ãôá)']
279,37,58,46,48,46,54,50,51,43,47,48,49,45,39,45,46,35,49,42,45,36096,1,39626,3,['23:14 RNGLangx(»ÄÄ®ÍÀ·ò) »÷É±ÁË RWHolder(¿ñ±©Ö®ÐÄ)']
280,42,68,46,48,51,62,49,65,43,47,48,51,46,38,46,51,31,51,44,52,36146,1,39748,3,[]
281,47,77,46,48,53,62,39,65,43,47,41,55,94,4,39,55,42,52,44,52,36201,1,39974,3,[]
282,42,79,46,48,43,60,40,60,43,47,43,46,81,8,32,47,41,45,43,45,36416,1,40028,3,[]
283,36,76,46,48,42,57,43,58,43,47,34,37,65,11,41,42,32,35,41,31,36600,1,40111,3,[]
284,31,69,46,48,50,53,42,53,43,47,33,31,52,19,43,43,32,34,40,27,36656,1,40168,3,[]
285,34,68,46,48,64,62,54,57,9,85,32,34,38,28,34,36,31,34,31,31,36711,1,40218,3,[]
286,2,96,46,48,68,63,54,57,17,71,34,31,34,31,30,33,30,32,32,32,36890,1,40271,3,[]
287,7,86,7,96,67,66,50,51,18,59,34,30,33,31,25,35,33,35,32,30,37027,1,41849,3,['23:55 RNG »÷É±ÁË´óÁú']
288,9,73,27,93,65,68,47,53,22,51,95,4,40,36,15,35,45,39,32,32,37079,1,41963,3,[]
289,8,60,41,92,65,68,41,60,23,50,94,12,41,24,9,29,55,42,92,6,37230,1,42130,3,[]
290,7,51,53,90,63,72,41,60,12,47,92,29,44,15,9,26,57,40,81,22,37413,1,42200,3,['24:8 RW »÷É±ÁËË®Áú']
291,8,46,60,86,50,79,9,92,8,45,91,42,44,15,92,6,86,8,76,26,37581,1,42341,3,[]
292,10,48,50,83,55,83,22,81,5,46,88,55,45,15,81,19,71,16,74,26,37744,1,42435,3,[]
293,18,47,46,74,57,83,31,71,5,46,84,58,50,25,67,36,60,24,65,34,37922,1,42485,3,[]
294,21,54,53,68,57,83,39,61,8,86,84,62,51,31,75,42,52,30,53,42,38026,1,42873,3,[]
295,17,55,55,75,3,95,42,57,20,76,87,75,47,36,77,53,50,47,51,47,38145,1,43139,3,[]
296,23,65,46,73,3,95,41,57,29,69,84,83,49,42,74,60,44,50,48,55,38198,1,43347,3,[]
297,34,63,41,64,3,94,37,62,35,62,76,87,49,53,76,55,45,53,52,57,38314,1,43406,3,[]
298,38,59,39,64,13,81,41,59,38,58,70,89,55,62,78,55,45,54,56,60,38456,1,43620,3,[]
299,32,63,44,69,24,71,41,65,36,61,59,92,45,56,76,60,40,51,45,54,38507,1,43777,3,[]
300,35,63,42,69,19,62,37,62,34,63,54,89,48,60,95,4,39,54,43,58,38558,1,43892,3,[]
301,31,67,37,75,23,51,31,66,30,64,47,91,46,68,95,4,37,58,39,63,38689,1,43943,3,[]
302,30,68,36,87,27,51,33,70,28,65,47,90,48,75,46,67,39,59,41,61,38742,1,44025,3,[]
303,32,66,41,90,31,52,37,66,31,65,47,91,43,68,45,67,38,51,42,57,38794,1,44661,3,[]
304,32,61,33,93,23,54,32,60,31,59,45,91,47,65,47,66,34,49,41,55,38840,1,45027,4,['25:16 RNG »÷ÆÆÁË·ÀÓùËþ']
305,33,63,35,93,28,59,31,53,31,52,42,89,43,67,41,71,44,54,43,55,38926,1,45276,4,[]
306,30,66,28,86,31,72,31,55,32,53,34,83,37,63,36,74,39,65,36,60,38973,1,45323,4,[]
307,24,71,28,76,25,72,35,63,31,59,29,72,26,66,33,73,32,69,38,63,39094,1,45375,4,[]
308,27,69,34,68,31,65,38,61,38,63,38,63,37,61,40,65,40,58,39,62,39169,1,46370,4,[]
309,25,72,30,71,25,59,36,62,38,63,34,66,32,63,37,66,32,63,35,61,39220,1,47170,4,"['25:41 RNGXiaohu(ÌìÆôÕß) »÷É±ÁË RWKillua(»Ãôá)', '25:43 RNGLangx(»ÄÄ®ÍÀ·ò) »÷É±ÁË RWHuaTian(½âÍÑÕß)']"
310,16,81,29,83,16,68,36,62,38,63,30,70,25,68,27,68,25,68,27,69,39271,1,47222,5,['25:46 RNGKarsa(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷ÆÆÁË·ÀÓùËþ']
311,7,88,34,92,16,80,36,62,38,63,26,75,23,73,26,72,21,72,25,76,39379,1,47274,5,[]
312,3,97,29,91,13,83,36,62,38,63,27,74,24,74,24,71,21,73,23,79,39522,1,47324,5,[]
313,2,97,22,89,13,81,36,62,38,63,24,77,28,73,22,73,19,74,23,76,39575,1,47718,6,['26:4 RNG »÷ÆÆÁË·ÀÓùËþ']
314,11,91,14,89,18,87,36,62,38,63,23,79,23,77,19,76,17,79,19,78,39626,1,47973,6,[]
315,17,80,17,80,17,80,36,62,38,63,29,74,33,65,28,68,26,69,28,70,39962,1,48024,6,[]
316,24,74,26,77,26,72,36,62,11,91,94,7,45,67,30,66,30,64,32,66,40014,1,48076,6,[]
317,31,66,32,74,31,63,36,62,21,80,79,19,57,63,94,5,43,58,44,58,40157,1,48127,6,[]
318,31,65,44,79,30,56,2,96,29,70,68,28,70,64,93,5,48,59,49,55,40252,1,48179,6,[]
319,34,63,53,87,32,44,8,78,40,58,61,38,71,66,79,7,86,6,92,5,40465,1,48356,6,[]
320,36,61,57,90,35,38,10,64,44,55,52,47,95,4,62,8,80,13,76,16,40669,1,48408,6,[]
321,27,68,62,91,26,46,11,51,38,62,47,51,77,13,53,18,71,24,66,25,40756,1,48459,6,[]
322,33,62,59,90,22,44,21,47,27,66,46,52,65,21,41,27,55,31,54,31,40936,1,48510,6,[]
323,33,64,55,93,19,46,13,42,35,64,47,53,52,30,38,38,42,36,41,37,41150,1,48762,6,[]
324,35,62,52,94,8,48,8,34,33,61,41,53,41,36,30,40,32,35,27,37,41198,1,48810,6,[]
325,31,67,2,96,5,54,5,44,32,66,40,58,29,33,20,35,21,27,17,34,41273,1,48913,6,[]
326,26,73,4,75,8,55,6,55,25,70,32,59,18,36,11,33,12,23,9,37,41404,1,49146,6,[]
327,24,73,7,63,15,63,7,58,19,70,31,55,14,43,8,43,11,36,11,48,41546,1,49287,6,[]
328,19,71,8,55,13,63,6,52,13,63,31,64,16,49,18,51,6,47,11,46,41599,1,49494,6,[]
329,19,71,10,65,18,68,6,60,17,68,31,67,11,49,16,56,7,52,9,50,41676,1,49652,6,[]
330,7,85,18,68,21,70,6,62,5,88,26,66,11,54,11,50,6,52,8,53,41757,1,50255,7,['27:30 RNGUzi(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
331,12,69,14,71,15,68,5,66,8,73,24,66,11,61,17,59,6,60,11,61,41827,1,50344,7,[]
332,13,73,17,76,11,71,6,71,11,72,23,68,13,63,16,64,6,61,13,63,41901,1,50472,7,[]
333,16,76,17,77,8,82,5,72,15,75,25,76,14,64,15,65,8,63,14,64,42107,1,50663,7,[]
334,12,75,15,78,4,92,4,72,10,71,17,71,10,66,8,64,6,66,13,66,42180,1,50766,7,[]
335,8,74,11,73,9,81,3,72,6,73,21,75,8,65,5,64,9,65,12,65,42391,1,50866,7,[]
336,10,74,18,74,15,74,4,80,15,74,27,72,16,65,10,62,6,61,13,64,42443,1,51007,7,[]
337,11,74,12,74,16,74,4,93,14,75,24,73,18,64,16,63,10,59,17,66,42496,1,51059,7,[]
338,14,75,14,73,17,75,9,85,10,72,23,73,21,65,16,55,9,60,14,63,42744,1,51167,7,[]
339,13,73,18,72,17,72,13,73,13,74,24,73,14,66,11,54,10,63,13,64,42855,1,51493,7,[]
340,6,71,15,71,20,72,5,69,15,72,25,73,12,65,5,59,6,61,11,66,42927,1,51544,7,[]
341,9,71,10,69,16,66,11,73,9,63,16,71,9,64,5,60,6,64,9,63,43120,1,52373,7,[]
342,8,80,11,69,17,71,13,72,7,73,8,78,9,76,9,67,5,69,9,65,43187,1,52969,7,"['28:28 RNGLangx(»ÄÄ®ÍÀ·ò) »÷É±ÁË RWHuaTian(½âÍÑÕß)', '28:28 RNGMing(»êËøµäÓü³¤) »÷É±ÁË RWKillua(»Ãôá)']"
343,7,90,11,68,16,83,13,72,7,73,11,75,10,73,11,69,11,74,11,72,43240,1,53322,7,['28:31 RNGXiaohu(ÌìÆôÕß) »÷É±ÁË RWHolder(¿ñ±©Ö®ÐÄ)']
344,9,92,11,68,5,92,13,72,7,73,8,77,14,77,17,77,12,77,15,78,43291,1,53768,8,['28:36 RNGMing(»êËøµäÓü³¤) »÷ÆÆÁË·ÀÓùËþ']
345,12,90,11,68,8,86,13,72,7,73,8,78,14,80,13,78,10,78,15,79,43342,1,53842,8,[]
346,7,94,11,68,7,90,13,72,7,73,11,86,13,87,10,83,8,86,13,85,43393,1,54153,9,['28:50 RNGLangx(»ÄÄ®ÍÀ·ò) »÷ÆÆÁË·ÀÓùËþ']
347,6,95,11,68,4,93,13,72,7,73,13,90,13,88,7,89,11,91,10,91,43443,1,54919,10,['28:55 RNGKarsa(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷ÆÆÁË·ÀÓùËþ']
348,6,96,11,68,11,95,13,72,7,73,10,93,10,94,10,92,11,95,11,94,43500,1,54979,10,['28:58 RNGUzi(Õ½ÕùÅ®Éñ) »÷É±ÁË RWZWuJi(ÄæÓð)']
349,6,96,11,68,11,95,13,72,7,73,11,94,10,94,9,93,12,94,13,95,43551,1,55570,10,[]
350,6,96,11,68,11,95,13,72,2,96,12,91,9,91,9,93,13,91,12,93,43573,1,55594,10,['29:6 RNGUzi(Õ½ÕùÅ®Éñ) »÷É±ÁË RWHaro(Ðé¿Õ¶ÝµØÊÞ)']
351,6,96,11,68,11,95,13,72,2,96,12,91,9,91,9,93,13,91,12,93,43573,1,55594,10,['29:15 RNG »ñÊ¤']
