,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
233,23,94,16,44,17,9,44,53,18,88,44,9,70,91,69,89,90,7,62,62,0,3,0,1,[]
234,36,93,25,51,9,94,47,51,26,78,41,9,70,91,68,90,80,14,63,62,0,3,0,2,['19:30 FPXDoinb(·ûÎÄ·¨Ê¦) »÷ÆÆÁË·ÀÓùËþ']
235,49,92,39,51,31,80,45,52,33,66,31,9,70,80,74,88,72,23,63,62,0,3,0,2,[]
236,58,88,49,60,45,67,47,59,42,58,23,11,70,80,78,78,64,34,90,9,0,3,0,2,[]
237,66,91,56,61,53,64,54,64,54,61,20,11,87,6,75,65,65,36,80,15,0,3,0,2,[]
238,71,89,66,55,64,60,56,60,64,57,13,22,76,15,79,53,66,38,68,27,0,3,0,2,[]
239,80,83,67,56,65,50,52,50,75,62,9,34,64,21,80,42,58,34,56,32,0,3,0,2,[]
240,88,73,64,64,64,57,53,53,69,63,8,40,54,31,76,35,58,39,42,34,0,3,0,2,[]
241,85,77,65,62,46,58,63,63,65,62,16,49,42,39,64,38,60,36,33,43,0,3,0,2,[]
242,79,69,66,67,30,59,63,64,55,61,20,46,30,35,63,33,56,33,24,51,0,3,0,2,['20:10 EDG »÷É±ÁËË®Áú']
243,83,59,56,62,8,56,51,61,44,55,18,45,20,27,63,33,60,35,20,45,0,3,0,2,[]
244,82,56,47,57,6,52,51,51,51,51,14,36,24,29,93,11,65,36,24,34,0,3,0,2,[]
245,80,54,46,51,11,57,51,47,55,47,14,36,38,30,92,26,66,38,24,34,0,3,0,2,[]
246,86,51,52,46,19,64,55,45,55,46,89,7,51,35,91,37,61,39,92,6,0,3,0,2,[]
247,89,55,43,43,30,63,46,46,45,43,86,22,47,34,90,47,63,35,76,18,0,3,0,2,[]
248,86,63,34,40,31,52,36,42,36,41,74,29,48,32,85,51,61,34,66,29,0,3,0,2,[]
249,82,65,33,43,33,42,34,42,30,38,63,35,49,25,91,51,56,33,55,32,0,3,0,2,[]
250,82,65,33,43,39,50,2,96,34,43,50,32,38,26,91,49,59,38,57,34,0,3,0,2,[]
251,17,86,2,96,40,50,13,85,34,43,49,35,46,36,84,50,54,42,58,42,0,3,0,2,[]
252,23,73,13,81,46,50,24,76,10,84,48,42,45,40,76,44,53,45,57,42,0,3,0,2,[]
253,31,63,25,70,41,51,32,67,18,70,49,46,47,44,77,52,53,46,53,45,0,3,0,2,[]
254,31,51,31,58,31,47,40,57,18,57,45,36,41,33,75,65,57,39,47,37,0,3,0,2,[]
255,31,51,32,48,31,50,35,59,22,51,43,34,42,34,79,77,53,33,48,40,0,3,0,2,[]
256,34,39,34,39,25,46,37,51,21,47,36,24,41,34,76,87,49,40,48,42,0,3,0,2,[]
257,35,38,32,37,24,40,46,53,25,37,26,14,40,30,65,90,50,47,46,40,0,3,0,2,[]
258,35,38,33,43,22,31,48,51,32,45,15,10,50,34,66,90,54,45,46,37,0,3,0,2,[]
259,12,96,32,43,15,21,40,51,40,52,13,9,50,35,71,81,57,41,37,26,0,3,0,2,[]
260,28,95,33,43,14,20,31,45,32,51,11,16,39,29,73,71,51,41,24,23,0,3,0,2,[]
261,38,94,21,38,15,32,28,38,28,38,11,30,25,25,13,20,39,38,15,32,0,3,0,2,[]
262,12,25,15,33,16,31,19,36,16,33,14,34,20,33,14,35,30,37,13,35,0,3,0,2,"['21:47 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ)', '21:50 EDGJiejie(µÂ°î×Ü¹Ü) »÷É±ÁË FPXGimGoon(µ¶·æÎèÕß)']"
263,16,33,14,33,16,31,15,37,16,35,14,34,16,32,16,42,19,38,17,33,0,3,0,2,"['21:51 FPXDoinb(·ûÎÄ·¨Ê¦) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)', '21:55 FPXTian(¾ÆÍ°) »÷É±ÁË EDGMeiko(À×öªÅØÏø)']"
264,20,34,14,33,16,31,14,34,16,35,14,34,18,35,15,39,19,39,18,32,0,3,0,2,[]
265,20,26,14,33,16,31,13,35,16,35,14,34,23,34,16,37,19,33,18,32,0,3,0,2,['22:2 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGiBoy(ÄæÓð)']
266,21,14,14,33,16,31,13,35,16,35,14,34,20,21,23,37,19,26,22,37,0,3,0,2,[]
267,19,19,14,33,16,31,13,35,16,35,14,34,22,23,27,31,23,26,28,32,0,3,0,2,['22:12 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGJinoo(»ÄÄ®ÍÀ·ò)']
268,19,19,14,33,16,31,13,35,16,35,14,34,23,29,29,32,31,31,32,31,0,3,0,2,[]
269,19,19,14,33,16,31,13,35,16,35,14,34,27,30,30,32,35,31,32,31,0,3,0,2,[]
270,19,19,5,90,16,31,13,35,8,87,14,34,31,29,32,34,33,31,32,31,0,3,0,2,[]
271,19,19,16,76,8,87,13,35,20,76,92,6,33,28,33,33,35,30,26,30,0,3,0,2,['22:34 FPX »÷É±ÁË´óÁú']
272,19,19,26,68,21,83,13,35,30,67,87,20,42,17,95,4,36,29,25,28,0,3,0,2,[]
273,19,19,27,59,32,89,4,96,44,69,79,32,39,16,81,6,94,4,88,9,0,3,0,2,[]
274,19,19,27,59,45,88,20,89,53,67,67,36,40,16,66,8,80,14,79,15,0,3,0,2,[]
275,19,19,35,62,57,89,32,80,63,59,57,44,40,15,54,8,70,25,70,28,0,3,0,2,[]
276,18,85,47,65,62,87,41,72,62,59,52,48,93,4,43,8,60,36,59,39,0,3,0,2,[]
277,27,72,48,65,61,85,45,72,57,71,49,49,78,17,35,10,52,45,50,47,0,3,0,2,[]
278,36,62,46,63,54,83,39,63,48,77,42,51,67,28,27,10,44,51,49,52,0,3,0,2,[]
279,40,57,56,61,48,77,40,59,41,66,34,48,57,38,27,19,45,48,46,51,0,3,0,2,[]
280,31,58,56,56,46,68,42,58,43,59,34,42,47,48,27,31,45,50,47,49,0,3,0,2,[]
281,33,49,56,56,52,60,41,58,39,56,30,38,48,48,37,39,46,50,47,52,0,3,0,2,[]
282,37,50,55,56,48,55,44,57,45,55,21,38,47,51,44,48,49,53,48,54,0,3,0,2,[]
283,41,57,51,53,51,65,43,59,44,58,46,54,48,52,47,54,51,50,49,54,0,3,0,2,['23:35 FPXDoinb(·ûÎÄ·¨Ê¦) »÷É±ÁË EDGMeiko(À×öªÅØÏø)']
284,36,64,50,54,46,73,40,69,44,58,39,56,48,54,36,66,50,55,46,55,0,3,0,2,['23:38 FPXCrisp(Éîº£Ì©Ì¹) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)']
285,32,67,50,54,38,75,38,71,44,58,33,60,37,61,36,66,37,59,35,59,0,3,0,3,"['23:41 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ', '23:42 EDGiBoy(ÄæÓð) »÷É±ÁË FPXDoinb(·ûÎÄ·¨Ê¦)']"
286,36,64,50,54,36,77,44,68,44,58,40,57,45,57,36,66,39,55,45,54,0,3,0,3,[]
287,41,67,50,54,4,93,39,66,44,58,42,46,47,56,36,66,44,52,53,56,0,3,0,3,[]
288,50,66,50,54,5,83,38,60,44,58,31,40,57,58,36,66,47,49,55,56,0,3,0,3,[]
289,60,73,50,54,6,68,41,66,44,58,19,36,70,65,36,66,49,47,95,4,0,3,0,3,[]
290,71,77,50,54,6,55,45,71,14,91,15,34,74,61,36,66,91,5,93,3,0,3,0,3,[]
291,81,82,50,54,5,45,39,65,17,75,8,32,83,56,36,66,75,12,80,15,0,3,0,3,[]
292,77,73,2,95,7,37,40,58,18,61,9,28,82,55,36,66,63,21,70,27,0,3,0,3,[]
293,76,62,17,84,11,39,47,52,24,51,93,5,74,44,36,66,51,25,59,38,0,3,0,3,[]
294,83,64,32,79,13,34,45,54,31,56,76,10,69,41,95,4,49,32,57,43,0,3,0,3,[]
295,84,64,46,72,12,23,39,62,39,64,62,9,66,39,95,4,49,39,51,42,0,3,0,3,[]
296,83,65,54,62,15,17,39,62,48,66,48,10,83,11,87,19,54,43,54,48,0,3,0,3,[]
297,83,65,54,65,8,17,9,92,54,61,35,9,73,24,81,32,54,49,55,50,0,3,0,3,[]
298,83,65,53,67,8,17,22,81,46,66,25,9,65,36,80,45,53,54,54,55,0,3,0,3,[]
299,82,65,53,64,10,94,31,71,52,63,20,16,52,36,77,53,49,50,55,50,0,3,0,3,[]
300,83,65,52,63,32,80,39,61,51,62,25,28,49,41,72,63,48,50,63,52,0,3,0,3,[]
301,83,65,51,64,47,68,39,63,53,66,34,37,55,53,63,61,55,57,62,63,0,3,0,3,[]
302,81,65,51,65,57,69,48,66,51,66,45,44,59,59,64,62,55,56,64,58,0,3,0,3,[]
303,81,65,52,66,59,73,53,68,53,66,54,54,65,63,67,64,55,57,56,56,0,3,0,3,[]
304,77,65,60,68,59,67,57,65,59,63,54,58,68,69,69,65,62,58,57,56,0,3,0,3,[]
305,67,69,65,61,68,71,54,64,63,62,54,64,65,70,66,61,64,58,61,62,0,3,0,3,['25:22 FPX »÷É±ÁË·çÁú']
306,64,69,66,62,64,74,50,66,67,68,57,68,66,72,67,66,67,65,67,67,0,3,0,3,"['25:26 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)', '25:27 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGiBoy(ÄæÓð)', '25:29 FPXDoinb(·ûÎÄ·¨Ê¦) »÷É±ÁË EDGMeiko(À×öªÅØÏø)']"
307,65,68,66,62,65,73,50,66,67,68,58,70,64,64,52,77,65,68,54,77,0,3,0,3,"['25:32 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ)', '25:33 FPXCrisp(Éîº£Ì©Ì¹) »÷É±ÁË EDGJinoo(»ÄÄ®ÍÀ·ò)']"
308,65,68,66,62,65,73,50,66,67,68,49,59,52,55,54,87,75,74,41,77,0,3,0,3,[]
309,65,68,66,62,65,73,50,66,67,68,42,55,45,56,54,85,77,86,39,62,0,3,0,3,[]
310,65,68,66,62,65,73,50,66,67,68,35,61,45,65,54,88,68,88,33,61,0,3,0,3,[]
311,65,68,66,62,65,73,50,66,67,68,33,66,43,68,52,91,54,90,33,63,0,3,0,3,[]
312,65,68,66,62,65,73,50,66,67,68,32,66,33,69,45,92,49,92,32,66,0,3,0,3,[]
313,65,68,4,95,65,73,50,66,5,97,27,68,30,71,41,90,44,90,31,70,0,3,0,5,"['26:3 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ', '26:5 FPXLwx(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ']"
314,65,68,19,85,65,73,50,66,23,89,24,73,26,74,33,89,36,90,25,75,0,3,0,5,[]
315,65,68,30,91,65,73,8,93,29,92,22,74,25,75,34,89,36,88,27,74,0,3,0,6,['26:15 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
316,3,96,29,88,65,73,20,83,27,87,31,65,31,64,39,88,44,82,36,63,0,3,0,6,[]
317,24,93,32,90,7,86,22,76,29,90,29,53,26,58,48,79,46,79,43,51,0,3,0,6,[]
318,34,91,24,84,17,73,27,69,29,90,20,50,20,50,57,70,46,79,43,51,0,3,0,6,[]
319,36,79,23,73,24,66,31,65,35,78,24,45,23,42,64,63,92,5,92,6,0,3,0,6,[]
320,37,89,32,61,31,57,30,56,30,69,24,36,24,40,71,64,77,18,77,18,0,3,0,6,[]
321,48,92,30,57,31,63,32,49,31,65,28,23,32,31,66,56,68,29,68,28,0,3,0,6,[]
322,49,91,33,43,32,49,32,48,31,52,29,22,41,37,57,47,57,38,56,41,0,3,0,6,[]
323,51,84,30,50,27,51,32,53,29,50,26,25,34,39,47,48,49,47,41,39,0,3,0,6,[]
324,44,70,24,56,25,57,37,59,24,56,26,25,36,43,49,46,45,46,41,45,0,3,0,6,[]
325,35,64,29,59,26,59,35,61,36,60,93,4,41,28,44,35,50,46,46,47,0,3,0,6,[]
326,31,52,32,55,37,65,33,62,39,65,82,15,40,17,37,24,62,42,44,44,0,3,0,6,[]
327,23,51,30,55,42,68,33,62,40,66,81,30,40,16,31,16,72,40,45,43,0,3,0,6,[]
328,17,43,32,53,42,68,9,86,5,95,80,45,34,16,32,12,62,39,48,45,0,3,0,6,[]
329,16,44,22,47,10,84,23,78,15,88,84,57,29,9,31,8,52,46,48,49,0,3,0,6,[]
330,26,50,16,43,24,71,33,66,25,76,84,57,30,9,27,9,49,49,48,47,0,3,0,6,[]
331,33,43,26,35,32,60,40,58,36,64,87,70,93,4,95,4,55,40,50,45,0,3,0,6,[]
332,34,38,28,36,32,47,37,57,40,57,82,85,74,14,80,15,54,32,95,4,0,3,0,6,[]
333,34,38,26,37,36,42,36,49,35,47,81,88,62,24,69,26,60,35,80,15,0,3,0,6,[]
334,9,95,37,41,41,45,41,54,39,43,82,90,50,33,60,36,58,39,70,28,0,3,0,6,[]
335,22,83,33,32,42,41,48,51,45,47,94,4,46,37,58,43,54,41,59,39,0,3,0,6,[]
336,29,70,32,33,42,39,47,50,47,48,78,17,49,35,57,44,57,41,55,44,0,3,0,6,[]
337,34,60,32,33,41,42,42,46,43,44,68,29,56,33,61,39,61,39,57,44,0,3,0,6,[]
338,33,49,40,44,39,44,42,46,43,45,59,39,53,43,53,47,54,45,48,52,0,3,0,6,[]
339,33,49,35,43,39,43,38,43,40,44,50,50,46,53,48,57,47,55,40,54,0,3,0,6,[]
340,30,59,32,48,30,47,31,51,31,46,38,61,37,62,49,65,40,61,39,53,0,3,0,6,[]
341,22,53,34,42,35,43,30,48,32,45,34,62,32,63,44,69,35,62,27,60,0,3,0,6,[]
342,20,51,32,45,35,43,31,45,32,49,32,60,31,55,35,62,31,57,32,53,0,3,0,6,[]
343,22,54,32,43,33,42,36,38,33,43,31,54,31,52,38,51,31,54,30,50,0,3,0,6,[]
344,25,56,32,42,33,42,33,43,32,41,24,56,25,57,33,59,26,57,30,50,0,3,0,6,['28:39 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGJinoo(»ÄÄ®ÍÀ·ò)']
345,25,56,33,33,25,32,42,35,29,35,19,77,29,58,22,77,29,66,22,75,0,3,0,6,[]
346,25,56,33,33,20,27,41,32,28,34,17,80,32,43,17,79,21,74,16,79,0,3,0,6,[]
347,25,56,7,89,20,27,2,96,28,22,12,86,23,30,15,83,13,82,12,86,0,3,0,6,[]
348,25,56,11,85,26,24,13,88,29,21,17,85,22,30,14,82,14,82,20,82,0,3,0,7,['28:56 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
349,25,56,9,86,37,24,15,89,4,96,17,87,29,32,14,85,10,85,13,88,0,3,0,7,['29:3 FPXDoinb(·ûÎÄ·¨Ê¦) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)']
350,25,56,9,86,40,15,12,89,13,86,18,80,36,23,19,85,16,85,16,81,0,3,0,7,[]
351,25,56,9,86,39,15,7,89,12,86,20,81,39,15,15,85,16,85,20,82,0,3,0,7,"['29:11 EDGiBoy(ÄæÓð) »÷É±ÁË FPXLwx(Ì½ÏÕ¼Ò)', '29:15 FPXDoinb(·ûÎÄ·¨Ê¦) »÷É±ÁË EDGMeiko(À×öªÅØÏø)']"
352,25,56,9,86,15,94,10,91,12,86,12,86,29,20,16,88,16,85,17,86,0,3,0,8,['29:18 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
353,25,56,9,86,9,96,10,91,12,86,10,92,25,34,12,91,16,85,12,91,0,3,0,8,"['29:21 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGiBoy(ÄæÓð)', '29:23 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ)']"
354,12,90,9,86,9,96,10,91,12,86,10,92,26,35,10,93,16,85,11,91,0,3,0,8,[]
355,12,90,9,86,9,96,10,91,12,86,10,92,26,35,10,93,16,85,11,91,0,3,0,8,['29:35 FPX »ñÊ¤']
