,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,28,20,46,51,48,52,76,86,72,85,27,9,87,8,57,58,82,89,83,87,0,0,0,0,[]
57,26,17,49,61,46,53,76,88,75,88,24,10,78,17,89,6,79,84,81,87,0,0,0,0,[]
58,21,10,47,66,46,53,75,91,74,91,24,8,71,27,81,14,74,88,79,90,0,0,0,0,[]
59,21,10,46,66,5,94,76,92,75,92,26,8,66,38,74,22,81,90,76,91,0,0,0,0,[]
60,21,13,44,68,9,92,72,87,72,89,25,8,73,43,67,31,85,81,85,87,0,0,0,0,[]
61,22,13,34,62,18,86,72,88,69,81,25,10,76,45,59,39,88,78,87,85,0,0,0,0,[]
62,19,12,24,56,25,77,72,87,70,80,23,9,77,52,53,44,95,4,82,90,0,0,0,0,[]
63,18,10,22,54,34,68,73,87,70,80,29,6,75,63,55,47,95,4,81,90,0,0,0,0,[]
64,18,12,20,50,41,61,71,90,7,96,27,7,72,75,55,47,78,85,81,90,0,0,0,0,[]
65,20,9,15,44,47,54,71,92,16,94,24,9,67,82,53,48,74,88,76,89,0,0,0,0,[]
66,20,10,15,43,51,60,68,92,28,93,26,8,69,80,55,48,72,86,76,86,0,0,0,0,[]
67,20,13,15,43,49,53,72,91,40,92,24,9,72,70,54,47,76,87,78,81,0,0,0,0,[]
68,21,13,15,43,45,53,75,89,51,91,30,6,67,60,52,49,81,84,79,81,0,0,0,0,[]
69,19,11,5,93,47,52,77,88,61,86,32,6,61,51,58,50,84,85,79,79,0,0,0,0,[]
70,22,10,12,82,44,57,78,88,71,85,32,6,55,40,58,50,82,83,78,74,0,0,0,0,[]
71,24,14,22,73,43,58,76,87,77,88,95,4,53,33,91,6,83,84,78,74,0,0,0,0,[]
72,27,20,30,64,53,57,75,89,74,87,28,8,52,30,90,7,81,81,90,12,0,0,0,0,[]
73,27,21,31,52,55,56,72,89,66,79,27,14,50,26,88,8,80,81,83,20,0,0,0,0,[]
74,24,22,36,42,47,54,76,90,57,71,24,9,43,17,80,15,80,82,80,33,0,0,0,0,[]
75,24,22,45,42,48,54,75,89,52,60,25,11,45,15,73,23,82,82,80,45,0,0,0,0,[]
