,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,16,16,18,45,48,48,75,90,75,91,55,45,32,11,15,10,80,88,80,87,6906,0,6835,0,[]
57,14,17,18,45,46,51,74,89,77,90,51,42,28,11,15,11,80,87,81,87,7089,0,6908,0,[]
58,13,17,21,44,42,52,75,88,76,89,43,39,26,22,15,12,82,86,80,84,7189,0,7037,0,[]
59,10,20,31,37,43,41,71,90,74,91,41,41,13,21,11,19,79,86,78,87,7263,0,7151,0,[]
60,5,29,42,40,43,41,71,89,72,90,42,41,19,22,17,15,80,88,74,78,7962,0,7222,0,[]
61,10,23,44,35,44,49,72,88,72,84,43,41,30,18,17,13,80,84,75,78,8052,0,7288,0,"['5:1 IGNing(德玛西亚皇子) 击杀了 V5Windy(符文法师),获得一血']"
62,9,21,49,34,42,51,78,88,80,89,43,41,41,17,15,13,83,85,83,83,8140,0,7381,0,[]
63,10,23,48,35,43,45,78,89,81,88,95,4,43,18,12,18,84,83,83,83,8346,0,7466,0,[]
64,12,20,40,37,43,45,79,90,79,89,85,10,41,16,14,14,82,84,79,84,8439,0,7642,0,[]
65,13,19,29,33,4,92,78,89,78,87,78,19,39,16,20,20,84,84,81,83,8503,0,7713,0,[]
66,18,16,21,25,8,85,78,88,79,87,70,26,36,16,22,13,84,85,81,84,8602,0,7824,0,[]
67,16,14,20,21,17,77,76,88,77,88,63,35,37,16,20,12,83,85,83,85,8667,0,7926,0,[]
68,18,15,19,13,26,69,79,89,79,88,55,43,30,18,21,9,83,83,83,84,8731,0,8011,0,[]
69,10,19,16,14,35,61,76,88,77,89,47,49,17,18,17,16,83,87,84,85,8782,0,8152,0,[]
70,12,18,15,17,41,54,79,88,79,89,46,51,15,14,11,17,82,87,80,84,8875,0,9283,0,[]
71,10,18,12,25,40,56,78,89,77,90,46,53,11,22,12,22,77,90,77,90,8930,0,9356,0,"['5:52 V5Ben4(水晶先锋) 击杀了 IGTheShy(万花通灵)', '5:54 V5Max(深海泰坦) 击杀了 IGJackeyLove(虚空之女)']"
72,10,18,10,29,40,55,78,89,71,92,46,53,16,16,18,16,80,88,74,89,9112,0,9540,0,[]
73,10,18,10,29,40,58,78,89,68,92,45,53,25,7,16,13,87,85,82,84,9205,0,9684,0,[]
74,1,96,7,95,38,59,2,96,68,92,43,54,16,10,11,20,87,85,83,82,9305,0,9738,0,[]
75,10,26,18,94,39,58,74,87,8,94,43,54,8,16,10,21,93,8,95,4,9369,0,9852,0,[]
76,11,22,30,92,41,57,75,89,11,93,49,52,10,13,10,14,93,12,91,7,9501,0,9904,0,[]
77,10,23,41,91,47,53,74,88,22,90,54,48,95,4,7,16,93,23,82,13,9608,0,9954,0,[]
78,11,25,52,88,48,53,74,88,34,89,51,47,89,6,10,24,92,34,73,24,9674,0,10296,0,[]
79,11,27,57,83,47,55,75,87,46,88,50,49,77,12,10,24,91,45,63,35,9753,0,10412,0,['6:33 V5Mole(解脱者) 击杀了 IGTheShy(万花通灵)']
80,11,27,56,82,48,54,76,87,56,85,51,49,67,19,10,25,90,55,57,45,9909,0,10511,0,[]
81,11,27,58,84,44,54,77,87,68,82,49,50,57,22,10,27,88,64,54,47,10021,0,10604,0,[]
82,3,90,59,83,40,59,78,86,77,75,56,55,48,26,8,19,82,66,60,58,10216,0,10657,0,[]
83,4,77,67,82,43,54,79,84,79,75,63,63,48,26,8,19,71,64,67,64,10281,0,10805,0,[]
84,6,66,74,75,50,54,80,82,78,73,62,59,51,27,93,4,72,63,74,63,10360,0,10958,0,[]
85,7,55,76,67,48,54,82,78,78,72,54,52,52,33,90,5,80,66,80,65,10431,0,11030,0,[]
86,8,43,74,57,48,55,84,79,76,62,53,50,46,36,78,6,87,70,88,71,10545,0,11132,0,[]
87,10,31,68,54,48,54,82,79,72,54,50,51,43,44,66,7,88,75,88,75,10669,0,11262,0,[]
88,10,24,66,54,45,56,85,78,60,51,47,50,43,49,54,8,90,75,89,75,10754,0,11431,0,[]
89,12,22,56,50,44,56,77,73,50,53,44,53,44,55,42,8,89,77,83,78,10923,0,12053,0,['7:25 V5Windy(符文法师) 击杀了 IGRookie(诡术妖姬)']
90,12,18,41,52,44,55,68,66,43,51,44,51,42,52,36,14,88,76,78,74,11527,0,12147,0,['7:30 IGNing(德玛西亚皇子) 击杀了 V5Ben4(水晶先锋)']
91,18,21,47,50,44,55,59,59,50,49,48,49,42,52,27,14,89,75,83,78,12047,0,12233,0,['7:34 IGNing(德玛西亚皇子) 击杀了 V5Windy(符文法师)']
92,17,14,50,60,44,55,57,65,55,58,48,49,42,52,24,12,86,80,86,77,12123,0,12494,0,[]
93,16,13,61,63,4,92,60,74,57,56,48,49,42,52,21,13,88,82,82,80,12204,0,12655,0,[]
94,10,19,55,68,14,80,64,88,58,66,48,49,92,9,11,18,88,82,80,75,12276,0,12708,0,[]
95,12,19,51,75,24,72,70,89,63,76,86,9,87,20,13,15,95,5,80,75,12368,0,12759,0,[]
96,15,16,50,74,34,64,75,88,75,77,78,19,80,37,20,9,94,15,89,15,12561,0,12830,0,[]
97,18,24,46,66,42,55,84,83,84,78,69,28,76,54,18,12,92,26,83,28,12693,0,12918,0,[]
98,27,32,47,65,44,54,88,78,86,77,61,38,68,63,19,8,91,37,80,42,12962,0,12983,0,[]
99,33,37,46,64,43,54,88,78,86,78,55,49,54,58,18,10,90,48,87,54,13092,0,13045,0,[]
100,25,29,46,64,44,54,87,85,81,81,50,55,53,58,17,10,89,58,90,68,13171,0,13172,0,[]
101,19,20,11,91,41,55,87,85,81,81,48,53,49,53,21,10,91,68,90,71,13222,0,13273,0,[]
102,18,14,19,83,44,53,4,96,7,95,55,49,58,50,20,9,91,72,88,71,13353,0,13367,0,[]
103,17,13,30,80,47,51,16,94,16,93,67,50,71,52,23,9,88,75,86,75,13412,0,13460,0,[]
104,15,17,44,72,45,54,29,93,27,89,69,50,74,52,20,10,86,79,83,81,13507,0,13636,0,[]
105,13,19,54,68,44,51,40,92,41,90,61,50,82,55,16,13,84,81,82,82,13650,0,13915,0,[]
106,13,18,53,62,45,53,51,91,53,88,55,46,82,55,15,13,82,79,79,75,13778,0,14081,0,[]
107,12,21,53,64,46,55,63,91,65,88,55,54,80,53,17,18,74,72,69,66,13850,0,14218,0,[]
108,7,28,51,60,46,54,69,91,72,89,56,55,67,50,19,25,66,65,62,61,14107,0,14329,0,[]
109,7,27,51,59,46,56,73,89,73,86,49,50,58,50,12,23,59,59,55,57,14235,0,14487,0,[]
110,9,24,52,59,45,58,80,87,74,86,48,52,55,51,12,24,54,57,53,58,14414,0,15343,0,[]
111,8,25,50,66,43,58,80,86,69,79,46,56,58,61,16,20,58,59,55,61,14511,0,15415,0,['9:13 V5y4(逆羽) 击杀了 IGNing(德玛西亚皇子)']
112,5,30,50,66,38,58,80,82,77,79,44,54,67,69,20,23,67,64,62,64,14687,0,15467,0,[]
113,9,27,50,66,41,59,71,78,68,78,46,53,66,72,20,23,69,67,67,69,14780,0,15547,0,[]
114,10,30,3,94,43,54,62,77,59,71,50,50,66,71,85,4,75,72,67,68,14831,0,15656,0,[]
115,12,22,9,83,44,56,60,75,62,75,47,50,67,69,73,5,84,78,72,70,14902,0,15735,0,[]
116,13,21,14,73,38,58,66,79,69,79,44,55,69,67,61,7,87,80,79,75,14978,0,15908,0,[]
117,13,19,19,62,41,55,72,87,74,87,47,46,73,68,49,8,87,80,85,80,15085,0,16176,0,['9:41 V5 击杀了火龙']
