,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
232,36,83,42,25,46,23,45,47,45,43,18,13,67,52,68,80,56,46,61,50,31341,0,33752,3,[]
233,45,91,41,37,46,30,43,51,42,45,8,17,78,53,68,80,54,48,58,47,31491,0,33799,3,[]
234,44,90,46,43,46,36,47,49,48,49,7,19,81,54,94,4,56,46,56,43,31783,0,33872,3,[]
235,35,83,46,43,50,35,48,46,49,46,7,19,77,54,87,16,59,44,58,40,31876,0,34113,3,[]
236,33,69,46,45,47,39,49,47,48,47,87,8,75,53,78,24,60,44,57,43,31929,0,34356,3,[]
237,35,59,43,45,35,39,41,56,40,51,78,17,74,54,80,38,64,40,60,39,31982,0,34413,3,[]
238,38,56,43,45,35,39,41,56,40,51,69,29,74,54,79,50,64,40,95,4,32039,0,34466,3,[]
239,38,56,12,90,5,91,40,57,8,93,61,39,88,7,75,63,91,5,85,12,32093,0,34516,3,[]
240,40,55,21,82,13,79,40,58,20,82,53,48,77,15,77,75,82,12,74,22,32164,0,34675,3,[]
241,44,51,32,71,24,71,44,52,29,74,55,48,63,22,74,90,74,22,61,25,32300,0,34784,3,[]
242,40,62,42,67,35,66,42,59,40,72,55,50,50,33,68,80,66,32,51,33,32411,0,34863,3,[]
243,45,71,52,68,44,58,44,68,47,75,58,58,41,35,60,71,59,42,42,35,32461,0,34944,3,[]
244,56,75,58,64,59,63,55,65,57,73,62,61,46,49,61,61,56,54,44,45,33305,0,34995,3,[]
245,56,63,62,61,57,64,55,64,59,63,65,58,58,57,61,61,64,59,54,55,33357,0,35047,3,['20:22 IGRookie(诡术妖姬) 击杀了 V5Mole(解脱者)']
246,58,59,54,63,57,65,54,61,57,64,62,59,57,61,61,61,61,62,58,59,33409,0,35574,3,[]
247,60,57,55,58,57,65,60,57,59,62,65,59,67,61,61,61,61,60,64,57,33913,0,36826,3,"['20:33 V5y4(逆羽) 击杀了 IGLucas(弗雷尔卓德之心)', '20:35 IGJackeyLove(虚空之女) 击杀了 V5Max(深海泰坦)']"
248,52,57,50,55,51,60,59,56,59,62,59,58,60,56,61,61,52,56,64,57,33963,0,37438,3,"['20:37 V5Windy(符文法师) 击杀了 IGJackeyLove(虚空之女)', '20:39 V5y4(逆羽) 击杀了 IGNing(德玛西亚皇子)', '20:40 V5y4(逆羽) 击杀了 IGTheShy(万花通灵)']"
249,52,57,50,55,45,63,59,56,59,62,51,54,49,50,61,61,48,51,64,57,34035,0,37488,3,[]
250,52,57,50,55,45,54,59,56,59,62,45,49,44,45,61,61,44,48,64,57,34087,0,37540,3,[]
251,52,57,50,55,42,42,59,56,59,62,36,39,38,37,61,61,36,39,64,57,34137,0,37622,3,[]
252,52,57,50,55,36,42,59,56,59,62,31,34,30,32,61,61,31,33,64,57,34190,0,37674,3,[]
253,52,57,50,55,32,42,59,56,3,96,32,31,31,29,95,4,30,31,64,57,34242,0,37725,3,[]
254,52,57,50,55,31,56,59,56,13,81,32,31,31,29,31,51,31,32,82,9,34289,0,37774,3,[]
255,52,57,5,91,33,49,59,56,23,72,32,31,31,29,32,48,32,33,68,18,34343,0,39703,3,['21:14 V5Mole(解脱者) 击杀了 IGRookie(诡术妖姬)']
256,4,95,13,77,33,49,13,90,33,65,31,31,32,29,36,38,32,35,58,29,34425,0,39750,3,['21:17 V5 击杀了大龙']
257,22,93,18,64,33,49,23,78,39,61,88,5,92,4,95,4,89,5,55,31,34508,0,39804,3,[]
258,37,92,22,55,33,49,31,68,41,60,72,7,80,17,95,5,77,18,86,9,34594,0,39858,3,[]
259,51,92,23,56,33,49,41,59,43,58,60,9,70,28,93,24,69,28,78,24,35028,0,39903,3,[]
260,63,91,18,46,33,49,46,56,49,59,48,11,61,37,92,38,60,38,68,34,35129,0,39990,3,[]
261,64,91,15,43,33,49,51,64,56,65,35,12,54,46,90,51,54,46,57,44,35361,0,40160,3,[]
262,62,90,22,50,33,49,44,68,56,74,22,13,45,53,90,59,46,51,49,48,35586,0,40372,3,[]
263,55,86,32,45,8,93,40,66,47,71,16,19,50,48,89,62,49,48,52,46,35698,0,40549,3,[]
264,49,83,31,45,20,82,41,57,55,67,10,22,52,49,87,66,51,44,54,50,35940,0,40663,3,[]
265,50,82,34,43,28,70,40,57,54,67,10,20,56,61,86,77,49,34,60,58,36075,0,41153,3,[]
266,57,72,43,54,36,61,50,61,56,67,90,7,63,62,81,77,52,42,64,61,36126,0,41235,3,[]
267,57,65,53,62,48,59,56,65,58,63,78,17,69,67,71,67,61,50,68,64,36180,0,41414,3,[]
268,61,59,60,62,58,55,61,59,63,58,71,27,76,60,75,61,72,52,72,63,36292,0,41465,3,[]
269,57,62,55,58,51,52,52,53,58,57,62,37,68,63,66,63,72,63,70,63,36406,0,41515,3,[]
270,50,60,50,55,47,57,45,57,51,55,54,47,56,61,59,58,60,59,57,56,36458,0,41672,3,[]
271,41,56,42,58,46,60,40,58,43,58,47,51,54,60,48,56,52,57,50,53,36508,0,41724,3,[]
272,35,62,41,65,40,66,33,63,39,64,38,56,44,58,43,54,47,59,43,56,36651,0,41836,3,[]
273,38,64,44,69,40,65,36,62,41,61,32,49,43,53,35,49,46,54,44,53,36731,0,41887,3,[]
274,40,65,45,64,29,65,38,65,42,66,19,50,38,43,29,51,41,55,45,53,36782,0,41980,3,[]
275,2,96,37,63,19,62,35,63,33,59,10,44,33,41,24,49,45,51,43,52,36834,0,42202,3,[]
276,18,85,32,58,14,50,39,62,39,60,9,39,31,52,21,47,43,51,43,51,37011,0,42442,3,[]
277,30,79,34,62,11,50,39,60,39,59,11,45,23,50,17,49,42,47,35,43,37103,0,42969,3,[]
278,20,69,26,66,8,54,39,61,36,61,9,52,11,53,8,53,32,44,25,50,37216,0,43021,3,['23:8 V5Mole(解脱者) 击杀了 IGRookie(诡术妖姬)']
279,13,63,14,63,8,54,26,66,32,63,9,51,12,49,8,53,24,38,18,53,37265,0,43654,3,[]
280,10,62,13,64,8,54,17,67,32,63,5,55,17,61,6,59,17,49,10,53,37314,0,43767,4,['23:16 V5Mole(解脱者) 击破了防御塔']
281,9,68,13,69,8,54,17,68,7,83,8,64,10,64,9,60,11,57,10,62,37379,0,43818,4,[]
282,6,72,10,72,8,54,10,73,12,70,5,66,11,64,8,62,9,63,6,65,37438,0,43876,4,[]
283,8,75,5,74,8,54,10,75,12,73,5,67,11,69,4,69,9,67,6,67,37522,0,44170,4,[]
284,9,80,12,78,8,54,13,78,10,78,6,74,10,75,6,72,10,73,11,72,37572,0,44316,5,['23:39 V5y4(逆羽) 击破了防御塔']
285,11,83,11,82,8,54,14,81,12,82,7,78,10,74,9,78,13,76,11,75,37624,0,44438,5,[]
286,7,80,10,80,6,87,15,77,14,78,7,73,9,68,6,74,9,74,9,72,37717,0,44540,5,[]
287,9,79,9,84,9,73,11,70,10,70,9,55,11,55,9,56,9,56,7,56,38075,0,44594,5,[]
288,4,93,3,96,8,65,12,66,16,69,6,45,11,40,5,46,6,46,8,42,38127,0,44645,5,[]
289,4,96,12,92,8,55,25,67,22,65,95,4,11,27,94,7,92,5,9,28,38268,0,44695,5,[]
290,23,94,23,83,5,44,38,62,22,65,93,8,13,22,94,8,87,7,6,20,38439,0,44746,5,[]
291,38,93,19,71,7,45,41,66,12,91,83,20,94,6,92,27,74,16,93,6,38615,0,44798,5,[]
292,48,90,21,59,9,40,45,71,26,83,73,29,83,20,89,42,63,22,91,12,38894,0,44850,5,[]
293,52,85,24,57,16,43,44,68,36,75,64,37,72,30,85,56,51,21,78,24,39045,0,45002,5,[]
294,51,84,30,60,16,42,44,68,43,78,73,42,63,39,83,65,55,31,67,34,39182,0,45171,5,[]
295,5,94,41,66,16,42,11,92,44,68,77,49,53,47,79,68,56,41,56,43,39234,0,45310,5,[]
296,20,83,45,68,4,95,23,80,40,62,75,59,52,53,81,78,50,50,49,51,39397,0,45466,5,[]
297,31,74,40,65,13,79,32,70,38,61,75,56,55,65,81,86,54,58,58,59,39561,0,45737,5,[]
298,41,81,39,65,10,65,37,62,39,62,71,64,54,57,74,86,50,55,57,58,39791,0,45824,5,[]
299,49,88,48,74,10,53,45,71,47,66,61,60,51,53,66,79,45,52,49,53,39854,0,45944,5,[]
300,55,88,55,83,5,44,38,63,39,63,53,56,48,53,68,78,46,50,51,53,40117,0,45991,5,[]
301,60,93,53,84,5,45,39,61,39,61,60,61,60,60,64,77,56,57,63,61,40374,0,46043,5,[]
302,52,86,50,83,6,51,37,66,44,70,67,65,67,69,71,88,66,65,67,68,40447,0,46258,5,[]
303,56,91,45,79,7,58,37,66,49,80,61,63,64,64,70,88,63,63,65,65,40665,0,46310,5,['25:13 V5 击杀了风龙']
304,53,92,41,78,7,57,35,66,42,76,55,65,50,60,61,85,51,60,53,64,40835,0,46477,5,[]
305,49,90,44,78,9,57,31,68,40,74,56,74,41,56,60,90,45,54,50,55,40887,0,46801,5,[]
306,49,90,38,76,8,58,31,71,32,74,59,85,39,64,59,90,41,58,40,60,41070,0,46942,5,[]
307,11,91,36,74,19,64,30,67,32,72,50,83,37,66,50,84,36,65,42,67,41289,0,46995,5,[]
308,25,81,35,76,34,65,32,70,32,71,51,84,41,68,49,77,40,67,43,67,41368,0,47061,5,[]
309,36,78,38,76,29,67,37,76,38,76,49,91,42,78,52,85,48,78,47,79,41420,0,47154,5,[]
310,37,88,35,85,29,67,35,83,36,81,47,92,45,83,45,91,51,89,52,88,41471,0,47908,5,[]
311,36,92,31,86,16,90,31,91,33,89,43,89,45,80,42,88,45,92,43,88,41613,0,47960,6,['25:54 V5Max(深海泰坦) 击破了防御塔']
312,29,85,31,86,29,81,36,91,36,92,53,87,41,67,47,77,51,83,52,87,41770,0,48011,6,[]
313,30,72,35,77,38,76,33,91,39,89,50,82,44,55,43,70,47,71,49,75,41851,0,48249,6,[]
314,31,69,37,76,43,69,33,91,35,85,53,86,47,50,50,61,48,60,56,68,41902,0,48349,6,[]
315,34,65,26,74,42,70,10,80,35,85,52,85,37,59,41,62,37,58,45,58,42040,0,48504,6,[]
316,31,68,16,74,34,75,11,74,13,88,46,91,31,60,38,62,35,61,37,62,42209,0,48904,6,[]
317,26,70,11,75,29,70,13,74,23,77,37,88,29,66,32,68,33,64,35,67,42372,0,49506,7,['26:25 V5y4(逆羽) 击破了防御塔']
318,26,70,21,74,26,78,21,75,27,77,32,77,34,68,32,75,33,69,32,73,42534,0,49558,7,[]
319,27,76,33,74,36,77,29,74,35,78,40,72,46,69,40,72,44,70,40,71,42677,0,49609,7,[]
320,27,73,28,69,31,87,23,76,30,71,44,68,56,67,51,68,52,64,50,66,43095,0,49660,7,[]
321,30,81,21,73,33,89,12,69,22,66,44,68,56,67,54,68,52,64,50,66,43147,0,49711,7,[]
322,30,81,27,69,41,90,10,60,9,60,87,9,93,4,93,4,89,6,91,6,43519,0,49763,7,[]
323,9,85,37,61,45,91,9,57,14,63,73,17,76,13,77,14,73,15,74,16,43728,0,49814,7,[]
324,20,73,36,61,45,91,18,64,26,66,61,24,64,22,64,21,62,23,61,24,43780,0,49864,7,[]
325,31,65,36,61,3,95,30,64,36,59,53,32,53,32,55,31,52,32,58,38,43830,0,50025,7,[]
326,41,57,9,85,14,77,36,61,38,61,44,37,39,36,43,38,49,41,48,47,43904,0,50201,7,[]
327,41,57,15,70,25,69,37,60,41,59,34,41,31,45,32,42,49,51,44,51,44182,0,50377,7,[]
328,33,63,20,60,31,63,32,63,33,59,31,55,32,59,32,56,40,56,40,58,44237,0,50988,7,[]
329,33,64,22,56,34,66,30,66,32,60,34,59,34,59,32,60,37,59,37,60,44305,0,51149,7,['27:22 V5Mole(解脱者) 击杀了 IGLucas(弗雷尔卓德之心)']
330,37,63,23,55,37,62,32,60,32,60,32,45,35,59,32,45,36,59,36,59,45902,0,51200,7,['27:30 IGTheShy(万花通灵) 击杀了 V5Max(深海泰坦)']
331,31,58,31,50,33,64,32,56,32,60,33,49,30,50,31,50,38,61,36,59,46499,0,51268,7,['27:32 IGJackeyLove(虚空之女) 击杀了 V5y4(逆羽)']
332,29,51,31,54,25,65,31,51,32,60,34,43,32,50,34,42,38,61,36,59,46579,0,51319,7,['27:37 IGJackeyLove(虚空之女) 击杀了 V5Ben4(水晶先锋)']
333,37,39,34,43,29,67,43,37,32,60,44,43,32,50,46,40,38,61,36,59,46735,0,51372,7,[]
334,35,40,42,36,37,59,48,39,32,60,42,42,32,50,47,40,38,61,36,59,46787,0,51874,7,[]
335,34,39,42,36,40,50,45,34,32,60,41,39,32,50,46,52,38,61,36,59,47631,0,51966,7,['27:51 V5Windy(符文法师) 击杀了 IGNing(德玛西亚皇子)']
336,41,37,42,36,43,46,44,33,32,60,44,34,32,50,47,52,38,61,36,59,48151,0,52017,7,"['27:56 IGRookie(诡术妖姬) 击杀了 V5Mole(解脱者)', '28:0 IGJackeyLove(虚空之女) 击杀了 V5Windy(符文法师)']"
337,40,39,42,36,35,39,34,36,10,83,44,34,32,50,47,52,38,61,36,59,48202,0,52069,7,[]
338,2,96,42,36,31,34,32,34,12,83,44,34,32,50,47,52,38,61,91,6,48284,0,52121,7,[]
339,2,96,42,36,29,33,32,33,11,82,44,34,32,50,47,52,38,61,72,15,48334,0,52173,7,[]
340,32,31,42,36,30,32,32,33,11,81,44,34,32,50,47,52,94,4,59,24,48478,0,52224,7,[]
341,32,31,42,36,29,33,30,32,11,77,44,34,93,4,47,52,81,19,50,31,48529,0,52275,7,[]
342,30,32,42,36,23,35,29,33,12,77,44,34,72,15,47,52,69,26,39,32,50104,0,52326,7,['28:30 IG 击杀了大龙']
343,24,40,8,87,21,44,22,44,9,76,44,34,58,28,47,52,61,35,30,36,50434,0,52379,7,[]
344,17,49,13,73,19,49,18,47,12,75,44,34,48,20,47,52,72,41,34,36,50683,0,52540,7,[]
345,15,48,23,71,17,52,9,49,24,71,44,34,43,17,47,52,79,52,37,39,51005,0,52773,7,[]
346,4,95,32,69,6,96,7,51,28,73,95,4,42,17,87,16,79,52,51,42,51187,0,52884,7,[]
347,4,95,44,67,20,90,5,56,5,95,81,14,48,19,75,27,79,52,57,42,51253,0,52936,7,[]
348,18,83,46,67,37,90,6,95,19,83,71,25,58,34,66,37,85,10,57,42,51345,0,52987,7,[]
349,28,72,46,67,51,90,17,88,29,73,65,36,56,47,56,47,76,25,82,13,51571,0,53039,7,[]
350,39,66,42,65,50,80,31,80,39,67,54,44,48,51,46,54,65,35,70,27,51625,0,53347,7,[]
351,40,61,43,68,56,68,43,78,44,68,48,48,52,53,49,53,55,43,60,38,51690,0,53398,7,[]
352,42,60,51,64,56,67,50,75,52,62,53,47,56,57,53,57,50,48,53,50,51785,0,53449,7,[]
353,48,54,51,63,55,56,47,73,56,61,50,47,54,50,53,50,52,46,54,47,51957,0,53523,7,[]
354,49,53,49,54,57,55,51,63,56,54,55,43,51,45,56,47,54,44,55,46,52051,0,53596,7,[]
355,52,46,56,50,55,50,50,53,55,50,61,42,52,42,59,42,55,40,58,41,52104,0,53674,7,[]
356,50,46,53,52,54,51,54,46,53,50,56,44,54,41,54,46,57,41,54,45,52155,0,54979,7,[]
357,46,53,53,58,59,58,54,46,47,56,55,49,50,49,54,48,53,51,54,49,52206,0,55032,7,['29:41 V5Mole(解脱者) 击杀了 IGJackeyLove(虚空之女)']
358,38,59,38,63,62,57,54,46,38,64,47,58,42,58,45,58,44,58,45,55,52257,0,55223,7,[]
359,30,65,29,69,12,90,54,46,31,67,38,62,36,60,32,66,39,61,38,59,52308,0,55429,7,[]
360,27,67,26,76,20,76,54,46,23,74,32,66,31,64,28,66,31,68,29,67,52360,0,55924,7,['29:59 V5Ben4(水晶先锋) 击杀了 IGTheShy(万花通灵)']
361,27,67,22,75,19,69,54,46,26,76,25,68,31,73,26,68,27,69,29,70,52413,0,55975,7,[]
362,27,67,17,83,14,77,54,46,19,81,22,73,25,76,21,74,27,73,22,75,52463,0,56431,8,['30:10 V5Max(深海泰坦) 击破了防御塔']
363,27,67,6,94,16,83,54,46,14,85,18,75,17,78,19,76,20,75,19,77,52514,0,56665,8,[]
364,27,67,13,86,13,88,54,46,12,85,16,82,10,81,12,79,12,80,14,82,52782,0,57017,8,[]
365,27,67,14,81,13,83,54,46,14,85,15,85,11,85,13,81,12,80,14,82,52833,0,57943,8,"['30:24 V5Mole(解脱者) 击杀了 IGRookie(诡术妖姬)', '30:25 V5y4(逆羽) 击杀了 IGNing(德玛西亚皇子)']"
366,27,67,14,81,13,83,54,46,13,87,15,86,13,86,13,86,14,84,15,86,52885,0,58444,9,"['30:26 V5Mole(解脱者) 击破了防御塔', '30:30 V5Ben4(水晶先锋) 击杀了 IGLucas(弗雷尔卓德之心)']"
367,27,67,14,81,13,83,11,91,13,88,20,83,17,84,18,81,19,79,18,84,53405,0,58516,9,[]
368,27,67,14,81,13,83,18,91,13,88,23,79,17,81,20,86,19,82,18,83,53453,0,58960,9,['30:37 IGJackeyLove(虚空之女) 击杀了 V5Windy(符文法师)']
369,27,67,14,81,13,83,12,90,13,88,23,79,13,83,15,86,17,86,15,86,53508,0,59267,9,[]
370,27,67,14,81,13,83,7,89,13,88,23,79,13,88,11,85,14,85,12,90,53558,0,59314,10,['30:47 V5y4(逆羽) 击破了防御塔']
371,11,91,,0,13,83,8,85,13,88,23,79,12,86,11,86,14,85,12,90,53581,0,59344,10,[]
372,11,91,,0,13,83,8,85,13,88,23,79,12,86,11,86,14,85,12,90,53581,0,59344,10,['31:0 V5 获胜']
