,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
241,6,40,61,59,26,87,57,68,57,68,59,42,67,63,10,33,66,89,83,15,32003,3,34571,2,[]
242,11,49,57,61,42,90,54,65,55,67,66,41,75,57,15,34,67,88,74,28,32187,3,34622,2,[]
243,5,45,57,71,55,91,50,60,55,67,66,41,74,43,18,34,94,6,61,38,32280,3,34773,2,[]
244,7,43,56,83,59,90,47,52,5,92,89,7,72,42,95,4,91,22,56,40,32544,3,34855,2,[]
245,6,46,56,83,59,84,49,51,4,93,75,14,64,37,84,14,91,38,40,38,32858,3,34921,2,[]
246,6,48,52,84,66,88,48,53,16,79,65,21,52,28,72,24,90,52,35,37,32925,3,34974,2,[]
247,6,48,51,76,64,82,50,61,29,70,52,23,42,18,63,37,88,67,42,39,33007,3,35159,2,[]
248,17,87,47,73,63,78,47,72,42,68,37,23,43,17,58,43,85,66,52,42,33158,3,35492,2,[]
249,31,89,50,65,57,73,50,65,52,61,24,22,43,16,49,46,84,65,59,46,33321,3,35563,2,[]
250,42,83,52,64,51,62,47,58,45,58,14,20,44,16,45,49,85,65,50,47,33395,3,35807,2,[]
251,54,84,56,55,50,53,50,51,50,51,12,25,43,16,56,40,84,66,47,37,33518,3,36012,2,[]
252,68,88,62,59,57,46,56,46,56,46,10,31,93,5,59,38,76,57,60,35,33675,3,36196,2,[]
253,78,85,64,62,50,49,53,49,45,48,15,40,76,15,59,38,78,50,61,38,33782,3,36349,2,[]
254,79,83,66,63,55,58,54,55,56,55,17,43,62,23,56,44,84,63,57,41,33865,3,36429,2,[]
255,84,78,66,64,63,64,64,62,63,63,23,36,50,32,48,42,87,54,52,43,34021,3,36480,2,[]
256,87,67,61,61,59,60,58,58,58,58,23,42,36,39,43,47,87,52,41,40,34071,3,36583,2,['21:18 LGD 击杀了风龙']
257,75,62,55,55,46,52,46,50,46,50,24,38,32,43,45,43,92,60,46,39,34237,3,36797,2,[]
258,64,60,57,43,54,46,52,48,52,48,25,27,37,36,55,32,85,53,56,30,34403,3,36845,2,[]
259,61,61,54,47,54,47,47,54,47,56,35,24,51,31,63,37,81,43,60,26,34454,3,37001,2,[]
260,60,73,49,58,41,51,47,54,46,58,25,26,41,32,60,38,82,50,60,37,34507,3,37142,2,[]
261,70,82,49,58,31,53,3,96,2,96,23,40,33,41,50,34,71,40,54,44,34560,3,37245,2,[]
262,81,85,3,94,25,60,11,82,12,82,22,47,28,52,50,35,57,40,41,39,34802,3,37358,2,[]
263,84,80,11,77,33,64,23,72,23,72,23,55,30,56,38,39,46,40,32,43,34853,3,37411,2,[]
264,85,84,21,70,41,61,33,63,34,63,22,45,31,40,31,34,30,32,32,32,34904,3,37461,2,[]
265,89,73,18,57,37,49,43,53,38,51,29,34,34,31,31,30,30,30,32,34,35106,3,37512,2,[]
266,90,73,22,44,29,39,39,44,31,38,31,32,34,31,31,30,30,28,33,32,35195,3,39088,2,[]
267,34,38,29,34,31,35,33,36,31,34,38,23,42,24,41,23,38,23,39,24,35307,3,39140,2,['22:13 RNG 击杀了大龙']
268,42,46,41,37,19,36,44,43,44,43,45,22,58,25,51,21,40,16,46,26,35358,3,39193,2,[]
269,52,48,43,34,9,32,54,44,55,43,95,4,65,31,91,5,95,12,59,23,35697,3,39244,2,[]
270,48,46,32,38,12,25,56,45,56,45,95,5,93,5,72,6,93,30,63,22,35785,3,39294,2,[]
271,48,46,31,33,15,16,45,49,47,48,93,4,84,22,57,7,93,43,86,9,35908,3,39359,2,[]
272,6,94,29,36,16,13,43,56,41,52,81,18,71,31,43,8,93,57,74,23,36190,3,39544,2,[]
273,22,81,31,44,16,13,40,58,41,52,71,29,65,34,29,9,94,56,70,30,36246,3,39639,2,[]
274,31,69,36,49,2,96,40,57,11,90,64,38,66,40,33,9,93,60,65,36,36297,3,39912,2,[]
275,42,57,43,46,14,85,50,50,25,78,59,36,72,45,27,12,93,68,60,41,36406,3,40088,2,[]
276,54,61,47,44,28,74,50,49,34,65,56,44,75,44,15,17,88,73,57,41,36473,3,40365,2,[]
277,57,55,46,43,39,63,48,50,46,53,58,38,75,58,11,21,84,80,57,42,36525,3,40557,2,[]
278,56,62,46,43,44,50,52,48,47,44,64,39,78,72,16,22,79,82,65,41,36604,3,40609,2,[]
279,53,76,46,43,37,43,53,46,54,52,72,48,75,77,27,31,74,93,66,50,36652,3,40671,2,[]
280,41,85,41,35,33,32,48,45,50,44,78,53,72,69,40,28,64,94,66,48,36743,3,40827,2,[]
281,44,91,46,42,24,40,50,48,50,48,73,62,58,75,45,33,53,92,58,46,36956,3,41038,2,[]
282,41,92,43,54,13,49,45,54,45,54,73,74,47,80,51,41,49,92,56,44,37027,3,41207,2,[]
283,48,92,43,67,15,50,41,66,43,67,71,82,55,80,53,49,59,90,54,47,37220,3,41475,2,[]
284,41,88,45,72,9,34,41,75,45,74,74,88,58,83,50,55,60,83,54,54,37454,3,41648,2,[]
285,41,86,39,66,10,25,40,69,39,66,90,6,61,85,47,52,61,82,59,55,37555,3,41799,2,[]
286,44,91,44,68,10,31,39,61,39,61,72,7,55,81,48,52,59,89,54,63,37610,3,41892,2,[]
287,44,90,40,74,17,44,41,58,40,66,57,8,51,85,47,53,51,93,52,53,37682,3,42070,2,[]
288,45,91,42,87,25,57,38,56,39,63,44,13,56,82,46,58,55,89,49,55,37768,3,42192,2,[]
289,51,94,48,91,38,60,40,58,38,64,36,13,57,68,48,55,63,83,50,54,37937,3,42282,2,[]
290,43,91,41,82,39,65,36,59,38,64,27,9,63,62,42,53,65,83,46,51,37989,3,42388,2,[]
291,41,87,40,69,45,54,45,53,45,53,20,15,78,56,50,48,79,11,52,51,38088,3,42439,2,[]
292,40,72,44,58,55,45,53,45,53,45,20,25,71,49,55,44,70,25,61,50,38901,3,42492,2,[]
293,39,64,48,51,50,48,51,47,50,48,30,34,66,47,56,42,60,33,66,46,39105,3,42559,2,['24:21 LGDKramer(战争女神) 击杀了 RNGXiaohu(解脱者)']
294,44,79,40,55,44,53,42,55,41,57,43,38,61,52,56,42,52,27,63,58,39156,3,42740,2,[]
295,54,88,28,59,29,59,39,57,40,58,46,36,57,68,56,42,59,33,56,65,39308,3,42904,2,[]
296,60,92,21,52,20,53,39,57,3,96,46,36,61,85,56,42,65,36,57,69,39363,3,43149,2,[]
297,59,93,21,41,11,43,9,92,9,92,43,41,72,89,56,42,58,40,92,10,39414,3,43243,2,[]
298,4,96,17,44,8,31,22,81,22,81,40,40,68,89,56,42,49,50,79,23,39704,3,43316,2,[]
299,26,94,15,43,6,37,31,71,31,70,28,31,60,91,56,42,42,54,67,34,39755,3,44029,2,[]
300,40,91,15,43,6,37,40,60,40,60,20,20,61,91,56,42,47,51,54,44,39907,3,44119,3,['24:56 RNGUzi(虚空之女) 击破了防御塔']
301,49,92,9,92,6,95,39,66,39,66,19,13,64,83,56,42,40,40,39,43,40113,3,44288,3,[]
302,45,91,21,79,16,81,36,63,36,63,13,16,75,78,94,6,29,34,28,36,40166,3,44343,3,[]
303,49,92,32,70,10,67,35,59,35,59,8,25,94,5,85,23,31,36,20,37,40238,3,44522,3,[]
304,51,92,38,62,9,53,41,57,41,57,11,29,86,24,81,38,32,37,29,37,40436,3,44571,3,[]
305,39,89,40,60,7,45,43,55,40,60,95,4,74,36,80,53,82,12,95,4,40530,3,44620,3,[]
306,37,75,41,59,10,54,44,52,41,59,95,8,66,50,83,58,71,26,79,17,40667,3,44757,3,[]
307,39,63,48,59,19,66,47,51,44,58,83,18,61,63,79,68,62,37,69,30,40870,3,44856,3,[]
308,48,59,54,55,34,66,51,60,53,62,69,19,66,65,81,83,57,46,58,42,40921,3,45076,3,[]
309,56,68,62,60,49,67,57,71,59,63,56,22,65,69,79,85,68,41,55,47,41007,3,45235,3,[]
310,57,69,51,60,51,62,56,75,55,66,42,23,74,59,77,76,65,41,57,45,41159,3,45369,3,[]
311,49,59,56,56,49,51,56,62,50,53,28,22,66,41,79,72,56,39,48,39,41382,3,45420,3,[]
312,49,53,55,50,52,47,53,50,54,47,14,21,54,32,77,69,61,35,51,34,41525,3,45513,3,[]
313,58,42,61,41,59,41,60,40,57,41,11,24,57,30,77,54,65,33,58,28,41606,3,45607,3,[]
314,62,36,67,46,64,36,63,36,65,36,10,35,59,27,80,41,71,27,68,27,42251,3,45716,3,[]
315,59,45,66,48,67,45,67,42,67,45,7,48,52,33,69,32,66,28,69,31,42303,4,45906,3,['26:11 LGDYuuki(未来守护者) 击破了防御塔']
316,66,56,67,62,66,56,61,50,66,56,9,52,38,40,58,39,59,34,60,34,42356,4,46014,3,[]
317,68,67,66,69,66,56,53,49,52,50,8,53,28,50,50,40,49,35,57,34,42604,4,46150,3,[]
318,71,77,67,69,4,87,49,58,43,59,10,52,17,44,52,46,42,36,46,39,42700,4,46920,3,[]
319,63,86,64,70,5,72,48,67,40,62,12,49,23,46,40,43,36,42,32,44,43021,4,47072,4,['26:34 RNGLangx(符文法师) 击破了防御塔']
320,66,89,66,66,7,67,44,68,2,96,15,49,19,52,29,49,31,47,28,52,43150,4,47123,4,['26:37 LGD 击杀了水龙']
321,69,90,66,66,5,68,44,68,3,93,6,50,24,56,24,51,35,49,25,55,43223,4,47216,4,[]
322,64,92,3,94,4,68,8,93,17,81,9,54,23,55,34,43,46,52,24,52,43367,4,47428,4,[]
323,54,87,16,79,6,66,21,79,29,71,8,53,33,42,40,31,46,50,31,51,43523,4,47525,4,[]
324,54,84,20,66,8,68,31,68,35,64,6,46,35,39,43,19,44,50,31,51,43789,4,47794,4,[]
325,52,84,29,65,11,69,36,64,36,65,6,46,95,4,42,16,43,38,81,13,44051,4,47911,4,[]
326,52,84,35,62,6,67,37,61,38,62,94,15,77,12,42,16,57,33,65,21,44176,4,47956,4,[]
327,54,85,31,53,7,57,33,59,32,56,93,32,63,22,42,16,52,31,54,31,44314,4,48091,4,[]
328,53,87,24,57,6,59,37,58,36,59,91,45,63,36,91,6,52,30,54,31,44510,4,48178,4,[]
329,4,95,23,51,8,56,45,54,45,54,90,62,66,46,76,18,59,35,61,38,44699,4,48299,4,[]
330,22,82,31,50,9,59,46,54,46,54,87,73,75,58,64,31,53,50,52,44,44946,4,48448,4,[]
331,35,76,44,51,25,65,51,49,51,49,84,79,78,73,56,42,57,42,63,51,44999,4,48550,4,[]
332,47,67,49,43,37,58,56,44,47,45,82,86,68,79,61,34,63,39,68,51,45082,4,48837,4,[]
333,48,56,55,42,48,48,56,43,56,43,71,90,60,77,65,35,63,37,66,36,45154,4,48903,4,[]
334,54,44,63,50,50,43,59,40,58,42,57,91,45,79,68,33,66,28,66,29,45379,4,49033,4,[]
335,58,45,64,40,63,38,52,46,63,38,55,92,58,72,71,32,66,28,68,30,45431,4,49232,4,[]
336,68,36,67,36,65,36,62,35,62,35,46,93,61,62,70,29,85,8,68,27,45514,4,49833,4,[]
337,72,29,73,29,72,28,71,27,71,28,39,89,66,48,78,26,73,20,74,22,45589,4,49967,5,['28:3 RNGLangx(符文法师) 击破了防御塔']
338,70,31,73,31,72,30,68,28,72,30,32,91,72,40,77,29,72,23,75,22,45940,4,50152,5,[]
339,73,24,76,27,75,24,75,26,72,25,31,91,73,39,85,27,63,17,79,17,46144,5,50246,5,['28:13 LGDYuuki(未来守护者) 击破了防御塔']
340,69,28,69,31,73,25,74,26,74,26,31,91,80,28,82,28,56,17,91,6,46288,5,50408,5,[]
341,59,39,59,40,66,33,64,34,64,34,31,93,76,23,76,27,46,16,78,10,46341,5,50760,5,[]
342,46,49,46,45,54,41,52,42,49,41,27,93,65,21,66,34,31,18,60,12,46394,5,50811,6,['28:28 RNG 击破了防御塔']
343,43,46,34,38,43,36,38,38,41,35,27,92,52,21,64,37,28,21,48,22,46505,5,51058,6,[]
344,32,35,30,30,32,34,31,33,41,34,24,90,46,28,59,41,28,21,40,26,46555,5,51152,6,[]
345,27,34,31,30,31,30,30,32,31,30,28,90,35,23,49,46,19,24,40,33,46605,5,51218,6,[]
346,24,36,27,32,26,34,25,37,25,36,12,35,24,27,35,42,30,34,31,38,46683,5,51269,6,[]
347,23,37,24,34,24,40,20,38,23,37,18,34,25,33,23,43,29,36,24,43,46732,5,52269,6,[]
348,23,41,24,34,24,40,20,48,20,48,18,44,22,39,23,42,24,41,24,44,46804,5,52766,6,"['28:57 RNGUzi(虚空之女) 击杀了 LGDYuuki(未来守护者)', '28:57 RNGUzi(虚空之女) 击杀了 LGDCondi(蜘蛛女皇)']"
349,22,39,24,34,24,40,28,59,28,59,23,55,22,53,21,46,22,46,22,47,46855,5,53694,6,['29:3 RNGMing(魂锁典狱长) 击杀了 LGDLies(狂暴之心)']
350,22,39,24,34,24,40,32,62,32,69,32,62,32,64,25,57,26,58,18,53,46907,5,53890,7,"['29:9 RNG 击破了防御塔', '29:8 RNGKarsa(虚空遁地兽) 击杀了 LGDKramer(战争女神)']"
351,22,39,24,34,24,40,32,62,33,75,32,73,33,77,29,69,29,74,23,67,46958,5,54275,7,['29:14 RNGKarsa(虚空遁地兽) 击杀了 LGDRD(魔法猫咪)']
352,22,39,24,34,24,40,32,62,33,75,27,80,28,85,25,82,25,87,27,81,47012,5,54521,7,[]
353,22,39,24,34,24,40,32,62,33,75,18,85,19,86,19,89,15,87,17,89,47064,5,54571,7,[]
354,22,39,24,34,24,40,32,62,33,75,14,89,11,83,10,86,15,87,13,86,47115,5,54874,8,['29:30 RNGUzi(虚空之女) 击破了防御塔']
355,22,39,24,34,24,40,32,62,33,75,13,92,8,91,9,91,14,91,13,87,47167,5,54927,8,[]
356,,0,24,34,,0,32,62,33,75,13,92,8,91,9,91,14,91,13,87,47167,5,54927,8,[]
357,,0,24,34,,0,32,62,33,75,13,92,8,91,9,91,14,91,13,87,47167,5,54927,8,['29:45 RNG 获胜']
