,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
238,55,82,23,30,32,40,45,52,28,34,33,17,83,51,71,19,57,34,57,34,35959,5,30653,1,[]
239,56,84,26,29,22,27,49,50,40,44,43,24,89,7,59,26,57,33,46,24,36148,5,30704,1,[]
240,68,88,21,22,17,20,49,48,48,47,53,30,77,12,54,31,58,42,37,25,36201,5,30799,1,[]
241,73,77,28,21,17,14,43,42,40,41,54,31,67,19,46,24,59,40,42,24,36388,5,30873,1,[]
242,85,81,34,22,25,14,42,32,40,34,63,37,56,22,47,22,58,40,45,23,36603,5,30989,1,[]
243,81,81,46,23,36,23,42,25,41,25,74,43,53,21,46,11,55,32,52,28,36685,5,31061,1,[]
244,71,65,48,15,36,16,42,22,45,23,84,50,52,21,48,8,56,30,56,30,36758,5,31238,1,[]
245,77,52,45,7,45,10,45,10,45,16,80,45,50,18,51,5,55,19,54,20,36984,5,31335,1,[]
246,85,52,35,10,36,11,35,12,36,11,75,34,43,15,43,11,51,11,44,12,37071,5,31410,1,[]
247,90,64,28,11,27,13,29,10,28,11,65,27,33,17,36,8,39,10,36,8,37179,5,31462,1,[]
248,90,61,19,18,26,15,19,18,21,14,76,33,40,15,33,8,42,16,40,15,37363,5,31555,1,[]
249,87,51,27,31,25,23,26,25,13,22,87,39,51,21,40,8,51,24,52,20,37444,5,31789,1,[]
250,76,57,27,31,19,18,29,34,13,22,91,48,46,23,47,15,57,34,47,22,37497,5,31957,1,[]
251,60,59,5,95,16,10,40,43,10,93,89,49,43,24,42,25,56,43,43,24,37696,5,32114,1,[]
252,60,61,13,76,17,13,48,50,24,78,78,51,43,24,43,24,58,43,43,24,37832,5,32166,1,[]
253,72,69,18,62,15,12,52,51,35,64,78,54,93,4,43,24,57,41,43,24,37968,5,32338,1,[]
254,89,76,23,57,20,19,50,50,48,51,83,65,75,7,88,4,59,40,84,9,38105,5,32447,1,[]
255,85,77,24,57,29,32,50,50,43,39,78,61,63,11,77,11,55,32,75,19,38240,5,32500,1,[]
256,84,79,19,48,32,29,16,84,34,37,77,49,53,18,83,22,55,32,67,26,38379,5,32548,1,[]
257,2,96,15,43,28,33,28,74,31,38,67,43,42,24,88,34,90,6,62,32,38516,5,32600,1,[]
258,21,82,21,44,24,42,37,64,39,53,58,34,42,25,90,46,79,18,60,35,38572,5,32669,1,[]
259,33,74,24,38,24,40,47,53,45,51,55,22,52,28,89,54,69,29,52,28,38838,5,32716,1,[]
260,40,67,37,36,25,28,51,46,50,46,44,16,52,36,90,64,61,39,51,32,38890,5,32959,1,[]
261,46,56,45,36,27,15,61,38,59,38,33,11,56,31,89,68,67,33,58,30,39036,5,33165,1,[]
262,59,58,52,28,30,10,64,37,64,35,40,9,60,24,87,69,72,29,65,26,39240,5,33217,1,[]
263,56,67,51,21,37,12,57,33,53,27,53,8,60,23,85,78,69,30,67,29,39362,5,33400,1,[]
264,65,78,44,23,40,9,48,25,43,24,50,8,58,25,76,87,64,20,64,20,39458,5,33507,1,[]
265,62,85,41,31,45,11,43,18,39,27,50,7,55,31,73,89,62,12,62,12,39610,5,33750,1,[]
266,70,94,44,24,46,9,45,14,48,22,52,9,55,21,72,89,54,9,53,11,39745,5,33833,1,[]
267,72,92,49,21,46,8,46,14,46,16,54,8,55,20,74,89,63,16,57,11,39908,5,33885,1,[]
268,64,94,48,15,49,7,47,10,47,10,54,8,56,13,72,85,59,11,54,8,40024,5,34014,1,[]
269,64,94,50,18,43,10,46,11,45,12,54,10,55,12,76,88,55,8,54,10,40139,5,34115,1,[]
270,8,95,47,23,37,14,46,11,43,15,56,12,52,21,76,89,57,14,52,21,40281,5,34231,1,[]
271,32,93,41,26,36,15,39,15,32,18,54,10,57,15,75,88,56,12,56,12,40334,5,34416,1,[]
272,47,92,41,31,3,96,30,20,27,31,47,10,51,21,72,90,60,24,51,21,40385,5,34469,1,[]
273,61,91,41,34,22,94,30,20,39,37,48,20,42,25,72,90,52,21,42,25,40437,5,35020,1,[]
274,60,92,44,47,39,92,13,89,40,43,48,11,51,21,68,90,63,25,51,21,40489,5,35092,2,['22:48 V5 击破了防御塔']
275,59,93,48,59,51,88,27,81,48,56,49,9,40,25,67,90,66,36,40,24,40690,5,35297,2,[]
276,63,91,46,65,64,83,32,67,48,53,36,7,49,25,86,76,71,40,49,25,40878,5,35418,2,[]
277,77,86,54,64,75,74,42,57,47,50,24,11,50,33,85,64,64,39,49,33,40963,5,35538,2,[]
278,81,83,58,56,75,65,53,49,51,51,19,12,47,36,80,54,58,38,47,35,41107,5,35745,2,[]
279,86,77,67,52,76,56,66,49,67,50,17,10,47,36,81,45,60,37,49,34,41201,5,35880,2,[]
280,87,62,64,40,78,50,61,40,62,41,13,19,52,33,76,34,58,32,58,32,41420,5,35947,2,[]
281,90,49,68,34,74,44,64,38,67,37,10,31,59,26,86,31,66,26,66,26,41691,5,36023,2,[]
282,89,50,80,36,80,41,79,36,76,35,8,40,67,25,90,28,72,28,72,28,41775,5,36233,2,[]
283,81,46,78,33,77,33,74,32,75,32,10,41,78,27,92,30,75,27,79,27,42347,5,36331,2,[]
284,78,29,79,28,78,27,75,29,73,28,10,41,79,27,83,29,73,24,80,26,43331,5,36426,2,['23:38 LGDKramer(圣枪游侠) 击杀了 V5y4(虚空之女)']
285,78,26,77,29,79,28,77,28,78,28,92,9,80,27,85,28,73,24,80,26,43548,5,36479,2,"['23:41 LGDYuuki(万花通灵) 击杀了 V5Max(魔法猫咪)', '23:44 LGDRD(琴瑟仙女) 击杀了 V5Ben4(狂战士)']"
286,74,23,75,23,77,25,77,26,78,24,85,20,80,27,89,18,73,24,80,26,43900,6,36532,2,['23:50 LGD 击破了防御塔']
287,81,21,81,22,82,23,83,22,81,22,87,17,80,27,91,9,73,24,80,26,43952,6,36598,2,[]
288,82,21,85,20,86,21,86,20,87,20,82,21,80,27,86,15,73,24,80,26,44526,6,37458,2,[]
289,83,21,82,20,86,21,86,23,86,22,86,22,80,27,85,17,73,24,80,26,44600,6,37509,2,"['24:3 V5Aliez(荒漠屠夫) 击杀了 LGDKramer(圣枪游侠)', '24:3 LGDCondi(德玛西亚皇子) 击杀了 V5Aliez(荒漠屠夫)']"
290,78,20,77,25,84,22,86,23,79,25,86,22,80,27,83,19,73,24,80,26,44706,6,38012,2,['24:10 V5Mole(符文法师) 击杀了 LGDRD(琴瑟仙女)']
291,72,26,72,29,76,27,86,23,79,25,86,22,80,27,80,25,95,4,80,26,45249,6,38107,2,[]
292,67,40,66,39,70,31,86,23,79,25,86,22,80,27,80,25,87,17,87,17,45343,6,38194,2,['24:17 LGDYuuki(万花通灵) 击杀了 V5Mole(符文法师)']
293,66,55,66,53,58,34,86,23,79,25,86,22,87,14,80,25,76,25,77,25,45444,6,38275,2,[]
294,64,73,67,65,48,33,86,23,79,25,86,22,76,25,80,25,74,29,67,31,45558,6,38326,2,[]
295,64,71,66,69,38,39,86,23,79,25,86,22,66,33,80,25,67,34,57,33,45640,6,38407,2,[]
296,66,68,67,69,34,43,86,23,79,25,86,22,61,36,80,25,62,38,61,36,45793,6,38627,2,[]
297,65,69,67,61,34,43,10,93,79,25,86,22,53,41,80,25,57,33,53,41,45971,6,38679,2,['24:42 LGD 击杀了水龙']
298,65,69,63,62,3,96,26,85,7,88,90,16,41,38,80,25,53,29,50,44,46022,6,38830,2,[]
299,20,94,63,62,8,76,40,76,17,68,76,23,32,32,80,25,59,37,41,37,46072,6,38911,2,[]
300,40,92,3,95,8,60,46,71,28,67,64,25,25,28,80,25,60,37,42,33,46223,6,38963,2,[]
301,54,86,13,76,10,45,50,60,42,59,54,21,32,18,95,12,57,40,47,36,46277,6,39057,2,[]
302,56,82,18,62,10,33,47,48,47,49,41,23,41,17,93,29,61,37,58,34,46529,6,39228,2,[]
303,56,80,20,48,10,27,47,40,42,40,29,21,40,17,91,37,63,34,63,34,46722,6,39573,2,[]
304,51,78,26,36,18,19,53,44,48,40,28,22,41,16,89,50,60,34,60,34,46814,6,39730,2,[]
305,57,65,34,39,23,13,50,45,46,45,32,16,37,15,91,47,63,25,62,35,47020,6,39818,2,[]
306,64,64,41,34,21,9,49,42,41,36,29,16,35,16,92,58,66,29,65,27,47130,6,39897,2,[]
307,75,72,45,23,26,12,41,31,39,25,33,11,36,15,93,71,66,34,65,27,47183,6,40042,2,[]
308,80,82,46,12,37,8,43,15,43,15,39,9,46,11,91,75,66,27,63,21,47639,6,40239,2,[]
309,78,86,38,8,36,6,42,15,44,12,36,7,46,11,84,83,68,26,65,11,48222,6,40422,2,"['25:43 LGDRD(琴瑟仙女) 击杀了 V5Ben4(狂战士)', '25:44 LGDCondi(德玛西亚皇子) 击杀了 V5Aliez(荒漠屠夫)']"
310,79,88,45,9,44,8,45,11,46,9,36,7,46,11,79,74,67,24,67,16,48601,6,40474,2,[]
311,79,90,51,11,49,7,50,9,50,7,36,7,46,11,79,74,69,26,67,16,49253,6,40526,2,[]
312,80,91,61,11,59,9,58,8,58,11,36,7,46,11,91,4,95,4,93,5,49305,7,40580,2,['25:57 LGDKramer(圣枪游侠) 击破了防御塔']
313,85,83,68,10,68,8,67,9,66,9,36,7,46,11,77,8,78,11,77,8,49743,7,40631,2,[]
314,83,82,77,6,72,6,74,12,73,6,36,7,46,11,77,5,77,11,77,5,50308,8,40704,2,['26:8 LGD 击破了防御塔']
315,86,75,73,7,74,9,74,11,74,6,36,7,46,11,81,6,78,15,81,8,50450,8,40756,2,['26:12 LGDKramer(圣枪游侠) 击杀了 V5y4(虚空之女)']
316,76,17,74,14,76,11,74,12,74,11,36,7,46,11,83,9,78,15,82,14,50619,8,40822,2,[]
317,81,13,79,10,77,9,80,14,79,11,36,7,85,9,82,5,78,15,82,5,50672,8,41030,2,[]
318,81,11,86,6,81,12,81,13,83,11,36,7,86,9,87,7,78,15,86,9,50979,8,41125,2,[]
319,80,11,81,7,81,11,82,11,80,10,86,8,86,9,86,7,78,15,88,8,51180,9,41239,2,['26:32 LGDYuuki(万花通灵) 击破了防御塔']
320,86,5,88,8,85,9,86,8,87,7,89,9,92,7,88,4,78,15,92,7,52189,9,41292,2,['26:39 LGDYuuki(万花通灵) 击杀了 V5Aliez(荒漠屠夫)']
321,85,12,87,9,90,10,87,8,85,10,89,9,91,8,90,4,78,15,93,7,52709,9,41366,2,['26:42 LGDKramer(圣枪游侠) 击杀了 V5Mole(符文法师)']
322,85,14,91,11,92,13,89,7,90,13,89,9,93,3,90,4,78,15,93,7,53582,10,41425,2,"['26:50 LGDLies(战争之影) 击破了防御塔', '26:46 LGDKramer(圣枪游侠) 击杀了 V5Max(魔法猫咪)', '26:49 LGDKramer(圣枪游侠) 击杀了 V5Ben4(狂战士)']"
323,85,10,90,11,92,14,85,9,91,13,89,9,93,3,90,4,93,8,93,7,53698,10,41468,2,[]
324,85,10,90,11,92,14,85,9,91,13,89,9,93,3,,0,93,8,93,7,53698,10,41468,2,[]
325,85,10,90,11,92,14,85,9,91,13,89,9,93,3,,0,93,8,93,7,53698,10,41468,2,['27:5 LGD 获胜']
