,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,5,71,56,83,53,49,83,81,81,83,8,32,84,25,53,42,83,61,83,61,6967,0,6560,0,[]
57,6,59,56,83,51,49,84,84,83,82,10,24,81,36,53,44,89,71,77,56,7150,0,6636,0,[]
58,7,46,4,95,45,56,84,86,87,85,12,14,79,48,49,49,87,76,80,64,7210,0,6747,0,[]
59,5,26,5,95,46,53,84,87,87,85,12,13,74,61,52,48,90,70,90,69,7310,0,6868,0,[]
60,8,26,18,86,48,52,90,82,7,96,92,4,73,55,53,45,92,72,90,69,7403,0,6982,0,[]
61,8,25,25,78,48,53,87,83,19,94,86,5,74,53,50,46,91,71,90,72,7493,0,7165,0,[]
62,14,18,31,68,48,53,88,83,27,88,75,6,78,51,50,46,87,74,89,75,7587,0,7273,0,[]
63,15,14,39,60,48,52,87,86,34,79,64,7,67,51,52,46,86,76,86,76,7652,0,7345,0,[]
64,14,17,42,53,50,50,84,83,41,69,52,9,60,57,48,48,89,78,89,78,7794,0,7410,0,[]
65,15,17,50,47,47,48,81,86,42,59,44,9,51,50,49,47,89,79,85,79,8528,0,7525,0,"['5:24 LGDCondi(德玛西亚皇子) 击杀了 V5Mole(符文法师),获得一血']"
66,20,20,48,48,47,49,47,51,49,52,50,42,54,43,49,47,84,84,81,84,8639,0,7594,0,[]
67,20,21,52,48,48,49,51,53,51,61,41,32,48,35,49,47,85,82,80,78,8785,0,7674,0,[]
68,21,11,46,45,46,52,57,62,58,69,34,22,51,35,95,4,85,83,81,82,8857,0,7879,0,[]
69,21,9,44,42,43,54,60,73,65,77,27,14,49,35,57,41,85,84,81,83,8939,0,7993,0,[]
70,23,10,37,40,43,54,66,83,72,85,25,11,41,32,55,42,82,85,81,83,9119,0,8260,0,[]
71,15,10,29,37,6,94,76,87,78,88,27,9,51,32,54,44,85,80,85,80,9216,0,8378,0,[]
72,15,10,26,34,15,85,81,87,81,89,26,7,62,36,53,46,87,67,87,67,9373,0,8552,0,[]
73,3,93,23,38,23,78,81,84,85,85,27,16,71,41,55,49,87,67,87,67,9466,0,8638,0,[]
74,4,76,14,43,32,70,83,83,84,86,18,15,73,42,54,48,95,6,95,4,9583,0,8791,0,[]
75,6,63,14,42,40,62,83,84,83,80,14,17,72,43,55,53,94,10,94,9,9701,0,8964,0,[]
76,7,50,15,44,44,56,82,85,76,79,13,17,77,50,63,62,93,22,93,22,9887,0,9070,0,[]
77,8,38,21,52,41,51,81,86,70,75,17,21,83,56,58,58,92,34,92,33,9976,0,9117,0,[]
78,5,28,24,56,45,52,2,96,70,75,20,26,81,56,52,52,91,45,91,45,10103,0,9289,0,[]
79,7,27,25,58,43,52,5,96,4,96,20,26,73,62,49,52,90,57,88,55,10269,0,9349,0,[]
80,9,22,30,59,45,51,15,95,15,94,15,18,71,65,50,52,89,67,86,65,10383,0,9470,0,[]
81,11,23,41,57,48,55,27,93,27,93,12,19,69,67,52,49,87,76,73,67,10476,0,9640,0,[]
82,12,22,51,59,57,59,37,89,38,89,12,20,68,67,53,49,86,77,68,69,10532,0,9782,0,[]
83,8,24,61,61,64,63,45,81,46,81,17,20,71,67,64,53,83,79,71,67,10655,0,9861,0,[]
84,11,20,63,64,60,62,55,77,56,74,22,31,72,66,64,57,77,73,69,63,10748,0,9912,0,[]
85,11,18,60,63,62,62,57,66,58,63,23,33,66,63,63,58,69,64,66,63,11338,0,10007,0,[]
86,16,12,67,65,63,63,65,64,65,64,18,23,66,64,65,57,72,64,69,64,11522,0,10080,0,['7:8 LGDYuuki(万花通灵) 击杀了 V5Ben4(狂战士)']
87,18,11,63,63,63,62,64,64,63,60,16,15,66,64,66,54,74,72,74,64,11613,0,10136,0,[]
88,9,14,68,66,65,63,67,67,67,64,10,14,66,64,64,53,78,82,76,68,11764,0,10230,0,['7:20 LGD 击杀了水龙']
89,10,26,65,68,54,57,73,75,73,74,10,23,88,4,53,48,83,84,79,75,11815,0,10302,0,[]
90,9,32,65,68,46,52,72,87,71,83,17,16,75,6,53,49,78,89,79,84,11943,0,10409,0,[]
91,9,32,10,94,46,52,72,88,73,88,23,10,63,8,48,48,86,84,85,81,11994,0,10613,0,[]
92,4,92,23,90,43,57,72,89,72,89,19,12,50,10,45,53,79,90,80,86,12119,0,11032,0,[]
93,6,75,34,88,40,59,73,88,74,90,20,13,43,17,47,55,79,89,79,89,12205,0,11234,0,['7:43 V5Mole(符文法师) 击杀了 LGDYuuki(万花通灵)']
94,7,62,42,83,40,59,73,88,74,91,18,12,45,16,51,49,82,86,82,86,12298,0,11417,0,[]
95,7,49,52,72,40,59,76,87,72,88,18,12,46,16,45,54,84,84,80,78,12349,0,11478,0,[]
96,7,37,52,76,2,96,74,90,74,88,91,4,45,15,49,50,80,88,80,88,12512,0,11633,0,[]
97,7,26,57,76,45,52,77,87,76,87,79,5,47,17,55,45,86,86,86,86,12678,0,11696,0,[]
98,11,22,68,78,47,51,79,89,78,86,67,6,43,24,59,38,85,85,85,85,12796,0,11772,0,[]
99,13,19,76,75,51,46,87,81,86,80,54,7,46,24,59,38,91,76,90,77,12900,0,11820,0,[]
100,13,18,77,72,56,43,84,84,80,83,42,9,48,26,93,7,88,67,88,67,13231,0,11869,0,[]
101,16,18,75,61,55,46,81,83,80,82,30,11,48,27,87,14,89,63,88,64,13347,0,12023,0,[]
102,23,29,77,59,51,49,85,78,84,78,19,13,52,29,78,23,91,65,84,64,13467,0,12184,0,[]
103,33,29,83,65,52,52,88,75,87,75,14,16,63,37,69,32,90,57,90,60,13602,0,12240,0,[]
104,22,38,83,65,53,51,88,76,90,75,14,16,74,44,57,42,93,59,91,59,13846,0,12419,0,[]
105,11,32,83,63,57,57,90,73,89,72,14,17,84,52,57,43,93,62,91,60,14123,0,12591,0,[]
106,9,24,86,65,68,61,88,70,89,71,18,22,89,62,59,47,93,67,93,67,14220,0,12754,0,[]
107,7,25,79,67,66,61,88,74,89,73,14,21,83,64,66,54,91,68,89,68,14454,0,12950,0,[]
108,8,27,70,64,66,64,90,75,87,75,7,18,82,59,65,57,93,68,89,68,14750,0,13050,0,[]
109,11,24,59,62,54,61,89,75,88,74,9,17,83,57,61,49,93,69,93,69,14822,0,13150,0,[]
110,15,15,57,54,46,54,85,80,82,79,15,13,83,56,51,47,90,73,90,73,14978,0,13307,0,[]
