,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,2,96,93,5,95,5,95,2,97,4,93,3,2500,0,2500,0,[]
2,4,95,5,95,4,95,4,95,5,95,93,4,94,6,93,5,94,6,92,4,2500,0,2500,0,[]
3,4,95,5,95,4,95,5,95,5,95,93,5,94,6,93,6,94,6,92,4,2500,0,2500,0,[]
4,21,83,24,84,24,84,27,93,24,84,89,26,89,28,86,26,84,26,89,26,2500,0,2500,0,[]
5,41,71,41,70,41,71,50,89,42,70,89,49,89,51,81,47,81,48,87,45,2500,0,2500,0,[]
6,57,69,57,68,57,68,68,81,57,69,87,70,87,74,87,67,72,63,87,67,2500,0,2500,0,[]
7,56,67,57,68,57,69,60,73,57,68,81,79,80,75,82,79,70,64,83,79,2500,0,2500,0,[]
8,56,67,57,68,57,68,57,69,57,68,75,78,75,77,76,78,73,72,74,78,2500,0,2520,0,[]
9,57,68,57,68,57,69,57,69,57,68,71,76,71,78,73,74,73,72,71,77,2500,0,2520,0,[]
10,57,69,56,67,57,68,57,67,56,67,69,67,70,69,66,68,73,64,69,68,2500,0,2520,0,[]
11,57,69,56,67,57,68,57,68,57,67,62,61,63,63,62,63,66,64,63,61,2500,0,2520,0,[]
12,57,69,56,67,57,68,57,68,57,67,62,62,60,62,62,62,63,62,60,63,2511,0,2520,0,[]
13,56,67,57,67,57,69,58,68,57,69,56,65,55,67,56,63,59,63,58,62,2533,0,2540,0,[]
14,51,76,57,73,57,74,60,73,57,73,57,67,58,68,56,68,58,66,56,66,2544,0,2540,0,[]
15,54,76,57,73,56,74,59,74,59,74,60,62,62,62,56,59,63,63,63,59,2544,0,2540,0,[]
16,54,76,52,72,47,73,55,76,52,72,55,53,73,62,49,51,74,64,72,63,2544,0,2540,0,[]
17,4,86,52,75,39,65,54,76,52,75,47,46,76,53,46,52,78,74,77,69,2544,0,2540,0,[]
18,5,74,51,74,45,57,53,76,51,74,37,40,74,53,49,50,78,81,80,79,2544,0,2561,0,[]
19,6,62,50,75,44,55,53,76,52,76,26,37,74,57,48,50,83,87,84,88,2665,0,2645,0,[]
20,9,52,50,80,45,56,63,78,63,78,23,37,76,56,45,50,82,87,81,85,2665,0,2729,0,[]
21,18,47,55,83,40,58,71,85,71,85,19,26,78,55,44,55,81,87,80,86,2739,0,2778,0,[]
22,14,36,54,84,40,55,73,90,72,90,16,16,79,55,46,51,81,82,84,80,2881,0,2849,0,[]
23,11,26,55,84,43,54,68,92,70,88,16,14,81,54,53,56,79,78,84,80,2998,0,3021,0,[]
24,11,20,56,83,46,55,71,90,72,88,14,19,83,56,57,65,80,78,94,6,3137,0,3096,0,[]
25,11,15,54,84,46,53,77,88,77,88,14,16,83,56,57,60,88,80,92,16,3229,0,3232,0,[]
26,12,19,48,77,47,54,79,86,79,86,15,18,77,47,53,51,88,83,91,29,3305,0,3322,0,[]
27,11,19,46,66,45,54,79,86,79,86,14,17,72,43,50,49,89,83,89,40,3381,0,3447,0,[]
28,10,21,44,67,45,54,79,86,79,86,13,17,71,41,48,48,87,83,89,53,3505,0,3560,0,[]
29,9,22,43,68,45,55,79,86,79,86,13,17,69,39,49,49,87,79,87,65,3646,0,3756,0,[]
30,13,19,43,68,45,56,80,85,80,85,14,19,69,39,49,49,88,80,89,75,3801,0,3849,0,[]
31,11,20,38,64,44,53,80,85,80,85,13,17,69,39,50,49,86,82,87,82,3884,0,4002,0,[]
32,11,19,31,56,44,54,81,85,81,85,15,17,90,5,50,52,87,81,90,82,3957,0,4073,0,[]
33,13,17,25,45,44,52,79,86,82,85,16,17,86,7,50,51,87,82,89,83,4152,0,4240,0,[]
34,13,18,23,41,41,51,81,84,81,85,14,13,76,12,54,45,87,82,88,83,4289,0,4307,0,[]
35,13,17,21,46,45,51,79,87,79,87,17,13,67,19,53,48,84,82,87,84,4354,0,4593,0,[]
36,12,17,20,49,46,51,81,87,81,87,14,17,57,23,51,49,84,81,86,83,4430,0,4665,0,[]
37,6,24,21,50,44,52,78,88,79,87,9,20,50,26,51,51,85,85,85,84,4586,0,4783,0,[]
