BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
68,80,23,50,17,44,40,58,28,51,85,64,56,30,20,13,49,48,49,48,30289,0,39050,4,[]
5,96,31,51,27,50,42,56,38,50,85,51,50,34,31,12,49,47,49,47,30341,0,39284,4,[]
18,94,31,45,35,43,42,56,40,58,76,54,48,35,32,18,48,50,48,50,30476,0,39359,4,[]
27,89,33,43,35,43,39,56,41,56,71,63,38,37,20,20,41,40,40,39,30553,0,39571,4,[]
28,75,33,43,32,43,44,50,38,51,70,62,36,36,16,20,41,35,41,35,30661,0,39758,4,[]
38,74,31,52,23,50,40,56,41,55,58,58,38,38,20,26,40,38,40,33,30802,0,39839,4,[]
49,66,33,59,17,53,39,60,37,57,57,58,36,43,23,35,44,51,42,43,30854,0,39970,4,[]
59,68,36,64,22,64,34,63,34,61,63,61,42,53,25,47,42,57,42,52,30911,0,40165,4,[]
56,68,32,66,28,66,32,67,29,67,57,64,43,58,32,53,37,59,37,59,30966,0,40252,4,[]
55,76,31,68,31,72,32,70,37,76,57,70,47,73,33,61,43,68,43,68,31060,0,40332,4,[]
50,79,37,76,39,76,34,74,40,77,52,76,50,77,41,68,49,76,48,77,31126,0,40934,4,['20:14 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGADD(×æ°²¿ñÈË)']
50,79,25,68,28,70,27,69,38,76,66,79,45,69,33,64,43,69,43,69,31178,0,41183,4,[]
50,79,24,67,15,64,29,70,2,96,68,89,37,58,30,60,35,61,35,61,31229,0,41255,4,[]
50,79,19,63,11,54,26,67,13,86,64,91,23,57,20,53,28,60,20,53,31306,0,41406,4,[]
50,79,11,62,6,54,14,63,12,72,59,89,16,50,8,47,18,51,8,47,31358,0,41675,4,[]
50,79,6,57,10,57,5,57,10,58,51,94,14,50,5,51,9,51,5,51,31473,0,41771,4,[]
50,79,8,51,8,54,6,52,9,54,48,91,13,49,11,48,7,48,9,48,31574,0,41825,4,[]
50,79,9,53,6,51,6,54,7,51,48,91,8,50,8,52,5,47,5,47,31695,0,43088,4,[]
3,93,8,56,7,54,5,53,7,55,6,55,10,54,8,56,10,47,9,47,31750,0,43795,4,"['20:52 EDGScout(½âÍÑÕß) »÷É±ÁË BLGJinjiao(ÇÙÉªÏÉÅ®)', '20:53 EDGScout(½âÍÑÕß) »÷É±ÁË BLGXinMo(Éîº£Ì©Ì¹)', '20:53 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò)', '20:54 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷É±ÁË BLGMeteor(ÁÝ¶¬Ö®Å­)']"
9,76,8,56,7,54,5,53,7,55,10,52,11,52,11,57,8,53,11,54,31802,0,44397,5,['20:59 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷ÆÆÁË·ÀÓùËþ']
7,64,8,56,7,54,5,53,7,55,22,43,23,41,15,48,20,47,19,47,31986,0,44451,5,[]
13,64,8,56,7,54,5,53,7,55,29,34,32,32,25,57,25,37,25,37,32032,0,44530,5,[]
25,70,8,56,7,54,5,53,7,55,33,33,31,29,35,62,31,34,32,29,32119,0,44650,5,[]
28,72,8,56,7,54,5,53,7,55,32,33,32,31,47,63,30,33,30,33,32189,0,44812,5,[]
40,77,8,56,7,54,5,53,7,55,34,31,30,31,48,73,30,32,30,32,32241,0,46398,5,[]
47,79,8,56,7,54,4,85,16,87,33,31,31,32,56,81,34,32,34,32,32300,0,46536,5,['21:28 EDG »÷É±ÁË´óÁú']
59,77,18,89,13,95,25,88,34,89,92,8,95,4,60,85,94,4,93,5,32354,0,46707,5,[]
71,85,30,81,29,94,39,90,49,91,84,14,88,17,67,89,82,17,82,17,32407,0,46851,5,[]
76,87,39,74,42,92,54,90,61,90,75,28,81,35,77,86,74,28,74,28,32461,0,46903,5,[]
73,89,45,64,52,86,63,90,65,89,76,34,80,49,87,77,66,39,66,39,32665,0,46954,5,[]
66,88,43,68,43,78,54,88,64,88,61,40,81,55,95,4,74,42,74,42,32927,0,47193,5,[]
59,85,35,64,31,73,45,79,61,83,52,48,76,59,89,17,77,54,77,54,33039,0,47371,5,[]
59,85,34,63,20,69,32,72,47,80,47,56,72,62,82,30,74,66,74,66,33112,0,47423,5,[]
3,96,30,67,9,62,31,69,42,70,51,63,73,72,80,44,80,78,80,78,33300,0,47545,5,[]
10,85,31,69,8,60,30,70,41,70,53,64,68,81,74,56,75,88,75,87,33484,0,47770,5,[]
22,75,38,76,7,53,39,75,43,69,49,58,58,77,72,63,63,87,63,87,33619,0,47853,5,[]
34,75,38,76,11,53,41,78,41,75,42,56,50,78,57,65,61,90,59,85,33676,0,47996,5,[]
42,77,38,76,11,53,40,78,39,76,46,56,47,79,44,69,59,90,47,80,33759,0,48336,5,[]
35,81,36,77,9,94,35,81,37,76,39,63,48,79,45,70,51,89,47,75,33813,0,48418,5,[]
31,72,36,77,25,89,36,82,37,76,41,71,42,79,45,79,43,93,47,78,33865,0,49041,6,['22:40 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷ÆÆÁË·ÀÓùËþ']
34,74,32,74,33,80,36,78,37,75,38,74,36,79,40,78,42,83,38,74,33961,0,49876,6,[]
29,74,28,74,30,80,36,78,36,75,34,74,31,76,32,74,32,75,32,75,34034,0,50753,6,"['22:46 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷É±ÁË BLGJinjiao(ÇÙÉªÏÉÅ®)', '22:48 EDGScout(½âÍÑÕß) »÷É±ÁË BLGXinMo(Éîº£Ì©Ì¹)']"
27,73,28,75,22,83,36,78,36,75,24,79,28,74,21,82,23,79,23,79,34081,0,51206,6,"['22:51 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGADD(×æ°²¿ñÈË)', '22:52 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGMeteor(ÁÝ¶¬Ö®Å­)', '22:54 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò)']"
27,73,28,75,22,83,36,78,36,75,26,76,22,76,21,76,24,80,25,76,34141,0,51574,7,['22:59 EDGScout(½âÍÑÕß) »÷ÆÆÁË·ÀÓùËþ']
27,73,28,75,22,83,36,78,36,75,15,81,18,80,13,84,14,80,17,80,34188,0,51683,7,[]
27,73,28,75,22,83,36,78,36,75,15,84,13,86,12,86,15,84,15,84,34239,0,52218,8,['23:9 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷ÆÆÁË·ÀÓùËþ']
27,73,28,75,22,83,36,78,36,75,13,85,13,88,12,87,14,83,15,84,34291,0,52541,9,['23:15 EDGJiejie(Ðé¿Õ¶ÝµØÊÞ) »÷ÆÆÁË·ÀÓùËþ']
27,73,28,75,22,83,36,78,2,96,13,85,6,94,8,90,14,83,8,90,34344,0,52642,9,[]
27,73,28,75,22,83,1,96,2,96,13,85,4,95,8,90,14,83,8,90,34348,0,52644,9,[]
27,73,28,75,22,83,1,96,2,96,13,85,4,95,8,90,14,83,8,90,34348,0,52644,9,['23:30 EDG »ñÊ¤']
