BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
16,18,32,44,42,41,32,93,33,66,20,14,81,56,55,47,88,71,89,71,7229,0,7155,0,[]
15,13,40,34,51,33,45,91,39,64,18,14,94,4,58,49,87,75,87,74,7303,0,7262,0,[]
18,13,38,24,49,42,56,90,48,66,24,11,83,7,55,46,87,75,87,73,7376,0,7392,0,[]
17,13,41,32,54,46,63,83,58,63,22,10,73,14,57,46,87,75,89,75,7508,0,7483,0,[]
15,12,42,19,53,44,67,78,59,71,21,13,64,21,57,45,86,80,80,76,7573,0,7619,0,[]
16,17,42,19,54,47,71,78,67,78,18,10,51,18,55,46,85,79,75,76,7739,0,7748,0,[]
18,18,41,25,53,47,74,87,73,85,18,11,43,18,60,40,84,80,84,79,7806,0,7885,0,[]
17,19,41,37,46,52,79,90,78,88,17,14,43,16,60,39,83,83,83,83,7878,0,8123,0,[]
16,18,45,42,47,49,77,89,78,87,21,12,45,16,94,4,82,80,82,80,7968,0,8268,0,[]
14,17,50,47,52,47,74,88,75,89,19,13,50,25,93,5,81,88,81,88,8189,0,8348,0,[]
13,19,52,49,51,49,77,88,76,88,18,13,51,35,56,46,82,86,82,86,8282,0,8464,0,[]
11,18,45,56,49,50,75,88,76,89,16,18,39,37,54,46,82,87,82,87,8597,0,8577,0,[]
7,22,46,65,40,50,75,89,77,89,11,21,30,39,55,48,80,86,80,86,8677,0,8715,0,[]
7,28,49,67,40,50,74,91,73,90,14,19,20,37,54,53,78,87,78,87,8815,0,8981,0,[]
5,34,53,63,50,52,68,90,70,91,11,23,15,37,55,49,75,90,75,90,9042,0,9113,0,[]
8,26,56,58,52,51,71,91,70,90,11,21,15,42,55,48,77,88,77,88,9192,0,9242,0,[]
11,30,55,48,55,46,75,89,74,87,11,24,15,42,55,47,82,86,82,86,9278,0,9421,0,[]
6,27,55,49,57,48,78,89,78,90,11,23,15,33,60,43,82,84,82,84,9350,0,9901,0,[]
5,31,54,55,56,49,75,89,76,90,9,25,11,34,57,44,80,86,80,86,9467,0,9966,0,"['6:16 EDGScout(½âÍÑÕß) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò),»ñµÃÒ»Ñª']"
5,26,64,62,56,49,76,89,75,88,6,25,5,28,48,47,81,84,81,84,9540,0,10568,0,[]
5,26,68,65,56,49,77,87,79,86,6,25,8,23,47,50,82,78,82,78,9586,0,10719,0,['6:28 EDGJiejie(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË BLGADD(×æ°²¿ñÈË)']
5,26,67,66,7,89,76,76,77,78,6,26,18,25,49,50,76,69,76,69,9737,0,10792,0,[]
5,26,72,63,14,80,74,65,75,68,7,25,23,36,54,49,75,59,75,59,9811,0,11025,0,[]
2,96,74,61,22,72,75,59,77,62,8,16,24,44,54,49,81,55,81,55,9876,0,11076,0,[]
8,26,75,69,31,65,76,71,79,72,8,16,24,42,90,7,80,56,80,56,10001,0,11132,0,[]
9,23,69,80,41,56,78,81,80,83,89,5,22,41,87,9,78,63,78,63,10123,0,11183,0,[]
15,17,58,82,48,50,80,90,78,87,88,5,24,39,78,19,84,66,84,66,10239,0,11334,0,[]
21,11,56,83,51,48,79,86,82,85,73,6,35,37,70,28,87,66,87,67,10471,0,11385,0,[]
23,12,53,84,49,50,82,82,83,81,62,8,47,35,62,37,87,76,87,76,10780,0,11458,0,[]
23,12,54,85,53,54,82,83,80,84,48,10,52,35,55,44,85,80,84,79,10928,0,11694,0,[]
26,7,56,84,48,55,85,84,81,84,37,9,52,34,49,48,87,77,87,77,11106,0,11841,0,[]
24,7,51,83,39,49,86,79,81,88,30,9,51,27,53,41,87,73,87,72,11376,0,11988,0,[]
20,15,51,75,32,44,83,87,81,90,29,10,52,28,52,42,88,69,92,71,11458,0,12287,0,[]
23,26,49,73,33,47,83,89,2,96,26,10,56,31,53,43,89,69,88,71,11513,0,12547,0,[]
27,35,51,73,43,52,2,96,7,95,20,11,65,38,53,45,88,73,88,72,11664,0,12704,0,[]
24,38,51,74,42,53,6,96,19,88,20,12,73,43,51,46,87,75,88,74,11717,0,12943,0,[]
32,38,51,74,46,52,13,95,31,81,21,14,71,41,52,45,88,74,87,76,11769,0,13135,0,[]
22,38,4,91,46,54,25,94,41,70,20,25,67,47,52,45,89,71,89,71,11862,0,13243,0,[]
12,34,6,79,47,54,36,93,54,63,23,39,79,55,53,48,89,71,89,71,11938,0,13319,0,[]
7,27,9,68,44,55,48,92,66,58,20,49,81,55,48,50,95,4,94,6,12032,0,13434,0,[]
12,23,11,56,48,52,60,91,61,61,30,55,82,55,55,51,94,7,93,7,12252,0,13571,0,[]
12,19,15,44,50,51,71,91,60,73,32,44,78,50,65,50,93,19,92,11,12374,0,13622,0,[]
15,18,21,51,44,48,74,90,70,83,40,36,78,51,76,52,92,27,92,27,12490,0,13668,0,[]
24,22,24,56,48,52,74,91,76,88,37,26,79,51,76,49,91,38,91,38,12582,0,13819,0,[]
29,19,21,51,49,50,74,91,74,88,29,18,79,51,64,50,91,49,91,49,12800,0,13880,0,[]
27,13,21,48,48,51,74,90,73,88,27,10,93,7,52,49,90,60,90,59,12903,0,14015,0,[]
25,14,25,51,46,51,74,89,75,87,33,6,83,11,52,49,88,70,88,70,12955,0,14187,0,[]
19,12,33,59,43,55,74,89,75,89,33,6,79,22,50,52,83,80,83,80,13228,0,14273,0,[]
19,12,42,67,46,53,74,88,73,88,94,4,71,32,57,56,81,88,81,88,13378,0,14377,0,[]
17,10,50,65,51,56,72,91,73,90,94,4,66,42,62,61,77,88,77,88,13497,0,14470,0,[]
17,10,49,65,51,54,76,90,75,89,26,11,66,55,63,60,80,85,80,85,13674,0,14759,0,[]
3,87,53,66,47,50,75,90,74,88,24,11,62,63,55,58,82,89,82,89,13768,0,14824,0,[]
5,76,51,65,44,53,77,89,76,87,17,16,67,65,54,54,83,81,83,81,13993,0,14896,0,[]
6,64,57,61,45,56,75,88,77,87,16,16,71,65,48,51,83,84,83,84,14086,0,15221,0,[]
8,53,55,52,54,51,72,85,75,87,19,19,67,70,56,50,84,84,84,84,14183,0,15320,0,[]
9,42,53,55,52,51,67,79,68,78,23,29,63,61,52,47,83,83,83,83,14235,0,15401,0,[]
8,31,50,50,49,50,69,78,67,78,26,37,65,60,56,46,84,79,85,78,14434,0,15496,0,[]
9,26,47,58,44,52,76,77,79,81,30,33,66,57,51,48,87,74,87,74,14500,0,15682,0,[]
14,18,53,65,40,50,83,82,86,83,25,26,61,62,51,53,87,75,87,75,14594,0,15763,0,[]
15,16,57,74,40,50,84,81,86,84,25,15,66,66,56,63,90,75,90,75,14719,0,15856,0,[]
20,20,56,82,6,88,83,84,83,83,22,10,67,73,56,64,89,79,89,79,14788,0,15993,0,[]
26,30,59,83,16,81,79,85,74,86,21,9,64,63,50,55,90,76,90,75,14918,0,16111,0,[]
26,23,58,83,25,72,85,80,70,78,26,11,58,63,45,54,87,74,87,74,15006,0,16315,0,[]
22,24,58,84,33,64,85,79,79,86,35,14,65,65,49,52,87,75,87,75,15153,0,16377,0,[]
16,16,62,84,41,55,83,85,81,83,30,20,67,72,51,51,89,77,89,77,15206,0,16476,0,[]
17,15,62,84,40,55,83,85,77,86,25,16,67,61,95,4,86,77,86,77,15562,0,16550,0,[]
15,12,4,91,41,51,74,86,76,87,21,12,61,50,85,13,87,78,90,79,15638,0,16675,0,[]
20,20,7,83,46,49,77,87,74,87,29,8,54,39,74,22,84,79,85,78,15690,0,16870,0,[]
26,30,13,73,50,49,83,85,80,86,26,9,52,34,66,32,85,79,85,79,15850,0,17112,0,[]
31,28,17,62,42,42,83,84,75,87,27,14,48,33,59,40,86,77,86,77,15902,0,17380,0,[]
28,31,18,50,34,40,79,87,79,86,25,27,39,32,52,43,85,80,85,80,15953,0,17474,0,[]
25,33,22,39,34,43,77,87,74,87,23,29,37,25,41,38,84,80,84,80,16005,0,17569,0,[]
25,35,25,32,31,40,77,89,78,88,27,34,38,27,42,42,82,83,82,84,16058,0,17672,0,[]
29,34,27,37,31,38,75,89,75,88,35,36,34,32,32,38,84,82,84,82,16113,0,18158,0,[]
31,38,30,37,33,39,65,92,70,91,35,41,33,37,33,38,75,88,75,88,16185,0,18712,0,['10:58 EDGJiejie(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò)']
29,38,26,36,33,39,71,88,71,90,29,39,25,37,27,37,76,89,76,89,16913,0,18790,0,"['11:1 EDGScout(½âÍÑÕß) »÷É±ÁË BLGADD(×æ°²¿ñÈË)', '11:5 BLGMeteor(ÁÝ¶¬Ö®Å­) »÷É±ÁË EDGJiejie(Ðé¿Õ¶ÝµØÊÞ)']"
29,38,18,34,33,39,72,91,71,91,20,39,25,37,19,35,78,88,75,87,16979,0,19341,0,['11:10 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷É±ÁË BLGMeteor(ÁÝ¶¬Ö®Å­)']
29,38,18,34,33,39,72,92,71,91,23,42,25,37,29,37,77,86,77,86,17031,0,19524,0,[]
29,38,18,34,33,39,68,91,70,91,23,33,25,37,40,43,74,92,74,92,17191,0,19615,0,[]
29,38,18,34,33,39,70,91,67,92,17,23,25,37,46,51,75,90,77,88,17306,0,19876,0,[]
3,92,18,34,8,86,70,91,63,93,11,22,90,12,46,53,76,87,76,87,17371,0,20082,0,[]
4,83,18,34,17,78,68,91,63,93,13,20,82,24,44,52,82,84,82,84,17423,0,20491,0,[]
5,70,5,91,26,70,68,91,6,95,9,18,80,38,40,56,83,86,78,83,17476,0,20580,0,[]
6,58,11,80,35,62,2,96,16,88,8,16,78,52,40,54,79,88,77,85,17652,0,20832,0,[]
7,45,16,69,40,56,4,96,29,88,94,4,72,64,42,43,80,83,78,83,17767,0,20967,0,[]
7,33,23,57,48,51,71,92,42,89,89,5,66,69,42,39,72,78,78,76,17882,0,21051,0,[]
8,28,23,55,51,49,70,90,56,90,82,5,67,69,42,39,72,75,71,69,18252,0,21097,0,[]
10,25,20,49,45,44,74,89,70,88,69,6,66,69,95,4,69,68,66,69,18372,0,21269,0,[]
19,25,24,47,44,47,77,87,79,85,54,8,65,64,58,42,74,72,74,72,18511,0,21385,0,['12:7 EDG »÷É±ÁËË®Áú']
29,21,21,46,46,52,80,87,76,87,46,15,64,62,53,49,83,81,83,81,18635,0,21602,0,[]
27,22,19,44,45,55,73,86,70,82,44,23,56,63,54,52,87,79,87,79,18830,0,21668,0,[]
16,20,17,44,43,56,67,79,65,78,38,24,52,65,48,53,84,79,84,80,18944,0,22138,0,[]
17,19,22,43,42,57,61,73,61,74,33,21,56,59,46,53,82,85,84,84,19097,0,22325,0,[]
28,22,30,36,45,54,57,67,58,62,26,16,52,47,50,44,81,85,81,84,19210,0,22399,0,[]
28,22,34,31,45,53,50,61,50,58,21,13,49,35,40,38,78,85,80,82,19368,0,22516,0,[]
19,17,25,35,39,43,47,50,46,47,15,12,41,26,45,34,77,86,78,79,19455,0,22689,0,[]
21,11,27,34,34,38,37,41,35,38,21,11,45,24,43,36,70,89,74,88,19527,0,22784,0,[]
22,11,27,33,29,35,27,38,29,34,26,12,46,23,43,44,69,89,71,89,19628,0,23285,0,[]
16,9,28,35,32,41,24,32,25,28,34,12,43,17,47,51,68,90,72,89,19783,0,23513,0,[]
16,9,28,31,37,50,18,20,30,18,34,12,44,17,41,58,74,92,77,86,19898,0,23818,0,[]
10,95,23,24,40,56,16,17,21,14,36,16,42,16,48,48,78,87,78,81,20054,0,23957,0,[]
23,94,19,18,39,53,18,16,17,15,36,15,36,13,45,38,77,87,78,81,20310,0,24064,0,[]
35,93,19,12,30,45,20,14,20,13,32,10,34,17,40,26,76,87,90,4,20545,0,24217,0,[]
48,92,25,7,40,44,23,9,26,8,31,9,33,10,34,12,71,88,83,5,20964,0,24414,0,[]
60,92,16,10,43,41,20,11,20,8,29,6,29,8,26,8,72,91,72,6,21099,0,24493,0,[]
70,91,15,10,48,51,20,13,22,12,34,10,36,14,29,6,74,90,62,7,21323,0,24544,0,[]
67,91,3,96,46,50,18,15,17,11,48,18,37,14,31,8,75,89,51,8,21405,0,24591,0,[]
71,91,15,94,2,96,17,15,11,13,57,24,30,19,22,10,77,87,40,10,21561,0,24823,0,[]
74,89,27,92,10,84,10,23,11,13,57,40,34,23,18,9,82,80,29,11,21636,0,24871,0,[]
73,86,39,91,19,76,9,29,7,95,51,49,41,34,9,16,88,81,18,12,21691,0,24925,0,[]
73,84,51,89,28,68,7,33,15,92,47,52,52,35,11,23,84,81,15,19,21742,0,25104,0,[]
73,84,56,82,37,60,7,33,30,89,53,51,52,34,11,22,89,81,14,20,21989,0,25378,0,[]
4,83,54,83,45,56,6,94,45,83,66,65,61,41,8,20,89,81,12,18,22061,0,25432,0,[]
5,67,56,84,46,59,19,95,58,84,76,72,73,44,7,19,95,4,12,18,22136,0,25519,0,[]
6,51,68,82,51,62,32,94,70,78,84,81,76,46,94,5,86,9,90,6,22187,0,25701,0,[]
7,39,77,78,57,62,45,92,80,77,85,81,82,56,85,15,79,17,79,17,22239,0,25752,0,[]
10,27,88,77,68,67,58,90,88,78,89,76,82,57,76,24,71,26,71,26,22742,0,25889,0,[]
16,19,88,81,63,61,71,88,86,78,89,76,76,57,67,33,63,25,63,25,22856,0,25941,0,['14:32 BLGXinMo(Éîº£Ì©Ì¹) »÷É±ÁË EDGJinoo(¿ñ±©Ö®ÐÄ)']
15,14,87,82,53,55,82,85,85,79,89,76,75,55,58,41,51,19,57,25,23228,0,25996,0,[]
17,13,79,77,52,48,85,80,82,78,89,76,73,53,64,51,40,15,59,35,23560,0,26147,0,[]
19,23,76,66,56,57,76,71,76,67,89,76,77,59,65,53,33,10,57,45,23611,0,26219,0,[]
28,32,75,62,56,59,77,62,79,64,89,76,88,61,60,50,26,11,58,47,23694,0,26424,0,[]
31,39,64,69,54,60,79,66,67,60,89,76,89,61,53,49,23,10,53,49,23746,0,26735,0,[]
31,39,52,76,43,55,84,78,74,69,95,6,93,68,52,50,16,17,52,50,24054,0,26825,0,[]
34,31,50,74,45,55,88,74,85,78,91,19,93,68,64,52,13,16,64,52,24337,0,26939,0,[]
22,38,46,71,44,57,88,76,86,76,88,31,91,64,65,58,19,18,65,58,24417,0,27031,0,[]
11,32,46,65,2,96,85,78,89,82,89,45,82,65,63,52,23,28,63,52,24583,0,27112,0,[]
8,27,42,67,10,84,82,86,89,82,88,60,77,56,51,50,20,25,51,50,24704,0,27358,0,[]
6,28,32,60,19,75,83,89,2,96,82,67,69,49,45,52,10,24,45,52,24773,0,27463,0,[]
8,24,24,56,28,67,82,87,14,89,80,69,55,50,39,56,11,19,41,54,24925,0,27600,0,[]
8,25,30,57,38,59,80,86,24,77,87,70,44,50,40,55,12,20,41,54,24997,0,28349,0,[]
