,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,99,1,97,1,95,94,4,94,5,95,2,97,3,93,4,0,0,0,0,[]
2,4,95,5,96,4,95,5,96,2,97,93,6,93,5,93,5,97,3,93,4,0,0,0,0,[]
3,4,95,5,96,5,94,5,96,5,96,93,6,92,5,93,6,94,6,93,4,0,0,0,0,[]
4,19,79,18,77,16,77,27,94,25,85,80,21,78,22,79,22,84,26,92,7,0,0,0,0,[]
5,36,66,31,59,18,55,49,89,42,70,66,37,66,39,62,37,80,48,78,24,0,0,0,0,[]
6,51,66,34,40,24,36,68,81,58,70,64,57,65,56,49,39,80,69,66,43,0,0,0,0,[]
7,50,66,35,39,25,35,74,76,66,77,65,57,66,56,57,47,76,60,65,57,0,0,0,0,[]
8,50,65,35,38,25,35,78,74,78,74,64,57,66,56,66,54,77,50,65,57,0,0,0,0,[]
9,51,65,35,39,25,35,74,74,74,74,64,57,66,56,66,56,67,51,64,57,0,0,0,0,[]
10,51,65,35,39,25,35,73,73,73,73,64,57,66,56,66,56,66,56,64,57,0,0,0,0,[]
11,52,65,34,39,25,35,72,76,69,78,65,57,66,56,66,55,66,56,64,57,0,0,0,0,[]
12,50,66,35,38,26,35,69,78,60,72,66,51,66,54,63,53,67,52,65,57,0,0,0,0,[]
13,51,65,34,40,29,35,68,78,64,77,65,40,67,42,61,50,66,56,65,57,0,0,0,0,[]
14,52,65,33,42,24,35,70,79,68,78,57,33,59,34,58,46,66,56,65,57,0,0,0,0,[]
15,51,65,31,46,24,35,70,78,69,78,50,25,52,29,56,44,66,56,65,57,0,0,0,0,[]
16,51,63,21,48,24,36,69,79,69,79,49,22,49,26,55,46,73,64,73,65,0,0,0,0,[]
