,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
252,21,76,16,22,52,65,58,85,44,58,74,89,21,27,19,25,92,9,25,25,0,2,0,1,[]
253,30,67,24,13,56,64,63,87,37,50,71,86,20,19,20,15,81,22,19,20,0,2,0,1,[]
254,39,59,29,11,67,66,71,86,49,52,70,79,24,13,22,13,72,30,31,22,0,2,0,1,[]
255,50,55,40,7,73,68,70,80,60,58,86,78,39,10,36,10,64,38,40,30,0,2,0,1,[]
256,55,53,40,6,71,62,61,84,54,52,93,64,44,14,32,9,56,42,48,40,0,2,0,1,[]
257,52,53,40,6,59,56,53,90,51,53,92,63,43,18,23,10,55,43,53,45,0,2,0,1,[]
258,52,52,40,6,57,55,61,88,54,52,86,54,42,17,12,19,54,43,54,44,0,2,0,1,[]
259,56,48,40,6,58,45,61,83,59,48,75,48,47,25,12,20,59,40,57,40,0,2,0,1,[]
260,55,48,40,6,50,50,69,83,55,50,67,49,51,34,8,25,61,43,57,42,0,2,0,1,[]
261,52,47,40,6,38,50,74,89,49,48,75,44,49,35,7,28,62,41,58,39,0,2,0,1,[]
262,44,49,40,6,32,41,75,91,40,43,77,45,45,35,7,28,55,41,53,44,0,2,0,1,[]
263,36,49,40,6,26,34,71,84,29,39,78,53,49,42,10,25,49,41,48,42,0,2,0,2,[]
264,43,53,3,93,21,43,80,86,35,49,87,66,55,47,14,22,52,48,52,49,0,2,0,2,[]
265,44,52,6,76,17,44,85,80,45,52,87,75,57,45,14,22,54,49,59,50,0,2,0,2,[]
266,49,53,6,61,19,46,76,87,48,49,87,77,95,4,90,6,58,47,59,50,0,2,0,2,[]
267,44,51,8,47,25,57,76,86,39,43,87,72,91,13,78,18,61,50,53,46,0,2,0,2,[]
268,41,54,9,38,26,59,2,96,36,38,87,70,83,27,65,21,60,49,60,51,0,2,0,2,[]
269,44,51,17,34,26,59,19,88,34,38,95,4,80,40,58,31,58,50,64,58,0,2,0,2,[]
270,40,51,26,31,7,94,31,81,2,96,76,7,78,52,58,44,51,47,64,57,0,2,0,2,[]
271,45,51,19,25,15,88,40,71,17,86,61,8,73,64,56,55,54,48,58,63,0,2,0,2,[]
272,42,54,16,16,28,82,47,64,27,76,45,10,68,66,62,61,51,46,50,54,0,2,0,2,[]
273,42,57,22,22,38,74,52,67,36,67,32,11,57,64,73,70,55,52,57,55,0,2,0,2,[]
274,43,58,30,33,50,68,52,64,46,67,22,13,61,62,81,81,54,48,55,52,0,2,0,2,[]
275,49,58,41,39,56,56,57,71,56,64,20,20,66,63,80,83,51,49,50,50,0,2,0,2,[]
276,49,53,43,44,57,54,56,60,59,56,28,32,68,53,70,79,55,45,58,49,0,2,0,2,[]
277,53,56,43,44,58,55,56,57,54,57,24,28,65,59,72,85,59,48,65,56,0,2,0,2,[]
278,59,57,52,49,61,58,61,60,61,60,17,20,67,63,71,85,66,55,67,55,0,2,0,2,[]
279,56,56,46,52,60,61,57,66,56,62,13,22,71,64,73,74,64,52,67,54,0,2,0,2,[]
280,62,61,58,57,66,67,56,67,63,63,11,38,75,64,74,62,64,53,66,54,0,2,0,2,[]
281,58,59,65,60,64,63,56,67,64,60,9,42,75,71,74,74,65,51,66,52,0,2,0,2,[]
282,50,54,66,67,66,66,56,67,63,63,7,43,77,71,68,78,66,53,66,55,0,2,0,2,[]
283,51,59,64,69,65,68,58,66,62,63,5,45,73,66,66,77,66,58,65,60,0,2,0,2,[]
284,58,63,58,66,58,67,62,63,61,64,66,56,64,69,66,77,67,65,66,68,0,2,0,2,[]
285,61,63,61,59,62,59,64,63,62,64,66,54,63,72,62,75,71,69,70,67,0,2,0,2,[]
286,67,66,64,62,68,66,71,67,67,66,65,60,63,72,57,67,71,70,71,69,0,2,0,2,[]
287,75,66,66,52,68,68,73,67,71,68,66,55,67,70,66,66,73,69,72,69,0,3,0,2,['23:55 BLGADD(狂暴之心) 击杀了 RWHolder(暗裔剑魔)']
288,74,70,66,52,76,69,75,69,73,69,74,69,74,69,75,70,73,69,73,68,0,3,0,2,"['23:57 RWHuaTian(万花通灵) 击杀了 BLGJinjiao(惩戒之箭)', '23:59 BLGKuro(刀锋舞者) 击杀了 RWHaro(德玛西亚皇子)']"
289,74,70,66,52,76,69,75,68,72,69,67,63,67,63,66,64,73,69,73,68,0,3,0,2,[]
290,74,70,66,52,76,69,75,68,72,69,53,54,56,55,56,54,73,69,73,68,0,3,0,2,[]
291,74,70,66,52,76,69,75,68,72,69,44,46,45,46,45,44,73,69,73,68,0,3,0,2,[]
292,74,70,66,52,76,69,75,68,72,69,32,34,35,38,35,37,73,69,73,68,0,3,0,2,[]
293,74,70,66,52,76,69,75,68,72,69,31,33,31,30,33,32,73,69,73,68,0,3,0,2,[]
294,74,70,66,52,76,69,75,68,72,69,31,32,30,28,34,31,73,69,73,68,0,3,0,2,[]
295,74,70,66,52,76,69,75,68,72,69,32,33,31,29,32,31,73,69,89,7,0,3,0,2,[]
296,2,96,11,95,3,96,75,68,7,93,38,41,34,28,33,30,93,4,86,8,0,3,0,2,[]
297,14,89,28,94,24,90,75,68,21,82,44,53,45,23,95,4,78,14,94,7,0,3,0,2,[]
298,24,78,42,94,40,89,2,96,29,71,42,54,44,17,87,19,66,20,81,18,0,3,0,2,[]
299,35,75,56,93,53,86,44,54,38,62,55,43,42,17,81,32,57,28,72,28,0,3,0,2,[]
300,46,73,67,91,54,83,45,53,47,53,59,42,41,16,80,46,52,32,63,36,0,3,0,2,[]
301,43,68,77,87,54,84,33,49,45,57,55,44,92,9,76,58,54,31,57,41,0,3,0,2,[]
302,34,61,78,88,53,84,22,47,40,58,61,43,84,25,83,66,53,26,59,40,0,3,0,2,[]
303,32,59,69,88,47,72,19,48,37,48,72,41,79,37,84,56,52,26,66,36,0,3,0,2,[]
304,40,56,65,78,39,63,10,45,40,53,68,40,77,50,81,54,56,32,59,36,0,3,0,2,[]
305,44,54,59,72,31,56,8,41,46,55,95,4,75,53,89,56,56,43,55,45,0,3,0,2,[]
306,44,53,57,69,34,39,17,49,44,55,77,6,76,49,89,70,53,48,54,45,0,3,0,2,[]
307,45,52,50,65,31,35,19,45,44,55,61,8,66,55,87,66,51,47,54,50,0,3,0,2,[]
308,44,54,47,64,34,43,23,50,42,54,46,9,56,55,88,76,58,43,55,51,0,3,0,2,[]
309,39,53,47,64,41,44,32,45,45,52,35,16,56,46,87,72,58,45,53,43,0,3,0,2,[]
310,42,52,52,60,45,43,39,44,44,52,33,23,53,47,87,67,90,13,51,42,0,3,0,2,[]
311,44,52,50,65,44,42,42,44,45,54,43,34,51,51,78,72,78,25,47,39,0,3,0,2,[]
312,41,55,50,65,43,53,43,54,44,56,50,44,52,51,77,85,69,33,51,48,0,3,0,2,[]
313,43,52,54,61,54,61,46,51,45,54,44,44,53,51,71,89,61,43,49,47,0,3,0,2,[]
314,48,54,56,55,54,51,49,55,50,55,37,43,54,52,69,88,53,47,53,48,0,3,0,2,[]
315,48,56,55,49,53,49,54,51,52,53,47,48,54,46,69,88,53,46,52,47,0,3,0,2,[]
316,48,58,54,48,54,51,55,52,51,56,48,55,49,46,53,56,53,52,48,50,0,3,0,2,['26:17 BLGJinjiao(惩戒之箭) 击杀了 RWHaro(德玛西亚皇子)']
317,48,58,54,48,54,51,56,54,54,64,46,55,47,52,53,63,52,55,47,55,0,3,0,2,[]
318,48,58,54,48,54,51,56,54,54,64,41,58,41,58,40,65,43,57,42,57,0,3,0,2,[]
319,48,58,54,48,54,51,56,54,54,64,32,64,32,65,37,62,36,63,39,65,0,3,0,3,[]
320,48,58,54,48,54,51,56,54,54,64,25,71,28,70,28,71,28,69,28,71,0,3,0,4,[]
321,48,58,54,48,54,51,56,54,54,64,17,77,22,76,21,76,25,76,23,77,0,3,0,5,[]
322,48,58,54,48,54,51,56,54,54,64,15,80,15,80,14,81,17,80,14,82,0,3,0,5,[]
323,48,58,54,48,54,51,56,54,54,64,13,88,13,87,13,88,15,84,15,87,0,3,0,7,[]
324,48,58,54,48,2,96,56,54,54,64,13,88,9,92,11,91,15,85,12,90,0,3,0,7,[]
325,2,97,,0,2,96,56,54,2,96,13,88,9,92,11,91,14,83,12,90,0,3,0,7,[]
326,2,97,,0,2,96,56,54,2,96,13,88,9,92,11,91,14,83,12,90,0,3,0,7,[]
