,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,71,91,18,13,9,84,49,48,73,92,24,11,83,59,57,44,78,90,77,87,0,0,0,0,[]
59,72,90,18,13,19,75,51,46,74,92,24,12,82,56,56,43,77,87,78,84,0,0,0,0,[]
60,74,93,22,11,28,67,51,47,77,86,25,11,77,47,61,42,82,84,71,78,0,0,0,0,[]
61,71,87,18,17,36,58,52,44,73,87,26,13,72,42,61,42,78,81,67,78,0,0,0,0,[]
62,75,91,21,20,43,47,51,45,74,87,22,10,71,41,62,42,83,86,78,81,0,0,0,0,[]
63,75,90,22,12,45,36,54,44,78,91,24,9,65,38,60,44,82,87,81,86,0,0,0,0,[]
64,74,89,18,15,47,36,53,45,76,90,21,11,55,32,58,42,80,85,80,91,0,0,0,0,[]
65,74,92,20,13,47,36,51,45,75,90,23,10,51,32,61,41,79,86,80,88,0,0,0,0,[]
66,76,93,25,13,47,36,46,44,74,92,31,7,53,31,61,41,78,88,78,88,0,0,0,0,[]
67,74,92,23,11,50,45,47,47,74,92,32,7,50,34,95,4,80,90,79,91,0,0,0,0,[]
68,77,90,22,11,46,47,47,47,78,92,31,7,51,31,60,42,82,85,80,85,0,0,0,0,[]
69,77,89,23,12,39,40,39,50,77,91,95,4,46,24,55,44,82,85,81,86,0,0,0,0,[]
70,75,91,22,12,40,37,39,50,75,92,94,4,42,17,55,44,80,87,78,86,0,0,0,0,[]
71,72,91,19,14,29,38,3,95,72,92,25,9,39,15,55,45,78,86,80,89,0,0,0,0,[]
72,71,94,15,19,21,44,4,95,71,94,25,9,40,15,51,50,76,88,87,85,0,0,0,0,[]
73,72,90,15,19,16,44,4,95,72,88,25,9,39,15,52,49,80,81,87,85,0,0,0,0,[]
