,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,5,97,2,97,1,97,2,95,94,5,96,5,95,2,96,4,93,4,0,0,0,0,[]
2,2,95,4,96,4,95,4,97,5,96,93,5,94,4,94,3,93,5,94,3,0,0,0,0,[]
3,3,93,5,95,6,94,6,96,6,95,94,5,91,5,93,5,92,7,93,5,0,0,0,0,[]
4,6,69,18,76,24,77,28,93,27,85,77,6,72,14,76,20,83,28,76,20,0,0,0,0,[]
5,7,46,31,58,37,64,50,89,44,69,54,9,55,30,61,38,79,50,61,38,0,0,0,0,[]
6,11,25,34,43,45,53,69,80,58,63,33,17,47,34,51,50,73,67,51,50,0,0,0,0,[]
7,19,25,33,43,40,58,73,73,59,72,26,23,46,35,51,51,74,66,51,51,0,0,0,0,[]
8,18,25,34,39,39,59,74,75,61,74,29,22,47,35,59,56,72,64,59,56,0,0,0,0,[]
9,19,26,34,39,4,95,71,78,60,74,29,22,47,35,58,63,66,65,58,63,0,0,0,0,[]
10,20,27,9,94,13,89,72,77,62,77,29,21,95,4,56,60,70,66,59,62,0,0,0,0,[]
11,19,24,20,90,21,82,70,80,62,77,30,22,89,14,52,51,73,66,73,66,0,0,0,0,[]
12,20,27,29,83,28,73,67,79,60,76,30,22,85,24,50,50,75,76,75,76,0,0,0,0,[]
13,20,26,38,76,35,64,67,80,62,77,29,22,81,35,50,50,82,81,82,81,0,0,0,0,[]
14,19,27,48,78,43,56,67,80,58,76,29,22,80,46,50,51,90,82,90,82,0,0,0,0,[]
15,19,25,52,76,43,52,60,77,53,76,29,22,76,52,54,49,83,89,83,89,0,0,0,0,[]
16,19,25,52,76,44,52,54,76,53,76,29,22,76,52,53,51,84,87,84,87,0,0,0,0,[]
17,19,24,52,75,47,51,53,76,52,77,27,24,76,52,55,50,84,89,84,89,0,0,0,0,[]
18,16,22,50,73,48,50,51,77,51,76,18,23,75,52,53,48,84,89,84,89,0,0,0,0,[]
19,9,17,48,73,49,50,50,78,50,79,15,17,77,53,52,45,84,89,84,89,0,0,0,0,[]
20,17,16,47,73,46,51,56,84,58,85,19,15,77,52,50,45,82,90,82,90,0,0,0,0,[]
21,13,16,43,68,47,52,66,88,68,88,18,14,77,53,52,47,84,88,84,88,0,0,0,0,[]
22,15,16,34,61,43,56,76,87,78,85,19,14,79,51,47,50,83,87,83,87,0,0,0,0,[]
23,16,15,28,51,47,51,83,86,82,84,19,13,76,46,52,49,88,82,85,81,0,0,0,0,[]
24,19,13,22,46,44,53,80,88,80,86,21,12,73,43,49,49,86,85,83,83,0,0,0,0,[]
25,22,11,20,45,44,53,78,87,78,87,25,10,73,41,51,50,85,85,85,85,0,0,0,0,[]
26,22,11,18,45,44,53,80,86,80,87,25,10,72,41,52,50,85,84,85,84,0,0,0,0,[]
27,21,11,17,45,45,54,78,86,79,86,26,9,63,37,50,51,86,86,85,87,0,0,0,0,[]
28,23,12,16,44,45,55,72,91,73,91,26,10,53,33,47,49,78,85,78,85,0,0,0,0,[]
29,22,11,18,46,42,56,70,90,72,92,26,9,54,31,46,52,79,86,79,86,0,0,0,0,[]
30,20,19,23,55,46,53,68,91,70,91,25,11,48,34,51,50,75,87,75,87,0,0,0,0,[]
31,20,16,26,58,47,55,67,90,69,91,24,9,54,32,50,49,78,81,74,89,0,0,0,0,[]
32,19,13,28,59,45,54,71,91,71,91,23,10,54,29,50,50,78,82,78,88,0,0,0,0,[]
33,16,10,35,62,42,54,73,91,73,89,20,12,49,26,49,51,76,87,76,87,0,0,0,0,[]
34,16,14,45,67,44,54,72,91,72,88,21,13,50,22,48,51,79,85,79,85,0,0,0,0,[]
35,17,14,43,68,44,55,72,90,72,89,21,11,48,20,49,50,77,86,77,86,0,0,0,0,[]
36,18,13,43,68,45,53,72,91,71,89,21,11,48,18,50,48,76,87,76,87,0,0,0,0,[]
37,19,14,43,68,47,51,71,88,71,90,21,13,43,17,50,47,77,88,77,88,0,0,0,0,[]
38,16,17,47,76,46,54,73,91,74,90,19,12,43,16,50,48,81,88,79,86,0,0,0,0,[]
39,16,15,54,83,49,51,74,89,75,89,19,12,42,16,52,47,81,89,80,85,0,0,0,0,[]
40,14,17,54,83,46,52,74,91,73,91,19,13,38,16,52,49,80,90,78,86,0,0,0,0,[]
41,11,13,56,84,48,51,72,89,73,91,18,13,36,17,53,47,78,88,78,88,0,0,0,0,[]
42,11,14,57,83,45,51,72,90,73,91,17,14,28,21,50,52,79,88,79,88,0,0,0,0,[]
43,10,20,58,84,46,51,74,88,73,90,15,17,27,22,52,49,79,87,79,87,0,0,0,0,[]
44,15,17,65,82,45,52,71,89,74,90,16,18,20,28,52,50,81,84,81,84,0,0,0,0,[]
45,8,23,71,78,42,55,77,86,77,88,13,16,21,28,49,50,83,82,83,82,0,0,0,0,[]
46,10,23,74,69,37,59,77,85,77,85,13,16,27,36,53,50,85,80,85,80,0,0,0,0,[]
47,10,24,73,68,37,59,73,85,77,85,12,20,31,37,50,52,84,82,82,77,0,0,0,0,[]
48,7,28,72,69,7,94,73,85,77,86,10,26,26,37,47,47,82,87,81,78,0,0,0,0,[]
49,10,25,72,69,17,86,2,96,74,88,10,24,21,44,43,52,81,86,82,85,0,0,0,0,[]
50,6,28,6,89,24,77,75,88,77,90,10,22,21,44,49,50,82,86,82,89,0,0,0,0,[]
51,5,32,12,77,32,67,76,89,76,88,11,23,94,6,50,47,83,86,82,89,0,0,0,0,[]
52,5,32,17,66,39,59,76,89,76,87,11,21,94,7,52,46,82,85,82,85,0,0,0,0,[]
53,2,96,18,53,41,56,78,90,77,88,13,19,87,19,95,4,81,87,81,87,0,0,0,0,[]
54,11,20,22,42,41,53,77,90,76,90,18,13,82,29,86,9,81,84,81,84,0,0,0,0,[]
55,9,20,22,30,40,54,78,89,76,89,27,11,80,41,79,18,80,84,80,84,0,0,0,0,[]
56,9,20,22,27,42,55,76,88,78,88,27,11,79,52,71,27,83,83,83,83,0,0,0,0,[]
57,10,21,29,22,46,52,77,87,77,86,91,4,81,55,63,36,87,72,87,72,0,0,0,0,[]
58,8,23,37,26,46,50,77,87,78,87,89,5,79,55,54,44,87,70,87,70,0,0,0,0,[]
59,7,24,42,34,46,49,77,87,80,87,77,6,76,48,52,47,95,4,95,4,0,0,0,0,[]
60,8,23,34,43,49,48,78,87,80,86,66,7,72,42,54,46,95,4,95,4,0,0,0,0,[]
61,7,24,25,50,49,47,81,84,82,84,54,8,69,42,54,49,90,70,90,70,0,0,0,0,[]
