,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,23,18,76,53,45,79,88,79,88,13,22,59,27,59,46,82,81,82,83,0,0,0,0,[]
59,8,25,27,68,52,48,81,86,87,86,19,16,53,34,59,45,87,81,87,81,0,0,0,0,[]
60,11,26,31,58,51,47,76,88,80,91,19,16,53,32,56,46,84,83,84,83,0,0,0,0,[]
61,9,26,31,46,51,47,75,88,75,90,95,4,55,31,56,47,81,83,81,83,0,0,0,0,[]
62,8,23,31,39,44,42,74,88,76,89,95,4,54,21,58,46,82,83,82,83,0,0,0,0,[]
63,10,25,34,38,53,45,75,88,74,86,12,22,42,18,60,44,83,84,83,84,0,0,0,0,[]
64,10,26,42,46,50,47,74,90,74,88,12,21,43,16,59,42,80,84,80,84,0,0,0,0,[]
65,10,25,48,57,49,50,73,90,71,88,10,21,42,15,55,44,80,84,77,86,0,0,0,0,[]
66,8,26,52,65,49,52,74,90,71,89,15,21,40,16,52,46,79,83,79,83,0,0,0,0,[]
67,9,23,46,64,47,50,74,87,73,85,14,21,45,16,53,48,82,82,82,82,0,0,0,0,[]
68,12,20,44,68,48,51,77,90,73,85,15,18,53,20,53,47,82,82,82,82,0,0,0,0,[]
69,12,20,36,63,46,51,76,89,73,85,16,17,58,30,51,49,85,83,85,83,0,0,0,0,[]
70,14,20,27,59,52,47,74,89,73,85,16,19,63,38,56,46,82,84,82,84,0,0,0,0,[]
71,14,21,24,56,48,49,77,88,73,84,19,14,66,49,54,44,83,83,83,83,0,0,0,0,[]
72,14,19,22,52,50,49,76,88,73,84,17,13,65,60,56,48,83,84,82,84,0,0,0,0,[]
73,14,17,17,44,48,50,77,89,76,86,17,13,75,60,54,48,82,83,82,83,0,0,0,0,[]
74,13,16,15,43,52,48,81,91,74,89,19,15,84,56,55,48,79,84,79,84,0,0,0,0,[]
75,13,18,19,44,42,47,79,87,77,87,17,15,82,56,56,50,82,83,82,83,0,0,0,0,[]
76,15,16,26,36,44,43,78,89,73,88,15,13,74,60,54,47,81,84,81,84,0,0,0,0,[]
77,14,17,40,36,51,46,75,89,75,87,19,10,65,63,49,39,82,86,82,86,0,0,0,0,[]
78,11,12,42,26,51,48,74,89,73,87,20,12,55,56,50,44,81,87,81,87,0,0,0,0,[]
79,18,9,44,33,45,44,74,89,73,85,22,10,51,48,51,47,80,87,80,87,0,0,0,0,[]
80,27,19,47,35,49,47,76,88,74,86,24,15,49,39,53,45,82,87,82,87,0,0,0,0,[]
81,20,23,48,41,47,41,73,91,71,88,20,12,51,45,52,44,78,85,78,85,0,0,0,0,[]
82,19,24,39,38,38,40,71,91,70,88,17,12,46,38,45,39,79,88,79,88,0,0,0,0,[]
83,13,22,35,38,30,48,67,89,68,92,18,12,41,29,42,44,75,89,75,89,0,0,0,0,[]
84,11,26,28,35,30,48,68,90,66,91,95,4,47,26,50,47,75,89,75,89,0,0,0,0,[]
85,11,26,38,28,2,96,62,90,62,86,84,5,45,23,50,47,74,87,75,88,0,0,0,0,[]
86,10,23,47,23,6,90,64,90,62,86,73,6,53,21,51,45,77,89,77,89,0,0,0,0,[]
87,10,23,43,24,15,79,68,91,6,96,63,8,56,23,49,43,77,87,76,86,0,0,0,0,[]
88,10,24,44,32,24,71,69,91,7,95,51,9,59,34,49,43,77,80,73,89,0,0,0,0,[]
89,9,24,54,32,33,64,69,90,16,94,43,14,69,40,91,6,70,79,78,81,0,0,0,0,[]
90,11,24,54,32,40,55,68,91,28,93,33,17,74,44,84,13,72,77,75,79,0,0,0,0,[]
91,11,25,53,32,42,54,71,93,40,91,24,14,73,44,78,22,72,68,72,75,0,0,0,0,[]
92,10,21,50,34,44,55,71,87,52,90,15,17,73,43,71,30,76,77,76,77,0,0,0,0,[]
93,12,20,46,35,42,45,73,90,64,89,18,15,73,43,63,37,79,86,79,86,0,0,0,0,[]
94,12,19,35,37,45,38,73,89,73,87,19,17,88,7,57,42,79,87,79,87,0,0,0,0,[]
95,8,19,29,38,46,38,69,92,69,90,19,14,79,15,53,44,75,91,74,92,0,0,0,0,[]
96,8,19,32,45,43,44,69,91,71,89,25,14,72,26,53,50,75,89,75,89,0,0,0,0,[]
97,3,94,39,54,49,48,67,89,72,87,25,9,66,37,54,49,77,88,78,88,0,0,0,0,[]
