,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
57,44,52,24,58,10,20,81,89,78,87,76,12,50,50,82,83,86,87,10,14,0,0,0,0,[]
58,43,52,5,96,11,25,79,89,79,88,64,11,50,51,84,83,86,84,9,14,0,0,0,0,[]
59,44,53,7,95,8,29,81,87,82,88,53,11,49,48,85,83,86,84,7,19,0,0,0,0,[]
60,48,56,16,87,9,26,80,87,83,88,42,17,50,48,84,83,87,84,7,19,0,0,0,0,[]
61,45,52,25,77,7,28,80,87,83,90,42,17,52,52,85,83,87,85,95,4,0,0,0,0,[]
62,45,53,33,69,10,24,81,85,83,88,41,16,53,56,86,82,87,83,13,15,0,0,0,0,[]
63,47,51,41,61,12,19,80,84,83,88,37,16,50,51,87,81,87,84,14,20,0,0,0,0,[]
64,51,49,49,59,10,26,82,87,86,87,29,19,52,52,88,82,87,82,13,22,0,0,0,0,[]
65,53,48,54,61,7,31,85,86,83,87,26,29,56,45,88,80,88,79,17,22,0,0,0,0,[]
66,51,50,61,60,7,31,84,86,81,83,24,40,52,44,90,80,87,79,19,18,0,0,0,0,[]
67,50,51,68,61,3,95,84,81,80,75,26,37,52,48,89,76,90,77,23,12,0,0,0,0,[]
68,50,50,63,58,3,95,82,83,84,80,37,40,54,47,89,81,89,79,20,11,0,0,0,0,[]
69,50,49,57,54,18,23,83,81,80,75,42,45,56,46,88,78,88,77,20,12,0,0,0,0,[]
70,54,52,56,57,18,21,86,79,86,76,44,42,60,44,92,74,89,73,20,12,0,0,0,0,[]
71,58,58,48,54,18,13,82,82,81,77,47,35,55,43,89,68,89,70,22,11,0,0,0,0,[]
72,48,55,41,45,19,11,78,84,78,75,48,34,53,45,90,69,85,66,23,8,0,0,0,0,[]
73,47,52,33,38,17,13,78,84,78,75,43,33,51,48,88,70,85,66,23,12,0,0,0,0,[]
74,49,50,28,35,16,15,8,95,8,95,39,37,51,45,88,69,92,7,21,12,0,0,0,0,[]
75,44,54,32,47,16,12,16,94,19,89,49,41,45,43,88,69,82,12,20,12,0,0,0,0,[]
76,40,57,32,57,21,13,27,93,28,83,61,41,45,43,94,7,80,23,22,9,0,0,0,0,[]
77,42,56,39,65,20,20,38,92,36,76,72,42,94,4,93,17,80,35,23,11,0,0,0,0,[]
78,48,53,47,64,24,29,49,91,47,73,75,44,85,11,92,29,80,47,27,14,0,0,0,0,[]
79,49,51,46,67,28,34,59,90,52,66,77,47,79,21,91,42,76,58,25,10,0,0,0,0,[]
80,49,50,48,75,32,36,70,88,59,70,83,56,71,30,90,54,69,62,23,11,0,0,0,0,[]
81,49,52,56,82,24,26,79,84,60,67,81,56,62,37,88,66,64,62,24,11,0,0,0,0,[]
82,48,53,54,84,19,17,82,81,64,76,78,56,56,44,88,78,68,63,24,12,0,0,0,0,[]
83,3,96,51,84,18,14,81,84,70,79,73,65,53,47,86,81,76,71,24,11,0,0,0,0,[]
84,11,91,51,83,17,15,81,87,77,86,67,69,50,51,86,81,82,78,23,11,0,0,0,0,[]
85,20,83,51,77,16,21,78,88,73,85,67,73,50,51,81,78,76,77,20,13,0,0,0,0,[]
86,28,73,55,76,13,16,81,87,76,86,70,67,51,54,85,82,82,79,17,14,0,0,0,0,[]
87,36,63,54,76,13,18,81,88,80,86,69,66,57,65,85,81,84,82,18,15,0,0,0,0,[]
88,39,55,55,76,16,16,81,88,79,86,70,67,63,64,86,82,85,82,15,17,0,0,0,0,[]
89,41,56,62,77,16,14,81,88,78,85,71,68,68,65,85,83,78,79,16,14,0,0,0,0,[]
90,47,51,70,79,14,15,79,81,78,80,68,68,67,65,79,73,75,74,15,13,0,0,0,0,[]
91,47,52,69,79,16,15,78,77,79,74,69,66,64,63,71,66,70,68,15,11,0,0,0,0,['7:31 RNGXiaohu(µ¶·æÎèÕß) »÷É±ÁË V5Windy(°µÒá½£Ä§)']
92,47,51,70,81,21,12,82,81,81,81,66,68,56,54,69,67,68,69,15,11,0,0,0,0,[]
93,51,48,73,85,19,14,84,85,86,84,71,67,57,48,75,63,76,62,15,11,0,0,0,0,['7:42 V5 »÷É±ÁËÍÁÁú']
94,44,53,73,86,19,14,85,87,79,83,74,66,58,46,84,66,85,66,15,11,0,0,0,0,[]
95,42,53,73,86,3,95,85,87,76,87,81,66,55,51,90,70,93,71,89,5,0,0,0,0,[]
96,44,53,8,88,3,94,3,96,76,87,83,67,54,49,90,72,91,72,78,6,0,0,0,0,[]
97,43,54,13,76,5,86,15,95,7,96,79,67,52,51,87,75,86,76,65,7,0,0,0,0,[]
98,43,54,17,65,8,75,26,94,21,94,78,74,50,53,86,78,78,78,54,8,0,0,0,0,[]
99,44,52,18,53,9,65,37,93,33,93,73,73,53,51,83,78,69,79,42,9,0,0,0,0,[]
100,43,55,24,56,11,54,48,92,41,85,74,67,57,63,84,80,69,79,30,10,0,0,0,0,[]
101,46,58,21,51,11,43,61,91,50,78,73,54,56,60,86,80,60,75,21,13,0,0,0,0,[]
102,47,57,24,45,11,32,71,89,57,72,74,55,54,49,85,80,70,69,20,11,0,0,0,0,[]
103,45,52,24,43,13,21,74,87,67,80,75,56,53,51,85,82,78,77,20,12,0,0,0,0,[]
104,46,53,24,40,14,17,80,87,76,87,75,57,51,51,85,83,86,84,18,13,0,0,0,0,[]
105,45,54,21,29,23,22,79,87,83,88,75,57,56,53,83,81,86,83,18,12,0,0,0,0,[]
106,41,57,26,18,18,13,75,88,76,90,81,10,57,54,82,83,84,86,20,14,0,0,0,0,[]
107,41,57,23,12,19,11,65,92,66,89,70,11,95,4,83,84,83,85,22,11,0,0,0,0,['8:55 RNGXiaohu(µ¶·æÎèÕß) »÷É±ÁË V5Windy(°µÒá½£Ä§)']
108,46,51,29,9,27,9,64,89,62,85,64,21,84,11,77,88,77,90,22,11,0,0,0,0,[]
109,46,52,28,9,34,9,65,94,65,91,56,30,76,19,74,89,71,84,22,11,0,0,0,0,[]
110,48,49,27,12,28,9,70,91,71,89,50,34,67,28,78,89,76,88,22,11,0,0,0,0,[]
111,56,43,26,23,28,9,61,93,63,91,51,36,60,38,77,90,71,87,22,11,0,0,0,0,[]
