,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,8,27,21,52,6,89,51,91,40,72,18,24,39,29,55,45,93,21,87,19,6688,0,7589,0,[]
55,8,24,26,57,14,81,62,89,49,68,95,4,42,37,52,44,92,32,81,28,6734,0,7665,0,[]
56,14,18,24,56,22,73,73,87,58,63,94,4,50,35,54,44,92,43,80,40,6785,0,7737,0,[]
57,11,19,26,56,30,66,82,84,60,73,16,14,51,33,52,46,90,54,78,50,6970,0,7863,0,[]
58,10,20,35,62,39,59,84,85,71,77,14,17,53,35,54,49,88,67,83,62,7065,0,7946,0,[]
59,9,24,44,67,47,54,83,85,79,82,14,14,53,34,62,58,87,77,87,72,7207,0,8035,0,[]
60,11,18,54,67,45,54,82,84,82,85,17,15,56,32,58,55,89,79,86,78,7346,0,8237,0,[]
61,13,19,46,63,46,52,84,85,83,86,18,18,58,34,52,51,89,83,85,79,7493,0,8355,0,[]
62,18,24,49,65,42,52,81,86,83,85,17,17,67,42,50,52,89,82,85,78,7716,0,8468,0,[]
63,20,27,58,69,43,54,80,86,78,86,19,22,66,53,49,51,87,81,86,81,7860,0,8589,0,[]
64,23,35,57,66,50,60,85,85,82,83,16,18,58,56,52,52,87,80,86,79,7936,0,8752,0,[]
65,16,34,53,65,51,59,85,86,82,85,12,22,65,60,56,55,88,83,84,78,8015,0,8830,0,[]
66,10,28,56,58,56,60,79,81,78,81,10,17,60,57,56,54,90,81,85,78,8070,0,8929,0,[]
67,8,24,50,59,50,59,77,78,76,79,13,21,67,53,54,51,89,81,85,77,8122,0,9077,0,[]
68,9,23,50,59,48,54,83,83,84,85,13,19,77,50,51,46,88,79,86,77,8275,0,9232,0,[]
69,11,24,6,95,45,53,84,83,85,84,13,20,83,57,51,50,89,79,86,77,8389,0,9339,0,[]
70,10,25,18,94,44,53,84,82,85,83,12,20,83,57,54,52,88,77,90,77,8625,0,9495,0,[]
71,9,27,30,93,46,52,82,85,86,86,13,21,84,58,66,56,89,80,85,78,8722,0,9782,0,[]
72,8,28,42,92,47,50,80,84,81,86,18,23,79,66,55,50,89,81,84,78,8854,0,9832,0,[]
73,7,29,53,87,46,51,78,80,83,81,11,23,77,65,52,49,87,78,78,72,8972,0,9976,0,[]
74,16,33,60,84,47,50,81,83,82,84,13,18,75,61,55,50,89,80,79,74,9051,0,10134,0,[]
75,26,31,70,79,50,51,82,81,78,79,12,18,76,68,66,55,87,78,78,73,9197,0,10205,0,[]
76,21,38,74,76,58,49,75,78,71,78,12,20,79,75,70,64,82,80,78,76,9263,0,10302,0,[]
77,10,33,84,78,83,79,82,80,79,81,18,23,88,77,78,73,88,76,85,79,9801,0,10404,0,['6:24 BLGKuro(天启者) 击杀了 V5Max(深海泰坦)']
78,10,26,86,76,89,73,89,79,88,76,20,26,90,64,72,63,92,68,85,79,9866,0,10468,0,[]
79,15,21,78,76,81,77,89,81,87,78,20,26,87,53,63,57,91,71,85,79,9978,0,10533,0,[]
80,18,15,75,65,73,70,84,82,83,81,88,4,76,47,50,50,90,69,93,7,10050,0,10642,0,[]
81,18,15,72,63,66,63,84,82,88,82,76,5,75,43,53,48,90,72,88,16,10206,0,10750,0,[]
82,15,15,70,65,63,63,87,81,89,81,64,7,75,44,60,56,89,72,83,27,10432,0,10873,0,[]
83,15,15,64,59,61,61,79,76,80,76,53,8,70,49,66,56,90,71,81,38,10483,0,10980,0,[]
84,4,90,57,68,52,60,78,75,79,74,41,8,61,50,63,52,88,70,79,48,10534,0,11059,0,[]
85,5,78,57,81,45,57,2,96,2,96,30,8,58,40,50,49,87,67,78,52,10606,0,11137,0,[]
86,7,66,55,82,43,58,6,96,9,96,21,11,54,32,45,52,87,67,68,50,10751,0,11251,0,[]
87,8,53,58,83,42,52,15,95,19,89,20,11,46,24,50,51,93,11,65,56,10964,0,11372,0,[]
88,9,42,60,83,40,54,26,94,30,89,19,12,46,24,53,49,94,11,62,52,11035,0,11695,0,[]
89,11,30,69,80,40,54,37,93,42,88,18,12,44,24,50,47,93,25,63,50,11086,0,11760,0,[]
90,13,19,78,73,45,52,48,92,53,87,18,14,42,18,52,48,91,36,67,60,11137,0,11922,0,[]
91,9,21,78,72,48,53,59,90,63,83,19,22,43,17,51,47,91,47,75,63,11188,0,12063,0,[]
92,9,19,75,65,50,52,70,88,72,76,13,18,44,15,51,46,89,58,76,59,11390,0,12173,0,[]
93,10,22,75,55,50,51,80,84,75,65,13,16,43,15,51,45,84,65,81,51,11532,0,12361,0,[]
94,10,20,75,55,50,51,84,85,75,63,15,17,46,16,52,45,88,74,87,58,11723,0,12506,0,[]
95,11,22,74,55,51,56,79,79,75,63,14,17,51,26,52,44,88,75,80,66,11940,0,12626,0,[]
96,10,23,77,60,53,55,77,70,76,62,15,22,53,34,56,40,88,72,79,66,12019,0,12773,0,[]
