,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
232,15,11,25,58,51,83,41,57,25,71,80,75,69,50,62,50,57,39,46,33,31099,0,32318,2,[]
233,17,9,19,49,64,88,43,54,37,62,78,72,58,50,52,41,52,47,50,45,31188,0,32492,2,[]
234,2,96,15,43,71,87,38,59,39,62,74,63,47,52,41,31,49,50,48,50,31327,0,32794,2,[]
235,3,94,15,44,77,86,39,60,35,60,81,66,48,49,38,15,49,42,46,53,31507,0,32850,2,[]
236,9,81,15,44,83,87,38,62,34,63,87,73,46,38,24,11,45,38,48,42,31653,0,32983,2,[]
237,21,72,9,92,70,90,35,64,38,61,89,76,43,33,22,9,48,42,39,29,31708,0,33107,2,[]
238,34,74,23,83,60,85,35,64,41,58,87,73,43,41,20,15,48,42,36,41,31789,0,33247,2,[]
239,47,69,35,76,60,85,7,91,44,68,88,75,43,43,33,16,50,49,41,46,31843,0,33341,2,[]
240,57,63,46,67,66,84,18,85,57,67,84,80,41,31,29,21,50,49,43,44,31895,0,33434,2,[]
241,57,55,47,59,74,86,27,74,65,57,85,83,42,18,25,28,50,47,43,42,32019,0,33604,2,[]
242,69,62,44,55,79,84,36,64,59,56,88,80,43,17,13,23,48,38,44,42,32154,0,33787,2,[]
243,80,65,38,59,83,85,41,58,50,54,87,72,44,17,9,34,48,38,93,6,32289,0,33896,2,[]
244,84,64,31,52,79,78,27,59,37,58,85,65,44,16,11,36,90,5,82,21,32343,0,33968,2,[]
245,89,64,22,48,85,77,16,52,27,52,93,66,44,16,7,45,76,18,74,32,32866,0,34068,2,[]
246,90,68,15,37,89,72,10,45,17,43,93,68,88,16,5,37,68,29,80,42,33198,0,34120,2,['20:29 BLGKuro(天启者) 击杀了 V5Aliez(万花通灵)']
247,88,76,16,40,90,79,17,50,19,48,93,68,76,25,17,22,61,39,79,39,33249,0,34173,2,[]
248,87,75,24,51,90,81,12,49,32,50,93,68,68,35,26,30,52,48,75,49,33453,0,34355,2,[]
249,90,70,33,59,3,95,7,45,42,55,93,68,66,48,37,41,53,52,65,57,33612,0,34407,2,[]
250,90,74,41,58,15,80,12,48,39,60,93,68,66,60,46,51,57,57,65,69,34372,1,34458,2,['20:50 BLG 击破了防御塔']
251,83,84,42,54,28,70,23,56,41,53,93,68,65,65,56,59,49,52,67,66,34446,1,34551,2,[]
252,78,73,41,59,40,67,34,62,41,57,93,68,66,70,66,65,48,53,66,68,34527,1,34667,2,[]
253,74,70,44,70,47,71,39,61,40,66,93,68,66,71,67,65,54,54,67,68,34662,1,34818,2,[]
254,70,76,53,73,47,69,43,68,53,67,94,5,67,67,64,64,63,57,69,64,34816,1,34869,2,['21:8 V5 击杀了水龙']
255,60,73,51,83,48,69,43,68,57,71,94,12,60,58,58,59,65,56,61,58,34953,1,34920,2,[]
256,60,76,57,83,37,62,35,60,56,75,91,30,67,50,51,46,57,49,48,52,35050,1,35027,2,[]
257,74,77,53,84,41,55,43,56,56,75,90,44,83,55,43,37,49,49,46,47,35202,1,35244,2,[]
258,83,66,46,73,40,58,42,58,13,88,90,53,81,54,35,24,49,50,47,49,35315,1,35599,2,[]
259,84,65,39,65,38,58,41,59,22,75,88,66,76,46,24,14,45,46,40,42,35515,1,35710,2,[]
260,88,71,42,60,40,59,38,61,32,65,88,69,77,48,18,12,37,38,43,34,35588,1,35878,2,[]
261,89,67,55,55,51,56,49,53,44,57,90,64,83,59,13,17,30,35,54,44,35934,1,36055,2,[]
262,90,69,66,51,66,55,54,54,56,54,89,62,87,55,11,31,39,38,58,48,36042,1,36107,2,['21:46 BLGADD(暗裔剑魔) 击杀了 V5Aliez(万花通灵)']
263,91,58,53,47,55,47,52,46,60,49,89,62,78,48,9,40,52,41,59,40,36240,1,36229,2,[]
264,90,63,57,42,54,43,55,46,55,46,89,62,60,40,16,34,59,35,60,40,36880,1,36301,2,[]
265,83,51,60,37,60,40,59,41,61,42,89,62,62,34,28,37,65,33,64,36,36931,2,36443,2,['22:2 BLGXinMo(堕落天使) 击破了防御塔']
266,75,44,61,37,60,33,61,36,62,38,89,62,64,31,44,35,65,34,64,36,38292,2,36509,2,['22:10 BLGXinMo(堕落天使) 击杀了 V5Ben4(盲僧)']
267,66,39,66,39,62,39,68,42,64,38,89,62,64,31,59,36,68,32,62,33,38432,2,36560,2,['22:13 BLGMeteor(狂战士) 击杀了 V5y4(圣枪游侠)']
268,60,36,58,41,61,42,67,42,59,41,89,62,64,31,59,33,68,32,67,32,38540,2,36612,2,[]
269,54,32,54,42,58,46,65,50,54,43,89,62,64,31,62,40,68,32,63,35,38664,2,36664,2,[]
270,51,33,46,36,49,46,52,48,49,41,87,16,64,31,59,44,68,32,58,39,38867,2,36729,2,[]
271,45,34,36,40,43,45,46,50,41,40,76,27,64,31,52,50,68,32,55,46,38920,2,36794,2,[]
272,42,32,41,44,47,48,44,54,43,44,66,36,64,31,52,54,68,32,57,49,38972,2,36867,2,[]
273,46,37,41,44,44,50,39,58,43,44,70,41,64,31,53,49,68,32,57,46,39024,2,37134,2,[]
274,45,42,3,96,35,49,39,58,2,96,81,50,64,31,59,44,68,32,59,36,39076,2,37206,2,[]
275,50,46,11,79,23,50,3,96,2,96,89,61,81,12,60,43,88,8,61,34,39169,2,37410,2,[]
276,52,45,17,65,21,46,18,85,9,92,91,65,68,19,64,41,78,20,95,4,39285,2,37483,2,[]
277,50,53,20,53,19,45,30,80,22,80,87,55,57,22,63,40,70,30,84,8,39349,2,37638,2,[]
278,50,53,24,56,16,40,40,71,31,68,77,56,44,17,64,37,59,33,89,7,39605,2,37716,2,[]
279,4,96,18,46,9,29,45,69,31,55,78,70,44,17,64,37,58,35,75,19,39811,2,37849,2,[]
280,18,92,15,44,7,34,40,61,20,49,83,79,43,16,91,9,57,43,65,30,39971,2,38010,2,[]
281,34,89,22,40,11,33,40,57,24,38,73,68,46,23,79,22,51,48,55,40,40027,2,38138,2,[]
282,50,88,33,40,16,22,42,56,32,41,60,58,40,33,67,36,47,50,48,50,40115,2,38402,2,[]
283,48,78,32,44,28,35,40,58,34,42,55,58,40,37,54,44,44,44,43,46,40361,2,38486,2,[]
284,50,65,33,44,24,39,39,53,31,46,47,48,30,38,43,44,37,38,35,39,40435,2,38553,2,[]
285,46,53,31,45,27,46,37,50,33,48,36,43,34,41,39,43,39,41,34,42,40508,2,38604,2,[]
286,41,41,35,38,24,41,33,43,32,44,36,38,41,41,40,38,42,39,37,39,40931,2,39426,2,[]
287,41,41,35,39,31,44,32,45,32,44,39,37,41,45,39,37,40,45,41,42,40984,2,39507,2,"['23:51 V5Ben4(盲僧) 击杀了 BLGADD(暗裔剑魔)', '23:53 BLGJinjiao(战争女神) 击杀了 V5Aliez(万花通灵)']"
288,41,41,35,48,34,49,33,49,37,49,39,37,42,44,35,41,44,50,44,49,41140,2,39601,2,[]
289,41,41,27,51,28,52,30,56,29,51,39,37,37,50,32,45,39,53,38,51,41208,2,39653,2,[]
290,41,41,21,53,22,51,24,57,20,52,39,37,33,50,29,51,28,59,34,59,41281,2,39704,2,[]
291,41,41,19,50,19,58,17,53,18,59,39,37,19,52,24,51,22,56,23,57,41802,2,39755,2,['24:14 BLGJinjiao(战争女神) 击杀了 V5Ben4(盲僧)']
292,41,41,22,55,19,52,20,53,18,55,39,37,19,52,29,58,29,59,27,59,41854,2,39828,2,[]
293,41,41,29,53,26,60,27,59,29,52,39,37,19,52,32,59,36,59,33,60,42379,2,40922,2,[]
294,41,41,33,59,31,60,29,60,32,59,39,37,19,52,38,59,32,60,30,59,43372,2,41001,2,"['24:28 V5y4(圣枪游侠) 击杀了 BLGJinjiao(战争女神)', '24:29 BLGMeteor(狂战士) 击杀了 V5Max(深海泰坦)', '24:29 BLGMeteor(狂战士) 击杀了 V5y4(圣枪游侠)']"
295,41,41,45,57,42,60,29,60,42,54,39,37,19,52,45,56,32,60,30,59,43485,2,41052,2,['24:34 BLGMeteor(狂战士) 击杀了 V5Mole(岩雀)']
296,2,96,39,43,42,46,29,60,42,41,93,22,19,52,45,56,32,60,30,59,43536,2,41104,2,[]
297,32,32,32,32,33,37,29,60,35,38,92,37,19,52,45,56,32,60,30,59,43618,2,41155,2,[]
298,34,28,32,31,31,33,29,60,32,34,91,52,19,52,45,56,32,60,30,59,43671,2,41270,2,[]
299,34,30,33,31,31,33,29,60,32,31,93,56,95,4,45,56,32,60,30,59,43724,2,41364,2,[]
300,35,29,32,31,30,32,29,60,35,30,90,61,85,20,45,56,32,60,30,59,43770,2,41500,2,[]
301,34,31,32,31,30,32,29,60,34,31,87,73,72,26,45,56,32,60,93,5,45346,2,41593,2,['25:5 BLG 击杀了大龙']
302,24,27,31,32,30,32,29,60,33,32,89,76,60,26,45,56,95,4,75,13,45398,2,41717,2,[]
303,19,17,2,96,14,90,14,90,12,90,84,78,52,34,45,56,77,14,63,22,45492,2,41799,2,[]
304,18,9,14,80,23,77,25,77,24,77,74,68,49,34,95,4,64,21,53,29,45545,2,41923,2,[]
305,4,93,27,69,34,68,33,66,35,67,68,61,43,32,86,20,51,24,48,23,45597,2,42130,2,[]
306,19,90,36,59,43,58,44,55,43,56,66,55,54,30,81,35,54,30,51,28,45669,2,42282,2,[]
307,29,81,43,47,49,49,51,48,50,50,61,62,60,37,77,49,61,40,57,33,45853,2,42374,2,[]
308,39,72,41,36,41,40,45,42,50,45,63,62,53,33,78,51,60,39,54,32,45935,2,42575,2,[]
309,43,59,45,35,42,40,44,42,48,35,56,55,55,31,71,50,58,41,55,32,46040,2,42732,2,[]
310,49,47,53,43,50,46,52,45,50,43,57,55,60,39,60,51,63,41,58,34,46259,2,42814,2,[]
311,56,40,59,46,52,46,56,45,61,50,61,57,71,41,66,40,64,38,63,36,46338,2,42866,2,[]
312,61,39,65,41,58,45,61,41,60,45,68,56,71,41,70,41,65,33,68,35,46389,2,42985,2,[]
313,76,41,73,44,72,42,72,41,73,40,69,49,80,39,77,43,72,33,78,37,46893,2,43037,2,['26:4 BLGMeteor(狂战士) 击杀了 V5Mole(岩雀)']
314,80,42,61,36,66,39,63,36,65,38,69,61,79,35,77,43,66,29,72,32,46991,2,43110,2,[]
315,69,39,62,34,63,34,62,34,63,36,79,53,70,30,77,43,67,27,71,31,47796,3,43161,2,['26:14 BLGJinjiao(战争女神) 击破了防御塔']
316,70,33,67,31,65,31,64,31,69,35,79,39,76,28,77,43,72,26,76,29,47861,3,43212,2,[]
317,77,33,70,25,70,27,70,26,71,27,80,31,77,34,77,43,78,26,78,29,47935,3,43263,2,[]
318,75,32,76,27,73,29,74,27,76,27,83,29,80,34,77,43,80,34,81,31,48308,4,43345,2,['26:29 BLGJinjiao(战争女神) 击破了防御塔']
319,74,27,75,23,75,25,73,24,74,27,83,27,82,30,77,43,82,31,82,29,48411,4,43398,2,[]
320,78,36,74,32,76,32,75,33,77,32,80,22,79,23,77,43,79,22,80,24,48464,4,43740,2,[]
321,84,49,80,44,81,44,81,44,82,45,80,27,80,32,77,43,76,26,76,27,48511,4,43951,2,[]
322,90,46,80,43,87,49,87,49,88,49,88,33,90,39,77,43,82,34,82,34,49317,4,44000,2,[]
323,87,49,78,51,91,46,91,47,88,47,92,37,89,40,95,20,89,38,88,38,49384,5,44057,2,['26:53 BLGJinjiao(战争女神) 击破了防御塔']
324,89,39,81,39,93,41,92,38,88,39,93,32,83,34,92,32,90,31,91,34,49431,5,44160,2,[]
325,88,38,83,36,93,38,91,38,85,36,92,28,86,31,87,30,90,28,91,29,49484,5,44281,2,[]
326,87,37,85,37,89,40,91,39,89,38,94,29,86,29,81,31,92,29,92,31,49588,5,44336,2,[]
327,85,36,81,35,88,39,89,38,87,40,86,31,83,30,80,33,84,30,93,31,50053,5,44451,2,[]
328,91,39,80,38,81,41,88,38,88,40,84,36,84,35,80,33,83,34,89,35,50258,5,44535,2,['27:16 BLGMeteor(狂战士) 击杀了 V5Mole(岩雀)']
329,84,36,82,34,80,35,84,34,89,34,82,34,82,29,80,33,85,28,89,30,50616,5,44609,2,[]
330,89,35,92,29,88,33,89,31,91,31,82,34,86,23,80,33,84,28,89,24,50969,5,44673,2,['27:26 BLGMeteor(狂战士) 击杀了 V5Aliez(万花通灵)']
331,90,31,92,26,88,29,88,29,89,28,82,34,90,14,80,33,88,17,90,13,51092,6,44724,2,['27:31 BLGXinMo(堕落天使) 击破了防御塔']
332,88,44,93,39,87,40,90,41,89,37,82,34,95,4,80,33,92,7,91,12,51145,6,44804,2,[]
333,85,53,2,96,4,93,91,45,2,96,82,34,86,24,80,33,87,19,87,24,51197,6,45036,2,[]
334,83,57,9,84,9,75,2,96,9,76,82,34,71,31,80,33,86,30,82,29,51334,6,45222,2,[]
335,81,65,16,68,10,60,15,90,10,58,82,34,68,33,80,33,91,34,86,36,51386,6,45433,2,[]
336,2,96,18,53,10,46,28,81,15,49,82,34,71,30,80,33,92,46,79,38,51556,6,45515,2,[]
337,17,83,26,56,22,46,40,77,10,36,82,34,71,28,89,8,93,54,80,46,51708,6,45657,2,[]
338,26,70,18,47,22,43,45,72,7,32,82,34,71,29,79,23,91,64,76,46,51922,6,45835,2,[]
339,31,57,15,43,22,41,42,67,9,31,90,12,65,25,71,25,93,64,71,40,52321,6,46161,2,[]
340,33,44,25,37,23,34,32,58,10,29,73,18,53,21,67,29,87,56,61,35,52401,6,46221,2,[]
341,39,39,30,35,18,21,24,46,16,20,61,23,44,16,58,39,77,47,51,25,52579,6,46292,2,[]
342,39,32,40,34,21,12,22,32,23,14,48,22,45,16,55,41,67,40,49,26,52754,6,46456,2,[]
343,44,35,41,28,23,12,20,19,30,16,43,24,44,23,58,37,56,33,51,30,52929,6,46508,2,[]
344,36,38,35,24,27,9,27,11,28,11,42,26,39,29,40,30,46,38,45,32,53480,6,46589,2,[]
345,38,30,35,17,38,10,38,10,36,13,52,20,46,24,45,24,52,32,51,25,53531,7,46743,2,['28:42 BLGKuro(天启者) 击破了防御塔']
346,44,23,47,16,48,10,46,10,46,16,54,10,53,18,51,21,52,25,55,18,53671,7,46792,2,[]
347,43,16,44,14,45,8,48,7,44,10,54,10,50,9,55,17,50,21,51,17,53827,7,46917,2,[]
348,47,10,49,17,46,9,48,8,48,6,57,9,55,7,54,11,58,11,57,12,53926,7,47072,2,[]
349,46,10,51,20,47,11,49,8,46,14,70,7,62,10,62,13,55,7,62,12,54538,7,47124,2,[]
350,47,22,54,21,48,11,49,9,55,20,84,5,78,9,63,20,62,10,64,21,54649,8,47176,2,['29:6 BLGJinjiao(战争女神) 击破了防御塔']
351,49,24,61,23,55,12,56,10,58,21,92,4,89,5,65,12,66,7,67,17,54847,8,47227,2,[]
352,55,32,68,31,55,11,57,11,59,23,73,10,82,6,67,14,63,7,67,15,54986,8,47300,2,[]
353,60,26,66,25,56,9,60,8,59,12,68,11,68,14,67,13,67,6,67,14,55038,8,47406,2,[]
354,64,14,64,13,60,10,64,6,61,10,68,6,67,12,70,11,70,7,67,11,55134,8,47666,2,[]
355,70,10,67,12,63,12,63,10,65,12,72,8,74,12,71,8,72,14,70,10,55637,8,47719,2,[]
356,67,11,62,10,65,13,63,12,64,13,69,7,72,14,70,7,70,14,70,10,55733,8,47770,2,['29:36 BLGADD(暗裔剑魔) 击杀了 V5Max(深海泰坦)']
357,63,10,61,9,62,10,64,11,63,14,80,6,79,12,70,5,75,13,70,10,55959,8,47910,2,[]
358,64,10,65,6,65,10,64,11,64,12,93,5,86,17,83,4,81,14,70,10,56304,9,48094,2,['29:49 BLG 击破了防御塔']
359,74,13,72,9,73,12,75,12,71,13,89,14,85,15,86,4,84,12,70,10,56656,10,48376,2,['29:54 BLGXinMo(堕落天使) 击破了防御塔']
360,83,20,76,10,77,14,82,16,80,18,89,15,88,14,83,11,89,15,70,10,56730,10,48540,2,[]
361,83,14,83,12,83,15,86,17,85,15,89,8,89,9,87,9,92,8,70,10,57033,11,48772,2,['30:4 BLGADD(暗裔剑魔) 击破了防御塔']
362,82,10,87,14,84,15,87,15,85,15,89,7,86,9,88,5,91,13,70,10,57157,11,48823,2,[]
363,83,10,89,15,84,15,87,17,85,15,89,7,85,9,87,7,91,16,70,10,57167,11,48834,2,[]
364,83,10,89,15,84,15,87,17,85,15,89,7,85,9,87,7,91,16,70,10,57167,11,48834,2,['30:20 BLG 获胜']
