,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,4,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,2,95,94,5,96,5,94,2,97,3,93,3,2500,0,2500,0,[]
2,3,94,5,96,5,95,5,97,4,95,93,4,93,4,93,5,95,4,94,6,2500,0,2500,0,[]
3,3,94,5,96,4,95,5,97,4,95,93,5,93,5,92,5,94,5,94,6,2500,0,2500,0,[]
4,13,73,17,77,22,80,27,93,23,84,71,10,72,17,76,21,84,25,79,23,2500,0,2500,0,[]
5,19,51,32,61,37,63,49,88,41,71,48,10,54,31,60,37,80,47,66,41,2500,0,2500,0,[]
6,22,33,34,43,43,53,68,81,54,64,29,18,40,34,52,48,73,62,63,58,2500,0,2500,0,[]
7,19,24,36,40,45,52,76,76,47,71,30,19,44,37,53,47,73,65,64,57,2500,0,2500,0,[]
8,21,20,42,37,45,51,79,75,56,76,27,23,51,36,53,48,73,66,64,57,2500,0,2500,0,[]
9,19,25,36,39,46,49,78,74,67,78,30,20,49,34,52,44,73,64,64,57,2500,0,2500,0,[]
10,19,25,34,42,45,51,78,74,68,78,28,24,54,32,52,45,72,64,64,57,2500,0,2500,0,[]
11,19,26,33,43,46,52,78,74,78,75,28,23,54,32,53,47,71,63,65,62,2500,0,2500,0,[]
12,19,24,34,43,45,53,78,74,78,74,29,22,89,7,52,47,69,63,65,57,2500,0,2500,0,[]
13,19,24,34,43,47,52,79,75,78,74,29,22,78,12,52,47,71,64,64,57,2500,0,2500,0,[]
14,19,25,34,43,45,51,78,73,79,74,29,23,68,18,52,46,72,64,64,58,2500,0,2500,0,[]
15,19,25,25,50,45,52,78,73,79,75,29,22,58,27,53,46,70,63,66,58,2500,0,2500,0,[]
16,23,35,23,48,46,51,78,73,79,75,30,22,55,31,50,46,67,61,73,62,2500,0,2500,0,[]
17,24,45,24,47,49,51,79,73,79,75,29,22,55,31,50,49,76,62,81,66,2500,0,2500,0,[]
18,23,45,25,47,49,51,78,73,79,75,29,21,55,31,52,48,85,66,89,67,2500,0,2500,0,[]
19,23,42,23,47,46,50,79,76,83,80,29,20,55,31,50,50,86,75,86,77,2521,0,2551,0,[]
20,23,34,21,47,46,51,82,84,84,86,24,15,55,31,52,49,86,80,88,82,2563,0,2571,0,[]
21,18,24,20,49,50,47,83,84,83,85,24,15,54,32,52,50,86,79,89,82,2768,0,2696,0,[]
22,12,16,23,55,50,49,82,84,83,85,18,12,51,26,56,45,87,79,88,80,2951,0,2789,0,[]
23,12,12,25,59,53,46,83,82,86,84,19,13,48,26,57,45,87,77,89,78,3016,0,2931,0,[]
24,17,11,25,60,52,49,89,75,90,77,23,12,47,25,55,45,90,68,93,71,3081,0,3010,0,[]
25,16,11,30,60,52,47,87,79,89,79,21,15,47,24,56,45,88,72,92,74,3287,0,3075,0,[]
26,11,13,36,63,52,48,84,84,86,84,16,10,47,24,55,45,86,78,88,79,3384,0,3258,0,[]
27,15,17,45,66,53,46,85,81,89,81,18,11,46,16,56,46,89,76,89,75,3519,0,3310,0,[]
28,17,16,49,74,52,44,86,78,89,80,20,9,44,17,58,44,92,74,88,73,3646,0,3375,0,[]
29,21,12,48,74,47,53,86,78,89,77,23,8,44,16,56,45,90,71,92,73,3739,0,3534,0,[]
30,14,13,49,74,50,50,89,77,90,77,21,11,43,17,54,46,89,71,92,72,3818,0,3685,0,[]
31,19,19,47,73,51,50,88,76,91,77,22,11,43,15,51,47,89,69,93,71,4015,0,3825,0,[]
32,17,16,47,69,48,50,89,79,88,78,22,10,43,15,53,46,88,71,90,72,4123,0,3956,0,[]
