,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,9,24,15,44,41,54,88,77,77,71,18,20,53,32,91,11,90,71,92,74,6744,0,7144,0,[]
56,7,23,15,44,44,55,88,77,76,61,14,21,54,31,82,18,93,74,92,76,6812,0,7258,0,[]
57,6,28,15,44,43,51,86,78,76,68,7,22,54,32,75,26,91,74,93,74,6964,0,7431,0,[]
58,5,31,11,95,44,54,87,77,81,77,10,19,62,36,67,34,92,72,91,73,7049,0,7524,0,[]
59,8,30,22,93,50,55,87,77,89,78,10,20,73,44,59,41,90,71,93,72,7148,0,7691,0,[]
60,7,31,34,90,56,56,90,77,87,79,9,22,74,42,50,46,89,71,92,74,7280,0,7786,0,[]
61,7,30,44,81,53,49,86,81,85,82,9,22,76,44,53,44,90,73,91,75,7419,0,7876,0,[]
62,6,27,51,74,51,51,79,78,83,83,8,22,77,48,54,44,88,79,90,80,7497,0,8037,0,[]
63,7,28,51,74,58,58,84,85,87,84,8,21,82,57,58,39,87,77,89,76,7648,0,8185,0,[]
64,5,29,50,81,69,61,85,84,86,83,8,22,83,59,56,42,87,75,88,76,7783,0,8399,0,[]
65,5,30,55,82,59,62,82,84,83,82,9,22,82,64,53,45,88,76,90,76,7885,0,8506,0,[]
66,6,33,55,82,49,58,84,82,84,81,9,25,80,65,49,47,89,78,90,78,8058,0,8581,0,[]
67,5,36,55,82,47,56,83,83,85,85,8,19,78,72,49,48,87,78,89,77,8190,0,8712,0,[]
68,5,36,59,82,45,52,80,85,79,86,8,19,72,77,50,47,87,80,84,81,8240,0,8798,0,[]
69,2,95,69,80,44,55,77,85,73,85,95,4,72,77,49,48,87,80,83,82,8291,0,9022,0,[]
70,4,86,68,78,45,53,82,87,78,87,95,4,78,75,48,48,87,83,83,83,8457,0,9272,0,[]
71,8,27,59,71,48,49,80,87,79,86,12,16,78,75,54,46,87,84,88,83,8728,0,9341,0,[]
72,9,24,51,66,45,54,82,86,84,88,11,16,93,4,51,48,90,80,89,80,8792,0,9486,0,[]
73,6,28,46,63,45,54,81,80,84,86,10,21,79,11,50,48,91,69,88,74,8990,0,9578,0,[]
74,10,28,45,66,44,53,80,83,80,77,9,21,69,17,52,48,91,69,87,68,9174,0,9678,0,[]
75,8,28,39,60,41,51,80,82,78,73,9,20,61,25,49,48,90,69,88,73,9280,0,9750,0,[]
76,8,29,38,49,45,50,82,84,73,69,12,22,52,32,51,44,87,78,86,80,9420,0,9893,0,[]
77,5,30,33,43,44,44,80,82,73,69,12,23,44,38,49,43,86,77,85,79,9569,0,9966,0,[]
78,5,29,35,42,43,44,73,85,6,91,21,26,46,39,51,45,83,80,80,79,9731,0,10064,0,[]
79,10,29,32,45,39,44,73,85,13,82,29,34,43,39,52,46,81,79,74,70,9780,0,10154,0,[]
80,18,34,32,45,35,48,5,96,20,74,33,35,35,39,50,45,84,81,71,68,9831,0,10247,0,[]
81,26,37,34,43,34,41,11,96,28,66,38,37,38,38,45,40,82,82,75,70,9881,0,10375,0,[]
82,25,33,26,35,38,50,22,95,37,60,39,29,41,29,52,42,81,83,81,79,10027,0,10479,0,[]
83,19,25,26,36,48,50,33,94,48,58,35,17,43,17,53,43,85,78,82,80,10108,0,10529,0,[]
84,17,23,38,43,51,53,44,93,56,67,24,14,44,16,53,46,86,76,95,4,10159,0,10674,0,[]
85,12,20,48,46,49,52,55,92,59,75,19,15,45,16,54,46,95,4,92,9,10300,0,10789,0,[]
86,10,20,50,47,48,49,66,91,64,88,17,16,45,14,55,44,94,8,85,18,10455,0,10897,0,[]
87,7,27,48,51,50,52,76,86,75,87,10,21,48,22,51,44,94,17,77,26,10551,0,10966,0,[]
88,10,29,42,55,50,59,77,87,80,90,10,25,49,26,58,40,93,28,68,33,10664,0,11121,0,[]
89,5,29,31,59,50,59,77,89,80,90,16,17,50,26,56,43,91,39,66,41,10729,0,11327,0,[]
90,12,21,24,56,5,95,77,86,81,90,15,13,52,32,52,47,90,50,66,53,10796,0,11432,0,[]
91,10,19,24,56,13,88,77,86,81,90,17,17,53,33,50,47,88,61,65,62,11068,0,11556,0,[]
92,12,20,20,49,22,79,78,87,79,88,19,16,52,33,53,46,87,72,74,67,11172,0,11729,0,[]
