,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
238,65,63,77,73,63,61,61,61,59,58,74,74,89,61,83,67,73,62,67,67,34860,3,29104,0,[]
239,51,52,66,64,53,50,51,53,51,50,74,74,80,49,83,67,73,62,67,67,34916,3,29157,0,[]
240,41,42,53,52,46,39,39,42,42,41,74,74,83,57,83,67,73,62,87,7,34970,3,29207,0,[]
241,32,33,42,43,41,33,32,34,41,36,74,74,81,54,83,67,73,62,78,17,35021,3,29348,0,[]
242,31,32,32,34,39,26,31,31,32,32,74,74,74,44,83,67,87,9,70,27,35072,3,29420,0,[]
243,32,33,34,30,38,28,30,31,38,36,74,74,62,35,83,67,76,17,64,36,35124,3,29568,0,[]
244,32,33,34,30,35,30,30,31,42,36,74,74,54,32,90,12,65,11,55,32,36701,3,29649,0,[]
245,27,34,32,31,37,37,29,35,36,41,93,15,53,32,81,25,50,8,55,22,36752,3,29845,0,['20:23 V5 击杀了大龙']
246,2,96,4,96,35,38,2,96,33,43,92,31,52,30,80,38,44,6,51,27,36804,3,29955,0,[]
247,12,94,21,90,15,88,16,87,10,93,92,43,45,21,78,49,44,14,46,16,36855,3,30086,0,[]
248,29,89,36,89,25,77,26,76,21,82,92,56,43,14,78,50,40,15,45,15,36905,3,30359,0,[]
249,43,89,51,88,32,68,35,67,30,72,91,61,45,13,73,42,32,10,41,15,36958,3,30486,0,[]
250,58,88,56,82,41,60,44,58,38,65,90,62,45,13,62,41,31,7,29,15,37090,3,30815,0,[]
251,72,87,50,80,49,52,50,50,45,57,85,52,93,9,58,42,24,10,28,11,37246,3,30870,0,[]
252,83,82,47,68,61,49,57,47,55,49,80,42,82,21,61,39,29,10,39,15,37311,3,30942,0,[]
253,85,78,58,61,59,47,57,46,59,45,72,34,72,30,66,28,16,16,51,19,37482,3,31083,0,[]
254,88,69,68,51,69,50,64,51,66,48,66,34,68,34,66,31,14,20,63,25,37534,3,31190,0,[]
255,87,55,74,44,76,45,59,47,70,41,78,34,81,35,78,33,8,27,74,32,37728,3,31241,0,[]
256,88,52,78,48,76,42,62,40,64,39,88,40,88,40,76,33,8,31,80,34,37985,3,31893,1,['21:20 LGDKramer(虚空之女) 击破了防御塔']
257,89,53,85,51,71,40,54,48,66,41,92,45,89,42,68,30,6,38,70,29,38487,3,31965,1,['21:24 V5Mole(暮光星灵) 击杀了 LGDYuuki(沙漠皇帝)']
258,91,48,89,50,61,40,60,38,61,39,89,42,92,40,68,30,7,39,70,28,38538,3,32190,1,[]
259,85,51,82,46,67,34,63,33,66,33,83,35,86,36,68,30,10,41,77,29,39142,3,32240,1,[]
260,86,51,77,33,70,29,69,28,73,32,76,25,78,27,68,30,16,40,79,24,39330,4,32325,1,['21:36 V5Mole(暮光星灵) 击破了防御塔']
261,82,48,74,31,69,27,67,27,72,32,79,24,81,27,68,30,16,40,81,23,39437,4,32480,1,[]
262,90,47,73,29,73,29,70,25,73,27,88,15,88,33,68,30,16,39,88,16,39831,4,32531,1,[]
263,87,50,75,24,74,27,73,25,75,24,94,5,91,43,68,30,16,39,93,8,39932,5,32581,1,['21:53 V5y4(战争女神) 击破了防御塔']
264,88,53,73,28,72,30,71,29,71,28,87,20,92,45,68,30,90,12,85,18,40535,5,32826,1,[]
265,87,52,66,38,67,36,63,37,66,40,80,21,93,39,93,9,79,23,81,24,40586,6,32877,1,['22:4 V5 击破了防御塔']
266,84,63,67,40,3,95,61,36,2,96,81,26,89,34,88,27,78,24,82,26,40638,6,33071,1,[]
267,3,95,7,94,11,79,6,94,5,95,76,26,81,32,88,32,70,28,77,28,40689,6,33212,1,[]
268,6,76,22,83,17,66,14,80,19,86,66,32,70,31,91,40,58,23,65,25,40739,6,33347,1,[]
269,9,63,35,76,18,55,24,71,25,75,60,39,73,40,87,38,46,22,55,30,40792,6,33442,1,[]
270,23,66,45,67,20,47,19,61,22,66,59,40,66,47,73,34,32,22,50,26,40972,6,33523,1,[]
271,35,75,51,64,25,37,20,51,18,55,56,44,61,50,62,39,20,23,48,25,41207,6,33578,1,[]
272,48,79,46,52,29,37,20,40,21,44,63,36,54,44,57,41,19,16,58,34,41384,6,33809,1,[]
273,62,77,41,38,41,44,12,34,18,34,63,38,56,43,57,40,32,12,60,41,41519,6,33874,1,[]
274,76,78,45,50,48,47,10,26,11,28,65,27,60,36,55,31,44,12,55,31,41593,6,33925,1,[]
275,86,77,49,49,49,48,15,15,17,17,56,22,60,36,60,24,51,23,50,23,41811,6,33976,1,[]
276,88,73,47,37,53,45,19,11,18,12,67,28,94,4,67,20,49,23,55,21,42046,6,34030,1,[]
277,89,70,49,35,47,36,21,9,23,11,66,34,76,6,72,28,53,19,55,21,42222,6,34192,1,[]
278,88,57,51,33,41,30,31,9,32,17,72,26,62,6,84,31,55,10,84,5,42344,6,34260,1,[]
279,88,52,51,23,46,23,40,10,43,18,72,22,57,8,85,34,55,7,68,8,42417,6,34477,1,[]
280,90,45,46,12,49,15,45,11,50,17,79,15,57,9,77,28,54,8,64,16,42775,6,34546,1,[]
281,91,43,51,9,49,16,50,8,50,10,89,7,63,10,70,17,63,10,67,15,43390,6,34603,1,[]
282,90,38,55,10,49,16,54,7,55,10,93,15,67,15,73,12,69,14,69,16,43439,7,34669,1,['23:28 V5y4(战争女神) 击破了防御塔']
283,91,33,57,17,51,23,55,10,56,16,89,28,67,16,68,7,66,8,68,11,43492,7,34882,1,[]
284,88,42,58,23,57,26,45,13,58,27,89,33,74,23,71,17,69,16,68,16,43627,7,35023,1,[]
285,87,53,55,17,61,37,45,15,60,33,88,32,69,31,72,28,66,18,69,27,43722,7,35470,1,[]
286,89,50,50,11,54,45,51,9,50,23,89,43,67,34,70,30,78,12,68,27,43981,7,35538,1,[]
287,81,51,46,13,51,47,45,12,47,23,91,39,69,21,71,20,90,5,68,17,44075,7,35701,1,[]
288,80,56,46,13,54,44,45,12,9,95,90,34,70,25,70,11,83,14,67,9,44211,7,35926,1,[]
289,75,59,12,91,53,53,6,95,22,88,88,29,67,32,69,10,72,25,74,10,44262,7,36122,1,[]
290,82,65,28,83,53,53,20,90,32,80,76,29,70,33,86,7,70,31,87,7,44331,7,36298,1,[]
291,83,64,38,73,4,96,32,89,40,72,73,25,67,37,87,5,65,34,86,10,44382,7,36413,1,[]
292,84,65,49,73,17,88,42,83,50,67,73,24,72,41,71,7,65,40,75,22,44433,7,36532,1,[]
293,87,72,47,70,30,81,48,75,53,67,84,30,66,39,59,8,57,41,66,29,44584,7,36687,1,[]
294,87,69,55,62,39,72,53,65,56,62,89,39,55,31,53,9,57,41,59,34,44635,7,36773,1,[]
295,84,65,66,66,41,61,59,62,56,55,86,38,46,23,45,12,54,43,56,39,44723,7,36854,1,[]
296,88,67,65,71,51,53,56,50,57,48,75,34,56,23,37,9,57,40,58,39,44913,7,36970,1,[]
297,89,54,65,70,60,42,61,42,60,40,65,36,53,20,39,7,61,35,62,38,45065,7,37205,1,[]
298,83,49,66,63,64,40,62,39,60,36,67,34,64,25,52,9,65,31,64,35,45630,7,37280,1,"['24:50 V5Mole(暮光星灵) 击杀了 LGDRD(瓦洛兰之盾)', '24:48 V5 击杀了火龙']"
299,69,26,67,50,67,37,71,32,70,29,76,28,74,21,64,11,74,23,64,35,46094,7,37348,1,[]
300,74,20,67,36,79,24,79,25,78,21,81,28,78,17,73,15,75,19,64,35,46143,7,37394,1,['24:59 V5y4(战争女神) 击杀了 LGDLies(机械先驱)']
301,80,25,66,22,72,22,83,17,77,19,81,28,86,14,75,15,65,18,64,35,47122,7,37453,1,['25:5 V5y4(战争女神) 击杀了 LGDCondi(德玛西亚皇子)']
302,80,22,66,11,77,15,77,17,80,19,81,28,87,14,81,10,64,15,64,35,47384,7,37499,1,['25:6 V5Ben4(狂战士) 击杀了 LGDKramer(虚空之女)']
303,86,20,77,15,76,17,85,19,86,20,81,28,87,14,82,12,64,15,64,35,47811,7,37552,1,[]
304,90,16,85,12,79,10,88,18,84,20,81,28,87,14,85,11,64,15,64,35,48203,7,37623,1,['25:19 V5y4(战争女神) 击杀了 LGDYuuki(沙漠皇帝)']
305,84,11,89,8,81,13,84,14,84,13,81,28,87,14,85,11,64,15,95,4,48454,9,37695,1,"['25:21 V5Aliez(万花通灵) 击破了防御塔', '25:24 V5Max(深海泰坦) 击破了防御塔']"
306,83,10,90,9,85,11,84,14,85,13,81,28,87,14,85,11,64,15,95,4,48504,9,37747,1,[]
307,83,10,90,9,82,11,84,14,85,13,81,28,87,14,,0,64,15,95,4,48504,9,37747,1,[]
308,83,10,90,9,82,11,84,14,85,13,81,28,87,14,,0,64,15,95,4,48504,9,37747,1,['25:40 V5 获胜']
