,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,igning, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,10,20,22,55,42,55,79,88,77,86,11,19,52,34,47,51,84,83,83,81,6783,0,6950,0,[]
57,10,20,25,58,42,55,76,89,77,89,14,15,51,35,46,51,83,85,83,86,6964,0,7220,0,[]
58,9,26,32,61,45,51,76,88,77,88,13,19,51,27,48,47,83,83,83,86,7093,0,7328,0,[]
59,8,31,44,67,43,53,75,88,76,91,10,27,44,16,49,50,81,85,83,89,7200,0,7407,0,[]
60,5,29,56,65,43,52,75,88,74,89,8,24,42,18,49,51,82,85,84,87,7311,0,7556,0,[]
61,9,28,67,64,46,52,74,88,70,79,8,24,43,15,48,48,82,87,83,88,7448,0,7694,0,[]
62,6,26,76,71,47,54,75,87,77,87,10,20,41,16,49,48,81,87,82,88,7533,0,7819,0,[]
63,8,26,84,79,47,53,81,82,84,85,10,22,38,16,51,50,88,83,86,85,7598,0,7935,0,[]
64,9,29,87,80,47,52,85,82,82,87,9,25,29,20,51,48,89,83,87,82,8326,0,8028,0,[]
65,8,29,89,83,47,53,90,77,88,80,10,24,24,31,53,49,93,73,87,81,8507,0,8092,0,"['5:21 DMOXiaopeng(永猎双子) 击杀了 IGLucas(瓦洛兰之盾),获得一血']"
66,7,30,79,87,45,58,87,77,83,80,10,25,22,41,46,48,90,70,87,81,8595,0,8189,0,[]
67,8,25,67,89,46,54,88,77,88,76,12,21,21,53,46,50,91,69,95,8,8799,0,8254,0,[]
68,10,21,58,84,43,52,88,76,88,76,15,19,21,50,49,53,91,70,93,19,8961,0,8318,0,[]
69,9,20,60,83,39,60,89,77,79,82,16,19,31,55,46,52,92,63,92,30,9060,0,8418,0,[]
70,8,23,55,81,40,62,90,73,78,84,12,22,34,62,46,58,93,61,91,42,9191,0,8518,0,[]
71,10,25,50,75,33,68,91,73,70,78,13,20,40,61,34,66,93,64,90,53,9406,0,8939,0,[]
72,10,31,41,67,32,68,90,74,60,73,12,23,43,53,25,66,92,67,89,64,9456,0,9104,0,['5:56 IGRookie(解脱者) 击杀了 DMOTwila(未来守护者)']
73,16,40,32,61,32,68,84,82,58,68,12,25,42,45,18,58,91,70,89,74,9507,0,9239,0,[]
74,19,49,23,56,2,96,83,82,64,64,11,26,42,45,21,51,87,75,86,78,10008,0,9318,0,[]
75,17,49,23,45,11,91,84,80,66,64,11,34,94,6,21,47,87,73,87,77,10077,0,9406,0,['6:13 DMOChanghong(海洋之灾) 击杀了 IGRookie(解脱者)']
