,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,11,18,6,26,41,59,86,84,88,83,16,13,76,46,89,6,89,76,87,76,0,0,0,0,[]
59,14,17,7,20,41,52,86,81,87,82,18,14,70,42,78,16,89,72,87,74,0,0,0,0,[]
60,19,19,10,31,48,50,86,78,89,76,22,12,65,38,70,25,91,68,91,71,0,0,0,0,[]
61,27,20,15,43,50,50,88,75,90,76,23,13,56,33,62,34,91,69,93,70,0,0,0,0,[]
62,20,19,19,45,48,50,87,78,87,78,23,12,54,32,52,45,89,71,90,73,0,0,0,0,[]
63,18,12,18,45,39,58,84,79,84,79,23,10,61,37,49,50,90,72,91,75,0,0,0,0,[]
64,18,11,23,55,36,58,88,80,86,78,23,11,66,45,46,56,91,73,91,73,0,0,0,0,[]
65,20,11,26,58,2,96,89,78,86,78,25,10,65,56,45,54,91,75,89,73,0,0,0,0,[]
66,22,11,28,59,10,92,88,80,88,78,25,11,56,63,48,51,92,73,89,72,0,0,0,0,[]
67,15,15,36,63,19,84,85,81,85,81,19,12,47,66,46,52,90,76,86,75,0,0,0,0,[]
68,9,17,46,67,26,74,82,83,84,84,20,13,52,63,47,55,88,78,87,77,0,0,0,0,[]
69,9,17,50,67,34,66,82,81,82,81,20,13,56,62,53,62,88,78,87,78,0,0,0,0,[]
70,3,92,42,67,40,57,83,79,85,80,16,11,52,52,51,54,90,78,89,76,0,0,0,0,[]
71,4,85,33,61,43,53,81,82,85,82,16,11,48,42,43,45,88,78,87,76,0,0,0,0,[]
72,5,74,32,49,45,51,84,82,86,80,17,15,38,41,49,49,88,77,87,75,0,0,0,0,[]
73,6,64,32,44,44,50,85,82,83,81,16,16,36,38,48,49,89,78,87,76,0,0,0,0,[]
74,8,53,31,44,43,51,89,80,84,78,14,18,38,40,49,50,90,74,87,73,0,0,0,0,[]
75,9,42,31,40,33,47,87,81,85,79,14,17,40,38,44,48,89,75,87,74,0,0,0,0,[]
76,9,31,34,39,37,40,87,80,84,80,13,19,43,36,47,49,89,71,86,66,0,0,0,0,[]
77,10,27,32,41,33,42,85,78,88,78,22,28,39,38,38,43,90,69,84,66,0,0,0,0,[]
78,8,31,36,49,37,49,88,73,91,74,23,33,40,36,41,44,93,69,88,67,0,0,0,0,[]
79,8,28,47,51,46,51,88,74,90,76,23,34,40,25,51,48,93,71,92,68,0,0,0,0,[]
80,9,23,56,50,49,53,87,73,91,75,23,34,44,15,56,47,93,71,91,67,0,0,0,0,[]
81,9,23,60,50,57,54,87,75,90,77,95,4,44,14,56,46,93,66,90,67,0,0,0,0,[]
82,8,24,72,52,66,55,88,74,91,76,14,19,40,16,54,45,93,70,90,69,0,0,0,0,[]
83,10,22,74,56,73,50,88,72,91,75,13,19,36,16,53,48,93,71,93,69,0,0,0,0,[]
84,8,24,75,57,75,57,89,74,90,76,11,19,27,22,51,48,93,69,91,68,0,0,0,0,[]
85,8,23,74,68,68,63,87,77,87,77,12,18,23,32,48,51,93,67,93,68,0,0,0,0,[]
86,10,20,69,78,60,62,85,79,85,79,15,17,23,42,49,48,93,67,93,68,0,0,0,0,[]
87,9,19,57,77,48,59,86,79,85,77,16,18,23,40,44,46,95,4,93,7,0,0,0,0,[]
88,10,19,54,84,39,59,85,78,89,76,15,17,21,48,34,41,95,5,93,8,0,0,0,0,[]
89,8,20,57,83,42,55,81,77,81,78,10,19,21,46,38,43,91,69,91,11,0,0,0,0,[]
90,7,22,56,84,48,57,81,77,81,77,13,16,21,47,48,49,91,70,84,23,0,0,0,0,[]
91,10,20,57,84,46,54,7,95,2,96,15,15,21,47,50,49,92,71,72,31,0,0,0,0,[]
92,10,20,3,95,43,55,8,95,7,95,17,16,21,47,48,51,87,76,67,43,0,0,0,0,[]
93,9,20,5,81,47,55,21,94,21,94,17,16,21,51,44,46,89,79,65,57,0,0,0,0,[]
94,13,17,8,70,39,52,32,93,32,93,17,14,18,44,41,44,86,78,63,62,0,0,0,0,[]
95,14,14,8,58,39,49,43,92,43,92,18,15,20,44,32,44,89,80,65,65,0,0,0,0,[]
96,9,21,10,47,34,47,54,91,54,91,9,20,22,39,32,41,89,80,71,68,0,0,0,0,[]
97,7,24,10,34,37,48,65,89,65,89,13,18,26,31,43,44,87,81,81,77,0,0,0,0,[]
98,11,14,16,19,46,53,70,84,70,84,21,12,23,27,49,50,85,79,83,79,0,0,0,0,[]
99,20,11,25,10,46,54,79,85,79,85,31,8,26,16,48,50,86,81,85,82,0,0,0,0,[]
100,19,13,13,13,41,53,81,84,81,84,24,8,21,12,39,42,87,82,85,78,0,0,0,0,[]
101,9,18,17,23,45,50,81,84,81,84,19,13,27,15,41,44,87,83,86,79,0,0,0,0,[]
102,7,21,23,33,46,55,84,83,82,82,16,19,37,17,49,49,88,77,86,77,0,0,0,0,[]
103,9,24,21,44,44,56,84,88,80,78,14,18,47,17,49,49,87,76,88,74,0,0,0,0,[]
104,8,27,23,55,44,55,81,85,79,79,15,17,56,23,47,51,87,77,87,77,0,0,0,0,[]
105,2,96,21,55,42,56,82,83,82,83,14,17,54,32,43,45,87,78,87,77,0,0,0,0,[]
106,2,96,26,59,42,56,88,79,87,80,14,18,54,31,43,45,92,76,89,69,0,0,0,0,[]
107,6,26,39,65,46,54,86,83,84,85,11,13,54,31,86,8,88,76,90,67,0,0,0,0,[]
108,7,28,45,65,50,51,80,85,80,85,10,14,54,31,77,17,88,77,90,67,0,0,0,0,[]
109,9,26,46,65,52,51,82,82,82,82,92,4,92,8,70,27,87,78,93,8,0,0,0,0,[]
110,13,20,50,68,47,53,80,83,80,83,79,6,90,14,63,37,88,76,92,20,0,0,0,0,[]
111,14,18,52,76,47,53,80,82,80,82,68,7,85,23,56,45,88,73,91,34,0,0,0,0,[]
112,13,19,54,77,4,95,81,83,81,83,56,7,81,33,48,53,86,77,89,49,0,0,0,0,[]
113,19,24,56,76,15,87,82,82,82,82,43,8,80,45,45,54,88,75,88,63,0,0,0,0,[]
114,19,24,58,71,23,78,83,81,82,81,32,8,77,45,46,55,89,73,87,75,0,0,0,0,[]
115,3,92,60,75,31,68,87,78,87,78,24,8,79,50,53,55,92,74,90,72,0,0,0,0,[]
116,4,81,59,85,40,56,87,78,87,78,19,13,79,54,52,56,89,75,88,72,0,0,0,0,[]
117,6,70,59,85,43,56,89,77,89,77,20,13,73,49,58,58,90,72,88,72,0,0,0,0,[]
118,7,60,57,84,47,57,88,78,88,78,20,14,65,56,54,58,91,68,89,70,0,0,0,0,[]
119,8,49,56,82,45,54,80,77,80,77,20,13,63,61,54,57,90,69,91,70,0,0,0,0,[]
120,9,38,59,83,45,55,72,70,75,66,17,15,67,62,51,50,90,69,89,69,0,0,0,0,[]
121,10,27,56,83,46,55,73,68,75,66,17,15,65,53,48,51,90,70,83,67,0,0,0,0,[]
122,12,20,56,83,43,56,79,77,80,76,17,15,66,54,46,51,87,76,87,75,0,0,0,0,[]
123,11,20,59,84,44,56,83,82,84,80,17,17,64,62,48,50,87,74,89,75,0,0,0,0,[]
124,12,21,59,84,40,57,84,82,82,79,16,17,55,62,50,59,87,72,88,74,0,0,0,0,[]
125,11,20,14,90,43,54,84,81,83,79,14,17,61,62,56,59,88,70,86,66,0,0,0,0,[]
126,8,21,25,85,45,51,87,81,84,78,17,18,65,64,49,50,88,71,77,62,0,0,0,0,[]
127,10,24,34,78,44,53,87,79,85,77,20,26,67,64,49,51,89,72,78,63,0,0,0,0,[]
128,8,24,48,77,46,52,84,80,82,79,17,22,67,65,58,59,88,72,86,66,0,0,0,0,[]
129,7,25,59,76,41,61,82,80,79,77,11,23,67,65,67,67,88,72,80,69,0,0,0,0,[]
130,8,20,69,78,46,71,83,80,79,79,20,21,66,62,67,66,87,73,78,72,0,0,0,0,['10:49 LNG »÷É±ÁË·çÁú']
131,9,26,73,74,57,76,80,76,77,70,28,24,67,50,59,57,91,69,76,61,0,0,0,0,[]
132,11,27,70,67,46,71,89,75,83,78,26,32,64,39,49,52,91,69,78,52,0,0,0,0,[]
133,7,26,67,69,39,62,89,76,91,75,18,23,58,33,50,45,93,70,85,65,0,0,0,0,[]
134,6,26,72,68,39,56,88,77,87,77,11,25,51,25,50,46,90,69,84,67,0,0,0,0,[]
135,6,28,80,65,45,57,87,75,90,76,12,22,49,20,49,50,91,71,91,70,0,0,0,0,[]
136,6,28,85,65,56,62,89,71,91,74,16,22,46,16,56,54,93,63,90,68,0,0,0,0,[]
137,8,28,78,71,54,57,87,75,87,75,19,24,46,14,66,54,93,71,90,70,0,0,0,0,[]
138,10,22,65,65,51,50,87,78,85,78,13,17,50,23,56,47,88,62,91,67,0,0,0,0,[]
139,10,20,54,61,47,50,86,78,86,79,12,14,50,33,52,48,92,68,87,69,0,0,0,0,[]
140,12,20,44,56,51,50,86,77,84,80,10,14,48,34,53,44,91,68,87,67,0,0,0,0,[]
141,13,19,35,48,44,47,84,79,83,79,13,14,41,30,53,47,90,70,87,68,0,0,0,0,[]
142,12,17,31,38,36,39,81,77,81,77,15,16,44,24,51,46,91,69,90,70,0,0,0,0,[]
143,11,20,29,36,34,39,81,77,81,77,14,19,44,24,52,48,88,70,91,71,0,0,0,0,[]
144,11,20,34,29,41,44,2,96,2,96,20,14,94,5,47,52,90,69,88,67,0,0,0,0,[]
145,8,19,27,35,46,52,6,89,6,89,17,15,89,7,52,47,90,69,88,67,0,0,0,0,[]
146,15,18,28,35,47,54,7,81,7,81,16,15,77,14,50,43,94,9,89,4,0,0,0,0,[]
147,19,21,25,33,41,51,15,16,15,16,26,14,69,22,42,39,86,20,75,12,0,0,0,0,[]
148,22,30,26,35,34,49,22,23,21,23,21,11,67,35,50,45,80,31,70,25,0,0,0,0,[]
149,24,36,29,34,38,50,25,30,29,22,23,10,73,41,49,50,80,44,66,40,0,0,0,0,[]
150,24,36,28,34,40,51,19,24,24,24,30,9,77,49,46,53,82,58,66,56,0,0,0,0,[]
151,3,96,31,33,43,56,19,13,28,33,30,9,79,54,53,49,87,68,55,57,0,0,0,0,[]
152,18,95,23,22,42,55,20,13,25,27,89,5,81,57,53,49,83,80,56,65,0,0,0,0,[]
153,30,93,24,22,42,55,25,10,20,16,78,6,75,59,85,9,80,83,68,78,0,0,0,0,[]
154,41,91,34,17,2,96,26,8,26,10,65,6,73,70,76,19,75,87,68,79,0,0,0,0,[]
155,53,88,30,20,6,94,26,9,27,11,51,7,71,77,68,29,70,89,71,86,0,0,0,0,[]
156,53,87,24,29,21,90,25,8,27,10,39,6,61,84,58,39,72,90,71,87,0,0,0,0,[]
157,53,87,24,41,36,89,26,10,27,11,43,5,61,83,48,49,77,88,61,85,0,0,0,0,[]
158,53,89,21,44,41,76,27,10,30,11,46,5,65,82,52,54,81,89,68,80,0,0,0,0,[]
159,52,86,20,46,40,62,35,9,38,15,51,6,62,84,57,65,80,87,66,84,0,1,0,0,"['13:14 RNGUzi(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
160,49,80,18,45,39,52,45,8,44,16,52,7,65,83,58,69,73,92,66,84,0,1,0,0,[]
161,51,78,23,41,32,44,46,8,46,11,53,8,95,4,56,56,74,92,91,4,0,1,0,0,[]
162,50,81,29,38,37,49,50,7,51,10,54,9,82,5,48,52,74,92,75,6,0,1,0,0,[]
163,57,91,40,36,45,51,47,7,46,10,51,8,68,6,50,44,78,90,60,7,0,1,0,0,[]
164,68,91,42,37,45,48,41,11,42,15,48,8,57,10,56,39,89,84,54,20,0,1,0,0,[]
165,77,89,38,47,39,42,32,17,32,17,41,8,51,21,54,32,89,84,42,26,0,1,0,0,[]
166,73,89,28,52,42,46,32,17,32,17,39,9,52,33,47,39,89,82,39,37,0,1,0,0,[]
167,62,86,24,56,44,48,4,95,4,96,41,8,50,34,46,37,90,76,45,38,0,1,0,0,[]
168,60,85,24,59,49,52,18,93,13,94,37,14,51,31,52,45,89,71,48,43,0,1,0,0,[]
169,65,88,24,59,44,54,28,89,28,89,28,20,48,19,50,49,85,78,52,47,0,1,0,0,[]
170,77,88,8,94,37,50,34,79,34,79,26,17,46,15,50,49,85,80,63,52,0,1,0,0,[]
171,79,87,19,88,37,50,41,70,41,70,17,15,45,15,49,50,85,80,70,65,0,1,0,0,[]
172,76,89,30,82,25,50,49,67,48,66,19,23,50,20,51,47,87,79,78,75,0,1,0,0,[]
173,77,90,42,78,15,38,50,66,50,58,11,25,52,31,52,45,90,75,79,74,0,1,0,0,[]
174,82,90,53,77,8,30,50,60,48,54,9,21,55,32,54,46,84,79,67,64,0,1,0,0,[]
175,84,88,64,77,11,24,49,53,52,54,14,16,57,41,53,46,82,82,63,62,0,1,0,0,[]
176,85,87,64,77,9,23,48,52,48,52,11,16,56,45,52,46,85,80,64,53,0,1,0,0,[]
177,83,85,52,73,10,25,51,60,51,60,16,20,66,50,52,48,87,71,55,49,0,1,0,0,[]
178,80,83,47,73,7,30,47,69,47,70,25,29,68,48,51,47,90,75,51,49,0,1,0,0,[]
179,78,85,54,66,8,27,51,65,55,64,31,38,76,45,52,47,88,76,58,49,0,1,0,0,[]
180,78,85,58,69,8,28,50,60,48,56,38,39,75,45,49,50,87,68,58,49,0,1,0,0,[]
181,4,86,65,77,3,96,46,52,50,51,41,40,72,48,56,42,87,67,94,4,0,1,0,0,[]
182,5,74,58,85,15,91,50,51,51,52,40,33,73,43,57,42,95,4,83,10,0,1,0,0,[]
183,6,62,50,82,30,89,49,58,48,56,32,22,77,48,57,42,90,7,73,22,0,1,0,0,[]
184,7,50,57,73,46,88,58,61,58,61,23,14,80,53,84,9,88,7,65,35,0,1,0,0,[]
185,9,38,59,62,60,84,52,52,59,56,15,17,78,49,79,21,81,18,59,47,0,1,0,0,[]
186,9,26,66,55,73,77,50,50,55,53,16,22,68,46,80,35,73,29,59,46,0,1,0,0,[]
187,9,21,65,57,84,83,48,49,54,52,15,18,66,48,80,48,63,38,59,46,0,1,0,0,[]
188,10,23,64,57,83,84,52,46,54,48,13,20,66,46,83,61,58,41,59,44,0,1,0,0,[]
189,10,24,68,63,85,81,53,55,54,54,13,15,66,48,77,60,56,42,58,45,0,1,0,0,[]
190,9,22,69,66,86,80,59,63,60,61,11,14,66,54,76,61,60,49,63,51,0,1,0,0,[]
191,12,26,72,75,77,72,49,57,49,57,95,4,64,59,88,66,59,50,63,61,0,1,0,0,[]
192,17,18,67,61,68,62,52,52,52,52,90,13,66,51,90,72,59,45,66,53,0,1,0,0,[]
193,21,14,61,60,65,60,49,52,49,52,80,24,67,50,86,65,58,44,66,48,0,1,0,0,[]
194,17,13,66,65,68,67,58,60,57,60,70,33,65,57,87,73,60,44,66,54,0,1,0,0,[]
195,19,24,62,61,71,64,60,62,60,62,66,45,66,49,84,82,62,52,64,53,0,1,0,0,[]
196,27,33,57,64,76,76,59,62,59,62,68,57,69,56,78,74,63,52,67,60,0,1,0,0,[]
197,37,43,57,62,70,83,55,58,55,58,64,62,65,57,78,73,60,51,64,57,0,1,0,0,[]
