,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,24,10,54,82,42,45,75,92,73,89,27,8,56,67,50,50,78,86,73,78,7222,0,6729,0,[]
56,18,16,57,85,2,96,78,91,71,88,22,9,53,76,46,52,79,85,63,78,7377,0,6836,0,[]
57,15,17,55,85,45,52,76,92,62,86,18,12,52,76,44,52,80,84,52,76,7575,0,6936,0,[]
58,14,15,57,83,42,55,75,92,56,83,19,10,52,76,47,49,78,85,52,76,7818,0,7065,0,[]
59,13,13,50,79,46,54,74,92,50,78,17,10,57,72,55,50,77,86,60,77,7921,0,7165,0,[]
60,15,13,57,72,50,58,71,89,57,72,16,10,57,70,55,55,77,80,58,70,8450,0,7249,0,[]
61,18,10,59,70,58,69,68,81,57,70,25,6,58,70,57,64,69,78,59,67,8539,0,7304,0,['5:4 V5Ben4(德邦总管) 击杀了 BLGXinMo(魔法猫咪)']
62,17,12,56,65,57,62,70,88,57,67,23,9,65,63,63,60,71,83,59,67,8603,0,7375,0,[]
63,17,10,47,65,50,52,66,92,55,75,23,12,73,65,62,52,76,79,59,67,8675,0,7447,0,[]
64,15,10,43,68,49,48,66,92,55,75,19,11,77,56,55,46,81,83,93,10,8790,0,7540,0,[]
65,17,12,44,68,51,46,2,96,2,96,24,12,83,58,55,45,83,84,92,21,8979,0,7640,0,[]
66,14,14,38,64,49,51,2,96,11,93,22,12,83,58,52,46,83,85,91,32,9034,0,7863,0,[]
67,11,14,27,60,47,51,75,88,17,83,20,11,78,50,50,46,86,84,90,43,9178,0,7962,0,[]
68,11,14,26,56,50,50,77,87,26,85,19,13,72,43,54,46,88,83,90,54,9272,0,8074,0,[]
69,4,91,25,57,50,48,77,87,37,88,18,13,73,44,54,45,95,4,88,65,9520,0,8225,0,[]
70,4,85,25,57,40,55,76,87,48,88,17,14,74,43,52,47,95,4,87,72,9613,0,8438,0,[]
71,5,74,6,95,38,56,77,88,60,88,17,15,74,43,50,42,84,85,82,79,9668,0,8625,0,[]
72,6,63,18,93,3,96,79,89,71,87,15,16,93,9,52,45,82,84,82,84,9812,0,8800,0,[]
73,8,51,30,92,9,92,80,89,81,90,18,16,93,10,50,47,85,82,85,82,9877,0,8900,0,[]
74,9,40,42,91,16,83,84,87,82,89,19,15,85,19,52,49,82,82,82,82,10033,0,9106,0,[]
75,7,31,53,87,23,74,88,83,81,82,95,4,76,26,50,54,85,79,85,79,10107,0,9174,0,[]
76,8,30,65,83,33,66,86,87,81,84,91,4,77,35,49,54,86,79,86,79,10295,0,9320,0,[]
77,8,30,73,75,40,58,79,82,78,74,82,4,80,46,58,59,87,79,87,79,10469,0,9408,0,[]
78,9,25,71,66,48,54,75,72,75,69,70,6,76,57,67,58,82,78,82,78,10547,0,9474,0,[]
79,11,16,72,65,57,57,72,70,72,67,58,7,73,65,67,60,76,72,76,72,10696,0,9569,0,[]
80,12,16,71,65,67,63,70,66,71,66,47,8,74,67,74,64,73,69,74,67,11716,0,10092,0,[]
81,16,15,71,65,76,68,75,72,73,69,36,10,74,67,73,65,77,70,75,68,11801,0,10593,0,"['6:41 BLGKuro(天启者) 击杀了 V5Ben4(德邦总管)', '6:41 V5Max(深海泰坦) 击杀了 BLGMeteor(狂战士)', '6:44 V5Max(深海泰坦) 击杀了 BLGXinMo(魔法猫咪)', '6:45 BLGKuro(天启者) 击杀了 V5Max(深海泰坦)']"
82,17,18,71,65,76,67,81,66,73,69,24,10,74,67,77,69,82,66,75,68,11877,0,11124,0,['6:50 BLGKuro(天启者) 击杀了 V5y4(圣枪游侠)']
