,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,96,4,97,2,98,1,97,2,95,93,5,95,5,94,2,97,3,94,4,0,0,0,0,[]
2,2,94,4,95,3,96,5,96,4,95,93,5,93,5,93,5,95,4,94,6,0,0,0,0,[]
3,3,94,4,95,4,96,5,96,5,96,92,4,92,5,93,5,94,6,94,6,0,0,0,0,[]
4,14,73,17,77,20,83,28,93,24,84,67,8,72,17,85,11,83,27,80,23,0,0,0,0,[]
5,19,51,32,60,36,66,51,88,41,70,45,12,54,31,72,29,79,49,66,39,0,0,0,0,[]
6,23,33,33,41,44,54,69,80,50,65,27,23,46,35,57,46,70,62,65,58,0,0,0,0,[]
7,23,36,35,39,43,54,68,81,51,65,24,26,45,35,53,48,68,61,62,61,0,0,0,0,[]
8,25,36,35,39,43,54,68,81,48,69,24,26,45,34,54,49,70,62,60,58,0,0,0,0,[]
9,23,37,35,39,43,55,68,81,51,76,23,25,45,35,51,50,71,63,62,59,0,0,0,0,[]
10,24,36,35,39,41,55,68,81,62,78,23,24,46,35,55,53,71,63,63,58,0,0,0,0,[]
11,25,36,35,38,41,56,68,80,68,78,24,24,42,32,55,55,76,61,55,55,0,0,0,0,[]
12,25,36,35,39,37,56,68,80,69,79,24,25,43,33,49,55,75,61,51,54,0,0,0,0,[]
13,25,36,34,39,40,55,68,80,68,78,24,24,44,37,56,55,76,62,61,58,0,0,0,0,[]
14,24,36,34,39,41,57,68,80,68,79,24,25,51,27,56,60,74,62,63,62,0,0,0,0,[]
15,25,36,33,38,41,58,68,80,68,78,25,23,46,24,54,63,63,63,54,63,0,0,0,0,[]
16,23,39,24,38,41,56,72,83,71,82,36,23,46,24,55,54,70,63,65,62,0,0,0,0,[]
17,23,43,23,44,40,53,65,79,66,78,45,23,46,23,47,52,79,63,79,63,0,0,0,0,[]
18,22,44,23,45,46,51,54,76,55,76,47,25,47,26,51,50,87,67,87,67,0,0,0,0,[]
19,22,40,21,45,45,49,57,76,54,76,48,21,47,24,53,50,86,75,86,75,0,0,0,0,[]
20,21,29,20,48,45,51,68,80,64,79,45,16,46,23,50,49,83,78,83,78,0,0,0,0,[]
21,16,20,23,45,46,54,75,87,73,85,32,12,47,24,52,49,84,79,84,79,0,0,0,0,[]
22,14,18,18,45,43,57,79,86,77,86,21,12,52,32,47,50,84,85,83,83,0,0,0,0,[]
23,15,16,17,44,43,58,79,87,80,85,18,11,52,34,45,53,84,84,84,81,0,0,0,0,[]
24,14,18,18,47,42,54,75,88,76,88,17,9,55,31,47,51,82,87,82,87,0,0,0,0,[]
25,14,18,22,55,41,54,75,87,73,86,16,14,54,32,47,52,82,89,82,89,0,0,0,0,[]
26,13,17,27,59,42,55,78,88,78,87,16,11,59,35,45,52,83,82,83,82,0,0,0,0,[]
27,13,17,27,60,40,55,74,90,76,92,16,10,68,40,45,52,78,86,78,86,0,0,0,0,[]
28,17,16,34,65,37,56,76,89,74,88,23,12,72,44,42,54,82,83,80,83,0,0,0,0,[]
29,16,14,42,67,39,55,71,90,70,90,20,13,76,45,45,53,77,86,77,86,0,0,0,0,[]
30,15,18,43,68,42,55,72,91,71,90,25,14,76,46,47,49,77,87,77,87,0,0,0,0,[]
31,16,18,40,73,45,55,73,90,73,91,19,12,75,52,47,49,81,86,81,86,0,0,0,0,[]
32,15,14,47,79,43,55,75,91,74,89,23,11,76,56,47,50,78,87,78,87,0,0,0,0,[]
33,17,12,50,82,44,57,71,91,67,91,25,12,75,56,46,52,77,86,75,89,0,0,0,0,[]
