,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,SNBiubiu, ,SNH4cker, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,9,29,53,84,49,53,68,88,58,63,10,21,80,40,52,47,95,15,81,78,7289,0,7110,0,[]
56,8,28,50,81,48,53,71,88,60,72,18,24,78,51,53,47,94,26,77,74,7445,0,7185,0,[]
57,8,25,45,72,49,52,71,88,68,80,12,22,81,56,52,47,92,36,75,75,7542,0,7264,0,[]
58,9,27,36,64,46,50,2,96,76,87,9,21,80,53,56,42,91,47,75,75,7609,0,7398,0,[]
59,9,27,27,59,44,54,3,96,78,90,12,21,77,50,59,41,89,58,94,9,7765,0,7501,0,[]
60,9,28,24,57,44,54,76,86,82,91,17,23,72,43,95,4,87,71,92,23,7881,0,7553,0,[]
61,8,31,23,56,2,96,77,86,82,90,12,22,69,41,95,4,84,80,91,35,8030,0,7757,0,[]
62,9,30,21,47,41,57,77,86,81,90,10,25,67,47,49,52,84,80,91,47,8080,0,7829,0,[]
63,10,22,23,36,39,58,77,87,82,90,14,20,63,58,58,59,84,81,89,59,8665,0,7881,0,[]
64,14,21,22,24,41,56,78,86,79,89,23,22,56,57,55,67,86,82,88,72,8862,0,7934,0,['5:19 VGYoudang(德玛西亚皇子) 击杀了 SNBiubiu(未来守护者)']
65,11,23,20,28,43,56,78,87,78,90,23,22,63,64,54,66,84,81,84,82,8991,0,8099,0,[]
66,10,24,29,36,45,55,74,88,71,84,23,22,64,71,53,57,82,83,81,85,9044,0,8195,0,[]
67,10,24,40,36,46,55,77,89,80,90,95,4,66,72,57,57,84,85,83,83,9116,0,8268,0,[]
68,2,96,48,35,43,56,80,89,80,89,19,11,65,72,65,65,84,85,81,84,9194,0,8368,0,[]
69,16,16,48,35,42,55,76,88,77,89,20,9,65,72,66,68,82,88,81,83,9390,0,8497,0,[]
70,17,13,46,34,42,55,77,87,76,88,21,9,67,70,66,66,84,86,82,83,9515,0,8719,0,['5:50 SN 击杀了水龙']
71,18,11,40,29,45,52,75,88,74,89,29,11,66,60,58,58,82,88,81,85,9718,0,8789,0,[]
72,23,14,37,18,45,51,71,89,72,92,26,8,61,50,50,52,80,86,81,86,9789,0,9080,0,[]
73,24,12,36,16,44,52,74,90,76,90,25,6,56,40,51,49,78,79,76,79,10035,0,9132,0,[]
74,21,12,36,16,46,50,78,88,76,86,26,8,57,33,53,47,78,83,76,79,10205,0,9206,0,[]
75,21,13,36,16,42,41,76,91,71,81,27,9,66,41,56,44,81,88,78,85,10267,0,9454,0,[]
76,24,13,37,11,39,31,72,89,72,87,37,6,66,53,52,50,80,90,78,87,10334,0,9531,0,[]
77,31,10,35,10,38,25,70,90,71,90,45,6,69,64,50,53,77,91,76,87,10380,0,9620,0,[]
78,25,9,27,15,41,36,70,91,69,90,39,7,69,65,47,51,76,89,76,87,10519,0,9773,0,[]
79,21,12,28,20,34,43,70,91,71,91,31,8,62,63,49,50,76,90,76,88,10597,0,9986,0,[]
80,17,21,28,20,36,50,71,88,73,91,28,12,53,72,49,59,79,85,79,88,10702,0,10077,0,[]
81,16,18,14,91,40,56,69,89,73,90,20,12,51,75,47,67,79,85,79,87,10801,0,10150,0,[]
82,16,18,25,86,45,54,69,91,71,92,20,11,50,74,56,62,77,89,77,86,10889,0,10425,0,[]
83,12,19,34,78,47,50,70,91,71,93,20,12,46,67,55,56,78,85,76,87,11024,0,10512,0,[]
84,14,19,45,79,46,51,69,91,71,91,20,11,46,65,53,48,73,77,75,78,11110,0,10701,0,[]
