,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,blue_economics,blue_towers,red_economics,red_towers,captions
257,34,30,39,26,27,21,25,23,39,36,47,52,48,15,62,34,51,41,58,48,0,4,0,0,[]
258,31,31,33,31,26,23,25,30,32,32,45,51,48,15,52,43,51,41,48,51,0,4,0,0,[]
259,32,31,35,30,26,23,30,32,34,38,36,43,48,15,40,44,51,41,40,45,0,4,0,0,[]
260,33,33,34,31,2,96,30,34,30,37,32,40,48,15,33,42,51,41,31,35,0,4,0,0,[]
261,31,38,30,35,31,37,26,34,30,38,24,37,48,15,31,43,45,43,29,37,0,4,0,0,[]
262,29,39,25,35,24,37,25,34,25,37,23,41,48,15,30,42,33,40,31,39,0,4,0,0,[]
263,30,43,29,37,31,38,25,34,30,36,23,41,87,8,30,44,34,41,37,39,0,4,0,0,[]
264,30,43,23,44,30,37,25,34,25,37,23,41,73,17,32,41,31,39,33,43,0,4,0,0,[]
265,30,43,19,46,29,35,25,34,25,37,23,41,62,24,28,36,24,39,33,43,0,4,0,0,[]
266,30,43,28,50,29,35,25,34,25,37,23,41,53,31,31,35,29,33,33,43,0,4,0,0,[]
267,30,43,32,50,29,35,25,34,25,37,23,41,52,36,39,42,34,42,33,43,0,4,0,0,[]
268,30,43,26,59,29,35,25,34,25,37,23,41,47,33,41,39,41,39,33,43,0,4,0,0,[]
269,30,43,26,59,29,35,25,34,25,37,23,41,41,31,41,39,41,39,33,43,0,4,0,0,[]
270,30,43,33,60,29,35,10,92,25,37,23,41,41,28,91,4,85,10,33,43,0,4,0,0,[]
271,30,43,43,67,29,35,22,80,13,91,95,3,36,38,72,5,73,22,92,5,0,4,0,0,[]
272,12,95,47,64,29,35,29,69,25,79,87,19,37,39,56,9,64,34,80,20,0,4,0,0,[]
273,28,93,51,63,7,93,38,59,34,68,81,33,41,29,40,10,57,41,71,29,0,4,0,0,[]
274,41,92,46,52,21,82,47,52,42,57,80,48,50,21,30,10,56,42,61,40,0,4,0,0,[]
275,55,89,51,51,29,70,51,49,50,50,76,44,46,16,33,11,62,37,61,40,0,4,0,0,[]
276,68,88,60,59,37,62,58,57,56,54,70,40,42,17,46,15,59,40,58,39,0,4,0,0,[]
277,80,84,63,70,50,60,67,66,67,63,62,36,40,15,35,16,59,36,59,36,0,4,0,0,[]
278,81,80,64,70,40,58,66,66,65,68,49,34,28,20,21,14,47,34,49,35,0,4,0,0,[]
279,75,68,62,62,29,52,55,62,59,60,51,34,22,24,11,23,42,38,36,39,0,4,0,0,[]
280,66,58,53,49,32,45,46,51,50,49,64,33,12,23,7,27,41,36,24,38,0,4,0,0,[]
281,58,47,55,44,42,37,52,44,43,39,78,35,11,26,9,26,49,24,23,32,0,4,0,0,[]
282,63,40,64,40,51,32,61,41,53,41,87,38,22,22,11,23,61,24,26,30,0,4,0,1,[]
283,65,33,66,34,60,33,64,35,63,33,77,33,35,23,22,24,66,24,40,36,0,4,0,1,[]
284,57,34,56,32,55,40,60,40,55,32,71,31,47,22,35,22,70,25,40,28,0,5,0,1,[]
285,46,36,43,32,45,40,48,46,42,33,74,33,46,13,38,16,67,29,36,18,0,5,0,1,[]
286,39,41,37,41,28,37,54,45,36,43,81,45,46,15,48,18,65,37,30,22,0,5,0,1,[]
287,47,50,33,43,16,34,48,53,41,45,90,49,56,23,55,32,62,36,33,18,0,5,0,1,[]
288,51,62,33,47,9,37,49,66,41,45,90,56,57,27,60,37,60,40,45,16,0,5,0,1,[]
289,50,77,33,47,13,48,47,72,10,84,89,70,57,27,63,33,60,38,45,16,0,5,0,1,[]
290,54,84,3,97,21,46,47,72,23,72,88,74,79,12,63,33,55,31,93,4,0,5,0,1,[]
291,52,84,13,81,22,43,4,96,33,61,87,67,66,20,90,5,55,31,82,12,0,5,0,1,[]
292,51,84,24,71,21,39,19,83,43,54,80,56,56,30,82,10,55,30,71,24,0,5,0,1,[]
293,61,86,36,60,13,34,28,71,38,50,78,49,49,32,71,22,53,28,58,25,0,5,0,1,[]
294,69,92,48,53,17,43,38,61,32,45,77,49,47,37,62,33,54,33,51,34,0,5,0,1,[]
295,75,87,46,50,19,44,48,52,34,42,95,4,53,32,54,44,56,41,52,35,0,5,0,1,[]
296,78,86,56,58,15,39,46,54,41,51,87,22,50,33,56,42,55,43,54,32,0,5,0,1,[]
297,82,82,67,62,11,26,47,54,44,53,88,37,55,32,57,32,61,37,55,32,0,5,0,1,[]
298,75,71,74,65,11,21,49,55,44,44,90,52,66,41,63,38,56,39,54,32,0,5,0,1,[]
299,73,68,77,59,22,24,48,51,44,43,93,63,63,39,65,40,52,32,47,35,0,5,0,1,[]
300,79,66,72,63,27,17,46,50,47,45,91,61,54,31,59,34,59,34,47,35,0,5,0,1,[]
301,85,79,61,59,20,12,44,45,44,43,87,48,52,29,49,24,58,37,50,34,0,5,0,1,[]
302,83,82,51,50,20,20,45,43,48,46,86,51,44,23,42,16,59,28,57,32,0,5,0,1,[]
303,83,82,42,40,27,32,45,43,43,41,93,53,44,23,37,13,59,27,54,31,0,5,0,1,[]
304,2,96,43,33,40,37,54,47,43,41,92,55,44,23,44,13,94,4,55,31,0,5,0,1,[]
305,16,90,41,31,42,40,49,48,44,42,88,50,51,27,52,25,80,15,48,34,0,5,0,1,[]
306,29,81,42,39,40,40,43,42,40,38,80,41,57,33,57,32,69,26,54,32,0,5,0,1,[]
307,38,72,41,31,41,30,40,38,38,36,69,35,59,36,61,38,61,38,59,39,0,5,0,1,[]
308,40,65,43,34,45,24,43,42,42,32,71,41,56,43,59,40,61,41,57,42,0,5,0,1,[]
309,46,56,48,38,53,33,50,46,45,43,68,41,58,50,60,48,60,41,59,46,0,5,0,1,[]
310,58,46,63,41,58,37,57,42,57,44,62,36,66,48,65,46,67,41,62,42,0,5,0,1,[]
311,64,41,66,41,59,42,60,40,60,40,63,37,67,40,67,41,71,40,63,41,0,5,0,1,[]
312,68,43,66,41,63,41,64,40,63,40,66,39,68,44,70,41,72,44,65,38,0,5,0,1,[]
313,66,41,66,41,65,37,65,37,65,39,67,40,66,44,70,41,67,44,65,38,0,5,0,1,[]
314,66,41,66,41,64,26,66,35,65,39,67,40,63,37,69,40,65,37,65,38,0,5,0,1,[]
315,66,41,66,41,57,19,66,35,65,39,67,40,53,31,60,36,57,30,65,38,0,5,0,1,[]
316,66,41,66,41,57,19,66,35,65,39,67,40,40,36,47,34,44,35,65,38,0,5,0,1,[]
317,66,41,66,41,57,19,66,35,65,39,67,40,33,31,34,35,32,33,65,38,0,5,0,1,[]
318,66,41,66,41,57,19,66,35,65,39,67,40,34,30,30,33,32,34,65,38,0,5,0,1,[]
319,66,41,66,41,57,19,66,35,65,39,67,40,31,29,25,31,31,32,65,38,0,5,0,1,[]
320,66,41,16,89,57,19,66,35,3,95,67,40,31,28,23,24,33,32,82,10,0,5,0,1,[]
321,66,41,31,81,57,19,66,35,15,79,67,40,30,30,19,15,38,27,67,19,0,5,0,1,[]
322,66,41,40,71,57,19,66,35,29,70,67,40,95,4,24,12,95,4,69,33,0,5,0,1,[]
323,12,87,46,63,57,19,66,35,44,67,67,40,94,2,93,6,95,4,63,38,0,5,0,1,[]
324,22,79,49,65,57,19,2,96,58,62,89,21,84,14,81,22,80,14,69,31,0,5,0,1,[]
325,32,70,57,57,18,89,46,54,57,55,78,33,74,27,69,31,70,26,67,31,0,5,0,1,[]
326,42,60,58,55,31,80,42,56,57,56,68,36,65,38,62,38,60,38,59,40,0,5,0,1,[]
327,55,61,57,55,42,70,48,58,56,56,59,46,54,46,59,40,56,42,56,43,0,5,0,1,[]
328,54,58,58,56,52,61,53,61,56,59,61,50,54,50,59,42,55,47,56,49,0,5,0,1,[]
329,54,54,52,55,49,52,46,54,53,57,55,45,49,47,51,43,50,44,55,44,0,5,0,1,[]
330,51,46,55,48,49,47,50,45,52,49,58,41,53,41,57,39,56,39,57,43,0,5,0,1,[]
331,56,40,66,41,56,39,56,42,59,42,62,42,64,37,65,36,64,33,59,39,0,5,0,1,[]
332,53,47,66,41,52,46,51,49,54,49,56,45,60,44,61,40,62,39,56,42,0,5,0,1,[]
333,47,55,66,41,43,55,43,56,45,55,49,51,55,52,52,45,53,51,49,46,0,5,0,1,[]
334,39,64,66,41,37,58,36,62,34,61,49,54,51,56,49,50,46,57,36,43,0,5,0,1,[]
335,38,66,66,41,38,61,29,66,32,66,61,50,56,64,48,51,46,55,32,49,0,5,0,1,[]
336,38,66,66,41,36,62,29,66,32,66,76,49,58,66,41,53,42,53,32,53,0,5,0,1,[]
337,5,84,66,41,37,61,12,90,8,87,89,54,63,62,48,55,47,54,36,50,0,5,0,2,[]
338,12,72,66,41,32,66,13,89,22,74,88,65,68,64,61,62,59,61,50,55,0,5,0,2,[]
339,9,58,66,41,37,66,23,78,34,66,92,65,65,69,68,67,67,66,60,61,0,5,0,2,[]
340,9,48,3,96,41,60,32,67,44,70,86,76,66,67,72,63,62,62,60,62,0,5,0,2,[]
341,8,44,17,81,46,53,39,59,44,68,76,86,58,60,66,60,52,54,57,57,0,5,0,2,[]
342,9,31,25,70,39,60,39,60,35,60,74,87,65,56,61,57,51,55,54,58,0,5,0,2,[]
343,10,21,23,57,40,73,39,58,31,54,74,88,72,43,71,50,51,55,93,5,0,5,0,2,[]
344,13,18,24,59,51,83,38,59,35,60,71,88,77,48,77,53,50,51,82,22,0,5,0,2,[]
345,19,22,32,61,53,86,37,63,37,65,68,83,83,57,72,63,50,54,70,33,0,5,0,3,[]
346,27,33,43,68,49,89,45,72,49,74,60,84,76,58,58,61,48,54,66,48,0,5,0,3,[]
347,32,42,51,74,52,89,45,70,52,78,62,85,65,62,48,55,51,54,59,60,0,5,0,3,[]
348,31,54,52,76,45,79,41,67,49,74,59,89,57,68,53,58,57,66,57,70,0,5,0,3,[]
349,37,63,50,79,46,79,48,76,49,79,55,89,57,74,57,69,57,74,56,75,0,5,0,3,[]
350,40,71,47,79,50,84,44,72,53,84,55,84,52,74,57,72,55,75,55,76,0,5,0,3,[]
351,46,80,50,83,53,88,40,74,54,87,57,85,50,82,51,78,56,83,53,87,0,5,0,3,[]
352,49,82,45,81,48,89,49,82,51,88,59,88,53,85,55,84,52,84,50,89,0,5,0,3,[]
353,52,86,43,88,49,90,42,84,51,88,56,91,56,85,66,88,60,84,57,90,0,5,0,3,[]
354,48,91,42,88,42,92,41,90,51,88,55,92,56,85,95,4,56,91,57,92,0,5,0,3,[]
355,46,91,41,86,26,93,41,90,51,88,62,85,56,85,85,6,63,90,58,92,0,5,0,3,[]
356,46,91,3,96,11,95,13,96,51,88,67,82,56,85,65,7,67,90,71,87,0,5,0,3,[]
357,47,90,4,96,8,93,27,87,51,88,67,82,56,85,53,8,83,11,95,4,0,5,0,3,[]
358,51,90,22,88,17,75,28,74,51,88,86,9,56,85,55,8,71,24,80,10,0,5,0,3,[]
359,54,93,34,78,17,60,38,67,51,88,74,22,56,85,50,7,61,34,70,23,0,5,0,3,[]
360,63,92,41,68,21,48,39,65,14,89,70,33,56,85,42,15,55,44,61,35,0,5,0,3,[]
361,75,87,40,55,21,41,44,55,26,76,68,45,56,85,38,16,53,46,57,45,0,5,0,3,[]
362,80,85,39,49,30,39,42,56,37,65,67,58,93,5,32,12,56,41,49,41,0,5,0,3,[]
363,76,87,25,47,33,43,36,59,37,60,73,70,75,13,25,14,83,8,44,35,0,5,0,3,[]
364,64,92,16,43,34,40,36,59,34,48,73,85,69,26,23,10,68,18,51,41,0,5,0,3,[]
365,52,94,17,45,21,37,8,95,32,50,84,80,61,34,29,9,54,25,61,49,0,5,0,3,[]
366,52,94,20,49,11,30,14,89,37,63,89,66,52,36,29,9,55,32,61,52,0,5,0,3,[]
367,6,94,32,49,11,24,25,76,44,67,89,70,51,33,81,9,55,42,58,46,0,5,0,3,[]
368,19,84,42,54,12,23,35,65,54,67,87,75,57,39,63,10,52,46,58,46,0,5,0,3,[]
369,29,74,41,55,20,27,43,56,49,60,80,79,56,40,49,10,57,41,85,12,0,5,0,3,[]
370,39,63,47,54,31,36,45,54,44,51,78,81,57,39,43,15,59,41,73,27,0,5,0,3,[]
371,47,53,50,48,42,42,50,50,44,43,71,91,56,33,38,14,63,36,63,37,0,5,0,3,[]
372,54,55,58,56,51,52,50,52,54,52,64,91,55,30,42,9,63,34,64,37,0,5,0,3,[]
373,57,68,66,66,57,66,57,65,65,63,63,91,44,36,48,19,59,36,59,37,0,5,0,3,[]
374,61,87,57,64,67,80,58,71,73,75,63,91,42,39,35,12,55,32,55,40,0,5,0,3,[]
375,63,93,43,67,64,88,69,82,67,90,62,92,34,39,22,14,45,33,42,39,0,5,0,3,[]
376,70,90,43,58,52,84,63,78,62,85,61,92,29,50,15,18,49,42,31,48,0,5,0,3,[]
377,80,81,49,51,47,69,55,66,71,77,61,92,23,53,10,32,47,36,20,48,0,5,0,3,[]
378,88,74,52,50,58,60,49,54,71,65,61,92,21,47,9,34,58,28,20,38,0,5,0,3,[]
379,89,70,61,43,66,49,58,46,66,52,61,92,28,37,8,30,69,28,20,38,0,5,0,3,[]
380,88,67,70,34,68,35,67,35,67,37,61,92,27,32,7,19,71,27,89,6,0,5,0,3,[]
381,88,67,73,26,71,24,72,28,73,22,61,92,26,30,7,19,77,17,83,23,0,5,0,3,[]
382,2,96,75,25,73,23,72,24,72,24,61,92,94,4,95,4,82,21,81,25,0,6,0,3,[]
383,72,28,72,25,70,26,70,26,71,25,61,92,81,19,88,8,81,21,80,25,0,6,0,3,[]
384,60,33,66,40,63,32,61,35,59,33,61,92,75,24,78,20,79,25,77,27,0,6,0,3,[]
385,47,34,66,46,50,34,51,45,55,32,61,92,67,30,68,27,71,32,70,31,0,6,0,3,[]
386,37,37,66,46,39,39,39,54,55,32,61,92,59,40,63,34,64,38,62,38,0,6,0,3,[]
387,31,47,2,97,30,49,31,58,10,85,95,4,48,49,56,42,54,47,50,50,0,6,0,3,[]
388,32,59,17,82,21,48,31,58,24,72,78,16,38,43,46,51,43,53,43,56,0,6,0,3,[]
389,41,58,27,70,17,49,11,91,33,60,67,28,40,36,49,50,45,48,44,48,0,6,0,3,[]
390,42,58,38,61,8,48,24,78,41,57,57,38,52,32,47,48,45,53,41,45,0,6,0,3,[]
391,35,65,38,63,18,52,34,68,36,62,48,50,53,32,45,52,43,53,43,53,0,6,0,3,[]
392,40,65,39,64,30,60,37,64,31,58,35,42,41,40,41,46,40,44,36,42,0,6,0,3,[]
393,40,65,38,61,33,61,37,61,32,59,36,42,42,46,43,44,43,45,42,44,0,6,0,3,[]
394,1,95,39,62,36,61,41,60,38,58,44,49,43,48,47,50,44,48,43,44,0,6,0,3,[]
395,16,86,38,62,36,61,38,59,38,59,45,50,41,46,47,54,45,49,49,47,0,6,0,3,[]
396,27,73,44,57,4,95,41,59,42,56,38,43,32,36,41,44,37,41,40,42,0,6,0,3,[]
397,36,63,44,50,17,80,40,54,36,49,32,35,32,31,34,38,31,34,40,36,0,6,0,3,[]
398,39,52,36,40,31,50,42,44,33,39,31,33,32,31,30,32,29,32,39,37,0,6,0,3,[]
399,32,42,37,41,30,42,35,42,35,39,30,37,29,35,28,35,28,37,33,38,0,6,0,3,[]
400,32,36,32,39,30,39,34,36,31,36,29,32,25,36,27,33,25,36,30,34,0,6,0,3,[]
401,37,38,40,39,42,38,41,42,37,37,28,22,25,26,25,30,27,35,30,34,0,6,0,3,[]
402,28,36,41,30,51,44,51,45,36,36,31,18,37,23,29,22,26,23,30,34,0,6,0,3,[]
403,32,33,41,30,58,35,45,37,40,33,31,18,42,16,29,22,28,20,30,34,0,6,0,3,[]
404,30,32,38,29,45,32,34,35,31,31,84,14,38,16,85,10,36,16,30,34,0,6,0,3,[]
405,31,33,33,32,40,31,31,34,31,31,74,26,28,22,82,13,27,23,30,34,0,6,0,3,[]
406,32,32,32,32,33,35,31,34,30,33,71,28,26,24,24,28,24,27,30,34,0,6,0,3,[]
407,33,32,36,28,30,34,31,34,36,29,73,27,28,32,24,28,24,33,30,34,0,6,0,3,[]
408,26,32,32,35,27,37,25,37,31,33,32,43,29,32,25,26,21,38,30,34,0,6,0,3,[]
409,26,32,37,41,31,45,60,40,37,43,33,47,29,32,26,32,21,38,30,34,0,6,0,3,[]
410,27,35,32,52,36,40,66,33,40,43,32,49,29,32,26,32,21,38,84,11,0,6,0,3,[]
411,24,30,32,44,45,35,74,27,36,42,31,49,29,32,24,30,21,38,66,20,0,6,0,3,[]
412,24,29,42,38,35,24,84,19,40,41,36,42,29,32,23,30,21,38,73,26,0,6,0,3,[]
413,24,29,49,34,26,24,84,10,50,40,48,41,29,32,95,4,21,38,83,16,0,7,0,3,[]
414,24,29,54,43,39,23,77,12,50,40,60,37,29,32,78,11,21,38,77,11,0,7,0,3,[]
415,24,29,56,45,55,21,78,14,50,40,69,26,29,32,72,9,21,38,79,12,0,7,0,3,[]
416,24,29,65,34,70,25,78,10,50,40,78,16,29,32,72,9,21,38,84,14,0,7,0,3,[]
417,24,29,73,24,77,14,80,10,50,40,80,11,29,32,72,9,21,38,84,13,0,7,0,3,[]
418,24,29,77,12,76,15,78,11,50,40,79,10,85,8,72,9,21,38,78,11,0,7,0,3,[]
419,24,29,77,12,76,15,78,11,50,40,81,12,80,14,72,9,95,4,78,11,0,7,0,3,[]
420,24,29,77,12,76,15,78,11,50,40,81,12,75,25,72,9,65,91,78,11,0,7,0,3,[]
421,24,29,77,12,76,15,78,11,50,40,81,12,69,31,72,9,60,91,78,11,0,7,0,3,[]
422,24,29,77,12,76,15,78,11,50,40,81,12,67,33,72,9,55,85,78,11,0,7,0,3,[]
423,13,95,77,12,76,15,78,11,12,93,81,12,67,33,72,9,61,83,78,11,0,7,0,3,[]
424,30,89,77,12,76,15,78,11,32,89,81,12,67,34,72,9,67,82,78,11,0,7,0,3,[]
425,42,84,77,12,76,15,78,11,44,81,81,12,67,34,72,9,74,78,78,11,0,7,0,3,[]
426,54,84,77,12,76,15,78,11,51,78,81,12,88,7,72,9,74,78,78,11,0,7,0,3,[]
427,69,80,77,12,76,15,78,11,61,83,81,12,78,23,91,6,82,8,78,11,0,7,0,3,[]
428,77,87,77,12,76,15,78,11,67,82,81,12,68,34,78,22,67,19,92,9,0,7,0,3,[]
429,72,84,9,95,12,95,78,11,59,74,81,12,64,37,68,32,53,25,78,25,0,7,0,3,[]
430,73,72,12,92,31,89,78,11,57,73,81,12,64,37,62,34,55,31,74,35,0,7,0,3,[]
431,71,64,12,93,32,78,12,95,57,73,94,14,66,40,75,35,55,31,80,43,0,7,0,3,[]
432,82,66,33,90,32,62,31,91,15,90,82,29,70,40,80,48,59,39,81,35,0,7,0,3,[]
433,88,68,47,91,25,51,42,83,31,80,88,41,76,46,79,50,59,39,82,46,0,7,0,3,[]
434,87,69,59,84,19,49,53,77,47,76,92,55,80,44,89,45,67,33,82,42,0,7,0,3,[]
435,86,63,67,79,27,51,63,74,62,72,92,55,72,34,82,35,68,32,95,4,0,7,0,3,[]
436,84,63,66,71,41,51,68,69,65,68,89,52,63,36,72,34,67,32,80,17,0,7,0,3,[]
437,89,65,74,63,55,57,75,62,67,60,87,50,71,33,77,32,78,25,70,30,0,7,0,3,[]
438,88,64,81,55,54,50,87,65,76,57,91,46,77,29,87,37,88,15,78,34,0,7,0,3,[]
439,83,64,82,49,57,49,94,56,81,50,88,39,75,33,87,41,94,4,80,31,0,7,0,3,[]
440,73,64,84,50,64,57,94,54,82,48,79,35,68,34,90,40,95,3,86,37,0,7,0,3,[]
441,60,59,87,50,73,49,90,49,86,50,69,33,67,32,88,36,95,3,80,34,0,7,0,3,[]
442,55,50,90,44,81,45,91,46,90,46,72,33,77,33,84,31,95,4,81,33,0,7,0,3,[]
443,59,42,88,39,82,41,91,41,87,40,84,31,87,32,88,29,88,20,83,28,0,8,0,3,[]
444,63,38,80,48,80,45,84,50,83,50,80,32,80,34,79,24,78,29,80,26,0,8,0,3,[]
445,66,31,68,40,71,41,72,42,72,42,83,30,75,29,77,25,70,29,79,29,0,8,0,3,[]
446,64,35,69,31,67,29,67,32,67,31,77,27,78,29,79,25,75,26,79,26,0,8,0,3,[]
447,68,29,72,29,67,26,70,29,70,28,79,27,77,29,80,28,79,23,77,33,0,8,0,3,[]
448,67,30,70,28,67,29,68,29,70,30,80,30,74,23,81,25,79,27,78,30,0,8,0,3,[]
449,57,34,66,41,64,38,63,34,60,33,80,29,75,26,82,28,76,29,80,38,0,8,0,3,[]
450,51,37,66,48,51,40,54,45,55,32,86,37,68,31,78,30,70,30,78,38,0,8,0,3,[]
451,49,39,60,50,51,40,49,58,55,32,92,43,69,30,71,31,70,30,68,31,0,8,0,3,[]
452,2,96,60,50,4,91,51,65,18,84,81,35,72,30,71,28,72,27,70,29,0,8,0,3,[]
453,17,86,3,97,8,69,43,56,30,70,82,34,75,32,77,27,78,24,81,21,0,8,0,3,[]
454,28,73,7,94,8,54,40,57,26,59,92,44,77,35,84,36,85,21,91,10,0,8,0,3,[]
455,37,62,24,79,6,45,41,54,27,59,93,54,81,44,79,38,92,9,88,17,0,8,0,3,[]
456,48,53,34,68,12,48,40,54,35,60,91,59,77,51,80,41,94,4,80,35,0,8,0,3,[]
457,51,47,44,57,27,50,44,51,45,53,87,69,76,50,69,35,94,4,77,48,0,8,0,3,[]
458,44,40,42,44,33,43,41,42,42,42,90,75,66,44,67,35,95,3,66,47,0,8,0,3,[]
459,41,32,47,40,42,37,45,43,42,34,88,72,63,36,64,35,95,3,60,44,0,8,0,3,[]
460,46,44,56,46,50,34,45,44,47,39,88,72,68,33,68,32,78,16,71,34,0,8,0,3,[]
461,53,44,54,45,47,39,47,44,50,41,91,9,66,29,66,35,73,27,71,34,0,8,0,3,[]
462,49,40,50,44,38,38,45,43,48,39,78,24,66,31,64,36,66,35,92,7,0,8,0,3,[]
463,46,35,44,47,25,32,45,43,42,40,69,34,68,33,69,32,69,32,75,27,0,8,0,3,[]
464,42,38,34,39,14,21,8,94,42,40,70,28,66,28,75,26,70,26,67,32,0,8,0,3,[]
465,2,96,30,32,11,26,13,90,15,89,71,32,68,40,83,14,70,32,67,33,0,8,0,3,[]
466,20,84,28,34,15,38,13,91,28,74,64,39,72,42,92,4,69,34,64,37,0,8,0,3,[]
467,29,73,28,34,15,42,23,80,35,63,63,37,61,36,76,20,66,35,60,35,0,8,0,3,[]
468,39,62,11,91,15,42,31,68,41,58,58,42,57,29,64,32,63,33,54,30,0,8,0,3,[]
469,48,51,25,77,2,96,42,57,46,51,62,33,50,22,64,26,65,26,53,21,0,8,0,3,[]
470,49,50,35,67,19,84,44,54,47,50,58,42,56,32,61,34,63,36,51,31,0,8,0,3,[]
471,53,51,48,54,48,48,45,50,49,48,59,42,59,41,60,39,57,40,57,34,0,8,0,3,[]
472,57,46,56,44,46,36,53,46,54,43,64,39,61,42,62,36,60,36,64,39,0,8,0,3,[]
473,57,46,54,43,50,33,53,47,55,45,65,39,62,41,64,37,62,35,62,39,0,8,0,3,[]
474,63,37,63,36,60,25,60,36,62,37,71,31,70,32,71,27,71,32,69,30,0,8,0,3,[]
475,68,28,68,32,67,27,66,31,67,30,76,26,75,29,76,28,77,32,79,30,0,8,0,3,[]
476,72,21,73,29,71,23,70,27,72,25,80,31,77,18,80,21,81,26,80,25,0,8,0,3,[]
477,69,29,70,32,68,28,67,30,68,29,78,33,71,20,75,21,79,28,78,27,0,8,0,3,[]
478,67,31,66,34,65,31,66,32,62,32,78,32,72,23,77,25,75,29,76,28,0,8,0,3,[]
479,63,36,62,37,60,34,60,36,61,24,72,33,68,31,71,29,69,32,69,33,0,8,0,3,[]
480,66,37,64,41,69,34,63,38,66,32,67,36,67,30,71,33,72,33,67,37,0,8,0,3,[]
481,67,39,66,38,66,34,65,37,67,36,68,35,67,33,69,32,73,34,66,35,0,8,0,3,[]
482,69,42,65,40,66,34,64,41,67,36,69,35,63,35,67,31,71,38,67,32,0,8,0,3,['40:6 LNGPlex(天启者) 击杀了 V5Mole(万花通灵)']
483,73,45,74,42,66,34,55,49,67,36,69,35,67,46,67,45,72,48,67,32,0,8,0,3,[]
484,74,47,74,42,66,34,51,44,67,36,69,35,62,50,65,51,73,48,67,32,0,8,0,3,[]
485,74,47,74,42,66,34,52,42,67,36,69,35,59,45,61,51,73,48,67,32,0,8,0,3,[]
486,74,47,74,42,66,34,47,40,67,36,69,35,64,36,65,41,73,48,67,32,0,8,0,3,[]
487,74,47,74,42,66,34,41,32,67,36,69,35,58,38,63,37,73,48,67,32,0,8,0,3,[]
488,74,47,74,42,66,34,32,23,67,36,69,35,50,32,65,34,73,48,67,32,0,8,0,3,[]
489,74,47,74,42,66,34,29,22,67,36,69,35,41,31,95,4,73,48,67,32,0,8,0,3,[]
490,74,47,74,42,66,34,2,96,67,36,69,35,42,26,78,12,73,48,67,32,0,8,0,3,[]
491,74,47,74,42,66,34,19,86,3,95,69,35,43,24,59,11,73,48,67,32,0,8,0,3,[]
492,74,47,74,42,66,34,34,78,7,88,69,35,95,4,46,12,73,48,67,32,0,8,0,3,[]
493,74,47,74,42,66,34,44,70,23,73,69,35,77,17,53,20,73,48,84,11,0,8,0,3,[]
494,74,47,2,96,5,92,48,74,37,66,93,6,67,30,54,32,73,48,70,26,0,8,0,3,[]
495,74,47,15,88,23,82,50,67,52,65,76,19,57,40,57,33,73,48,60,39,0,8,0,3,[]
496,2,96,26,75,37,75,53,64,57,64,67,32,51,46,54,43,95,4,56,45,0,8,0,3,[]
497,43,56,38,63,50,65,47,53,56,56,59,41,50,45,56,45,53,28,55,46,0,8,0,3,[]
498,53,51,50,55,64,63,54,57,65,57,53,43,48,42,54,42,49,33,56,42,0,8,0,3,[]
499,51,48,47,48,66,65,65,65,58,56,44,39,37,39,45,38,38,36,41,37,0,8,0,3,[]
500,43,43,43,41,66,65,68,67,46,46,34,39,32,33,33,35,30,33,31,39,0,8,0,3,[]
501,34,39,35,37,66,65,68,67,40,34,30,32,34,31,29,32,30,30,32,44,0,8,0,3,[]
502,37,40,37,36,59,59,68,67,36,40,32,34,34,31,30,35,31,33,33,37,0,8,0,3,[]
503,37,40,39,37,49,50,60,60,35,40,28,34,29,32,26,30,36,23,29,37,0,8,0,3,[]
504,31,31,30,28,59,39,55,48,26,30,28,22,28,22,27,24,30,20,25,25,0,8,0,3,[]
505,43,24,32,22,69,28,67,34,30,18,40,16,37,15,37,13,40,11,39,16,0,8,0,3,[]
506,56,16,46,22,76,20,77,25,45,12,53,11,45,12,54,8,54,9,53,9,0,8,0,3,[]
507,61,10,59,11,81,16,83,17,53,9,60,10,51,9,67,9,72,11,65,10,0,9,0,3,[]
508,68,12,62,14,90,13,92,15,54,9,70,14,62,13,72,11,86,14,77,12,0,9,0,3,['42:19 LNGPlex(天启者) 击杀了 V5Windy(解脱者)']
509,68,12,62,14,90,12,92,14,54,9,70,14,63,14,72,11,85,13,76,12,0,9,0,3,[]
510,68,12,62,14,90,12,92,14,54,9,70,14,63,14,72,11,85,13,76,12,0,9,0,3,[]
