,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,13,21,56,65,47,57,74,88,55,63,14,14,55,64,53,61,81,88,56,63,0,0,0,0,[]
59,11,21,57,69,50,61,73,88,56,75,14,15,57,72,57,67,81,86,57,71,0,0,0,0,[]
60,13,18,57,69,48,54,71,89,50,79,14,14,49,79,52,76,79,88,50,77,0,0,0,0,[]
61,14,17,5,96,51,49,75,92,50,79,20,11,56,83,52,76,79,88,50,80,0,0,0,0,[]
62,17,17,17,94,51,47,73,93,50,79,31,7,58,83,95,4,77,92,55,76,0,0,0,0,[]
63,16,18,26,89,43,51,73,93,8,95,32,7,58,84,91,10,79,89,63,71,0,0,0,0,[]
64,14,18,34,78,43,52,73,93,15,95,95,4,60,84,81,19,79,89,63,71,0,0,0,0,[]
65,13,18,42,70,4,94,2,96,25,94,95,4,65,83,72,28,84,80,93,7,0,0,0,0,[]
66,2,96,45,67,11,86,70,91,35,93,26,8,69,80,63,35,85,80,93,7,0,0,0,0,[]
67,4,91,47,67,19,77,71,91,47,91,26,13,69,80,55,43,95,4,88,15,0,0,0,0,[]
68,5,81,45,67,28,69,76,87,58,90,34,23,93,10,55,44,94,8,80,23,0,0,0,0,[]
69,6,71,43,67,36,61,75,87,62,84,38,27,82,22,53,43,94,9,71,31,0,0,0,0,[]
70,7,60,33,61,44,53,76,88,69,77,29,18,73,30,52,42,94,11,66,41,0,0,0,0,[]
71,8,49,24,56,45,53,77,89,71,81,20,14,66,40,52,47,83,85,67,52,0,0,0,0,[]
72,9,38,23,55,44,51,77,87,72,83,17,13,66,52,50,51,83,86,67,63,0,0,0,0,[]
73,10,28,22,53,44,54,78,86,77,86,18,15,69,64,50,46,87,84,74,71,0,0,0,0,[]
74,11,19,19,47,42,55,78,85,78,87,16,16,70,66,53,53,84,84,82,80,0,0,0,0,[]
75,10,20,14,44,40,54,79,88,80,90,15,17,71,65,54,62,82,83,83,84,0,0,0,0,[]
76,8,23,19,44,36,48,76,88,74,90,17,18,70,68,57,63,82,84,83,86,0,0,0,0,[]
77,6,28,27,37,32,46,72,88,63,90,11,14,68,67,61,62,83,87,80,82,0,0,0,0,[]
78,11,30,38,37,42,52,72,90,64,83,10,14,68,68,54,56,79,88,77,79,0,0,0,0,[]
79,12,23,41,29,45,53,73,88,68,81,10,14,72,70,52,53,82,84,71,78,0,0,0,0,[]
80,15,17,41,31,44,52,71,82,66,82,12,12,69,68,51,51,78,86,72,76,0,0,0,0,[]
81,15,18,43,20,39,56,69,77,61,77,18,13,70,67,51,44,80,87,78,81,0,0,0,0,[]
82,18,15,37,16,36,49,68,79,56,75,27,14,69,67,43,34,74,89,73,78,0,0,0,0,[]
83,23,14,30,19,32,46,64,88,51,83,34,12,58,63,39,25,74,92,71,84,0,0,0,0,[]
84,19,21,25,28,42,52,69,92,61,86,28,11,57,74,40,28,75,90,75,87,0,0,0,0,[]
85,17,17,33,36,49,51,66,89,62,87,22,13,55,76,47,40,78,88,67,80,0,0,0,0,[]
86,13,16,42,43,49,51,61,86,59,85,18,13,55,76,53,46,81,85,57,76,0,0,0,0,[]
87,14,17,45,43,46,50,56,81,56,82,18,12,56,75,51,52,80,84,56,74,0,0,0,0,[]
88,16,18,44,42,45,51,61,86,60,85,19,13,57,75,54,49,77,79,58,64,0,0,0,0,[]
89,21,14,44,35,46,50,70,89,70,90,27,10,57,75,53,43,79,75,63,62,0,0,0,0,[]
90,24,12,44,35,47,50,71,90,72,91,30,7,94,4,53,43,79,75,63,62,0,0,0,0,[]
91,23,11,44,37,44,50,76,89,75,88,30,9,79,12,51,42,93,10,90,12,0,0,0,0,[]
92,18,11,35,43,45,50,80,84,81,84,25,9,69,19,49,39,92,21,88,23,0,0,0,0,[]
93,20,13,35,43,40,51,82,82,82,82,25,8,58,23,53,42,91,31,89,35,0,0,0,0,[]
94,21,14,5,95,40,51,78,87,75,89,25,9,51,32,57,41,90,42,89,47,0,0,0,0,[]
95,24,10,12,93,7,89,75,89,75,89,29,7,51,34,57,45,90,53,88,57,0,0,0,0,[]
96,23,10,23,90,14,80,2,96,4,96,27,6,50,35,52,44,90,64,90,68,0,0,0,0,[]
97,19,13,34,89,23,73,6,95,11,95,26,14,46,34,48,40,89,72,87,75,0,0,0,0,[]
