,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
248,48,92,52,94,46,91,50,93,52,94,61,86,54,83,50,74,62,91,60,89,0,1,0,5,[]
249,41,92,40,89,37,91,38,94,41,94,54,90,50,85,47,89,54,93,52,91,0,1,0,5,[]
250,44,91,44,88,43,91,42,93,45,93,52,89,50,85,54,89,54,91,52,93,0,1,0,5,[]
251,44,92,44,90,39,91,48,94,45,94,57,89,52,85,51,83,56,90,53,90,0,1,0,5,[]
252,46,88,48,92,42,89,48,94,42,94,59,89,49,84,55,85,57,91,54,88,0,1,0,5,[]
253,41,92,35,90,37,91,43,94,40,93,59,89,48,81,50,82,56,92,56,92,0,1,0,5,[]
254,37,94,27,78,29,81,32,89,30,86,54,90,46,80,53,87,49,93,51,93,0,1,0,5,[]
255,36,92,28,67,26,71,31,88,24,81,52,88,59,74,51,94,52,94,51,93,0,1,0,6,[]
256,43,94,19,61,16,64,28,76,14,89,52,87,63,60,51,94,52,94,51,93,0,1,0,6,[]
257,40,93,17,50,7,57,31,64,3,94,95,4,66,62,59,90,61,94,62,88,0,1,0,6,[]
258,44,92,16,44,9,57,29,52,13,89,81,12,66,62,68,82,62,94,69,88,0,1,0,6,[]
259,49,89,21,47,9,47,23,46,18,82,71,25,93,5,73,70,93,4,69,88,0,1,0,6,[]
260,61,90,24,51,8,36,21,41,18,59,61,37,81,11,74,57,76,11,87,9,0,1,0,6,[]
261,69,91,31,56,8,37,23,51,21,47,50,45,66,20,74,61,61,11,75,19,0,1,0,6,[]
262,57,84,39,61,8,38,31,58,21,39,44,43,54,31,77,73,47,12,66,29,0,1,0,6,[]
263,49,81,39,59,8,39,39,58,22,42,45,52,41,36,82,80,39,16,57,39,0,1,0,6,[]
264,44,70,26,57,3,94,39,58,21,53,45,51,29,38,87,80,30,19,49,48,0,1,0,6,[]
265,43,69,26,58,6,91,37,60,30,56,45,46,34,38,84,80,22,13,42,46,0,1,0,6,[]
266,45,81,29,57,12,82,35,61,35,61,42,44,22,39,84,81,17,13,34,40,0,1,0,6,[]
267,52,85,32,53,22,73,30,58,32,61,45,51,23,39,84,81,18,24,42,46,0,1,0,6,[]
268,51,84,31,55,31,64,32,55,31,63,42,54,25,36,86,8,27,31,42,55,0,1,0,6,[]
269,52,88,31,60,30,64,35,59,2,96,45,53,18,45,70,16,19,36,45,54,0,1,0,6,[]
270,48,90,30,63,26,66,32,63,16,87,41,52,13,43,60,25,9,38,43,52,0,1,0,6,[]
271,48,90,33,64,13,65,33,64,25,76,41,45,19,44,49,34,9,38,39,43,0,1,0,6,[]
272,4,92,36,60,8,58,34,65,32,67,32,43,30,39,38,40,16,34,31,46,0,1,0,6,[]
273,17,81,33,62,11,61,39,64,43,68,32,45,32,50,42,47,27,37,31,51,0,1,0,6,[]
274,25,72,39,61,12,64,44,69,40,65,42,47,45,54,43,53,39,44,32,52,0,1,0,6,[]
275,34,68,45,64,7,56,46,73,38,65,44,51,41,56,41,54,42,47,32,53,0,1,0,6,[]
276,31,68,45,66,6,56,43,70,34,69,39,54,35,60,32,50,37,50,32,55,0,1,0,6,[]
277,30,68,43,69,7,58,31,71,32,72,39,54,35,61,30,48,31,47,32,52,0,1,0,6,[]
278,37,65,43,69,2,96,34,68,32,71,32,45,31,49,33,34,28,36,30,40,0,1,0,6,[]
279,37,62,38,61,10,82,39,62,37,65,30,33,32,35,35,37,29,32,27,35,0,1,0,6,[]
280,38,51,43,53,17,67,39,54,43,54,29,35,33,32,40,44,29,32,33,38,0,1,0,6,[]
281,39,49,45,48,18,54,46,51,46,45,34,39,35,38,35,38,33,38,34,39,0,1,0,6,[]
282,47,53,48,54,28,59,51,52,50,52,38,42,40,43,42,40,41,44,39,40,0,1,0,6,[]
283,49,58,51,59,40,58,50,59,57,57,50,48,53,53,50,47,48,50,48,52,0,1,0,6,[]
284,46,53,58,55,42,56,47,57,57,55,54,43,50,44,54,45,54,43,52,45,0,1,0,6,[]
285,50,50,58,55,45,55,46,50,57,55,45,39,35,37,48,41,57,39,47,41,0,1,0,6,[]
286,52,49,49,48,45,53,50,53,57,55,34,39,24,34,46,39,57,39,44,39,0,1,0,6,[]
287,55,49,50,52,51,51,51,52,57,54,40,44,36,41,49,42,95,4,42,41,0,1,0,6,[]
288,51,52,48,58,43,57,47,59,55,58,41,45,42,46,50,44,58,43,42,44,0,1,0,6,[]
289,48,57,45,57,35,60,39,64,50,59,32,35,32,38,43,47,47,41,34,39,0,1,0,6,[]
290,45,53,43,52,41,55,40,60,49,58,29,35,26,33,38,41,34,38,32,35,0,1,0,6,[]
291,43,53,41,52,42,58,40,60,48,58,29,35,33,38,39,44,30,34,33,38,0,1,0,6,[]
292,41,52,41,54,45,53,2,96,4,94,29,34,34,31,35,40,30,33,29,38,0,1,0,6,[]
293,41,42,43,43,44,42,45,52,16,82,32,32,33,33,34,39,31,33,35,39,0,1,0,6,[]
294,48,45,44,45,48,46,46,50,24,72,31,34,32,31,41,35,30,33,33,37,0,1,0,6,[]
295,43,44,40,42,46,40,41,45,32,63,30,33,33,32,40,31,30,32,35,37,0,1,0,6,[]
296,43,43,33,44,42,43,39,44,42,45,32,37,31,37,41,32,33,37,34,38,0,1,0,6,[]
297,46,50,31,53,42,52,40,50,42,51,32,41,32,43,39,39,35,39,33,43,0,1,0,6,[]
298,48,49,37,56,44,51,32,45,48,49,44,37,42,37,47,39,45,35,40,36,0,1,0,6,[]
299,51,49,46,50,53,47,42,44,52,47,55,32,52,34,52,36,51,28,53,33,0,1,0,6,[]
300,56,46,54,50,57,47,53,47,56,48,62,41,59,36,51,35,57,34,53,37,0,1,0,6,[]
301,52,52,56,54,56,49,54,54,56,49,56,45,54,49,47,37,56,45,52,46,0,1,0,6,[]
302,48,58,56,59,55,50,57,56,56,49,50,49,52,44,48,55,52,52,51,53,0,1,0,6,[]
303,50,60,63,62,55,50,55,66,56,49,41,58,50,42,43,54,43,55,45,54,0,1,0,6,[]
304,50,60,63,62,55,50,58,68,56,49,30,64,91,6,33,49,34,59,35,61,0,1,0,6,[]
305,50,60,9,92,55,50,58,68,56,49,30,60,74,21,19,50,22,55,28,60,0,1,0,6,[]
306,50,60,21,81,55,50,6,90,56,49,18,51,63,32,9,52,14,50,19,52,0,1,0,6,[]
307,50,60,22,74,55,50,8,74,56,49,10,56,51,46,9,62,8,60,11,54,0,1,0,6,[]
308,50,60,25,75,55,50,9,79,56,49,10,67,40,57,9,69,7,68,9,67,0,1,0,6,[]
309,50,60,24,73,55,50,12,76,8,84,6,70,29,67,5,72,6,69,6,72,0,1,0,7,[]
310,50,60,18,73,55,50,16,77,18,74,6,71,14,66,6,71,4,72,6,72,0,1,0,7,[]
311,50,60,19,62,13,85,14,75,16,74,7,56,11,55,6,57,6,58,8,56,0,1,0,7,[]
312,5,87,31,60,30,88,14,75,14,72,5,46,11,41,5,46,5,47,8,49,0,1,0,7,[]
313,9,71,45,66,43,90,16,69,19,73,94,6,18,33,93,7,93,6,92,6,0,1,0,7,[]
314,10,58,45,66,52,89,30,64,26,69,94,4,32,37,81,22,78,17,80,19,0,1,0,7,[]
315,9,49,46,69,47,92,42,57,36,62,84,21,43,47,70,32,67,28,73,29,0,1,0,7,[]
316,10,47,54,82,47,92,42,60,39,65,72,31,49,53,60,40,56,39,64,39,0,1,0,7,[]
317,18,45,54,83,52,90,38,62,46,67,61,42,48,54,50,49,51,49,56,47,0,1,0,7,[]
318,21,48,54,84,49,83,33,64,37,75,55,54,47,58,49,59,55,56,45,54,0,1,0,7,[]
319,18,51,46,80,38,75,29,68,37,76,55,65,39,61,53,65,67,66,37,57,0,1,0,7,[]
320,21,48,34,79,28,73,25,71,5,96,57,69,44,70,47,68,78,75,41,67,0,1,0,7,[]
321,18,55,22,85,26,77,25,76,20,86,51,77,42,78,38,66,76,87,46,79,0,1,0,7,[]
322,23,67,9,92,29,82,20,85,29,81,54,85,41,76,39,65,69,93,42,78,0,1,0,7,[]
323,29,79,11,92,30,86,8,93,30,88,52,89,46,80,45,67,61,90,50,80,0,1,0,7,[]
324,29,87,23,90,33,91,14,91,33,93,57,88,46,79,46,58,61,90,62,84,0,1,0,7,[]
325,29,80,31,82,28,79,24,80,29,84,55,88,44,80,49,68,58,90,75,87,0,1,0,7,[]
326,26,74,31,87,25,72,25,73,27,74,43,88,40,85,46,79,50,92,69,89,0,1,0,7,[]
327,26,81,30,87,26,76,24,80,27,79,36,90,35,92,33,78,37,90,55,91,0,1,0,7,[]
328,24,87,29,94,27,85,26,89,27,89,37,90,34,94,36,86,35,94,42,92,0,1,0,7,[]
329,23,89,29,96,25,88,26,93,26,93,36,91,32,91,35,87,33,90,33,90,0,1,0,7,[]
330,21,92,35,94,21,89,19,95,26,96,28,92,32,94,36,90,32,91,28,93,0,1,0,8,[]
331,11,94,35,94,16,92,19,95,26,95,28,95,26,92,29,95,26,89,29,90,0,1,0,8,[]
332,2,96,35,94,5,95,15,92,26,95,23,86,15,82,24,90,21,86,22,88,0,1,0,8,[]
333,10,86,35,94,11,82,9,91,26,95,21,85,17,79,17,88,19,86,18,87,0,1,0,8,[]
334,9,82,35,94,10,80,5,95,26,95,17,87,13,85,19,83,16,85,15,86,0,1,0,9,[]
335,20,90,35,94,13,88,13,92,26,95,21,91,16,89,21,88,20,90,18,90,0,1,0,9,[]
336,20,90,35,94,19,91,16,93,26,95,24,85,16,89,18,86,20,88,19,90,0,1,0,10,[]
337,20,90,35,94,19,91,19,96,26,95,14,90,16,89,17,93,18,90,18,92,0,1,0,10,[]
338,20,90,35,94,19,91,19,96,26,95,15,89,16,89,14,92,15,90,18,92,0,1,0,10,[]
339,20,90,35,94,19,91,19,96,26,95,15,89,16,89,14,92,15,90,18,92,0,1,0,10,[]
