,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,4,97,3,98,1,97,1,95,93,5,95,5,95,2,97,3,93,3,2500,0,2500,0,[]
2,3,94,4,95,5,95,5,96,4,96,92,4,93,5,93,6,93,6,93,5,2500,0,2500,0,[]
3,3,94,4,95,5,95,5,96,4,95,92,4,93,5,93,6,93,6,93,5,2500,0,2500,0,[]
4,18,77,13,74,22,81,27,93,24,84,69,8,72,13,73,11,83,27,73,16,2500,0,2500,0,[]
5,32,59,18,52,37,64,49,89,42,70,50,20,56,29,53,18,79,49,53,21,2500,0,2500,0,[]
6,34,41,24,35,47,52,69,81,51,65,41,32,41,29,41,31,76,67,41,32,2500,0,2500,0,[]
7,37,39,20,28,45,51,66,79,51,65,39,34,42,34,39,33,70,64,39,33,2500,0,2500,0,[]
8,33,47,22,31,46,51,59,72,50,65,39,34,45,37,39,33,65,56,40,33,2500,0,2500,0,[]
9,39,56,31,37,46,51,57,70,50,65,39,34,46,35,39,33,65,57,39,32,2500,0,2500,0,[]
10,41,66,34,39,43,48,57,70,51,66,39,34,41,37,39,33,64,57,39,32,2500,0,2500,0,[]
11,47,73,34,39,43,44,57,70,50,66,39,34,44,35,39,33,64,57,39,32,2500,0,2500,0,[]
12,56,74,35,38,42,45,57,70,50,67,39,34,40,31,41,32,64,57,46,34,2500,0,2500,0,[]
13,56,67,34,39,42,45,57,70,49,66,39,34,40,34,42,32,64,57,51,42,2500,0,2500,0,[]
14,47,67,31,52,46,57,57,70,50,66,35,24,32,23,37,26,64,57,61,51,2500,0,2500,0,[]
15,40,66,35,61,47,59,57,69,48,68,26,24,24,24,30,22,63,62,64,58,2500,0,2500,0,[]
16,32,59,43,69,47,54,57,72,51,76,21,30,23,35,39,28,69,66,69,66,2500,0,2500,0,[]
17,28,51,50,73,48,54,53,77,51,76,20,39,19,39,45,36,78,72,77,73,2500,0,2500,0,[]
18,18,48,50,73,49,52,59,77,58,76,22,43,23,44,50,45,81,81,84,81,2500,0,2500,0,[]
19,10,43,48,73,51,54,68,81,68,80,23,44,24,45,52,48,78,80,79,80,2500,0,2500,0,[]
20,9,32,46,72,49,49,76,87,76,87,23,34,23,43,54,45,82,81,83,81,2514,0,2521,0,[]
21,7,21,47,69,48,49,80,87,82,88,19,24,23,44,55,47,82,81,85,82,2649,0,2563,0,[]
22,11,13,56,64,49,52,80,87,81,82,16,18,23,44,52,48,82,79,84,83,2816,0,2755,0,[]
23,12,19,68,63,53,45,78,88,73,90,18,14,15,44,56,42,79,84,79,87,3288,0,2806,0,[]
24,12,19,76,72,52,47,71,94,69,90,14,15,15,42,61,39,76,91,77,90,3360,0,2927,0,"['1:57 DMOTwila(Ä§ÉßÖ®Óµ) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ),»ñµÃÒ»Ñª']"
25,14,20,84,82,54,50,78,86,78,86,15,15,17,45,95,4,85,86,84,84,3432,0,3077,0,[]
26,16,18,89,83,53,50,86,82,88,84,20,14,23,55,60,42,89,83,87,85,3969,0,3153,0,[]
27,18,16,85,83,53,49,85,87,85,89,85,83,24,56,55,43,90,81,81,89,4097,0,3236,0,['2:12 DMOXiaopeng(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË EDGiBoy(Ðé¿ÕÖ®Å®)']
28,87,76,88,76,54,53,75,87,74,86,89,73,22,53,57,41,93,7,71,85,4150,0,3375,0,[]
29,77,78,84,78,55,57,65,83,64,83,92,67,21,47,54,43,92,18,60,84,4236,0,3468,0,[]
30,65,77,87,78,54,62,55,84,51,83,92,67,23,36,52,44,92,29,49,83,4752,0,3533,0,[]
31,61,75,88,76,49,66,51,84,49,83,90,4,19,26,53,43,91,40,44,82,4806,0,3609,0,['2:34 DMOGALA(ÄæÓð) »÷É±ÁË EDGMeiko(Éîº£Ì©Ì¹)']
32,58,70,87,76,49,66,51,84,52,84,87,5,16,17,54,43,90,51,95,4,4874,0,3696,0,[]
33,47,68,87,74,3,96,4,96,3,96,76,6,12,20,55,42,90,62,93,14,4931,0,3810,0,[]
34,37,63,89,76,13,90,10,96,10,92,64,8,15,18,55,42,89,71,92,25,5036,0,3963,0,[]
35,30,55,85,83,21,82,21,94,19,87,53,9,24,13,54,43,88,70,92,35,5087,0,4094,0,[]
36,21,50,85,87,28,73,32,93,30,83,42,10,35,17,52,44,89,75,91,46,5138,0,4233,0,[]
37,16,40,81,88,35,65,42,92,38,76,30,12,42,17,52,45,92,71,90,57,5192,0,4389,0,[]
