,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,19,10,22,44,47,51,84,81,84,82,20,10,84,25,52,49,89,79,87,78,0,0,0,0,"['4:40 JDGZoom(»ÄÄ®ÍÀ·ò) »÷É±ÁË V5Windy(É³Ä®»ÊµÛ),»ñµÃÒ»Ñª']"
57,13,17,30,53,47,51,83,84,84,84,21,10,81,36,60,44,89,78,86,78,0,0,0,0,[]
58,14,17,37,59,45,52,82,82,82,82,21,10,80,47,61,42,90,78,86,78,0,0,0,0,[]
59,13,17,51,60,2,96,83,83,83,79,95,4,76,59,94,5,89,78,86,77,0,0,0,0,[]
60,9,17,62,61,6,90,85,82,80,75,26,9,73,66,85,15,89,80,87,74,0,0,0,0,[]
61,9,17,70,67,14,83,84,81,81,77,26,9,75,67,77,24,91,74,88,74,0,0,0,0,[]
62,2,96,74,65,15,82,79,75,75,67,26,8,79,64,78,36,88,69,84,66,0,0,0,0,[]
63,20,13,73,64,74,62,80,77,74,66,25,9,75,58,76,49,87,72,75,62,0,0,0,0,[]
64,20,14,72,64,74,65,79,74,73,63,25,8,77,59,74,60,82,66,77,65,0,0,0,0,[]
65,19,15,71,67,73,66,73,65,72,64,25,9,72,63,72,63,74,63,74,64,0,0,0,0,"['5:23 JDGFlawless(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷É±ÁË V5Max(À×öªÅØÏø)', '5:25 JDGimp(¸´³ðÖ®Ã¬) »÷É±ÁË V5Ben4(Ã¤É®)']"
66,19,23,68,69,69,65,70,66,69,65,26,10,72,63,73,69,66,66,74,64,0,0,0,0,"['5:27 V5Mole(µ¶·æÖ®Ó°) »÷É±ÁË JDGFlawless(µÂÂêÎ÷ÑÇ»Ê×Ó)', '5:30 JDGimp(¸´³ðÖ®Ã¬) »÷É±ÁË V5y4(Ê¥Ç¹ÓÎÏÀ)']"
67,15,17,68,69,80,66,77,70,74,68,23,10,95,4,81,64,66,66,93,6,0,0,0,0,[]
68,21,12,4,95,81,66,83,78,78,72,20,12,90,16,86,58,66,66,88,14,0,0,0,0,['5:38 JDGYagao(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË V5Mole(µ¶·æÖ®Ó°)']
69,23,9,16,90,75,63,86,78,74,67,24,7,84,26,86,58,94,12,80,22,0,0,0,0,[]
70,18,12,30,89,68,63,85,78,74,67,24,11,81,37,86,58,93,23,70,28,0,0,0,0,[]
71,20,19,44,88,58,59,87,78,2,96,29,8,81,48,90,6,92,34,62,34,0,0,0,0,[]
72,27,30,55,85,51,53,84,79,8,94,30,9,82,55,80,16,91,45,50,33,0,0,0,0,[]
73,23,28,54,83,51,50,80,83,11,95,27,8,83,55,71,27,90,56,40,29,0,0,0,0,[]
74,17,17,53,84,44,57,80,83,23,93,23,12,74,44,63,36,89,69,30,22,0,0,0,0,[]
75,17,9,53,84,44,57,8,95,35,92,22,12,72,42,56,44,90,74,23,21,0,0,0,0,[]
76,8,17,51,83,2,96,8,95,47,91,13,15,71,41,56,45,90,74,10,17,0,0,0,0,[]
77,7,23,47,74,6,88,18,94,59,90,11,20,65,38,47,50,90,73,9,20,0,0,0,0,[]
78,7,24,46,66,15,78,31,92,70,88,17,14,55,32,48,51,88,73,21,20,0,0,0,0,['6:26 V5Windy(É³Ä®»ÊµÛ) »÷É±ÁË JDGZoom(»ÄÄ®ÍÀ·ò)']
79,7,24,44,68,23,71,43,91,72,77,22,11,52,36,44,46,88,75,33,23,0,0,0,0,[]
80,7,24,46,72,32,65,55,90,79,75,20,12,52,34,42,43,87,79,41,30,0,0,0,0,[]
81,4,87,52,75,40,58,67,88,81,78,20,13,52,32,51,46,87,81,42,32,0,0,0,0,[]
82,5,74,53,76,46,58,78,85,86,85,17,12,52,29,54,50,89,79,95,4,0,0,0,0,[]
83,6,61,59,76,47,53,81,80,83,83,18,15,46,25,52,44,87,69,92,12,0,0,0,0,[]
84,6,48,72,75,47,55,81,86,79,88,18,15,46,24,50,48,89,79,92,25,0,0,0,0,[]
85,7,33,78,72,47,53,76,88,80,90,93,4,44,23,51,47,88,84,91,38,0,0,0,0,[]
86,8,25,76,67,46,53,76,87,78,87,85,4,42,17,52,47,85,83,89,50,0,0,0,0,[]
87,10,22,78,72,47,55,77,86,79,85,74,5,42,16,53,47,86,84,88,62,0,0,0,0,[]
88,10,22,79,74,52,62,86,81,88,83,63,6,40,15,62,51,90,79,88,74,0,0,0,0,[]
89,9,23,88,80,59,73,86,82,88,81,52,8,39,15,71,61,88,76,88,81,0,0,0,0,[]
90,9,22,80,78,59,71,80,83,80,83,41,9,39,15,69,61,88,69,87,81,0,0,0,0,['7:26 JDGimp(¸´³ðÖ®Ã¬) »÷É±ÁË V5Max(À×öªÅØÏø)']
91,9,22,73,67,53,62,74,87,79,84,30,11,39,15,65,57,87,67,87,81,0,0,0,0,[]
92,11,19,67,60,48,55,78,81,76,75,20,15,91,13,63,53,87,68,94,6,0,0,0,0,[]
93,10,19,76,57,50,52,80,80,75,64,18,15,82,25,56,45,87,69,87,17,0,0,0,0,[]
94,11,19,74,54,57,57,78,84,74,55,18,15,81,36,58,41,87,75,81,27,0,0,0,0,[]
95,13,19,74,56,57,57,81,83,74,55,17,14,80,47,59,46,86,76,80,39,0,0,0,0,[]
96,16,19,74,59,53,56,81,81,75,59,21,14,77,52,66,55,87,71,78,51,0,0,0,0,[]
97,21,20,73,72,50,52,80,82,75,70,24,13,75,57,66,55,91,79,76,62,0,0,0,0,[]
98,18,14,77,72,48,54,85,79,79,75,22,9,76,57,59,49,90,79,86,66,0,0,0,0,[]
99,17,10,78,72,49,58,86,82,83,81,22,10,82,66,52,47,90,75,87,72,0,0,0,0,[]
100,17,14,78,73,49,58,84,80,82,80,22,10,82,65,63,52,91,75,88,74,0,0,0,0,[]
101,13,18,78,73,9,95,88,82,83,79,21,12,81,57,65,57,91,74,89,74,0,0,0,0,[]
102,11,19,72,66,29,81,79,75,75,71,20,13,76,46,65,57,90,75,89,75,0,0,0,0,[]
103,10,20,69,66,42,70,75,63,76,62,18,14,66,39,85,13,88,74,88,73,0,0,0,0,[]
104,10,19,70,65,58,62,77,58,77,53,16,16,63,38,74,23,89,75,88,73,0,0,0,0,[]
105,10,21,65,71,65,63,69,67,75,57,16,17,53,41,64,32,90,77,87,74,0,0,0,0,[]
106,8,23,66,71,66,65,72,70,75,68,15,17,42,39,55,41,90,77,87,74,0,0,0,0,[]
