,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,23,11,47,35,37,56,85,78,89,77,88,72,27,7,63,22,44,55,91,72,0,0,0,0,[]
59,22,11,42,40,45,58,84,79,85,82,89,71,27,7,54,20,49,51,91,72,0,0,0,0,[]
60,15,13,45,42,54,54,85,87,83,79,90,70,26,8,45,16,48,47,89,73,0,0,0,0,[]
61,10,14,49,50,49,47,85,87,77,71,91,68,23,10,50,23,53,49,87,67,0,0,0,0,[]
62,10,14,49,58,47,54,2,96,82,80,91,68,17,16,52,34,56,47,87,67,0,0,0,0,[]
63,2,96,50,58,43,57,83,85,85,82,94,9,16,15,43,36,60,42,88,71,0,0,0,0,[]
64,8,26,3,96,2,96,88,84,87,84,93,21,14,18,34,41,56,43,88,73,0,0,0,0,[]
65,8,24,13,89,8,94,88,74,87,84,92,32,18,21,28,50,51,47,91,69,0,0,0,0,[]
66,6,24,25,89,13,90,83,78,8,95,91,43,15,21,23,55,48,48,90,67,0,0,0,0,[]
67,9,26,37,88,21,81,88,76,13,94,90,54,12,23,22,54,46,49,83,68,0,0,0,0,[]
68,6,26,47,88,28,73,86,80,22,88,88,65,11,22,19,48,48,49,79,70,0,0,0,0,[]
69,7,26,55,85,33,63,82,84,30,81,86,76,13,22,15,38,49,47,83,78,0,0,0,0,[]
70,7,27,57,84,39,56,78,85,40,76,81,81,11,25,14,34,50,44,89,81,0,0,0,0,[]
71,7,28,59,84,41,53,82,79,52,76,86,75,11,25,10,33,50,44,89,81,0,0,0,0,[]
72,5,33,69,80,46,53,82,78,63,77,88,72,7,30,5,33,95,4,94,6,0,0,0,0,[]
73,5,34,70,79,48,53,87,76,74,77,88,67,7,35,11,33,9,33,93,8,0,0,0,0,"['6:3 RWWeiYan(ÁÝ¶¬Ö®Å­) »÷É±ÁË OMGCurse(·ûÎÄ·¨Ê¦),»ñµÃÒ»Ñª']"
74,5,34,73,75,47,48,87,75,83,78,89,68,7,31,13,22,20,34,92,14,0,0,0,0,[]
75,5,34,69,68,50,44,86,77,83,78,87,70,7,29,21,14,35,36,92,25,0,0,0,0,[]
76,2,95,65,72,51,42,83,78,75,71,89,67,7,26,31,12,45,34,92,36,0,0,0,0,[]
77,5,84,66,71,56,46,74,72,67,69,91,67,7,20,42,19,53,37,90,48,0,0,0,0,[]
78,5,73,66,71,52,48,68,67,67,70,91,69,7,20,42,15,56,33,89,59,0,0,0,0,[]
79,7,62,66,71,52,50,67,67,66,69,87,72,94,5,45,15,56,42,88,69,0,0,0,0,[]
80,8,51,67,70,53,50,64,64,66,68,87,71,88,5,44,15,57,44,87,74,0,0,0,0,[]
81,8,39,65,64,54,49,70,68,69,65,85,80,75,6,47,16,58,43,84,65,0,0,0,0,['6:43 OMG »÷É±ÁËÍÁÁú']
82,10,28,58,57,57,56,76,76,77,73,90,76,64,7,47,25,57,44,87,72,0,0,0,0,[]
83,16,22,64,59,58,55,82,81,82,83,89,78,52,8,49,25,56,46,88,76,0,0,0,0,[]
84,10,22,65,52,58,55,81,80,88,82,90,73,41,10,52,21,51,48,89,74,0,0,0,0,[]
85,10,19,62,52,56,54,80,82,82,81,90,76,30,12,51,21,52,47,89,76,0,0,0,0,[]
86,14,19,51,52,52,48,81,82,77,74,89,81,20,12,51,21,51,52,85,77,0,0,0,0,[]
87,14,20,53,50,57,48,82,86,79,80,86,79,17,15,51,21,58,46,83,78,0,0,0,0,['7:15 OMGicon(É³Ä®»ÊµÛ) »÷É±ÁË RWHuaTian(ÌìÆôÕß)']
88,14,19,48,46,51,49,81,86,84,85,88,78,17,12,93,7,58,46,84,78,0,0,0,0,[]
89,15,20,42,34,53,45,85,86,83,85,86,78,18,12,85,18,58,46,85,78,0,0,0,0,[]
90,18,15,44,24,51,46,84,79,88,80,87,72,24,10,76,26,58,46,89,75,0,0,0,0,[]
91,22,13,40,23,51,44,84,80,87,81,88,72,28,8,67,35,58,46,90,74,0,0,0,0,[]
92,22,12,36,15,54,46,85,78,87,80,88,72,26,8,57,42,90,12,91,75,0,0,0,0,[]
93,24,13,36,14,44,51,86,77,88,77,87,69,33,11,57,45,82,19,92,73,0,0,0,0,[]
94,29,12,35,7,43,53,87,76,90,76,90,70,34,6,55,50,75,27,92,72,0,0,0,0,[]
95,39,9,45,7,2,96,84,80,87,78,90,72,48,9,58,58,67,35,92,71,0,0,0,0,[]
96,31,10,36,15,8,93,86,83,83,84,88,70,43,10,55,58,58,43,89,72,0,0,0,0,[]
97,33,10,43,14,18,89,81,82,74,78,87,74,47,6,51,66,52,51,89,76,0,0,0,0,[]
98,31,9,46,6,27,85,72,86,63,77,82,81,55,10,46,63,51,51,79,76,0,0,0,0,[]
99,33,10,46,6,35,77,65,79,56,68,81,83,57,10,46,70,54,58,75,77,0,0,0,0,[]
100,34,12,6,94,45,79,60,83,57,75,79,85,95,4,51,77,57,68,65,79,0,0,0,0,[]
101,29,11,22,85,48,75,62,87,55,81,78,84,89,5,55,76,57,69,60,75,0,0,0,0,[]
102,29,10,32,80,50,78,69,90,51,82,76,87,84,4,54,76,57,74,57,75,0,0,0,0,[]
103,26,10,41,76,50,77,71,91,50,83,76,87,72,5,58,75,57,72,63,76,0,0,0,0,[]
104,23,11,43,67,45,71,76,88,61,86,79,83,61,6,69,79,52,61,74,77,0,0,0,0,[]
105,21,14,33,61,40,62,78,88,71,88,82,84,50,7,70,80,50,54,78,82,0,0,0,0,[]
106,16,17,23,55,42,54,72,92,73,91,80,88,38,7,77,86,50,54,80,89,0,0,0,0,[]
107,16,17,17,46,41,53,72,86,72,87,81,80,25,8,76,72,60,57,87,85,0,0,0,0,[]
108,4,90,15,44,44,52,75,87,75,89,79,75,22,12,75,60,68,53,87,85,0,0,0,0,[]
109,5,83,18,46,44,52,76,87,75,88,83,81,13,19,75,54,73,50,88,84,0,0,0,0,[]
110,6,71,24,48,36,50,77,87,80,88,82,81,13,22,76,53,71,49,83,81,0,0,0,0,[]
111,6,59,24,48,28,50,76,87,80,91,81,83,19,24,82,56,59,48,85,87,0,0,0,0,[]
112,7,47,22,48,31,49,73,87,74,90,80,83,17,17,82,57,57,44,82,90,0,0,0,0,[]
113,8,35,22,48,41,52,74,87,74,90,80,78,11,13,77,56,54,48,84,88,0,0,0,0,[]
114,10,28,9,91,45,52,74,88,74,90,80,78,11,13,69,63,53,51,84,88,0,0,0,0,[]
115,16,35,28,88,44,53,77,88,83,89,94,10,16,9,65,64,51,52,91,7,0,0,0,0,[]
116,21,40,41,90,46,54,81,85,84,85,93,22,15,10,62,62,59,51,91,14,0,0,0,0,[]
117,13,34,52,88,46,52,84,84,83,86,92,33,15,10,62,62,59,51,88,25,0,0,0,0,[]
118,10,25,54,85,45,54,82,84,82,86,91,45,15,16,85,5,94,5,89,37,0,0,0,0,[]
119,9,23,54,84,40,44,80,86,2,96,91,56,15,13,73,7,86,14,89,49,0,0,0,0,[]
120,9,25,52,85,43,46,2,96,5,86,91,67,7,17,61,8,79,22,88,61,0,0,0,0,[]
121,14,36,47,76,47,50,3,89,12,77,89,72,8,18,49,10,69,31,87,73,0,0,0,0,[]
122,14,36,41,66,46,49,4,78,17,66,85,79,8,18,41,17,61,39,88,81,0,0,0,0,[]
123,3,96,31,58,42,45,5,67,18,54,85,80,9,18,40,17,55,47,83,79,0,0,0,0,[]
124,14,95,32,46,48,47,6,56,22,43,82,81,15,16,42,17,56,47,81,77,0,0,0,0,[]
125,26,94,31,34,48,50,7,45,22,32,77,72,25,13,30,18,56,47,75,69,0,0,0,0,[]
126,39,94,31,32,44,51,7,34,29,33,68,65,33,22,33,23,53,50,66,59,0,0,0,0,[]
127,51,93,25,35,45,49,9,27,31,39,64,53,40,30,40,32,52,49,60,50,0,0,0,0,[]
128,63,92,24,38,45,51,11,21,24,33,55,47,36,38,35,39,48,46,50,44,0,0,0,0,[]
129,70,91,22,43,38,51,14,19,17,23,46,41,40,36,32,32,42,39,40,38,0,0,0,0,[]
130,75,87,25,42,44,55,18,22,18,21,40,30,40,36,35,36,50,43,40,31,0,0,0,0,[]
131,78,76,21,38,46,55,23,31,22,28,35,21,95,9,32,32,48,48,35,23,0,0,0,0,[]
132,82,78,29,38,47,54,24,34,29,35,27,13,94,24,46,33,46,47,28,15,0,0,0,0,[]
133,89,73,34,38,47,53,31,30,34,27,25,10,92,37,51,36,51,47,28,15,0,0,0,0,[]
134,87,75,31,38,44,52,26,34,26,30,20,10,91,50,46,33,48,41,22,13,0,0,0,0,[]
135,87,70,33,43,38,49,19,25,21,23,19,11,91,63,37,26,41,32,27,16,0,0,0,0,[]
136,88,74,33,41,44,49,15,18,13,19,20,11,91,72,27,22,43,34,25,16,0,0,0,0,[]
137,82,77,30,39,43,46,11,19,11,21,19,16,93,66,16,23,49,44,22,14,0,0,0,0,[]
138,84,79,23,37,47,49,8,22,12,25,20,20,93,66,19,20,54,48,21,22,0,0,0,0,[]
139,85,78,19,31,44,49,13,20,14,20,23,23,93,68,27,22,52,46,27,21,0,0,0,0,[]
140,83,78,19,31,42,51,9,18,11,18,25,16,93,67,30,20,50,47,24,14,0,0,0,0,[]
141,75,72,19,29,40,50,10,18,12,18,18,15,90,70,36,25,50,47,25,15,0,0,0,0,[]
142,68,66,19,24,46,50,11,17,14,18,18,15,90,72,29,22,49,46,27,20,0,0,0,0,[]
143,58,60,19,33,42,46,14,21,19,24,19,15,90,70,25,29,42,39,27,22,0,0,0,0,[]
144,49,52,31,33,46,48,11,31,27,31,25,15,85,82,38,29,48,40,36,23,0,0,0,0,[]
145,40,44,29,35,46,46,20,36,26,31,22,13,77,87,48,31,54,47,26,16,0,0,0,0,[]
146,32,37,28,34,37,40,26,34,31,33,20,12,77,89,48,26,50,50,21,13,0,0,0,0,[]
147,31,41,30,33,31,38,26,34,28,32,19,14,71,92,42,26,45,40,23,14,0,0,0,0,[]
148,31,52,27,34,32,45,17,33,21,38,18,20,71,92,46,24,45,43,27,22,0,0,0,0,[]
149,36,63,16,42,40,51,8,32,12,34,19,26,71,92,45,23,49,49,19,24,0,0,0,0,[]
150,44,67,16,44,45,51,9,27,8,24,17,19,71,92,44,16,52,48,15,16,0,0,0,0,[]
151,51,66,16,43,45,51,10,20,13,21,16,14,77,88,33,11,53,44,12,12,0,0,0,0,[]
152,57,69,16,35,37,57,10,23,10,23,16,14,83,83,19,8,52,45,9,15,0,0,0,0,[]
153,63,78,4,96,37,57,9,26,10,25,12,17,81,80,15,9,43,53,8,16,0,0,0,0,[]
154,71,86,21,87,10,93,9,26,10,27,12,20,77,72,14,10,44,52,14,18,0,0,0,0,[]
155,70,88,36,89,18,85,8,28,9,29,12,22,67,64,7,18,45,53,14,18,0,0,0,0,[]
156,81,91,49,88,26,76,7,34,10,35,11,23,69,62,7,19,46,53,11,23,0,0,0,0,[]
157,84,86,61,89,33,66,7,34,10,35,12,20,70,63,7,19,47,53,15,18,0,0,0,0,[]
158,85,86,73,91,40,57,2,96,9,27,16,16,70,63,7,19,50,48,17,19,0,0,0,0,[]
159,84,80,84,89,42,56,8,30,10,25,15,16,81,66,6,19,49,43,16,18,0,0,0,0,[]
160,91,74,90,81,49,52,10,24,9,26,14,17,91,67,6,19,49,43,16,21,0,0,0,0,[]
161,89,76,84,78,49,52,9,26,11,26,15,21,91,70,6,19,93,6,15,21,0,0,0,0,[]
162,89,74,88,74,51,51,5,31,8,31,10,24,93,65,6,26,93,6,11,26,0,0,0,0,[]
163,89,77,90,75,56,47,8,37,9,38,8,35,93,72,8,38,9,28,11,34,0,0,0,0,[]
164,89,77,88,75,57,46,9,36,9,53,9,41,87,66,8,41,10,37,11,39,0,0,0,0,['13:37 RWZWuJi(Ðé¿ÕÖ®Å®) »÷É±ÁË OMGKane(Õ½ÕùÅ®Éñ)']
165,89,72,89,72,56,46,9,36,8,54,14,34,80,55,14,32,20,37,15,33,0,0,0,0,[]
166,89,68,91,68,56,45,9,36,2,96,9,36,71,49,8,22,33,37,12,35,0,0,0,0,[]
167,90,62,83,63,50,52,9,36,8,93,9,30,67,50,7,28,47,40,9,30,0,1,0,0,"['13:53 OMG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
168,89,61,83,59,50,53,9,36,17,86,8,28,77,50,7,28,51,46,8,27,0,1,0,0,[]
169,78,65,82,57,54,55,2,95,21,82,8,27,90,53,7,21,55,46,7,26,0,1,0,0,[]
170,75,57,76,52,66,56,4,82,28,73,9,22,88,42,7,19,56,44,7,19,0,1,0,1,['14:6 RWZWuJi(Ðé¿ÕÖ®Å®) »÷ÆÆÁË·ÀÓùËþ']
171,74,55,76,47,69,54,5,70,36,64,7,17,88,42,95,4,47,36,7,19,0,1,0,1,[]
172,74,60,77,53,64,57,5,58,46,57,7,17,93,4,92,6,49,35,92,5,0,1,0,1,[]
173,69,67,71,64,65,64,7,50,54,54,92,6,82,5,87,16,47,36,87,9,0,1,0,1,[]
174,68,69,66,70,64,68,10,42,63,60,90,6,71,7,77,24,49,42,79,21,0,1,0,1,[]
175,63,72,56,76,54,66,8,32,52,61,86,9,58,8,69,34,49,47,70,33,0,1,0,1,['14:31 OMG »÷É±ÁËË®Áú']
176,63,72,55,83,47,57,7,30,46,54,86,20,45,10,72,42,51,46,66,45,0,1,0,1,[]
177,3,96,54,84,45,52,9,21,46,53,88,32,32,10,66,48,57,44,66,50,0,1,0,1,[]
