,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
236,30,74,12,77,8,80,11,79,4,80,12,70,11,70,6,69,3,74,10,70,0,1,0,8,['19:37 TESKnight9(Äº¹âÐÇÁé) »÷É±ÁË LNGDuan(¹â»ÔÅ®ÀÉ)']
237,22,74,17,76,9,78,17,78,4,80,16,69,15,70,10,70,9,71,10,70,0,1,0,8,[]
238,19,74,20,70,12,74,17,75,4,80,14,64,16,64,11,68,11,65,16,64,0,1,0,8,[]
239,31,69,28,70,24,73,30,70,4,80,18,56,20,52,17,61,18,55,18,59,0,1,0,8,[]
240,38,65,37,65,22,75,26,72,4,80,27,52,31,47,26,51,21,41,26,51,0,1,0,8,[]
241,43,58,39,61,12,85,14,77,4,80,37,50,32,34,37,57,31,35,37,57,0,1,0,8,[]
242,39,62,41,58,12,78,8,85,12,83,34,40,33,31,34,49,32,31,34,49,0,1,0,8,[]
243,42,57,42,54,11,65,2,97,23,72,32,34,34,31,37,48,31,31,37,48,0,1,0,8,[]
244,40,52,42,52,7,55,11,83,33,61,32,34,34,30,32,47,30,32,32,47,0,1,0,8,[]
245,46,55,39,53,9,53,22,73,39,61,29,32,32,34,34,39,26,31,32,34,0,1,0,8,['20:21 TES »÷É±ÁË´óÁú']
246,48,57,39,65,7,53,32,66,47,69,32,30,95,4,95,4,26,31,95,4,0,1,0,8,[]
247,49,54,50,68,7,53,46,68,59,72,92,13,90,16,95,4,27,33,95,4,0,1,0,8,[]
248,50,59,60,73,13,94,58,70,69,79,88,31,89,31,74,90,82,8,74,90,0,1,0,8,[]
249,59,72,70,79,29,93,67,79,70,80,95,4,89,45,75,91,72,14,72,84,0,1,0,8,[]
250,70,79,71,83,42,91,70,79,66,84,87,17,88,57,73,89,76,89,72,83,0,1,0,8,['20:46 LNGAsura(¸´³ðÖ®Ã¬) »÷É±ÁË TESBen(Ä§·¨Ã¨ßä)']
251,66,82,62,84,52,89,68,82,61,85,68,33,87,70,72,92,75,91,72,83,0,1,0,8,[]
252,54,86,54,83,53,90,56,83,49,83,54,32,80,76,73,92,78,82,72,83,0,1,0,8,[]
253,54,86,55,83,49,90,44,79,47,79,52,26,70,79,73,91,72,77,72,83,0,1,0,8,[]
254,51,94,46,80,36,89,32,74,47,79,51,31,70,85,66,92,71,86,72,83,0,1,0,8,[]
255,40,94,36,76,25,85,19,71,14,91,47,37,63,88,61,93,65,92,72,83,0,1,0,8,[]
256,33,94,29,68,27,73,10,67,29,83,46,50,52,88,48,91,52,92,72,83,0,1,0,8,[]
257,33,94,31,66,27,69,9,70,31,84,39,53,40,90,40,89,42,92,87,16,0,1,0,8,[]
258,16,92,28,77,25,78,11,72,22,88,34,64,29,92,32,89,32,93,77,25,0,1,0,8,[]
259,17,95,26,87,23,88,18,82,23,90,25,74,34,92,33,94,33,94,69,33,0,1,0,9,['21:34 TES »÷ÆÆÁË·ÀÓùËþ']
260,15,88,22,94,17,89,17,91,19,92,20,84,26,89,31,95,27,95,62,42,0,1,0,9,[]
261,16,85,20,96,16,90,17,91,20,93,24,87,26,88,27,95,27,92,54,50,0,1,0,9,[]
262,14,84,16,92,14,86,16,91,16,90,26,87,25,91,23,94,27,87,45,57,0,1,0,9,[]
263,11,80,14,90,13,87,14,90,13,88,21,80,23,84,22,93,23,84,37,65,0,1,0,9,[]
264,10,76,23,95,16,92,16,92,17,89,27,76,22,89,24,94,24,88,27,76,0,1,0,9,['22:0 TESKnight9(Äº¹âÐÇÁé) »÷É±ÁË LNGSofM(Ã¤É®)']
265,7,81,23,95,8,95,9,91,9,92,17,87,15,91,19,95,20,93,17,87,0,1,0,9,[]
266,5,87,23,95,5,91,8,93,5,94,13,90,10,91,17,95,17,89,13,90,0,1,0,10,['22:9 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
267,1,97,23,95,2,97,5,96,2,97,10,92,12,92,6,89,13,90,12,92,0,1,0,10,[]
268,3,98,23,95,5,97,5,96,7,96,13,94,12,85,6,91,10,85,13,89,0,1,0,10,[]
269,1,97,23,95,7,93,3,93,5,97,12,93,12,89,9,93,7,85,9,93,0,1,0,11,['22:21 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
270,5,93,23,95,6,94,4,89,4,96,13,91,12,90,6,97,7,88,13,91,0,1,0,11,"['22:27 LNGAsura(¸´³ðÖ®Ã¬) »÷É±ÁË TESKnight9(Äº¹âÐÇÁé)', '22:27 TES369(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË LNGPlex(É³Ä®»ÊµÛ)']"
271,5,93,,0,,0,,0,4,96,13,91,12,90,6,97,,0,13,91,0,1,0,11,[]
272,5,93,,0,,0,,0,4,96,13,91,12,90,6,97,,0,13,91,0,1,0,11,['22:40 TES »ñÊ¤']
