,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,16,18,14,44,39,59,75,87,74,88,18,10,78,56,46,54,82,86,82,86,0,0,0,0,[]
59,17,17,15,43,39,59,73,91,71,91,20,11,69,62,55,57,80,76,80,76,0,0,0,0,[]
60,19,14,16,45,39,59,71,94,70,91,25,9,57,64,51,53,79,75,75,71,0,0,0,0,[]
61,22,12,24,55,44,51,74,89,72,89,24,7,53,66,53,51,95,4,94,6,0,0,0,0,[]
62,17,16,25,58,43,53,73,88,68,88,21,13,56,67,51,52,95,4,93,5,0,0,0,0,[]
63,19,16,28,59,41,56,66,89,68,88,21,10,56,67,49,53,82,86,82,86,0,0,0,0,[]
64,20,14,34,62,42,54,66,89,5,95,24,11,58,63,50,52,78,87,75,88,0,0,0,0,[]
65,18,14,43,68,41,54,68,91,16,94,24,13,69,64,52,55,76,87,73,84,0,0,0,0,[]
66,21,14,44,67,41,55,68,91,27,94,28,12,69,67,50,55,75,87,75,87,0,0,0,0,[]
67,22,13,44,67,41,55,72,89,38,92,26,11,67,68,49,52,76,77,76,77,0,0,0,0,[]
68,14,18,46,67,42,57,76,88,48,90,21,14,67,68,50,51,72,69,68,67,0,0,0,0,[]
69,16,18,57,68,41,55,77,86,57,85,23,13,68,68,48,52,69,68,66,68,0,0,0,0,[]
70,16,18,65,73,40,57,79,87,68,82,19,12,65,71,49,55,67,72,66,71,0,0,0,0,['5:47 TES »÷É±ÁË»ðÁú']
71,16,18,67,78,40,56,80,89,71,82,19,12,70,67,46,56,71,67,70,68,0,0,0,0,[]
72,19,11,67,82,44,54,74,90,74,86,23,10,77,72,49,49,79,75,79,75,0,0,0,0,[]
73,18,12,67,82,43,57,74,90,68,80,24,10,78,73,46,50,87,75,87,75,0,0,0,0,[]
74,18,12,4,94,44,56,5,96,60,73,23,9,70,66,48,48,86,76,86,76,0,0,0,0,[]
75,16,12,10,84,44,56,10,96,57,69,22,12,67,61,47,50,86,76,86,76,0,0,0,0,[]
76,20,9,18,76,39,58,21,95,57,69,26,10,64,59,52,49,86,76,86,76,0,0,0,0,[]
77,18,11,26,68,41,59,31,94,59,76,28,9,68,51,56,55,87,74,89,80,0,0,0,0,[]
78,19,24,32,59,45,54,42,93,68,84,29,8,72,43,53,56,87,74,87,74,0,0,0,0,[]
79,19,24,31,46,41,52,53,91,73,85,95,4,73,43,48,53,85,78,85,78,0,0,0,0,[]
80,3,93,39,40,40,55,63,89,73,86,95,4,62,37,50,52,89,79,89,79,0,0,0,0,[]
81,5,78,34,37,42,55,74,87,76,87,18,15,53,33,50,49,84,79,84,79,0,0,0,0,[]
82,6,67,35,42,38,58,80,84,79,85,17,17,51,35,43,44,84,78,84,78,0,0,0,0,[]
83,6,53,40,45,40,59,81,84,78,84,20,25,42,38,41,44,84,78,84,78,0,0,0,0,[]
84,7,42,42,47,38,56,84,80,83,79,24,33,41,45,44,50,89,77,89,77,0,0,0,0,"['6:58 TESKnight9(Äº¹âÐÇÁé) »÷É±ÁË LNGSofM(Ã¤É®),»ñµÃÒ»Ñª']"
85,7,30,42,47,40,58,87,78,86,79,22,31,31,46,44,49,89,72,89,72,0,0,0,0,[]
86,10,25,42,47,43,57,84,82,84,83,19,23,22,50,45,51,88,78,88,78,0,0,0,0,[]
87,8,24,5,91,40,60,84,83,85,84,14,19,26,47,45,52,87,77,87,77,0,0,0,0,[]
88,9,24,10,81,39,59,82,82,84,84,12,17,26,47,38,50,87,76,87,76,0,0,0,0,[]
89,9,24,15,71,40,60,84,81,83,82,14,19,24,41,36,49,88,76,88,76,0,0,0,0,[]
90,9,21,17,60,38,61,81,79,79,76,15,18,25,35,45,51,89,74,89,74,0,0,0,0,[]
91,9,20,19,49,37,61,77,76,78,74,13,18,25,35,46,58,90,75,90,75,0,0,0,0,[]
92,10,21,17,46,36,57,84,83,82,82,18,15,93,8,47,52,88,76,88,76,0,0,0,0,[]
93,10,19,18,46,38,58,84,81,83,82,18,16,92,10,43,51,88,77,88,79,0,0,0,0,[]
94,10,19,22,53,34,60,84,83,83,83,18,16,86,21,42,54,86,76,88,78,0,0,0,0,[]
95,10,24,24,56,32,62,88,79,85,81,17,21,81,32,41,52,90,76,90,76,0,0,0,0,[]
96,7,30,25,58,2,96,87,75,86,77,22,30,80,44,47,45,91,72,91,72,0,0,0,0,[]
97,10,24,32,59,4,92,87,76,87,76,22,30,75,53,45,53,91,72,91,72,0,0,0,0,[]
98,12,21,41,57,16,80,84,83,83,81,20,24,76,54,51,50,88,75,88,75,0,0,0,0,[]
99,10,21,42,55,24,72,82,84,80,83,17,20,76,57,51,50,86,77,86,77,0,0,0,0,[]
100,9,20,44,57,33,64,80,86,79,84,16,19,79,66,95,4,84,78,84,78,0,0,0,0,[]
101,11,22,47,64,42,56,76,92,76,88,16,17,78,80,88,15,78,85,79,86,0,0,0,0,[]
102,11,20,49,66,46,52,71,89,66,88,18,18,77,72,79,24,82,84,79,79,0,0,0,0,[]
103,8,24,48,65,49,53,71,90,70,88,12,21,73,71,69,32,78,87,75,78,0,0,0,0,[]
104,9,21,47,73,46,51,75,91,72,88,15,17,69,79,60,41,81,86,71,78,0,0,0,0,[]
105,16,17,51,75,47,53,75,88,74,89,20,12,59,74,55,46,79,84,70,78,0,0,0,0,[]
106,17,17,46,72,51,64,74,92,69,90,18,14,67,78,58,44,78,83,77,80,0,0,0,0,[]
107,19,13,48,79,47,67,70,90,68,90,21,11,71,70,59,46,79,75,75,72,0,0,0,0,[]
108,14,17,55,82,40,62,71,89,69,90,19,15,71,64,50,47,79,75,79,75,0,0,0,0,[]
109,16,14,54,83,43,55,69,91,67,89,15,14,74,61,48,48,94,7,95,4,0,0,0,0,"['9:4 TES369(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)', '9:4 LNGFlandre(¿ñ±©Ö®ÐÄ) »÷É±ÁË TES369(Ó¢ÓÂÍ¶µ¯ÊÖ)']"
110,16,14,55,84,39,59,69,91,67,89,15,14,82,57,43,48,93,14,93,14,0,0,0,0,[]
111,16,14,54,83,38,56,4,96,6,96,15,14,83,57,47,49,92,25,92,25,0,0,0,0,[]
112,16,14,55,84,42,58,9,95,14,92,15,14,79,52,59,49,91,37,91,36,0,0,0,0,[]
113,16,14,55,84,43,56,19,94,18,83,15,14,73,43,59,49,90,48,90,47,0,0,0,0,[]
114,16,14,7,88,44,53,30,93,23,73,15,14,74,43,55,48,89,59,89,59,0,0,0,0,[]
115,6,86,12,78,44,51,41,91,30,63,92,9,63,37,58,47,87,70,87,70,0,0,0,0,[]
