,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,18,31,29,60,42,54,82,83,83,84,13,21,95,5,54,48,89,81,86,79,6826,0,6945,0,[]
56,10,30,30,60,44,56,82,85,81,83,10,22,89,16,49,50,87,82,85,78,7087,0,7075,0,[]
57,9,29,36,63,44,55,84,85,84,85,10,24,83,27,51,49,88,80,86,78,7187,0,7159,0,[]
58,9,28,36,63,45,55,83,85,84,86,15,22,81,39,47,50,88,79,85,78,7432,0,7252,0,[]
59,6,28,36,63,44,56,84,84,85,84,15,22,77,49,51,50,88,81,86,78,7582,0,7325,0,[]
60,8,26,36,63,44,56,85,83,83,85,88,4,75,63,51,48,89,76,87,74,7731,0,7376,0,[]
61,12,20,15,93,45,54,79,77,79,81,79,5,79,56,52,48,91,77,87,74,7807,0,7452,0,[]
62,16,17,24,86,45,52,86,80,87,78,65,6,82,57,53,47,92,75,87,72,7969,0,7523,0,[]
63,17,14,32,79,47,55,86,80,86,79,54,7,81,56,54,46,91,76,87,73,8146,0,7744,0,[]
64,13,19,41,71,56,61,87,83,84,81,43,8,78,49,50,49,93,71,91,71,8218,0,7935,0,[]
65,8,19,47,65,52,55,87,84,84,84,31,8,76,44,48,43,92,72,87,71,8268,0,8062,0,[]
66,8,19,50,65,50,51,3,96,2,96,26,8,76,45,47,41,92,73,87,73,8353,0,8254,0,[]
67,4,91,49,66,48,52,11,95,13,94,24,9,74,48,95,4,90,74,85,77,8486,0,8387,0,[]
68,5,82,57,64,47,51,21,94,23,88,18,14,66,54,95,4,82,81,83,82,8599,0,8604,0,[]
69,8,68,65,57,42,56,32,93,31,81,17,13,64,57,51,52,82,81,79,79,8650,0,8746,0,[]
70,8,56,58,70,38,60,43,92,40,76,15,14,61,62,56,61,82,81,73,71,8701,0,8936,0,[]
71,8,42,55,64,38,60,53,91,53,76,17,19,65,58,52,52,85,78,76,62,8766,0,9085,0,[]
72,8,31,57,71,4,96,64,91,64,77,24,31,66,54,49,51,85,78,77,62,8858,0,9170,0,[]
73,7,26,57,83,5,95,69,90,71,87,29,38,66,60,49,52,94,6,77,62,9087,0,9291,0,[]
74,9,24,59,83,40,56,73,90,75,89,20,39,61,50,46,44,93,12,92,10,9277,0,9342,0,[]
75,12,22,59,83,40,57,76,88,78,87,19,25,50,43,36,39,92,23,94,23,9446,0,9388,0,[]
76,8,24,62,83,41,55,77,89,79,84,11,22,39,38,27,32,92,34,92,34,9653,0,9510,0,[]
77,9,25,68,81,49,59,77,79,74,76,11,22,30,34,21,28,91,46,89,47,9726,0,9573,0,[]
78,11,23,73,71,58,62,72,70,70,66,12,23,42,36,31,34,91,58,88,59,9792,0,9646,0,[]
79,7,25,68,65,51,54,69,68,67,67,9,22,50,35,39,40,90,68,88,70,9921,0,9733,0,[]
80,13,19,73,71,49,54,77,74,75,70,13,14,51,34,48,45,88,74,87,75,10066,0,9811,0,[]
81,13,21,69,78,48,54,83,82,82,79,16,18,47,35,50,48,90,77,88,78,10179,0,10059,0,[]
82,11,23,58,76,45,53,86,83,86,83,14,16,47,27,49,48,91,77,86,76,10346,0,10177,0,[]
83,8,28,52,76,46,53,86,82,84,82,13,18,45,23,44,43,91,78,86,76,10446,0,10242,0,[]
84,8,27,53,76,46,55,87,82,87,82,12,19,42,24,50,49,91,77,87,77,10546,0,10407,0,[]
85,8,31,55,75,47,54,87,81,87,80,10,23,41,22,49,48,91,76,86,74,10876,0,10527,0,[]
86,8,29,56,65,51,51,88,80,85,79,11,22,41,17,50,46,90,76,87,72,10941,0,10756,0,[]
87,7,30,63,58,53,51,88,79,85,79,10,24,40,16,55,43,90,73,88,72,11080,0,10955,0,[]
88,7,31,67,53,50,52,84,78,77,73,9,25,39,16,53,44,90,70,90,69,11220,0,11122,0,[]
89,6,27,66,64,40,51,77,73,68,68,5,28,32,17,50,48,89,71,90,70,11285,0,11485,0,[]
