,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGTeeen, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,12,23,25,38,46,50,78,90,78,89,15,14,57,66,54,47,83,85,79,83,7390,0,6618,0,[]
55,11,24,38,37,46,50,78,90,78,89,13,16,57,76,53,51,83,88,79,84,7470,0,6858,0,[]
56,12,22,49,34,46,52,78,89,76,88,17,13,58,83,53,49,83,84,80,83,7622,0,7025,0,[]
57,13,22,52,34,44,54,75,90,76,89,16,12,62,83,53,53,81,89,77,86,7827,0,7116,0,[]
58,15,16,52,30,43,55,73,90,73,88,22,8,67,84,54,63,76,88,77,86,8032,0,7212,0,[]
59,11,25,44,21,39,58,66,92,65,91,17,15,63,83,55,63,79,87,79,84,8109,0,7330,0,[]
60,11,25,41,17,39,58,62,94,61,92,15,14,60,85,95,4,73,87,73,86,8182,0,7381,0,[]
61,11,26,42,17,2,96,52,94,62,93,13,11,62,84,90,6,71,88,71,91,8257,0,7436,0,[]
62,8,20,42,17,2,96,52,94,70,92,14,13,68,81,53,49,74,88,74,90,8398,0,7626,0,[]
63,9,24,9,93,45,55,2,96,69,92,15,15,60,73,51,51,73,88,69,84,8470,0,7733,0,[]
64,8,25,19,87,45,57,70,90,74,87,14,16,55,67,55,58,78,84,70,78,8633,0,7810,0,[]
65,11,26,29,81,46,58,72,88,74,89,14,15,51,65,53,58,78,73,71,69,8768,0,7870,0,[]
66,12,24,38,74,48,59,77,79,78,80,15,14,51,65,51,52,82,66,69,67,8832,0,7946,0,[]
67,10,21,47,67,53,63,83,79,78,73,14,11,54,62,50,52,82,66,63,64,8958,0,7997,0,[]
68,10,22,48,66,51,62,81,82,82,78,12,15,61,58,51,53,94,9,60,60,9130,0,8113,0,[]
69,10,23,46,64,46,54,84,80,84,81,14,20,68,50,50,48,93,18,69,63,9414,0,8232,0,[]
70,8,24,48,66,48,51,81,79,86,84,12,21,72,43,46,41,92,29,80,65,9688,0,8362,0,[]
71,10,25,57,69,52,52,79,74,87,85,14,18,74,44,40,31,91,40,88,73,9773,0,8417,0,[]
72,14,20,55,64,54,49,81,82,3,96,14,16,76,46,47,39,91,51,88,76,9870,0,8535,0,[]
73,10,23,58,62,52,50,80,76,17,94,14,17,76,56,54,45,90,62,89,73,10029,0,8657,0,[]
74,10,21,48,58,45,54,82,78,28,93,17,14,71,63,52,47,89,72,87,66,10094,0,8893,0,[]
75,13,22,36,59,40,51,84,80,39,92,17,14,69,62,57,47,90,74,87,66,10166,0,8978,0,[]
76,14,19,27,59,49,51,84,79,50,91,17,14,77,56,57,47,90,74,93,7,10254,0,9066,0,[]
77,15,18,28,58,49,51,85,81,61,88,17,11,82,56,54,46,90,73,92,11,10436,0,9135,0,[]
78,14,19,30,54,48,50,85,80,68,82,16,14,82,55,54,47,89,72,87,21,10521,0,9299,0,[]
79,13,22,33,43,46,50,85,78,77,77,19,10,81,55,54,46,89,73,81,31,10670,0,9383,0,[]
80,14,21,32,35,49,52,84,80,80,75,16,10,81,55,53,47,89,75,80,43,10771,0,9483,0,[]
81,14,21,30,35,45,45,82,81,80,76,18,12,87,6,55,45,86,76,80,54,10863,0,9554,0,[]
82,15,20,30,35,41,39,82,82,80,76,22,12,73,11,58,43,87,76,85,64,10980,0,9672,0,[]
83,17,17,26,34,48,48,83,82,81,80,19,12,60,10,55,43,88,73,89,75,11178,0,9765,0,[]
84,17,15,26,24,49,51,84,79,83,78,27,11,49,11,53,47,89,74,89,75,11292,0,9858,0,[]
85,20,13,31,21,50,52,74,76,75,71,34,12,43,19,52,47,86,82,84,80,11415,0,9976,0,[]
86,22,13,28,33,49,50,72,82,70,78,26,8,43,16,53,47,86,77,87,81,11598,0,10069,0,[]
87,21,14,21,44,42,51,78,84,76,87,26,7,47,16,56,43,87,76,87,85,11694,0,10193,0,[]
88,21,12,17,44,41,51,77,86,78,86,25,8,46,16,57,43,79,83,79,85,11916,0,10377,0,[]
