,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
239,58,90,18,82,32,60,46,52,46,52,62,63,65,65,44,36,53,44,59,63,0,0,0,4,[]
240,53,86,25,72,25,57,40,57,40,57,55,66,61,62,44,48,47,53,51,56,0,0,0,4,[]
241,43,78,36,67,21,53,35,65,35,65,60,74,66,68,53,55,58,60,60,63,0,0,0,4,[]
242,43,68,40,65,10,45,36,63,36,63,71,83,66,69,64,63,68,68,67,66,0,0,0,4,[]
243,43,68,31,57,7,39,35,63,31,57,81,84,67,63,62,61,63,63,64,64,0,0,0,4,['20:13 TES »÷É±ÁË»ðÁú']
244,2,96,21,50,9,40,37,60,21,50,74,73,74,52,51,53,53,54,54,55,0,0,0,4,[]
245,21,95,15,44,9,40,35,62,23,41,62,62,77,51,45,56,48,54,47,50,0,0,0,4,[]
246,37,94,19,48,5,94,38,60,24,39,51,53,68,49,45,46,46,46,43,46,0,0,0,4,[]
247,50,92,31,49,14,80,33,62,20,49,41,44,52,47,34,38,35,38,32,38,0,0,0,4,[]
248,48,82,33,46,24,70,33,62,33,46,32,36,40,41,24,33,34,36,27,35,0,0,0,4,[]
249,45,72,32,50,32,60,4,96,32,50,35,40,35,39,17,22,42,38,33,38,0,0,0,4,[]
250,39,61,32,50,31,51,13,81,32,50,46,46,41,44,15,19,50,47,38,41,0,0,0,4,[]
251,36,60,32,52,31,53,24,72,32,52,43,54,36,42,11,30,45,50,44,51,0,0,0,4,[]
252,36,59,32,52,24,56,34,64,32,52,35,48,34,37,10,32,40,51,33,44,0,0,0,4,[]
253,36,59,30,53,20,51,31,58,30,54,32,43,32,33,19,34,38,42,31,44,0,0,0,4,[]
254,39,55,29,53,8,45,31,55,31,56,27,35,33,31,17,35,34,31,32,35,0,0,0,4,[]
255,35,47,31,46,21,50,33,49,32,46,32,31,34,30,20,34,32,31,32,34,0,0,0,4,[]
256,29,39,38,37,32,47,32,42,29,39,32,31,34,31,20,35,29,32,34,33,0,0,0,4,[]
257,28,38,39,44,32,44,42,46,32,44,32,42,31,36,34,42,30,39,31,42,0,0,0,4,['21:22 TES369(»ÄÄ®ÍÀ·ò) »÷É±ÁË IGTheShy(ÀëÈºÖ®´Ì)']
258,28,38,42,45,30,39,44,48,38,48,38,44,39,40,44,46,34,39,35,48,0,0,0,4,['21:27 TESLokeN(¸´³ðÖ®Ã¬) »÷É±ÁË IGForge(µ¶·æÎèÕß)']
259,28,38,52,55,30,39,41,60,40,52,46,50,47,51,45,50,40,53,39,53,0,0,0,4,['21:34 TESLokeN(¸´³ðÖ®Ã¬) »÷É±ÁË IGBaolan(Ä§·¨Ã¨ßä)']
260,28,38,55,65,30,39,39,64,40,52,42,56,38,43,37,50,31,58,39,53,0,0,0,4,['21:37 TESLokeN(¸´³ðÖ®Ã¬) »÷É±ÁË IGJackeyLove(Õ½ÕùÅ®Éñ)']
261,28,38,54,76,30,39,39,64,40,52,34,64,33,37,31,39,31,51,32,41,0,0,0,4,[]
262,28,38,56,82,30,39,39,64,40,52,31,67,33,31,30,31,32,39,33,33,0,0,0,4,[]
263,28,38,57,84,30,39,39,64,40,52,33,65,35,30,31,32,32,31,31,32,0,0,0,4,[]
264,28,38,58,84,30,39,39,64,40,52,33,66,34,31,31,31,29,33,32,32,0,0,0,4,[]
265,11,91,53,84,30,39,39,64,40,52,37,59,34,31,29,34,29,32,35,31,0,0,0,5,"['22:1 TES369(»ÄÄ®ÍÀ·ò) »÷ÆÆÁË·ÀÓùËþ', '22:3 TES »÷É±ÁË´óÁú']"
266,23,79,47,73,2,96,39,64,12,90,94,6,39,26,42,36,92,4,95,4,0,0,0,5,[]
267,27,73,47,65,5,78,5,96,22,80,93,7,48,19,52,36,80,15,88,15,0,0,0,5,[]
268,32,74,44,68,6,64,23,95,29,73,92,10,41,16,53,34,70,27,73,27,0,0,0,5,[]
269,35,65,42,69,9,56,36,94,40,76,84,22,43,16,93,5,67,39,62,39,0,0,0,5,[]
270,41,60,42,69,18,48,49,93,47,78,80,34,42,15,80,18,62,41,57,45,0,0,0,5,[]
271,45,54,12,89,22,44,62,92,40,74,68,41,89,14,69,28,50,48,51,50,0,0,0,5,[]
272,37,62,23,78,23,56,70,90,40,66,57,47,77,26,60,39,46,51,50,52,0,0,0,5,[]
273,33,65,33,74,23,55,63,93,36,76,48,55,67,35,51,48,41,57,47,56,0,0,0,5,[]
274,29,70,38,76,19,61,50,92,31,72,54,65,58,44,40,57,37,60,40,65,0,0,0,5,[]
275,30,79,38,76,21,72,37,89,30,79,67,68,56,57,41,66,39,63,43,67,0,0,0,5,[]
276,25,77,36,77,25,76,30,79,25,77,78,75,61,62,35,65,42,68,46,74,0,0,0,5,[]
277,32,80,36,76,30,79,27,71,27,71,87,78,57,73,34,61,40,62,52,76,0,0,0,5,[]
278,33,78,37,76,36,76,27,70,27,70,83,84,46,79,35,61,39,65,45,79,0,0,0,5,[]
279,28,77,34,80,30,80,24,72,24,72,72,88,42,78,32,67,40,71,41,77,0,0,0,5,[]
280,28,81,30,81,29,79,12,68,12,68,59,90,41,77,36,62,40,73,40,75,0,0,0,5,[]
281,22,75,28,79,29,81,9,54,9,54,52,91,48,81,38,60,47,76,42,78,0,0,0,5,[]
282,25,75,19,87,27,81,6,61,6,61,46,91,48,89,36,63,49,90,39,76,0,0,0,5,[]
283,24,80,8,93,26,81,6,61,6,61,40,89,40,88,35,67,38,92,38,88,0,0,0,6,['23:34 TESLokeN(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
284,23,74,16,94,25,87,6,96,6,96,32,89,33,89,28,73,32,92,34,87,0,0,0,6,[]
285,23,75,23,93,25,88,21,92,21,92,27,90,29,90,28,71,31,93,31,89,0,0,0,7,['23:45 TESXx(¾ÆÍ°) »÷ÆÆÁË·ÀÓùËþ']
286,26,89,23,87,22,88,19,91,22,88,23,86,25,84,24,79,27,93,28,88,0,0,0,7,"['23:48 TESBen(¹â»ÔÅ®ÀÉ) »÷É±ÁË IGForge(µ¶·æÎèÕß)', '23:48 TESXx(¾ÆÍ°) »÷É±ÁË IGBaolan(Ä§·¨Ã¨ßä)']"
287,27,90,22,87,22,88,16,91,22,88,25,92,18,92,25,90,28,92,27,93,0,0,0,7,"['23:51 TES369(»ÄÄ®ÍÀ·ò) »÷É±ÁË IGNing(µÂ°î×Ü¹Ü)', '23:54 TESXx(¾ÆÍ°) »÷É±ÁË IGJackeyLove(Õ½ÕùÅ®Éñ)', '23:55 TESKnight9(ÐÉºìÊÕ¸îÕß) »÷É±ÁË IGTheShy(ÀëÈºÖ®´Ì)']"
288,27,90,22,87,22,88,16,91,22,88,21,88,20,87,19,92,20,86,19,92,0,0,0,7,[]
289,27,90,22,87,22,88,16,91,22,88,13,85,11,85,12,88,10,85,13,88,0,0,0,8,['24:4 TESKnight9(ÐÉºìÊÕ¸îÕß) »÷ÆÆÁË·ÀÓùËþ']
290,27,90,22,87,22,88,16,91,22,88,8,87,10,85,13,91,10,93,12,90,0,0,0,9,['24:7 TESXx(¾ÆÍ°) »÷ÆÆÁË·ÀÓùËþ']
291,27,90,22,87,22,88,16,91,22,88,12,87,8,87,13,88,5,88,9,92,0,0,0,9,[]
292,27,90,22,87,22,88,16,91,22,88,12,87,8,87,13,88,6,89,9,92,0,0,0,9,[]
293,27,90,22,87,22,88,16,91,22,88,12,87,8,87,13,88,6,89,9,92,0,0,0,9,['24:25 TES »ñÊ¤']
