,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,8,25,17,49,25,66,60,83,60,86,22,42,22,44,54,43,81,88,81,90,0,0,0,0,['4:36 TES369(»ÄÄ®ÍÀ·ò) »÷É±ÁË IGNing(µÂ°î×Ü¹Ü)']
57,9,21,17,49,35,61,64,88,63,87,22,32,30,37,54,44,80,84,79,90,0,0,0,0,[]
58,11,22,4,94,45,54,70,90,70,89,16,22,41,34,53,45,79,80,80,90,0,0,0,0,[]
59,12,23,8,87,47,53,72,92,71,89,13,18,42,18,53,47,79,80,95,5,0,0,0,0,[]
60,8,24,13,76,45,53,71,90,70,89,9,22,43,16,50,50,93,8,92,16,0,0,0,0,[]
61,8,26,17,66,45,53,74,90,71,88,10,22,42,15,50,50,92,14,91,28,0,0,0,0,[]
62,8,25,18,54,45,52,80,88,77,86,11,20,43,16,48,49,92,25,90,39,0,0,0,0,[]
63,11,23,14,43,49,52,82,90,80,80,11,18,44,14,50,49,91,36,89,51,0,0,0,0,[]
64,9,25,15,42,49,52,82,90,85,88,18,15,49,20,50,51,90,46,88,62,0,0,0,0,[]
65,9,25,18,47,48,51,78,87,83,89,24,15,52,32,54,45,89,57,87,74,0,0,0,0,[]
66,7,26,26,57,47,51,78,90,82,90,24,15,51,35,53,46,87,68,88,83,0,0,0,0,[]
67,8,24,27,59,47,52,77,89,83,89,87,4,42,39,51,44,85,78,85,87,0,0,0,0,[]
68,9,21,27,59,52,45,77,89,77,89,76,6,48,45,49,46,84,83,85,88,0,0,0,0,[]
69,10,20,37,58,57,49,76,87,76,87,62,7,55,48,49,49,80,82,83,89,0,0,0,0,[]
70,10,21,48,54,58,45,75,88,75,89,51,8,59,45,56,46,81,83,79,88,0,0,0,0,['5:49 TESXx(¾ÆÍ°) »÷É±ÁË IGForge(µ¶·æÎèÕß)']
71,9,22,48,50,58,45,76,89,76,89,40,10,69,41,54,47,82,84,84,88,0,0,0,0,[]
72,9,21,46,53,58,45,76,89,76,89,28,12,70,40,51,49,79,88,82,87,0,0,0,0,[]
73,11,23,46,53,5,94,71,89,73,90,18,16,67,40,50,51,80,88,80,86,0,0,0,0,[]
74,13,22,47,58,14,86,76,88,77,89,14,16,65,41,48,52,85,84,84,86,0,0,0,0,[]
75,11,18,41,54,22,78,75,88,76,90,15,16,95,4,51,49,80,84,81,90,0,0,0,0,[]
76,13,17,43,55,30,69,72,90,72,90,16,16,92,11,52,48,80,85,79,90,0,0,0,0,[]
77,13,21,45,56,39,61,79,87,79,87,17,18,86,23,95,4,82,81,86,85,0,0,0,0,[]
78,9,22,54,65,48,53,80,87,80,87,14,19,80,34,89,7,82,82,86,85,0,0,0,0,[]
79,17,20,61,74,49,50,81,87,81,87,17,13,80,46,81,14,86,80,88,83,0,0,0,0,[]
80,17,14,66,77,56,56,83,86,83,84,17,11,83,57,74,22,86,79,87,82,0,0,0,0,[]
81,16,18,65,78,64,58,83,85,83,85,18,16,83,60,67,31,88,78,88,79,0,0,0,0,[]
82,10,24,53,76,62,62,84,84,84,84,12,21,82,60,59,39,89,78,88,78,0,0,0,0,[]
83,5,31,50,74,55,58,84,85,84,85,8,27,78,50,57,44,87,78,88,80,0,0,0,0,[]
84,9,24,47,73,47,54,78,88,78,88,15,18,69,45,52,47,88,74,87,76,0,0,0,0,[]
85,10,22,47,65,47,53,81,91,81,91,14,17,58,34,52,48,88,71,87,73,0,0,0,0,[]
86,10,21,45,66,49,51,83,88,83,88,14,18,43,36,51,47,95,4,95,4,0,0,0,0,[]
87,16,21,48,66,48,54,82,85,81,82,16,19,29,35,50,48,92,10,93,14,0,0,0,0,[]
88,17,21,56,59,47,52,84,82,81,80,13,21,25,31,49,48,92,20,85,23,0,0,0,0,['7:17 TES369(»ÄÄ®ÍÀ·ò) »÷É±ÁË IGTheShy(ÀëÈºÖ®´Ì)']
89,17,21,53,51,48,47,84,87,81,81,12,20,35,39,48,48,91,31,74,29,0,0,0,0,[]
90,17,21,54,43,54,41,84,87,84,87,8,30,41,42,54,41,90,42,64,36,0,0,0,0,['7:30 IGForge(µ¶·æÎèÕß) »÷É±ÁË TESKnight9(ÐÉºìÊÕ¸îÕß)']
91,3,92,51,53,51,49,6,95,4,95,9,30,41,42,55,41,90,53,68,45,0,0,0,0,[]
92,5,80,40,58,51,49,8,95,13,92,9,22,31,37,55,41,89,63,78,51,0,0,0,0,[]
93,6,68,29,59,56,46,19,94,24,90,8,17,25,32,55,41,89,73,77,61,0,0,0,0,[]
94,7,56,21,51,53,49,30,93,30,83,8,17,24,27,55,41,88,74,66,60,0,0,0,0,[]
95,7,43,22,48,58,45,41,92,39,76,91,4,34,23,92,8,87,75,68,64,0,0,0,0,[]
96,8,32,22,48,47,47,53,91,41,72,77,5,43,17,86,17,90,74,76,71,0,0,0,0,[]
97,10,25,21,46,54,44,63,89,50,66,66,6,42,16,78,25,83,78,85,80,0,0,0,0,[]
98,12,19,15,43,48,51,74,88,57,64,55,7,43,15,70,32,88,77,89,82,0,0,0,0,[]
99,12,17,15,42,47,52,76,88,61,74,43,9,48,18,61,39,85,78,89,82,0,0,0,0,[]
