,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,0,97,3,96,4,98,2,99,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,96,3,95,4,95,4,96,3,95,93,4,95,5,94,3,97,3,93,3,2500,0,2500,0,[]
2,5,96,4,95,3,94,4,95,4,95,93,4,92,4,92,4,93,5,92,3,2500,0,2500,0,[]
3,7,95,5,92,4,91,7,94,7,93,90,6,92,7,90,6,93,5,90,5,2500,0,2500,0,[]
4,30,92,15,71,19,74,27,82,27,82,71,18,82,28,71,18,73,16,72,18,2500,0,2500,0,[]
5,52,88,20,49,31,57,46,68,45,69,53,32,79,51,54,31,51,31,53,21,2500,0,2500,0,[]
6,68,80,22,32,34,40,55,63,57,64,42,32,76,68,41,31,41,32,39,32,2500,0,2500,0,[]
7,60,83,20,27,34,42,47,56,57,67,41,32,77,70,41,31,40,33,40,34,2500,0,2500,0,[]
8,50,82,20,27,33,43,50,49,57,67,40,36,76,74,41,36,38,38,41,35,2500,0,2500,0,[]
9,54,76,20,27,34,42,47,51,7,88,42,25,72,64,50,34,47,39,48,38,2500,0,2500,0,[]
10,51,75,19,25,2,96,50,51,17,84,47,17,76,57,59,37,57,42,56,45,2500,0,2500,0,[]
11,51,76,19,25,12,95,48,52,28,82,40,10,74,49,61,49,67,43,63,51,2500,0,2500,0,[]
12,50,77,19,26,23,93,48,51,37,76,29,8,66,56,64,57,66,54,64,59,2500,0,2510,0,[]
13,53,76,19,26,33,90,48,57,48,78,26,10,66,55,62,57,65,58,59,60,2500,0,2510,0,[]
14,51,77,19,26,42,84,48,60,53,77,26,9,59,63,55,57,58,63,57,64,2500,0,2510,0,[]
15,50,79,19,25,47,79,47,58,47,79,29,10,56,67,53,58,54,63,58,63,2500,0,2530,0,[]
16,50,82,19,24,46,79,39,64,46,79,24,10,54,76,56,63,57,69,57,72,2500,0,2530,0,[]
17,51,83,18,24,43,79,43,68,47,79,17,9,52,74,52,68,56,75,55,76,2500,0,2530,0,[]
18,53,84,17,20,46,79,44,68,46,79,16,9,52,74,52,67,55,76,54,76,2500,0,2530,0,[]
19,50,79,16,16,47,79,43,69,50,79,21,12,55,76,57,72,56,74,56,75,2500,0,2641,0,[]
20,54,77,15,17,52,76,49,74,55,76,17,12,58,73,57,69,61,77,59,77,2500,0,2663,0,[]
21,53,84,15,18,43,69,41,67,50,81,16,11,58,63,55,59,72,78,68,78,2542,0,2684,0,[]
22,63,87,14,15,34,62,42,58,60,85,16,14,66,55,48,50,82,82,78,80,2587,0,2815,0,[]
23,73,87,12,20,26,58,46,53,70,88,16,16,74,53,51,50,84,87,84,87,2659,0,2943,0,[]
24,72,88,10,21,22,55,44,53,71,90,15,14,76,54,50,50,81,90,80,90,2738,0,3007,0,[]
25,74,88,9,22,22,54,45,54,76,89,14,17,79,54,50,50,82,86,82,91,2856,0,3128,0,[]
26,77,88,10,22,21,51,45,53,78,88,16,17,79,51,50,51,81,82,83,89,2953,0,3256,0,[]
27,71,89,9,23,23,47,44,56,72,91,13,19,77,49,49,50,80,83,78,91,3008,0,3496,0,[]
28,73,89,7,25,21,45,41,57,74,88,12,18,73,42,45,51,81,84,80,90,3079,0,3603,0,[]
29,73,90,7,31,19,45,39,58,72,88,15,22,63,37,44,55,79,84,80,90,3228,0,3717,0,[]
30,72,91,8,28,18,45,41,56,71,89,21,30,54,30,45,56,79,84,78,90,3456,0,3782,0,[]
31,74,91,9,24,15,43,40,59,73,89,23,40,48,26,45,51,78,86,79,91,3527,0,3900,0,[]
32,75,88,14,19,14,40,44,56,76,88,23,29,52,27,44,51,79,83,79,91,3617,0,4052,0,[]
33,76,89,15,18,15,39,41,56,76,88,19,18,54,29,44,51,73,87,76,91,3749,0,4681,0,[]
34,76,92,16,18,15,39,44,55,71,90,16,13,53,29,37,43,79,87,81,90,3921,0,4909,0,"['2:46 RNGUzi(Ðé¿ÕÖ®Å®) »÷É±ÁË RWZWuJi(ÄæÓð),»ñµÃÒ»Ñª']"
35,7,96,16,17,20,36,45,54,68,91,17,16,50,24,26,36,78,87,75,88,4101,0,5090,0,[]
36,18,95,11,18,11,33,45,52,67,92,14,17,44,17,19,25,73,92,73,90,4173,0,5223,0,[]
37,29,95,7,26,11,26,44,53,69,91,9,18,43,16,10,21,74,92,74,90,4270,0,5452,0,[]
