,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,11,15,62,92,49,50,60,94,62,92,16,15,62,84,69,88,71,89,70,91,0,0,0,0,[]
57,13,17,60,89,47,53,13,95,60,89,15,13,68,80,68,81,71,89,70,90,0,0,0,0,[]
58,14,16,56,93,53,54,23,94,56,93,17,14,68,83,67,82,71,89,70,91,0,0,0,0,[]
59,12,18,54,85,59,61,34,94,60,92,14,13,61,84,73,73,71,89,71,88,0,0,0,0,[]
60,14,17,61,83,60,72,45,93,67,88,17,13,69,80,66,61,70,79,69,79,0,0,0,0,[]
61,15,15,73,76,71,76,58,91,73,76,17,13,73,69,57,49,78,70,75,72,0,0,0,0,[]
62,13,14,73,67,75,67,71,89,73,67,17,13,74,67,52,51,73,64,74,67,0,0,0,0,['5:10 RNGKarsa(德玛西亚皇子) 击杀了 V5Ben4(虚空遁地兽)']
63,13,16,73,70,72,63,75,87,72,66,16,11,74,67,62,58,75,63,67,64,0,0,0,0,"['5:12 V5y4(圣枪游侠) 击杀了 RNGKarsa(德玛西亚皇子)', '5:14 RNGXiaohu(机械公敌) 击杀了 V5Max(战争之王)']"
64,13,13,73,70,81,66,78,79,79,65,19,11,74,67,76,62,85,65,67,64,0,0,0,0,[]
65,17,11,4,95,89,70,83,79,87,66,28,6,91,6,80,66,92,67,67,64,0,0,0,0,['5:25 RNGXiaohu(机械公敌) 击杀了 V5y4(圣枪游侠)']
66,16,11,13,91,81,77,77,86,82,83,24,10,84,8,71,65,92,67,93,8,0,0,0,0,[]
67,21,10,16,78,79,75,78,89,83,89,24,9,74,13,59,59,92,67,89,20,0,0,0,0,[]
68,22,12,17,65,2,96,79,88,82,90,33,7,64,22,47,54,94,8,88,32,0,0,0,0,[]
69,20,11,31,59,11,91,78,88,82,90,31,8,56,30,47,54,87,79,90,44,0,0,0,0,[]
70,20,11,41,54,20,82,77,87,9,96,31,7,54,32,50,48,83,82,88,57,0,0,0,0,[]
71,19,18,41,55,28,73,78,87,15,95,28,8,55,32,52,44,84,82,87,70,0,0,0,0,[]
72,20,19,38,63,36,63,79,88,26,94,27,9,56,33,52,44,84,81,84,81,0,0,0,0,[]
73,23,10,49,67,46,55,77,87,37,93,27,10,65,39,94,6,85,82,85,88,0,0,0,0,[]
74,21,11,60,63,49,51,78,86,48,91,28,6,72,44,89,14,84,82,87,85,0,0,0,0,[]
75,18,12,62,62,55,55,78,87,59,90,26,10,76,46,79,24,83,84,85,85,0,0,0,0,[]
76,17,15,70,65,66,63,79,86,70,88,25,8,77,50,67,33,86,81,84,79,0,0,0,0,[]
77,16,13,79,75,75,71,78,81,78,81,25,10,77,60,58,41,85,78,81,77,0,0,0,0,[]
78,15,11,82,82,82,81,79,84,81,83,23,10,83,65,53,51,88,77,83,85,0,0,0,0,[]
