,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,19,37,64,42,59,85,86,79,84,13,18,50,66,47,54,87,66,91,68,0,0,0,0,[]
59,12,20,51,67,48,59,85,88,74,74,13,15,57,62,54,56,91,70,93,69,0,0,0,0,[]
60,12,18,56,59,48,56,2,96,67,66,16,17,56,54,54,52,91,71,91,71,0,0,0,0,[]
61,10,20,56,57,47,55,2,96,62,62,15,18,58,44,49,48,91,69,93,68,0,0,0,0,[]
62,12,17,50,65,47,55,74,89,62,62,16,16,57,33,48,47,91,69,93,68,0,0,0,0,[]
63,6,23,46,65,44,56,81,86,8,95,10,22,53,36,50,47,93,6,93,8,0,0,0,0,[]
64,8,25,47,65,46,57,81,84,11,94,14,20,52,33,50,48,95,3,93,13,0,0,0,0,[]
65,8,23,58,69,43,56,81,86,20,89,13,19,48,34,60,51,87,79,92,24,0,0,0,0,[]
66,10,20,47,67,45,55,80,87,30,88,16,17,48,34,59,50,87,80,91,36,0,0,0,0,[]
67,9,23,37,63,48,51,79,88,34,79,13,17,91,8,53,45,86,83,89,47,0,0,0,0,[]
68,12,20,25,58,43,52,82,86,44,73,11,14,87,16,52,47,87,83,80,52,0,0,0,0,[]
69,11,21,25,58,44,55,81,85,53,67,13,15,80,25,52,48,86,82,75,59,0,0,0,0,[]
70,10,20,25,57,45,54,78,89,57,65,15,17,79,36,54,46,85,82,72,68,0,0,0,0,[]
71,11,17,19,47,50,55,78,87,57,65,17,16,80,48,53,45,86,83,74,73,0,0,0,0,[]
72,15,17,14,36,49,54,77,88,59,76,15,15,73,44,53,49,85,83,65,69,0,0,0,0,[]
73,16,17,11,26,45,53,74,88,68,84,20,11,72,48,52,49,85,84,63,68,0,0,0,0,[]
74,16,14,7,17,43,52,78,90,74,87,30,8,70,50,51,51,84,84,72,71,0,0,0,0,[]
75,16,15,7,17,45,53,75,89,69,83,28,10,65,59,52,50,82,86,78,81,0,0,0,0,[]
76,15,16,5,95,39,58,73,91,70,89,27,9,62,62,55,53,77,87,77,88,0,0,0,0,[]
77,2,96,18,90,37,59,71,93,69,91,30,9,69,64,56,56,77,84,77,85,0,0,0,0,[]
78,4,91,30,89,37,59,70,90,71,89,25,7,69,67,54,54,74,74,75,75,0,0,0,0,[]
79,5,79,42,83,6,94,72,88,69,83,26,7,67,67,50,50,72,70,69,68,0,0,0,0,[]
80,6,70,56,75,17,87,71,78,72,75,26,7,68,66,50,50,72,67,70,68,0,0,0,0,[]
81,68,69,69,65,27,81,73,68,74,62,95,4,68,62,59,56,74,62,73,63,0,0,0,0,[]
